kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT,eb,_merge
8410415,1,K02291.01,CAND,-,-,0.651,0.773,No,left_only
7700622,1,K00315.01,CAND,-,-,0.651,0.708,No,left_only
3937519,2,K00221.02,CAND,-,-,0.649,0.824,No,left_only
10397751,3,K02859.03,CAND,-,-,0.648,-,No,left_only
10621643,5,-,-,-,-,0.647,0.396,No,left_only
10141900,1,K01082.01,CAND,-,-,0.645,0.694,No,left_only
10252275,1,K03130.01,CAND,-,-,0.644,0.8,No,left_only
2447832,5,-,-,-,-,0.642,0.421,No,left_only
8394756,3,-,-,-,-,0.642,-,No,left_only
9458754,4,-,-,-,-,0.642,0.411,No,left_only
11122789,4,-,-,-,-,0.64,-,No,both
3561464,2,K03398.02,CAND,-,-,0.639,0.669,No,left_only
11967788,2,K04021.02,CAND,-,-,0.639,0.585,No,left_only
4846856,1,K02900.01,CAND,-,-,0.638,-,No,left_only
10189546,1,K00427.01,CAND,-,-,0.636,-,No,left_only
7289577,1,K01974.01,CAND,-,-,0.635,0.566,No,left_only
11076400,1,K02759.01,CAND,-,-,0.634,0.535,No,left_only
12406807,1,K03091.01,CAND,-,-,0.633,0.601,No,left_only
11122894,3,K01426.03,CAND,-,-,0.632,0.831,No,left_only
9100953,2,K04500.02,CAND,-,-,0.632,-,No,left_only
7219825,3,K00238.03,CAND,-,-,0.631,0.58,No,left_only
7661065,1,K02307.01,CAND,-,-,0.63,0.571,No,left_only
8747865,5,-,-,-,-,0.63,-,No,left_only
6955650,1,-,-,-,-,0.629,0.518,No,left_only
7377343,1,K05384.01,CAND,-,-,0.629,0.813,No,both
2832589,1,K01942.01,CAND,-,-,0.628,-,No,left_only
9475552,2,K02694.02,CAND,-,-,0.627,0.711,No,left_only
5621333,1,K03341.01,CAND,-,-,0.627,0.646,No,left_only
11601584,3,K01831.03,CAND,-,-,0.627,-,No,both
11601584,3,K01831.03,CAND,-,-,0.627,-,No,both
8074328,1,K02486.01,CAND,-,-,0.623,-,No,left_only
6356692,1,K02948.01,CAND,-,-,0.622,0.809,No,left_only
7124026,1,K02275.01,FP,-,-,0.621,0.791,No,left_only
8247770,1,K02569.01,CAND,-,-,0.621,0.703,No,left_only
12268190,7,-,-,-,-,0.621,-,No,left_only
10865397,4,-,-,-,-,0.62,-,No,left_only
5080636,2,K01843.02,CAND,-,-,0.619,-,No,left_only
9958962,3,K00593.03,CAND,-,-,0.617,-,No,left_only
5905822,1,K02801.01,CAND,-,-,0.617,0.682,No,left_only
9654468,1,K02417.01,CAND,-,-,0.615,0.615,No,left_only
10470206,1,K00335.01,FP,-,-,0.613,-,No,left_only
3634051,1,K06103.01,FP,-,-,0.612,0.587,No,left_only
6115603,3,-,-,-,-,0.612,0.403,No,left_only
6605493,1,K02559.01,CAND,-,-,0.612,0.731,No,left_only
9140402,1,K00928.01,CAND,-,-,0.612,0.935,No,both
2164169,1,K01029.01,CAND,-,-,0.612,0.744,No,left_only
4947556,1,K03936.01,FP,-,-,0.611,-,No,left_only
3629967,1,K01901.01,CAND,-,-,0.61,0.614,No,left_only
10525049,1,K04252.01,CAND,-,-,0.61,0.806,No,left_only
10656508,1,K00211.01,CAND,-,-,0.61,-,No,both
8321314,1,K02293.01,CAND,-,-,0.61,0.699,No,left_only
7678434,2,K00892.02,CAND,-,-,0.61,0.522,No,both
9153823,1,K06195.01,FP,-,-,0.608,0.817,No,left_only
3120650,5,-,-,-,-,0.608,0.38,No,left_only
10028140,1,K01591.01,CAND,-,-,0.608,0.636,No,left_only
5441980,1,K00607.01,CAND,-,-,0.606,0.802,No,left_only
9472000,1,K02082.01,CAND,-,-,0.606,0.541,No,left_only
8492101,1,K04437.01,FP,-,-,0.606,-,No,left_only
12737015,1,K04245.01,CAND,-,-,0.604,-,No,left_only
8397947,1,K04772.01,CAND,-,-,0.604,-,No,left_only
8013439,3,K02352.03,CAND,-,-,0.604,0.778,No,both
2161536,1,K02130.01,CAND,-,-,0.603,0.674,No,left_only
10744342,4,-,-,-,-,0.603,0.558,No,left_only
7879433,1,K02527.01,CAND,-,-,0.603,0.632,No,left_only
7987866,1,K02363.01,CAND,-,-,0.601,0.728,No,left_only
8261920,1,K02174.01,CAND,-,-,0.601,0.503,No,left_only
5131180,1,K00641.01,CAND,-,-,0.601,0.641,No,left_only
7050754,2,-,-,-,-,0.601,-,No,left_only
1872821,1,K02351.01,CAND,-,-,0.599,0.579,No,left_only
4770174,1,K02971.01,CAND,-,-,0.598,0.747,No,left_only
8709688,1,K03019.01,CAND,-,-,0.598,0.709,No,left_only
7120108,1,K02325.01,CAND,-,-,0.597,0.602,No,left_only
8189801,1,K02480.01,CAND,-,-,0.596,0.655,No,left_only
10460984,3,K00474.03,CAND,-,-,0.595,-,No,left_only
9017682,1,K01630.01,CAND,-,-,0.593,0.648,No,left_only
6359320,3,K01127.03,CAND,-,-,0.593,-,No,left_only
9334893,1,K02298.01,CAND,-,-,0.593,0.492,No,left_only
9451127,2,-,-,-,0.353,0.592,0.678,No,both
11818872,1,K02581.01,CAND,-,-,0.592,0.803,No,left_only
8110767,1,K02504.01,CAND,-,-,0.592,0.514,No,left_only
10614158,2,-,-,-,-,0.591,-,No,both
4851530,1,K01884.01,FP,-,-,0.591,-,No,left_only
4157325,3,K01860.03,CAND,-,-,0.59,-,No,left_only
1722916,6,-,-,-,-,0.59,-,No,left_only
7826659,1,K02686.01,CAND,-,-,0.59,0.584,No,left_only
10092312,1,K01823.01,FP,-,-,0.589,-,No,left_only
7869917,2,K01525.02,CAND,-,-,0.589,-,No,left_only
9283002,3,-,-,-,-,0.588,0.431,No,left_only
4771030,3,-,-,-,-,0.588,-,No,left_only
5556241,4,-,-,-,-,0.587,-,No,left_only
5942808,2,K02250.02,CAND,-,-,0.585,-,No,left_only
4385148,2,K02942.02,CAND,-,-,0.585,0.498,No,left_only
7463685,1,K02890.01,CAND,-,-,0.583,0.674,No,left_only
3103212,1,K04145.01,CAND,-,-,0.583,0.841,No,left_only
10028352,1,K01957.01,CAND,-,-,0.583,0.74,No,both
6871071,4,K02220.04,CAND,-,-,0.582,0.589,No,left_only
12457978,6,-,-,-,-,0.581,-,No,left_only
7199397,1,K00075.01,CAND,-,-,0.581,-,No,left_only
5942808,1,K02250.01,CAND,-,-,0.581,-,No,left_only
6867588,1,K02571.01,CAND,-,-,0.58,0.805,No,left_only
4173026,1,K02172.01,CAND,-,-,0.579,0.778,No,left_only
4473226,1,K02229.01,CAND,-,-,0.579,0.802,No,left_only
6110119,8,-,-,-,-,0.578,-,No,left_only
12406749,1,K01476.01,CAND,-,-,0.577,0.923,No,left_only
3122913,1,K02490.01,CAND,-,-,0.576,0.636,No,left_only
4548011,2,K04288.02,CAND,-,-,0.575,0.601,No,left_only
5436013,1,K02471.01,CAND,-,-,0.575,0.872,No,left_only
11395587,1,K00350.01,CAND,-,-,0.573,0.907,No,left_only
9691311,4,-,-,-,-,0.572,-,No,left_only
10533616,3,-,-,-,-,0.571,-,No,left_only
9936080,1,K04431.01,CAND,-,-,0.57,0.554,No,left_only
9205938,2,K02162.02,CAND,-,-,0.57,-,No,left_only
7017372,1,K03689.01,CAND,-,-,0.569,-,No,left_only
10583180,2,-,-,-,-,0.569,-,No,both
7017274,1,K03209.01,CAND,-,-,0.569,0.641,No,left_only
10471621,1,K02554.01,CAND,-,-,0.568,0.499,No,left_only
9328641,2,-,-,-,-,0.567,-,No,left_only
6837283,1,K02914.01,CAND,-,-,0.567,-,No,left_only
9003401,1,K02319.01,CAND,-,-,0.567,-,No,left_only
9714572,8,-,-,-,-,0.567,-,No,left_only
9002538,2,K03196.02,CAND,-,-,0.566,-,No,left_only
9993529,1,K02644.01,FP,-,-,0.565,-,No,left_only
11968463,4,K02433.04,CAND,-,-,0.565,0.49,No,left_only
7137725,1,K01699.01,FP,-,-,0.564,0.574,No,left_only
5621333,2,K03341.02,CAND,-,-,0.561,0.557,No,left_only
8480582,1,K04386.01,CAND,-,-,0.561,0.91,No,left_only
10122538,5,K02926.05,CAND,-,-,0.559,0.673,No,left_only
10875007,2,K04149.02,CAND,-,-,0.558,-,No,left_only
8056665,2,K00089.02,CAND,-,-,0.558,0.55,No,left_only
6579806,2,-,-,-,-,0.558,-,No,both
7256914,2,K04136.02,CAND,-,-,0.557,0.678,No,left_only
5906694,1,K04069.01,CAND,-,-,0.557,0.556,No,left_only
3239671,1,K02066.01,CAND,-,-,0.557,0.515,No,left_only
8540376,1,K07892.01,CAND,-,-,0.557,0.577,No,left_only
4058206,3,-,-,-,-,0.555,-,No,left_only
11394027,1,K00349.01,CAND,-,-,0.554,0.931,No,left_only
8240861,4,-,-,-,-,0.553,-,No,both
8554498,1,K00005.01,CAND,-,-,0.553,-,No,both
7825899,3,K00896.03,CAND,-,-,0.553,-,No,left_only
5471059,2,K03956.02,FP,-,-,0.553,-,No,left_only
11548140,1,K00256.01,FP,-,-,0.552,0.658,No,both
7749773,1,K02848.01,CAND,-,-,0.552,0.634,No,left_only
12602335,3,-,-,-,-,0.551,-,No,left_only
6606438,1,K02860.01,CAND,-,-,0.551,-,No,left_only
8684730,1,K00319.01,CAND,-,-,0.551,0.575,No,left_only
9872292,1,K01537.01,CAND,-,-,0.551,0.704,No,left_only
5552761,7,-,-,-,-,0.55,-,No,left_only
5881120,1,K04156.01,CAND,-,-,0.55,0.621,No,left_only
4140813,1,K02117.01,CAND,-,-,0.549,0.779,No,left_only
9071593,2,K02257.02,CAND,-,-,0.549,0.573,No,left_only
4830605,1,K01660.01,CAND,-,-,0.548,-,No,left_only
7841925,2,K01499.02,CAND,-,-,0.548,-,No,left_only
7287118,4,-,-,-,-,0.547,-,No,left_only
9283156,1,K02657.01,CAND,-,-,0.547,0.625,No,left_only
11700604,7,-,-,-,-,0.547,-,No,left_only
3967219,3,-,-,-,-,0.546,-,No,left_only
9661979,1,K02132.01,CAND,-,-,0.546,0.673,No,left_only
12217824,3,-,-,-,-,0.546,-,No,left_only
4665571,1,K02393.01,CAND,-,-,0.545,-,No,left_only
12164634,3,-,-,-,0.556,0.544,0.347,No,both
7102227,3,K01360.03,CAND,-,-,0.544,0.708,No,left_only
10397751,4,K02859.04,CAND,-,-,0.544,-,No,left_only
10924400,2,-,-,-,-,0.544,0.757,No,left_only
7582608,4,-,-,-,-,0.543,-,No,left_only
6268648,3,K01613.03,CAND,-,-,0.543,0.585,No,both
9086251,1,K02367.01,CAND,-,-,0.543,0.547,No,left_only
5450893,1,K02970.01,CAND,-,-,0.543,0.7,No,left_only
8880123,1,K03493.01,CAND,-,-,0.541,0.641,No,left_only
7032429,5,-,-,-,-,0.54,-,No,left_only
6300348,1,K00212.01,CAND,-,-,0.54,0.899,No,left_only
5360082,2,-,-,-,-,0.539,0.854,No,left_only
5357545,1,K02219.01,CAND,-,-,0.539,-,No,left_only
11513486,1,K04748.01,CAND,-,-,0.538,-,No,left_only
5544450,1,K03226.01,CAND,-,-,0.538,0.675,No,left_only
6632435,2,-,-,-,-,0.538,-,No,left_only
10351231,1,K01166.01,CAND,-,-,0.537,0.656,No,left_only
9009953,1,K04014.01,CAND,-,-,0.536,-,No,left_only
6441738,1,K01246.01,CAND,-,-,0.536,0.67,No,left_only
6889235,2,-,-,-,-,0.536,-,No,both
10922659,1,K03335.01,CAND,-,-,0.534,0.719,No,left_only
6775034,5,-,-,-,-,0.534,-,No,both
8013419,1,K00901.01,CAND,-,-,0.534,0.566,No,left_only
8260218,1,K01066.01,CAND,-,-,0.533,0.475,No,left_only
9117416,1,K03425.01,CAND,-,-,0.532,-,No,both
10813078,1,K05831.01,CAND,-,-,0.532,0.575,No,left_only
7100673,5,K04032.05,CAND,-,-,0.532,-,No,left_only
9491205,3,-,-,-,0.385,0.531,-,No,left_only
5008245,1,K03770.01,CAND,-,-,0.531,-,No,left_only
6268648,4,-,-,-,-,0.531,-,No,both
4945266,2,-,-,-,-,0.531,-,No,left_only
9092504,2,K02716.02,CAND,-,-,0.53,-,No,left_only
8874090,2,K01404.02,CAND,-,-,0.53,-,No,left_only
7035274,3,-,-,-,-,0.53,-,No,left_only
7939330,1,K01581.01,CAND,-,-,0.527,0.532,No,left_only
10345478,2,-,-,-,-,0.524,0.632,No,both
5724810,1,-,-,-,-,0.524,0.526,No,left_only
8935810,1,K01395.01,CAND,-,-,0.523,0.808,No,left_only
8707670,5,-,-,-,-,0.523,-,No,left_only
4385148,1,K02942.01,CAND,-,-,0.521,0.668,No,left_only
9166700,1,K05632.01,CAND,-,-,0.521,0.591,No,left_only
8265218,1,K00522.01,CAND,-,-,0.52,0.735,No,left_only
6636320,1,K02989.01,CAND,-,-,0.52,-,No,left_only
7768451,1,K01527.01,CAND,-,-,0.52,0.67,No,left_only
5613821,1,K02915.01,CAND,-,-,0.518,0.795,No,left_only
12069786,3,-,-,-,-,0.517,-,No,left_only
8524712,3,-,-,-,-,0.517,-,No,left_only
9758089,2,K01871.02,CAND,-,-,0.516,-,No,both
6183511,1,K02542.01,CAND,-,-,0.516,0.635,No,left_only
8456679,1,K00102.01,CAND,-,-,0.514,-,No,left_only
8702921,3,-,-,-,-,0.513,0.405,No,both
8008067,3,K00316.03,CAND,-,-,0.512,-,No,left_only
8240861,3,-,-,-,-,0.512,-,No,both
8760040,2,K02963.02,CAND,-,-,0.512,-,No,left_only
9490506,2,-,-,-,-,0.511,-,No,left_only
5372081,7,-,-,-,-,0.51,-,No,left_only
7869590,2,-,-,-,-,0.509,-,No,left_only
8758204,1,K02841.01,CAND,-,-,0.509,0.547,No,left_only
12164634,6,-,-,-,-,0.509,-,No,both
7533425,6,-,-,-,-,0.509,-,No,left_only
7872212,7,-,-,-,-,0.507,-,No,left_only
9279865,3,-,-,-,-,0.507,-,No,left_only
4939265,3,-,-,-,0.462,0.506,0.659,No,left_only
10187017,6,K00082.06,CAND,-,-,0.506,-,No,left_only
9673338,9,-,-,-,-,0.505,-,No,left_only
7117284,2,-,-,-,-,0.504,0.44,No,left_only
3122872,1,K03203.01,CAND,-,-,0.503,0.769,No,left_only
5963582,1,K02479.01,CAND,-,-,0.503,0.668,No,left_only
11046025,1,K01646.01,CAND,-,-,0.502,-,No,left_only
11450414,3,K01992.03,FP,-,-,0.502,-,No,left_only
11177543,1,K01648.01,CAND,-,-,0.501,0.605,No,left_only
4370956,2,-,-,-,-,0.501,-,No,left_only
9412462,3,-,-,-,-,0.5,-,No,both
10853783,2,-,-,-,-,0.5,-,No,left_only
11465651,1,K04150.01,CAND,-,-,0.499,-,No,left_only
9579208,1,K03165.01,CAND,-,-,0.499,-,No,left_only
9700145,2,-,-,-,-,0.497,-,No,left_only
5792202,4,K00841.04,FP,-,-,0.497,0.602,No,left_only
10798331,1,K02373.01,CAND,-,-,0.496,-,No,left_only
4077526,4,K01336.04,CAND,-,-,0.496,-,No,left_only
5004909,1,K03421.01,FP,-,-,0.496,0.516,No,left_only
3453026,2,-,-,-,-,0.496,-,No,left_only
7115249,7,-,-,-,-,0.494,-,No,left_only
8414216,1,K07036.01,FP,-,-,0.494,0.766,No,left_only
9086154,1,K04060.01,CAND,-,-,0.491,0.481,No,left_only
9588822,2,K04388.02,CAND,-,-,0.49,0.672,No,both
12257999,1,K02577.01,CAND,-,-,0.49,0.539,No,left_only
12316447,3,-,-,-,-,0.489,-,No,both
8241079,1,K03020.01,CAND,-,-,0.488,0.642,No,both
7031126,7,-,-,-,-,0.487,-,No,left_only
6115603,10,-,-,-,-,0.486,-,No,left_only
10717241,2,K00430.02,CAND,-,-,0.486,0.495,No,left_only
10482774,7,-,-,-,-,0.485,-,No,left_only
2443393,1,K02603.01,CAND,-,-,0.485,-,No,left_only
6945500,5,-,-,-,-,0.484,-,No,left_only
7031126,3,-,-,-,-,0.483,-,No,left_only
10514770,2,-,-,-,0.458,0.481,-,No,both
2993589,5,-,-,-,-,0.481,-,No,left_only
10659313,2,-,-,-,-,0.48,-,No,both
8690001,7,-,-,-,-,0.479,-,No,both
8280511,5,K01151.05,CAND,-,-,0.479,-,No,left_only
9512981,1,K01466.01,CAND,-,-,0.479,-,No,left_only
7047496,2,-,-,-,-,0.478,-,No,left_only
7352016,1,-,-,-,-,0.478,-,No,left_only
4566740,8,-,-,-,-,0.477,-,No,left_only
8176653,1,K01016.01,FP,-,-,0.477,-,No,both
7673192,5,K02722.05,CAND,-,-,0.477,-,No,left_only
7032218,3,-,-,-,-,0.477,-,No,left_only
4566740,9,-,-,-,-,0.476,-,No,left_only
11127641,5,-,-,-,-,0.474,-,No,left_only
2438502,2,-,-,-,0.481,0.471,0.786,No,left_only
3660392,6,-,-,-,-,0.471,-,No,left_only
3561700,5,-,-,-,-,0.471,-,No,left_only
6756202,3,-,-,-,-,0.471,-,No,both
8280511,4,K01151.04,CAND,-,-,0.471,-,No,left_only
5302881,2,-,-,-,-,0.47,-,No,left_only
8702921,2,-,-,-,-,0.47,-,No,both
7211759,8,-,-,-,-,0.468,-,No,left_only
10028792,3,K01574.03,CAND,-,-,0.466,-,No,left_only
5476864,2,-,-,-,-,0.464,0.529,No,left_only
6140084,10,-,-,-,-,0.464,-,No,left_only
7117444,6,-,-,-,-,0.464,-,No,left_only
9099950,7,-,-,-,-,0.462,-,No,left_only
4263801,4,-,-,-,-,0.462,-,No,left_only
8826317,10,-,-,-,-,0.462,-,No,left_only
10206675,2,-,-,-,-,0.462,-,No,left_only
8242681,2,-,-,-,0.455,0.461,-,No,both
11100532,9,-,-,-,-,0.461,-,No,left_only
8527297,3,-,-,-,-,0.461,-,No,left_only
9032900,4,-,-,-,-,0.459,0.446,No,both
1433399,3,-,-,-,-,0.458,-,No,left_only
9237305,5,-,-,-,-,0.458,-,No,left_only
7041634,2,-,-,-,-,0.458,0.514,No,left_only
3450040,1,K04205.01,CAND,-,-,0.458,0.775,No,left_only
10397751,5,K02859.05,CAND,-,-,0.458,-,No,left_only
3975085,7,-,-,-,-,0.458,-,No,left_only
3862246,2,-,-,-,0.429,0.455,0.565,No,both
7335514,1,K06860.01,CAND,-,-,0.455,-,No,left_only
10132618,2,-,-,-,-,0.455,-,No,left_only
8971294,2,-,-,-,-,0.455,-,No,left_only
5787972,10,-,-,-,-,0.454,-,No,left_only
10877367,6,-,-,-,-,0.454,-,No,left_only
5088084,4,-,-,-,-,0.454,-,No,left_only
10552700,4,-,-,-,-,0.452,-,No,left_only
9457728,1,K04637.01,CAND,-,0.429,0.449,0.646,No,left_only
2712825,1,K08086.01,FP,-,-,0.449,-,No,left_only
6783562,8,-,-,-,-,0.446,-,No,left_only
3120650,4,-,-,-,-,0.445,-,No,left_only
9642018,2,-,-,-,-,0.445,-,No,both
8950019,8,-,-,-,-,0.444,-,No,left_only
7880676,2,-,-,-,-,0.442,0.473,No,left_only
9278696,3,-,-,-,-,0.441,-,No,left_only
8783270,5,-,-,-,-,0.44,-,No,left_only
2436450,6,-,-,-,-,0.439,-,No,left_only
8553462,10,-,-,-,-,0.439,-,No,left_only
8431611,3,-,-,-,-,0.438,-,No,left_only
4739229,3,-,-,-,-,0.436,-,No,left_only
8176564,1,K02720.01,CAND,-,-,0.435,-,No,left_only
6945362,8,-,-,-,-,0.434,-,No,left_only
1026133,2,-,-,-,-,0.433,-,No,left_only
9178894,3,-,-,-,-,0.433,-,No,left_only
12644769,2,-,-,-,-,0.432,-,No,both
6041680,3,-,-,-,-,0.43,-,No,left_only
9156461,10,-,-,-,-,0.43,-,No,left_only
7533425,5,-,-,-,-,0.43,-,No,left_only
8894646,1,K02641.01,CAND,-,-,0.429,0.485,No,left_only
10843431,2,K07378.02,CAND,-,-,0.428,-,No,left_only
9006186,4,K02169.04,CAND,-,-,0.424,-,No,left_only
3764879,1,K02141.01,FP,-,-,0.423,-,No,left_only
10652379,10,-,-,-,-,0.423,-,No,left_only
6387450,2,-,-,-,-,0.423,0.43,No,both
8096395,1,K07587.01,CAND,-,-,0.423,-,No,left_only
7767559,1,K00895.01,FP,-,-,0.422,-,No,both
11356602,1,K07439.01,FP,-,-,0.42,-,No,left_only
4347340,4,-,-,-,-,0.42,-,No,left_only
10395312,10,-,-,-,-,0.413,-,No,left_only
3247616,4,-,-,-,-,0.413,-,No,left_only
8631160,1,K01271.01,CAND,-,-,0.411,-,No,both
11968463,6,-,-,-,-,0.411,-,No,left_only
7446357,10,-,-,-,-,0.41,-,No,left_only
2436450,7,-,-,-,-,0.409,-,No,left_only
5812648,4,-,-,-,-,0.408,-,No,left_only
8840117,8,-,-,-,-,0.408,-,No,left_only
8328003,6,-,-,-,-,0.408,0.41,No,left_only
7446357,8,-,-,-,-,0.402,-,No,left_only
6721523,7,-,-,-,-,0.401,-,No,left_only
6500206,1,K02451.01,FP,-,-,0.401,0.418,No,left_only
8362880,2,-,-,-,-,0.399,-,No,left_only
7900137,2,-,-,-,-,0.398,-,No,left_only
5471059,1,K03956.01,FP,-,-,0.397,-,No,left_only
7816992,10,-,-,-,-,0.395,-,No,left_only
5265699,9,-,-,-,-,0.394,-,No,left_only
9574614,1,K01745.01,FP,-,-,0.391,-,No,both
1718958,1,K04053.01,CAND,-,-,0.391,0.411,No,left_only
9084778,1,K01631.01,FP,-,-,0.39,-,No,both
5295670,4,-,-,-,-,0.387,-,No,left_only
6277594,2,-,-,-,-,0.386,-,No,left_only
8396405,1,K01733.01,CAND,-,-,0.383,0.517,No,left_only
4157325,4,K01860.04,FP,-,-,0.382,0.592,No,left_only
8613535,4,-,-,-,-,0.381,-,No,left_only
9166826,7,-,-,-,-,0.381,-,No,left_only
11919968,9,-,-,-,-,0.379,-,No,left_only
8818497,2,-,-,-,-,0.373,-,No,left_only
8703129,1,K02758.01,CAND,-,-,0.37,-,No,both
3558849,1,K04307.01,CAND,-,-,0.364,-,No,left_only
4066898,3,-,-,-,-,0.362,-,No,left_only
10801647,8,-,-,-,-,0.356,-,No,left_only
10321305,8,-,-,-,-,0.354,-,No,left_only
7115878,5,-,-,-,-,0.353,-,No,left_only
5652983,1,K00371.01,FP,-,-,0.352,-,No,both
10031808,6,-,-,-,-,0.351,-,No,both
8460081,5,-,-,-,-,0.35,-,No,left_only
4145040,4,-,-,-,-,0.347,-,No,left_only
7582608,6,-,-,-,-,0.345,-,No,left_only
7186665,2,-,-,-,0.75,-,-,No,both
5979863,2,-,-,-,0.667,-,0.593,No,both
5003117,2,-,-,-,0.556,-,0.742,No,both
4773392,1,K04367.01,CAND,-,0.538,-,-,No,left_only
6762829,4,-,-,-,0.514,-,-,No,both
7186665,1,K03033.01,FP,-,0.5,-,-,No,both
5014753,2,-,-,-,0.5,-,-,No,both
3851949,2,-,-,-,0.458,-,-,No,both
9552608,2,-,-,-,0.458,-,0.527,No,both
5357470,2,-,-,-,0.455,-,-,No,left_only
3962728,2,-,-,-,0.452,-,-,No,left_only
7051984,2,-,-,-,0.452,-,-,No,both
8695779,2,-,-,-,0.444,-,-,No,both
6866228,2,-,-,-,0.444,-,-,No,both
5982353,2,-,-,-,0.429,-,-,No,both
8038679,1,-,-,-,0.424,-,-,No,left_only
4912991,2,-,-,-,0.423,-,0.669,No,both
6609270,2,K03090.02,FP,-,0.409,-,-,No,left_only
9710998,1,-,-,-,0.406,-,-,No,left_only
12302530,3,-,-,-,0.404,-,0.416,No,left_only
7299905,1,-,-,-,0.4,-,-,No,left_only
8681125,1,-,-,-,0.393,-,-,No,left_only
6785967,1,-,-,-,0.379,-,-,No,left_only
10068030,2,-,-,-,0.375,-,-,No,both
11249624,3,-,-,-,0.375,-,-,No,both
10024862,2,-,-,-,0.375,-,-,No,left_only
2452440,2,-,-,-,0.366,-,-,No,both
2163457,1,-,-,-,0.36,-,-,No,left_only
12207117,2,-,-,-,0.359,-,-,No,left_only
5990753,2,-,-,-,0.35,-,-,No,both
4735826,2,-,-,-,-,-,0.981,No,left_only
8822421,1,K06188.01,FP,-,-,-,0.888,No,left_only
7097965,1,K02083.01,CAND,-,-,-,0.881,No,left_only
11251058,1,K07429.01,FP,-,-,-,0.847,No,left_only
9896435,2,-,-,-,-,-,0.84,No,both
8142942,1,K01985.01,CAND,-,-,-,0.83,No,left_only
12647577,1,K04530.01,CAND,-,-,-,0.827,No,left_only
9427402,1,K01397.01,CAND,-,-,-,0.812,No,left_only
11656302,2,-,-,-,-,-,0.803,No,both
8742590,1,K01281.01,CAND,-,-,-,0.792,No,left_only
4458082,2,K02303.02,CAND,-,-,-,0.791,No,left_only
10015937,1,K01720.01,CAND,-,-,-,0.777,No,left_only
7051180,1,K00064.01,CAND,-,-,-,0.771,No,left_only
11904734,1,K01764.01,CAND,-,-,-,0.768,No,left_only
7779077,1,K01842.01,CAND,-,-,-,0.767,No,left_only
10354039,1,K01159.01,CAND,-,-,-,0.763,No,left_only
10917681,1,K01963.01,CAND,-,-,-,0.763,No,left_only
3648437,1,K01861.01,CAND,-,-,-,0.756,No,left_only
10094670,1,K01984.01,CAND,-,-,-,0.748,No,left_only
8256453,1,K02573.01,CAND,-,-,-,0.747,No,left_only
6291837,1,K00308.01,CAND,-,-,-,0.746,No,left_only
8949925,1,K02972.01,CAND,-,-,-,0.733,No,left_only
7103919,1,K04310.01,CAND,-,-,-,0.732,No,left_only
3967326,1,K02084.01,CAND,-,-,-,0.729,No,left_only
7017274,2,K03209.02,CAND,-,-,-,0.718,No,left_only
10736489,1,K07368.01,CAND,-,-,-,0.717,No,left_only
7021681,2,K00255.02,CAND,-,-,-,0.701,No,left_only
8581240,1,K03111.01,CAND,-,-,-,0.699,No,left_only
9758089,1,K01871.01,CAND,-,-,-,0.696,No,both
6185476,1,-,-,-,-,-,0.69,No,left_only
3756264,1,K03108.01,CAND,-,-,-,0.687,No,left_only
12456063,1,K04329.01,CAND,-,-,-,0.685,No,left_only
8230809,2,-,-,-,-,-,0.682,No,both
8591693,1,K02123.01,CAND,-,-,-,0.679,No,left_only
7750419,1,K01708.01,CAND,-,-,-,0.679,No,left_only
6707908,1,K02014.01,CAND,-,-,-,0.678,No,left_only
8158429,1,K05482.01,CAND,-,-,-,0.677,No,left_only
9602613,1,K02612.01,CAND,-,-,-,0.675,No,left_only
9635606,1,K02535.01,CAND,-,-,-,0.67,No,left_only
9715925,2,-,-,-,-,-,0.669,No,both
8845026,2,-,-,-,-,-,0.663,No,both
9834731,1,K03043.01,CAND,-,-,-,0.661,No,left_only
2719873,2,-,-,-,-,-,0.651,No,both
5705819,1,K02091.01,CAND,-,-,-,0.649,No,left_only
8617363,1,K02945.01,CAND,-,-,-,0.648,No,left_only
3554031,2,K01194.02,FP,-,-,-,0.635,No,left_only
10155029,1,K03208.01,CAND,-,-,-,0.632,No,left_only
11013201,2,K00972.02,FP,-,-,-,0.631,No,both
5475042,1,K03050.01,CAND,-,-,-,0.63,No,left_only
11856178,1,K06246.01,CAND,-,-,-,0.629,No,left_only
4676964,1,K03069.01,CAND,-,-,-,0.627,No,left_only
9472074,1,K02735.01,CAND,-,-,-,0.625,No,left_only
3545135,1,K02755.01,CAND,-,-,-,0.62,No,left_only
5003670,1,K04524.01,CAND,-,-,-,0.619,No,left_only
4919550,1,K04766.01,CAND,-,-,-,0.617,No,left_only
8824737,1,K03347.01,CAND,-,-,-,0.615,No,left_only
5098444,2,-,-,-,-,-,0.615,No,both
2975770,2,K01788.02,FP,-,-,-,0.614,No,left_only
8022489,1,K02674.01,CAND,-,-,-,0.614,No,both
5308537,1,K04409.01,CAND,-,-,-,0.608,No,left_only
1724719,2,K04212.02,CAND,-,-,-,0.606,No,left_only
6523351,1,K03117.01,CAND,-,-,-,0.606,No,left_only
12208631,1,K02449.01,CAND,-,-,-,0.602,No,left_only
4150390,2,-,-,-,-,-,0.596,No,both
9011877,1,K05597.01,CAND,-,-,-,0.595,No,left_only
12602314,1,K02853.01,CAND,-,-,-,0.595,No,left_only
