kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT,eb,_merge
3757778,2,-,-,0.933,-,0.655,0.805,No,both
2444412,1,K00103.01,CAND,0.924,-,0.565,0.459,No,left_only
10332789,2,-,-,0.923,-,0.471,0.726,No,both
5042210,1,K02462.01,CAND,0.92,0.918,0.803,0.967,No,left_only
7449554,1,K02357.01,CAND,0.92,0.863,0.723,0.79,No,left_only
6041734,2,-,-,0.919,0.87,-,0.534,No,both
5780885,2,-,-,0.912,0.4,0.787,0.607,No,left_only
12644769,3,-,-,0.911,-,-,-,No,both
4242147,1,K01934.01,CAND,0.909,0.929,0.761,0.803,No,left_only
6451605,1,-,-,0.906,-,-,-,No,left_only
8605074,2,-,-,0.902,-,-,0.683,No,both
3231341,5,-,-,0.894,0.877,0.564,0.555,No,left_only
6762829,5,-,-,0.893,0.5,0.406,0.409,No,both
7362696,2,-,-,0.888,0.895,0.685,0.766,No,both
7450747,1,K04267.01,CAND,0.883,-,-,0.494,No,left_only
11246161,2,-,-,0.878,0.5,-,0.51,No,left_only
8415004,4,-,-,0.876,-,-,-,No,left_only
6805146,2,-,-,0.869,0.79,0.651,0.736,No,both
5980783,1,K02967.01,CAND,0.854,0.968,0.663,0.662,No,left_only
8580438,2,-,-,0.846,-,0.62,0.705,No,both
10186945,2,-,-,0.837,0.823,0.612,0.657,No,both
8823868,2,-,-,0.835,0.406,0.595,0.705,No,both
11465950,1,K02620.01,CAND,0.834,0.959,-,0.509,No,left_only
6677841,3,-,-,0.829,0.571,0.54,0.531,No,left_only
5551672,1,K03119.01,CAND,0.829,-,-,0.452,No,left_only
6504534,3,-,-,0.824,-,-,-,No,both
5446285,2,-,-,0.823,-,-,-,No,left_only
3323887,4,-,-,0.817,-,-,-,No,left_only
3323887,2,-,-,0.805,-,0.677,0.714,No,left_only
6750902,2,-,-,0.798,-,-,-,No,left_only
1026957,1,K00958.01,CAND,0.788,0.866,-,0.808,No,both
12170648,2,-,-,0.783,0.429,0.56,-,No,both
6185476,3,-,-,0.781,-,-,-,No,left_only
6614926,2,-,-,0.778,-,0.693,0.718,No,both
7270230,2,-,-,0.773,-,-,-,No,both
5356593,2,-,-,0.77,0.948,0.775,0.839,No,both
2574338,1,K01030.01,CAND,0.765,0.949,-,0.525,No,left_only
7269881,2,-,-,0.757,-,-,-,No,left_only
6185476,2,-,-,0.757,-,-,-,No,left_only
5035972,2,-,-,0.75,0.903,0.866,0.561,No,both
12010534,2,-,-,0.749,-,-,-,No,both
5213230,1,K03474.01,CAND,0.748,0.933,0.59,0.72,No,left_only
4650733,1,K01659.01,CAND,0.747,0.913,0.655,0.585,No,left_only
8655354,2,-,-,0.736,0.5,0.691,0.726,No,left_only
7119481,3,K00566.03,CAND,0.736,-,-,-,No,left_only
10073672,1,K02764.01,CAND,0.732,-,-,-,No,left_only
5728283,2,-,-,0.726,-,-,-,No,both
