,f1-score,precision,recall,support
CANDIDATE,0.5966101694915253,0.704,0.5176470588235295,170.0
CONFIRMED,0.8330058939096268,0.7910447761194029,0.8796680497925311,241.0
FALSE POSITIVE,0.9225,0.902200488997555,0.9437340153452686,391.0
accuracy,0.8341645885286783,0.8341645885286783,0.8341645885286783,0.8341645885286783
macro avg,0.784038687800384,0.799081755038986,0.7803497079871097,802.0
weighted avg,0.8265282409548371,0.8267857633950376,0.8341645885286783,802.0
