kepid,tce_plnt_num,kepoi_name,koi_disposition,LR,RF,mean
7037540,2,,,0.9557244709469828,0.9595959595959596,0.9576602152714712
9838975,2,,,0.9270479404121752,0.9690721649484536,0.9480600526803145
2581316,2,K03681.02,CANDIDATE,0.941915509045006,0.9484536082474226,0.9451845586462143
8552719,2,K01792.02,FALSE POSITIVE,0.9487754020059548,0.9375,0.9431377010029773
8176650,2,,,0.905830233933342,0.96,0.932915116966671
8180020,2,,,0.9273382982930952,0.935483870967742,0.9314110846304187
10794087,1,K01316.01,CANDIDATE,0.9137344709175202,0.9484536082474226,0.9310940395824714
6762829,2,,,0.8922718469693713,0.956989247311828,0.9246305471405997
9411166,2,,,0.9227521216326401,0.9052631578947368,0.9140076397636885
3970233,2,,,0.9341964705789324,0.8936170212765957,0.9139067459277641
5370302,2,,,0.8655425632536141,0.9411764705882352,0.9033595169209246
3342592,2,,,0.9044903042289586,0.9021739130434784,0.9033321086362185
5035972,2,,,0.8683967547620197,0.9247311827956992,0.8965639687788595
7975727,2,,,0.8037722074228348,0.9615384615384616,0.8826553344806483
10016874,1,K00426.01,CANDIDATE,0.8508500336101503,0.898989898989899,0.8749199663000247
9446824,2,,,0.9080442055524044,0.8411214953271028,0.8745828504397536
5786676,1,K00650.01,CANDIDATE,0.8592188481464255,0.8888888888888891,0.8740538685176573
12504988,2,,,0.9055002772659536,0.8421052631578947,0.8738027702119242
3831053,1,K00388.01,CANDIDATE,0.9453818875226436,0.7889908256880733,0.8671863566053585
7584650,1,K02631.01,CANDIDATE,0.805339913523726,0.9157894736842106,0.8605646936039684
11408935,2,,,0.8438642981060842,0.8732394366197184,0.8585518673629013
5376836,2,,,0.8179655946294809,0.898989898989899,0.85847774680969
8892910,2,,,0.8085456032633879,0.8953488372093024,0.8519472202363452
10091110,3,,,0.7772192093924147,0.923076923076923,0.8501480662346689
9649222,2,,,0.8096920969264293,0.8837209302325582,0.8467065135794938
3097926,1,K02186.01,CANDIDATE,0.8369632648889792,0.8541666666666666,0.8455649657778229
11709124,2,,,0.8656555852368387,0.8191489361702128,0.8424022607035258
