kepid,plnt num,kname,dispos,GB_vif,DT
8651389,1,K01754.01,CAND,0.984,0.679
2449431,1,K02009.01,CAND,0.984,0.863
10923260,2,-,-,0.979,0.656
8458207,2,-,-,0.979,0.758
8236479,1,-,-,0.978,-
3112129,2,-,-,0.977,-
5372966,2,-,-,0.977,0.812
9836959,1,K01715.01,CAND,0.977,0.55
3558981,2,-,-,0.976,-
4049124,2,-,-,0.976,-
9411166,2,-,-,0.974,0.684
5775129,1,K02802.01,CAND,0.972,0.719
9714123,2,-,-,0.966,0.755
11404644,2,-,-,0.962,0.956
10843431,1,K07378.01,CAND,0.961,0.741
9098590,2,-,-,0.959,-
11189127,2,-,-,0.948,0.768
5608566,2,-,-,0.947,-
6500206,2,-,-,0.939,-
8686150,2,-,-,0.935,0.89
3757778,2,-,-,0.933,0.805
2444412,1,K00103.01,CAND,0.924,0.459
10332789,2,-,-,0.923,0.726
7449554,1,K02357.01,CAND,0.92,0.79
5042210,1,K02462.01,CAND,0.92,0.967
6041734,2,-,-,0.919,0.534
5780885,2,-,-,0.912,0.607
12644769,3,-,-,0.911,-
4242147,1,K01934.01,CAND,0.909,0.803
6451605,1,-,-,0.906,-
8605074,2,-,-,0.902,0.683
3231341,5,-,-,0.894,0.555
6762829,5,-,-,0.893,0.409
7362696,2,-,-,0.888,0.766
7450747,1,K04267.01,CAND,0.883,0.494
11246161,2,-,-,0.878,0.51
8415004,4,-,-,0.876,-
6805146,2,-,-,0.869,0.736
5980783,1,K02967.01,CAND,0.854,0.662
8580438,2,-,-,0.846,0.705
10186945,2,-,-,0.837,0.657
8823868,2,-,-,0.835,0.705
11465950,1,K02620.01,CAND,0.834,0.509
5551672,1,K03119.01,CAND,0.829,0.452
6677841,3,-,-,0.829,0.531
6504534,3,-,-,0.824,-
5446285,2,-,-,0.823,-
3323887,4,-,-,0.817,-
3323887,2,-,-,0.805,0.714
6750902,2,-,-,0.798,-
1026957,1,K00958.01,CAND,0.788,0.808
12170648,2,-,-,0.783,-
6185476,3,-,-,0.781,-
6614926,2,-,-,0.778,0.718
7270230,2,-,-,0.773,-
