kepid,tce_plnt_num,kepoi_name,koi_disposition,XGB_vif,bLR,mean
10843431,1,K07378.01,CANDIDATE,0.5359093,0.7211284386822181,0.628518869341109
5436013,1,K02471.01,CANDIDATE,0.65532196,0.5882069631719771,0.6217644615859885
12009347,2,,,0.7045743,0.5343355233842484,0.6194549116921242
8230809,2,,,0.55807245,0.6783014798793456,0.6181869649396728
6862721,1,K01982.01,CANDIDATE,0.578548,0.657412518534326,0.617980259267163
7364176,1,K00373.01,CANDIDATE,0.55157936,0.6813369554896347,0.6164581577448174
5042210,1,K02462.01,CANDIDATE,0.58280164,0.6340698787302735,0.6084357593651368
6500206,2,,,0.54991055,0.6530613341423244,0.6014859420711622
5728283,2,,,0.5087492,0.6775455972146671,0.5931473986073336
8078502,1,K03383.01,CANDIDATE,0.5114155,0.6712063738304994,0.5913109369152497
11074178,2,K01889.02,CANDIDATE,0.5286204000000001,0.6521434062471243,0.5903819031235622
5773121,1,K04002.01,CANDIDATE,0.5684946,0.5914489147322072,0.5799717573661036
5031857,2,K01573.02,CANDIDATE,0.53644943,0.5952314088669606,0.5658404194334803
10005758,2,K01783.02,CANDIDATE,0.5828416999999999,0.5463700934146762,0.5646058967073381
8142942,1,K01985.01,CANDIDATE,0.49983582,0.6045492925378639,0.5521925562689319
12156347,1,K02588.01,CANDIDATE,0.52484524,0.5730751266348812,0.5489601833174407
3231341,5,,,0.51512045,0.5568243548241446,0.5359724024120722
10395543,1,K00531.01,CANDIDATE,0.52188486,0.5491701323415074,0.5355274961707537
9030537,1,K01892.01,CANDIDATE,0.53801626,0.5109983133885467,0.5245072866942734
6762829,5,,,0.49175912,0.5290981724779708,0.5104286462389853
