,f1-score,precision,recall,support
CANDIDATE,0.2901960784313725,0.43529411764705883,0.21764705882352942,170.0
CONFIRMED,0.42971887550200805,0.4163424124513619,0.44398340248962653,241.0
FALSE POSITIVE,0.6462984723854288,0.5978260869565217,0.7033248081841432,391.0
accuracy,0.5224438902743143,0.5224438902743143,0.5224438902743143,0.5224438902743143
macro avg,0.4554044754396031,0.48315420568498085,0.4549850898324331,802.0
weighted avg,0.5057335224838154,0.5088385553625664,0.5224438902743143,802.0
