,f1-score,precision,recall,support
CANDIDATE,0.6579804560260586,0.7372262773722628,0.5941176470588235,170.0
CONFIRMED,0.8588469184890657,0.8244274809160306,0.8962655601659751,241.0
FALSE POSITIVE,0.9445843828715365,0.9305210918114144,0.959079283887468,391.0
accuracy,0.8628428927680798,0.8628428927680798,0.8628428927680798,0.8628428927680798
macro avg,0.8204705857955537,0.8307249500332358,0.8164874970374223,802.0
weighted avg,0.8580689259140467,0.8576673777460236,0.8628428927680798,802.0
