,f1-score,precision,recall,support
CONFIRMED,0.8500000000000001,0.8535564853556485,0.8464730290456431,241.0
FALSE POSITIVE,0.9359430604982206,0.9342806394316163,0.9376114081996435,561.0
accuracy,0.9102244389027432,0.9102244389027432,0.9102244389027432,0.9102244389027432
macro avg,0.8929715302491104,0.8939185623936324,0.8920422186226433,802.0
weighted avg,0.9101172779794288,0.9100231317853468,0.9102244389027432,802.0
