,f1-score,precision,recall,support
CANDIDATE,0.6449511400651465,0.7226277372262774,0.5823529411764706,170.0
CONFIRMED,0.8628230616302186,0.8282442748091603,0.9004149377593361,241.0
FALSE POSITIVE,0.9370277078085643,0.9230769230769231,0.9514066496163683,391.0
accuracy,0.85785536159601,0.85785536159601,0.85785536159601,0.85785536159601
macro avg,0.8149339698346432,0.8246496450374536,0.8113915095173917,802.0
weighted avg,0.8528178122407809,0.8520906015966978,0.85785536159601,802.0
