kepid,tce_plnt_num,kepoi_name,koi_disposition,XGB_vif,LR,_merge
8176650,2,,,0.97253954,0.9054097454487288,both
9838975,2,,,0.9717935,0.9274472837194684,both
7975727,2,,,0.9658717,0.8040155680687945,both
10616571,3,,,0.96084654,0.7307111227102809,both
10794087,1,K01316.01,CANDIDATE,0.9535835,0.9136851357207868,both
