,f1-score,precision,recall,support
CANDIDATE,0.6645768025078369,0.7114093959731543,0.6235294117647059,170.0
CONFIRMED,0.8565656565656565,0.8346456692913385,0.8796680497925311,241.0
FALSE POSITIVE,0.9392405063291139,0.9298245614035088,0.948849104859335,391.0
accuracy,0.8591022443890274,0.8591022443890274,0.8591022443890274,0.8591022443890274
macro avg,0.8201276551342024,0.825293208889334,0.8173488554721907,802.0
weighted avg,0.8561763312136398,0.8549259440441656,0.8591022443890274,802.0
