kepid,tce_plnt_num,kepoi_name,bGB
4770174,1,K02971.01,0.6548963572188997
12105051,1,K00141.01,0.654121011118066
7289577,1,K01974.01,0.6526412723310205
7386827,1,K01704.01,0.6516364212051826
9649222,2,,0.6511664187614818
10518424,2,,0.6473120900788891
3937519,2,K00221.02,0.6469919000189949
3323887,2,,0.6468872390237405
6198182,1,K02636.01,0.6461218023200954
5856571,2,K01839.02,0.6461031098293384
9017682,1,K01630.01,0.6459411063338232
3529290,1,K03340.01,0.6456338221687629
10867062,1,K01303.01,0.6451396207990447
8263545,1,K02822.01,0.645036167322379
11967788,2,K04021.02,0.6449448822853532
5534941,1,K02332.01,0.6448740993429165
5124667,1,K01822.01,0.6436409146917474
9008103,1,,0.6426157873453344
7449554,1,K02357.01,0.6420499312281158
8056665,2,K00089.02,0.6413212245239166
10319385,1,K01169.01,0.6407974443747735
3122913,1,K02490.01,0.6404425454428277
3440118,1,K03876.01,0.639400394308729
3734868,2,,0.6384086010534729
5095635,1,K02607.01,0.6380911023968885
4814502,1,K04004.01,0.6355482061325208
10875007,2,K04149.02,0.6353301910918945
8142942,1,K01985.01,0.6335274351862761
6364215,2,K02404.02,0.6308558023241572
8456679,2,K00102.02,0.6305026820943921
3859628,1,K01191.01,0.6295794168933441
7983117,1,K03214.01,0.6286782711286532
7377343,1,K05384.01,0.6283220871645521
5092266,1,K03045.01,0.6282659094602051
9030537,1,K01892.01,0.6282116390665591
4951877,1,K00501.01,0.626857974361609
5036480,1,K04080.01,0.6254601035248647
5031857,1,K01573.01,0.6249954802037329
9996632,1,K02621.01,0.6246037698872825
2717158,1,K03459.01,0.6229272035742767
8257205,2,K01986.02,0.6214349892686617
6300348,1,K00212.01,0.6211248568425027
11852982,1,K00247.01,0.6208424140727202
9705459,2,,0.6207844761762834
7102227,3,K01360.03,0.620677292609082
3102000,2,,0.6202724051232169
11285136,2,,0.6202164537392011
5195172,1,K01671.01,0.6200775185522974
6187341,2,,0.6188720332692048
8552202,1,K00914.01,0.6186204760964649
5184911,2,K02719.02,0.6182587644062618
9839821,2,K02012.02,0.6171393484682595
8880123,1,K03493.01,0.6169696778467846
10186945,2,,0.6161463991317662
8458207,2,,0.6154869795255334
7376983,2,K01358.02,0.6144639062246371
10480915,1,K02040.01,0.6136527931156563
9086154,1,K04060.01,0.6120286992875401
9872292,1,K01537.01,0.6120281394862752
8396405,1,K01733.01,0.6109600855642557
6119141,1,K02343.01,0.6098675207923998
6603756,2,,0.6097673952935754
7972785,2,,0.6089420355706667
7825899,3,K00896.03,0.6086399478680151
8374077,1,K06179.01,0.6085580154210353
3342467,1,K03278.01,0.6080648315503718
10788461,1,K03925.01,0.6078317492629182
11618601,2,K03022.02,0.6065949572536546
8158429,1,K05482.01,0.6038793383320551
9697131,1,K02706.01,0.6037710703293118
9635606,1,K02535.01,0.6034050113730356
5629353,3,K06132.03,0.6030411601765415
9283156,1,K02657.01,0.6026693257505676
8892910,2,,0.6023018550082366
7375348,2,K00266.02,0.6019152882996883
8554498,1,K00005.01,0.6016347223322591
7174617,2,,0.6013468886643587
6500206,2,,0.600435419345176
9836959,1,K01715.01,0.6000549025979924
4830605,1,K01660.01,0.6000239969611411
8591173,1,K02181.01,0.5997532018193372
5953297,1,K02733.01,0.5991944472866091
7522911,1,K01705.01,0.5979591718123793
8709688,1,K03019.01,0.5979428004572488
12645057,1,K04497.01,0.5974650887988946
3219037,1,K03395.01,0.596696660455595
5621333,1,K03341.01,0.5953694925365434
11922778,1,K03408.01,0.5941985123723604
9873759,1,K04635.01,0.5937250445340938
6289650,1,K00415.01,0.5933300617484123
9100953,3,K04500.03,0.5930462605434722
7380537,1,K00883.01,0.5921377897359111
8558011,1,K00577.01,0.5921007084841758
8074805,2,,0.5919534625595071
8043714,2,,0.5907634179299129
10094670,1,K01984.01,0.5906296785718647
12207117,2,,0.590079253694302
11465950,1,K02620.01,0.5890714043509595
9480310,1,K01470.01,0.5889027697354962
4150496,2,K04046.02,0.5887883994959199
9153823,1,K06195.01,0.5887243856653712
3112129,2,,0.5871242204486355
6026737,1,K02949.01,0.5871030068337314
4947556,2,K03936.02,0.5870967163739994
2711597,2,,0.5869897760817214
8890924,1,K04269.01,0.5868955773147215
9071593,2,K02257.02,0.5864153056330401
11622985,1,K02550.01,0.5862618543234113
11968463,5,K02433.05,0.5860786516523976
12456063,1,K04329.01,0.5860085278401754
5906426,1,K02377.01,0.5859952841252125
11818872,1,K02581.01,0.5846457044079958
3761319,1,K06104.01,0.5841048664452725
7103919,1,K04310.01,0.5838143845984871
10583180,2,,0.5837017379016481
9346253,2,,0.5834136148118763
6614926,2,,0.5833786678228854
4150624,3,,0.5832423868397432
4665571,2,K02393.02,0.5819286380204145
5773121,1,K04002.01,0.5816694688381958
11135694,2,K04896.02,0.5814148788666966
8126558,1,K02259.01,0.5810132975328823
8494542,1,K02204.01,0.5809738358688575
8617363,1,K02945.01,0.5807437736674619
10513530,2,K00533.02,0.5796596831346523
8331612,1,K03318.01,0.5792832703825795
12400729,2,,0.5784784889851695
7256914,1,K04136.01,0.5774021415457121
6593150,1,K03037.01,0.5773770934151747
4390912,5,,0.577021091110436
9427402,1,K01397.01,0.5763439821091662
11076400,1,K02759.01,0.5761088952003441
10345478,2,,0.5754449802920061
9405595,1,K02125.01,0.5752456257461895
5966810,1,K03909.01,0.5744422552650108
9719636,2,,0.5737556926280216
8087812,1,K04343.01,0.5733350642767265
11821363,1,K01494.01,0.5727320621176136
9093086,2,K06191.02,0.5727136572475369
6707942,2,,0.5721681964811295
6069985,1,,0.5720758983434555
5621586,1,K02415.01,0.5719407216687338
5385410,1,K04323.01,0.5717865806053289
10092312,1,K01823.01,0.5704819514677977
4484336,1,K02547.01,0.5700967609481772
2832589,1,K01942.01,0.5700696670801106
8934495,1,K00524.01,0.5699028759946161
6291837,1,K00308.01,0.5698734378036371
3097926,1,K02186.01,0.5684955385332644
10397751,3,K02859.03,0.5678175637181897
11601584,3,K01831.03,0.5676786418970591
10844890,1,K01946.01,0.5671794120950455
2853780,1,K02081.01,0.5664284457767785
6837146,1,K01362.01,0.5659958476459799
4844470,1,K03469.01,0.5656905889374476
6223324,1,K04274.01,0.5654305545295428
10252275,2,K03130.02,0.5653758307406058
8636600,1,K04478.01,0.5648552185326152
10613718,1,K07350.01,0.5646920159040947
9119568,1,K03087.01,0.5641265885244007
3534118,2,K03641.02,0.5632989452571224
11290515,1,K04716.01,0.5629854079322864
4935172,1,K02962.01,0.5629453501949597
8630788,3,K01258.03,0.5626249013832568
4912650,1,K05098.01,0.5625779280860229
10656508,1,K00211.01,0.5612042576325371
7269881,2,,0.5610703715667114
11818607,1,K02467.01,0.5606781031281642
9569711,1,K03232.01,0.5596547490034112
9634821,3,K02037.03,0.559360083076431
6185476,3,,0.5573925844826345
11337141,1,K01649.01,0.5567961598964186
5436338,1,K02835.01,0.5565997800038576
8222627,1,K04098.01,0.5564896184136147
10387742,1,K02583.01,0.5550623304358098
11192235,1,K02329.01,0.554939883695392
4857213,1,K02120.01,0.5547965973519627
6061773,1,K02001.01,0.554540660773415
7376983,3,K01358.03,0.5541237894288098
5963582,1,K02479.01,0.5534506046626648
4078157,2,,0.5532329275515987
6342333,1,K02065.01,0.5520909374720552
10597693,1,K02958.01,0.5518385620326964
4862625,5,,0.5516230815214376
4142768,3,,0.5502833926267277
5942949,1,K02525.01,0.5500421776437481
8591693,1,K02123.01,0.5490362204199306
7879433,1,K02527.01,0.5484248387048558
3239671,1,K02066.01,0.5481233070610239
7889486,2,K03300.02,0.5479218533174395
9654468,1,K02417.01,0.547770284793254
11968463,4,K02433.04,0.5477093244165581
9092504,2,K02716.02,0.5468554795335551
8345172,1,K02385.01,0.5459411192127746
4473226,1,K02229.01,0.5459146240968242
5184709,1,K01670.01,0.5458419335725646
8495415,1,K02362.01,0.545075174957993
9958962,4,K00593.04,0.5449216263212406
6636320,1,K02989.01,0.5447124010919514
11244682,1,K03933.01,0.5439999245847786
7376983,4,K01358.04,0.5438651822274552
9595686,1,K00944.01,0.5436509942473187
9291039,2,K03230.02,0.5424421776368291
10252275,1,K03130.01,0.5398034535300781
7918478,1,K04209.01,0.5390528646509967
6750902,2,,0.5389823031148926
9898447,1,K02803.01,0.5385947731650291
2715695,1,K03077.01,0.5376243926743507
5106313,1,K02878.01,0.5374713425515576
10006641,2,,0.5373527488389
6436505,1,K06707.01,0.5371163254891971
12469800,1,K02543.01,0.5370481199681392
12454613,1,,0.5367151787852048
5450814,2,,0.5354588715339323
7659389,1,K02734.01,0.5342210691815192
6462874,2,K01231.02,0.5337822044441818
11442465,2,,0.5333183155081673
11071200,1,K02696.01,0.5321676409234422
5008245,1,K03770.01,0.5309790273588468
10745365,1,K04405.01,0.5308469757425334
6619815,1,K03361.01,0.5307964308571886
4851530,1,K01884.01,0.5305413174555907
11408935,2,,0.5303843192594675
8162789,2,K00521.02,0.5296765168543737
11404644,2,,0.5293397742515655
6441738,1,K01246.01,0.5288563062634489
9714550,1,K03048.01,0.5288262281811059
8236479,1,,0.5282913212582465
7120108,1,K02325.01,0.5282191811161673
5450893,1,K02970.01,0.5275968411575592
7899070,1,K02683.01,0.5263862961621828
6197344,1,K04463.01,0.5249142300731119
9285265,2,K03410.02,0.5246337141582933
3545135,1,K02755.01,0.5241931151490833
7742408,1,K03478.01,0.5233973711740487
9632895,2,,0.5233776242064467
5431027,1,K04558.01,0.5227585649964444
9886224,2,,0.5225638733010146
2857607,1,K04659.01,0.5224843874689438
5174858,1,K02532.01,0.5218305635034417
6889235,2,,0.5212242275534603
8121328,1,K03486.01,0.5207603235322571
9117416,1,K03425.01,0.5198565654395975
9119568,7,,0.5197690571663587
9773270,1,K04636.01,0.5193676083900935
3634051,1,K06103.01,0.5187880982044861
7450747,1,K04267.01,0.517643881500935
10005020,1,K00724.01,0.5175717332233936
8216763,3,K04838.03,0.5174667132497537
5792202,4,K00841.04,0.5173845834612076
9640921,2,K07210.02,0.5169124600981353
10710755,2,,0.5149128696433247
7987866,1,K02363.01,0.5145236408184795
9158038,1,,0.5133331812983564
7679812,1,K03943.01,0.5123391652212158
7733731,1,K04022.01,0.5121997628650583
11566064,1,K00353.01,0.5117227412950781
4077526,4,K01336.04,0.5117130170436885
10418797,2,,0.5108789781042353
5177859,2,K04246.02,0.5104963921778005
2975770,2,K01788.02,0.5101099558793623
4060229,1,K04570.01,0.5085089739611874
3745559,1,K03423.01,0.5081949491630908
8547429,1,K02658.01,0.5072950354525039
10553884,1,,0.5068604049836873
9334893,3,K02298.03,0.5066045094528674
7918652,1,K02984.01,0.5054090062908602
12257999,1,K02577.01,0.5053881202228312
3456972,7,,0.5049156330145024
8095028,2,,0.5046463230375717
10000941,2,K04146.02,0.5017311478561552
11601584,4,K01831.04,0.5011309836833676
4247991,1,,0.5009051927145947
10843431,1,K07378.01,0.5009021005915021
5801925,1,,0.5005655721579207
