,f1-score,precision,recall,support
CANDIDATE,0.6213592233009709,0.6906474820143885,0.5647058823529412,170.0
CONFIRMED,0.8525896414342629,0.8199233716475096,0.8879668049792531,241.0
FALSE POSITIVE,0.9331651954602774,0.9203980099502488,0.9462915601023018,391.0
accuracy,0.8478802992518704,0.8478802992518704,0.8478802992518704,0.8478802992518704
macro avg,0.8023713533985037,0.8103229545373822,0.7996547491448319,802.0
weighted avg,0.8428588066979936,0.8415052698254901,0.8478802992518704,802.0
