kepid,tce_plnt_num,kepoi_name,koi_disposition,CANDIDATE,CONFIRMED,FALSE POSITIVE,y_pred
9412462,1,K07171.01,FALSE POSITIVE,0.00015041573425696135,5.9101028988685205e-09,0.9998495783556403,FALSE POSITIVE
9418994,1,K07172.01,FALSE POSITIVE,0.00043390296700894894,1.3883312335247915e-09,0.9995660956446599,FALSE POSITIVE
9451096,1,K07173.01,FALSE POSITIVE,1.9880782111177256e-06,3.8318374612280633e-10,0.9999980115386051,FALSE POSITIVE
9458266,1,K07174.01,CANDIDATE,0.9999824209125466,2.547671682193146e-07,1.7324320285273484e-05,CANDIDATE
9466042,1,K07175.01,FALSE POSITIVE,3.64919265321398e-05,8.947473493571126e-07,0.9999626133261185,FALSE POSITIVE
9468296,1,K07176.01,FALSE POSITIVE,4.323329141600566e-05,3.724904639299206e-07,0.9999563942181202,FALSE POSITIVE
9474222,1,K07177.01,FALSE POSITIVE,1.959770626303714e-06,8.426067257783582e-08,0.9999979559687011,FALSE POSITIVE
9474969,1,K07178.01,FALSE POSITIVE,8.768619365231923e-06,5.458868448026022e-08,0.9999911767919503,FALSE POSITIVE
9509207,1,K07181.01,FALSE POSITIVE,1.3538518672950684e-06,6.759205482817397e-09,0.9999986393889273,FALSE POSITIVE
9513168,1,K07182.01,CANDIDATE,0.9999770029539085,1.553764978813756e-07,2.28416695936627e-05,CANDIDATE
9520700,1,K07183.01,FALSE POSITIVE,1.2602120235734759e-05,3.4949331687111235e-08,0.9999873629304327,FALSE POSITIVE
9529294,1,K07184.01,FALSE POSITIVE,0.000456752191949498,1.4584731217320568e-07,0.9995431019607384,FALSE POSITIVE
9529856,1,K07185.01,FALSE POSITIVE,0.0001367055125249038,3.231501092417737e-09,0.9998632912559741,FALSE POSITIVE
9536048,1,K07186.01,FALSE POSITIVE,0.0020490893241604576,4.448570565179366e-08,0.997950866190134,FALSE POSITIVE
9540450,1,K07187.01,FALSE POSITIVE,0.0008361104923820935,2.0201847260646284e-05,0.9991436876603572,FALSE POSITIVE
9540675,1,K07188.01,FALSE POSITIVE,7.698379364992569e-05,1.8038065792535807e-05,0.9999049781405576,FALSE POSITIVE
9541163,1,K07189.01,FALSE POSITIVE,0.00023295334427110204,6.697796421520103e-05,0.9997000686915136,FALSE POSITIVE
9541567,1,K07190.01,FALSE POSITIVE,3.721918327086829e-05,4.026628303730254e-08,0.9999627405504461,FALSE POSITIVE
9569866,1,K07191.01,FALSE POSITIVE,0.0004812145535710528,4.945667216845728e-08,0.9995187359897568,FALSE POSITIVE
9579192,1,K07192.01,FALSE POSITIVE,0.0002489268384110775,1.953471368350271e-09,0.9997510712081176,FALSE POSITIVE
9579789,1,K07193.01,FALSE POSITIVE,3.062319058430904e-05,3.709504247267873e-07,0.999969005858991,FALSE POSITIVE
9592855,1,K07196.01,FALSE POSITIVE,5.265527175165009e-05,1.1007168070217319e-06,0.9999462440114414,FALSE POSITIVE
9596064,1,K07197.01,CANDIDATE,0.9999982448493117,4.4080355218080696e-07,1.3143471360845268e-06,CANDIDATE
9596187,1,K07198.01,CANDIDATE,0.9999252825040136,4.334706504909823e-05,3.13704309374494e-05,CANDIDATE
9597095,1,K07200.01,FALSE POSITIVE,3.5170564451836355e-06,1.0101729081401512e-08,0.9999964728418258,FALSE POSITIVE
