kepid,plnt num,kname,dispos,GB vif cap2,RF vif,LR,DT
9836959,1,K01715.01,CAND,0.977,0.938,0.69,0.55
6365321,1,K01123.01,FP,0.977,-,-,-
8236479,1,-,-,0.976,-,-,-
6847018,2,-,-,0.975,-,-,-
6428794,1,K04054.01,CAND,0.975,0.914,0.607,0.847
1026957,1,K00958.01,CAND,0.975,0.866,-,0.808
9204103,1,-,-,0.975,-,-,-
3342467,2,-,-,0.974,-,-,-
6525209,3,-,-,0.973,-,-,-
5773121,1,K04002.01,CAND,0.972,0.86,0.549,0.652
7375348,2,K00266.02,CAND,0.971,0.846,0.579,0.645
6131236,1,K01051.01,CAND,0.97,-,-,0.542
4042026,2,-,-,0.967,-,-,-
5554685,1,-,-,0.966,-,-,-
2718778,1,K02489.01,CAND,0.965,0.857,0.596,-
11972526,3,-,-,0.964,-,-,-
6866228,2,-,-,0.963,0.444,-,-
9098590,2,-,-,0.961,-,-,-
5098444,2,-,-,0.954,-,-,0.615
10006641,2,-,-,0.953,-,-,-
10332789,2,-,-,0.953,-,0.471,0.726
11192235,1,K02329.01,CAND,0.951,0.888,0.673,0.599
