kepid,KOI,Morph,Mult,BJD0,BJD0 Err,Period,Period Err,Kepmag,Teff,RA,Dec,plnt num,kname,dispos,GB vif cap2,RF vif,LR,DT,_merge
6866228,1348,0.12,1,54970.562764,0.024398,7.702369999999999,2.01e-05,15.144,5388.0,292.7399,42.3594,2,-,-,0.963,0.444,-,-,both
6889235,74,0.43,1,54956.285878999995,0.045776,5.18867,1.13e-05,10.96,9288.0,298.3242,42.3885,2,-,-,0.996,-,0.536,-,both
7023960,187,-1.0,1,54984.52955,0.043153,30.882537,0.000145,14.857,5768.0,288.7295,42.5509,2,-,-,0.9990000000000001,0.957,0.798,0.859,both
7037540,1347,0.12,1,55294.236375,0.043946,14.405910999999998,6.29e-05,14.808,,293.0204,42.5088,2,-,-,1.0,0.98,0.956,0.889,both
7186665,3033,0.3,1,54970.220495,0.046798,8.559396000000001,2.34e-05,14.538,5848.0,287.1224,42.7069,2,-,-,0.9990000000000001,0.75,-,-,both
7270230,876,0.07,1,54997.900965999994,0.013865,6.9980899999999995,1.75e-05,15.877,5417.0,287.8841,42.8324,2,-,-,0.995,-,-,-,both
7362696,3937,0.12,1,54967.82189299999,0.012343999999999999,4.9313,1.34e-05,15.535,5246.0,291.7605,42.9239,2,-,-,1.0,0.895,0.685,0.766,both
7375348,266,0.09,1,54979.197244,0.050769,25.309126000000003,0.00010800000000000001,11.472,,295.4043,42.9814,2,K00266.02,CAND,0.971,0.846,0.579,0.645,both
7605600, ,0.19,1,55006.242491,0.014283,3.326193,6.4e-06,14.888,3671.0,291.1507,43.2853,2,-,-,0.9990000000000001,-,-,0.629,both
7972785,184,0.25,1,54966.56591699999,0.047633999999999996,7.300733,1.87e-05,14.933,6134.0,296.0477,43.7621,2,-,-,1.0,0.969,-,-,both
7975727,418,0.07,1,54983.378958,0.038807999999999995,22.418315,9.2e-05,14.479,5153.0,296.8994,43.7072,2,-,-,1.0,0.96,0.804,0.852,both
8043714,1765,0.12,1,55008.099269000006,0.021204,6.814989,1.75e-05,15.981,5280.0,296.6609,43.8164,2,-,-,0.997,0.929,0.803,0.838,both
8074805,2670,0.01,1,54961.757716,0.125107,170.874379,0.00158,14.412,5848.0,281.0559,43.9237,2,-,-,0.998,0.791,0.674,0.633,both
8180020,1741,0.24,1,55067.750206,0.037614999999999996,5.803126,1.6899999999999997e-05,15.896,5327.0,296.4936,44.0523,2,-,-,1.0,0.979,0.927,0.925,both
8242681,1065,0.3,1,54966.637566,0.029408,4.0206290000000005,7.9e-06,15.472,5961.0,295.0393,44.1911,2,-,-,1.0,0.455,0.461,-,both
8458207,6057,0.36,1,54967.774914999995,0.030907,3.5301620000000002,6.5000000000000004e-06,13.924,5937.0,300.0916,44.4148,2,-,-,0.9990000000000001,-,0.77,0.758,both
8460600,1730,0.16,1,54967.20645700001,0.028574000000000002,6.352087,1.53e-05,14.933,4947.0,300.7748,44.4878,2,-,-,0.9990000000000001,0.565,0.82,0.817,both
8552719,1792,0.04,1,55009.270241,0.10650499999999999,88.407466,0.000638,12.16,5114.0,288.9717,44.6245,2,K01792.02,FP,1.0,0.98,0.949,0.888,both
8605074,915,0.06,1,54990.121597000005,0.060704999999999995,37.601622,0.000202,15.505,5876.0,282.306,44.7147,2,-,-,1.0,-,-,0.683,both
8686150,919,0.09,1,55006.536004999994,0.12671300000000002,51.42589,0.000298,15.631,5953.0,290.639,44.8068,2,-,-,0.998,0.643,0.805,0.89,both
8695779,6061,0.1,1,55006.674439,0.022841,10.238939,3.15e-05,13.897,,294.3335,44.8709,2,-,-,0.995,0.444,-,-,both
8892910,132,0.11,1,54966.031133000004,0.161469,10.810134,3.2500000000000004e-05,13.794,5943.0,294.4125,45.1309,2,-,-,0.9990000000000001,0.978,0.809,0.591,both
8953059,6062,0.3,1,54969.868726,0.040319,5.4999400000000005,1.24e-05,15.48,6217.0,291.8422,45.2393,2,-,-,1.0,0.879,-,0.922,both
8953257,1383,0.3,1,54965.919288,0.022012,3.2217849999999997,5.7000000000000005e-06,14.601,6001.0,291.9206,45.247,2,-,-,0.9990000000000001,0.841,-,-,both
9016295,925,0.05,1,54984.654841999996,0.027160000000000004,19.974483,7.8e-05,15.217,5819.0,289.7275,45.3677,2,-,-,0.998,-,-,-,both
9071386,23,0.36,1,54955.782029999995,0.042372,4.693306,9.699999999999999e-06,12.291,6324.0,283.1663,45.4031,2,-,-,1.0,0.843,0.956,0.942,both
9098590, ,0.47,1,54966.72979500001,0.030529,2.2435709999999998,3.4e-06,14.965,5846.0,295.1889,45.4062,2,-,-,0.961,-,-,-,both
9149789,2874,0.54,1,54964.668679999995,0.010981999999999999,0.705023,6e-07,14.867,5311.0,289.8589,45.5038,2,-,-,0.99,-,0.423,-,both
9288786,1390,0.3,1,54965.763573000004,0.012726000000000001,1.744102,2.4e-06,15.702,4197.0,294.9158,45.7839,2,-,-,1.0,0.909,0.819,0.896,both
9346253,1388,0.09,1,54983.451023,0.072447,34.064578000000004,0.00016999999999999999,15.443,5916.0,293.3866,45.8703,2,-,-,1.0,0.83,0.653,0.828,both
9446824,1382,0.28,1,55004.107067,0.027991000000000002,4.202335,8.7e-06,15.653,5921.0,282.1844,46.0069,2,-,-,1.0,0.979,0.908,0.913,both
9474222, ,0.12,1,54966.790780999996,0.040514,13.691788,4.6e-05,13.275,6400.0,295.374,46.0427,2,-,-,0.9840000000000001,-,-,0.524,both
9632895,1451,0.06,1,54965.424466,0.041092000000000004,27.322046000000004,0.000123,13.552,5425.0,283.2413,46.3785,2,-,-,0.9890000000000001,0.462,0.856,0.742,both
9649222,6071,0.18,1,54965.923938,0.028505000000000003,5.9186190000000005,1.3800000000000002e-05,15.678,5691.0,291.8585,46.3865,2,-,-,1.0,0.915,0.81,0.862,both
9705459,1448,0.33,1,54969.595992999995,0.020694,2.486587,3.9e-06,15.418,5658.0,289.8052,46.4917,2,-,-,0.9990000000000001,0.839,-,-,both
9714123,3392,0.02,1,55020.26605700001,0.038413,50.355461,0.000298,15.724,5657.0,293.4437,46.4715,2,-,-,1.0,0.429,0.573,0.755,both
9838975,218,0.06,1,54976.832312,0.029588,18.692866,7.099999999999999e-05,16.147,5018.0,295.0335,46.6002,2,-,-,1.0,0.99,0.927,0.879,both
9886224,3614,0.25,1,55000.806339999996,0.018032,2.99266,1.5399999999999998e-05,16.328,4749.0,289.8569,46.7899,2,-,-,1.0,-,-,0.641,both
9934208, ,0.13,1,54970.337175,0.028804000000000003,9.058487,2.5300000000000002e-05,15.507,4258.0,282.5421,46.8566,2,-,-,0.9990000000000001,0.853,0.69,0.876,both
10091110,3627,0.25,3,55185.86793099999,0.025442,4.218516999999999,1.07e-05,15.232,5943.0,297.4663,47.0232,3,-,-,1.0,0.947,0.778,0.742,both
10091110,3627,0.13,3,55183.957774,0.141388,8.530335000000001,2.94e-05,15.232,5943.0,297.4663,47.0232,3,-,-,1.0,0.947,0.778,0.742,both
10091110,3627,0.0,3,55363.047769000004,0.032859,383.86,0.00505,15.232,5943.0,297.4663,47.0232,3,-,-,1.0,0.947,0.778,0.742,both
10287248,1152,0.2,1,55733.752354,0.023637000000000002,4.722257,1.0300000000000001e-05,13.987,,296.6956,47.3273,2,-,-,0.9990000000000001,0.84,0.795,0.892,both
10295951,1154,0.36,1,54955.424427,0.062354999999999994,6.810825,1.67e-05,12.628,6998.0,299.1028,47.3778,2,-,-,0.983,-,-,-,both
10332789, ,0.08,1,54968.20643099999,0.036371,18.740726000000002,7.23e-05,15.861,5893.0,289.0368,47.466,2,-,-,0.953,-,0.471,0.726,both
10418797,741,0.04,1,54979.477763999996,0.029766,23.355348,9.83e-05,15.278,5556.0,296.9573,47.5538,2,-,-,1.0,0.922,0.677,0.713,both
10464078,743,0.2,1,54966.674182,0.085342,19.404017,7.509999999999998e-05,15.487,4877.0,289.2582,47.6353,2,-,-,1.0,0.871,0.63,0.551,both
10485250,745,0.2,1,55013.886117999995,0.069579,16.469783,6.18e-05,15.788,4957.0,297.1544,47.6687,2,-,-,1.0,0.538,0.814,0.761,both
10616571,340,0.18,1,54969.956158,0.111899,23.673107,0.000101,13.057,5544.0,297.6647,47.8014,3,-,-,1.0,0.96,0.731,0.724,both
10710755,6080,0.22,1,54966.76289500001,0.02713,4.816611,1.0199999999999999e-05,14.843,5564.0,281.9364,48.0101,2,-,-,1.0,0.389,0.86,0.903,both
10904857,194,0.2,1,54997.432212,0.015806,3.120831,5.5e-06,14.804,5883.0,282.9662,48.3451,2,-,-,1.0,0.96,0.845,0.879,both
10923260, ,0.15,1,54976.953428999994,0.028582999999999997,7.436017,1.91e-05,14.546,5970.0,293.3452,48.3823,2,-,-,1.0,0.556,0.711,0.656,both
11189127,347,0.17,1,54954.758088999995,0.012739,2.671943,4.2999999999999995e-06,13.318,,291.1574,48.8611,2,-,-,0.9940000000000001,0.864,0.625,0.768,both
11404644,6085,0.29,1,54969.38804500001,0.042203,5.9026,1.3699999999999998e-05,15.179,5892.0,292.7561,49.2646,2,-,-,1.0,-,0.865,0.956,both
11408935,6086,0.15,1,54980.304697,0.064669,15.99509,5.7100000000000006e-05,15.284,5660.0,294.7808,49.2736,2,-,-,1.0,0.915,0.843,0.898,both
11601584,1831,0.07,2,54975.339319000006,0.011162,13.979485,4.72e-05,14.122,5167.0,286.4715,49.648999999999994,4,K01831.04,CAND,0.993,0.448,0.529,-,both
11601584,1831,0.04,2,54981.802818,0.044081,34.206694,0.00016999999999999999,14.122,5167.0,286.4715,49.648999999999994,4,K01831.04,CAND,0.993,0.448,0.529,-,both
11656302,434,0.11,1,54983.837403,0.063683,22.264809,9.2e-05,14.626,5172.0,288.6925,49.7235,2,-,-,0.996,-,-,0.803,both
12017140,358,0.06,1,54982.956652,0.037556,22.845242000000002,9.609999999999999e-05,13.883,6026.0,293.9149,50.4693,2,-,-,1.0,-,-,0.702,both
12504988,181,0.23,1,54967.623201999995,0.029599,5.093939,1.11e-05,14.575,5985.0,288.2528,51.4173,2,-,-,1.0,0.969,0.905,0.921,both
