kepid,tce_plnt_num,kepoi_name,bGB,bLR,mean
12120943,1,K01458.01,0.7482980321100905,0.8077339237026464,0.7780159779063684
6698670,2,,0.7290892084377154,0.8217408566063795,0.7754150325220475
11297236,1,K01857.01,0.7886239929291232,0.76202867619293,0.7753263345610266
8505920,1,K02094.01,0.6678673471964442,0.8733711538443005,0.7706192505203724
4860678,1,K01602.01,0.7171317967632964,0.8241012515849352,0.7706165241741159
4242147,1,K01934.01,0.7685844368932727,0.7664468853087624,0.7675156611010175
11030475,2,,0.8244979586177253,0.7081031997502665,0.7663005791839959
3109930,1,K01112.01,0.7925510832282593,0.7398495261124997,0.7662003046703795
11074178,2,K01889.02,0.873856923980273,0.6521487472820355,0.7630028356311542
4164922,1,K03864.01,0.6665456698487995,0.8575548661211276,0.7620502679849636
5905822,1,K02801.01,0.679302334462397,0.8434640215049416,0.7613831779836693
9269281,1,K01398.01,0.8171347182167837,0.7006963610418682,0.7589155396293259
4851464,2,,0.7129993644820525,0.8041375608102608,0.7585684626461566
8078502,1,K03383.01,0.8435874199694703,0.6722261926724971,0.7579068063209837
8263545,1,K02822.01,0.645036167322379,0.8703344262833206,0.7576852968028498
10134152,1,K02056.01,0.8067780558378379,0.7075276151292679,0.7571528354835528
9532710,1,K02364.01,0.7508726525570739,0.7619512526157783,0.7564119525864261
6300348,1,K00212.01,0.6211248568425027,0.8821518994297873,0.7516383781361451
4814502,1,K04004.01,0.6355482061325208,0.8649028117639388,0.7502255089482298
5942808,1,K02250.01,0.7917953154795858,0.7077775490551477,0.7497864322673667
7877978,1,K02760.01,0.7575187349964994,0.7415725041038146,0.749545619550157
11821363,1,K01494.01,0.5727320621176136,0.9251099452489144,0.7489210036832641
7219825,3,K00238.03,0.6598801867062876,0.8347195971182909,0.7472998919122893
3545135,1,K02755.01,0.5241931151490833,0.969141722349939,0.7466674187495111
5780885,2,,0.6724514468345153,0.8167188504704821,0.7445851486524987
5356593,2,,0.6576917530600038,0.8311177455544905,0.7444047493072472
8953059,2,,0.7320777472107112,0.7566530450144389,0.744365396112575
11718144,1,K02310.01,0.7464189456777592,0.7406248178126518,0.7435218817452055
10485250,2,,0.7444232481756647,0.7368942825565543,0.7406587653661095
10094670,1,K01984.01,0.5906296785718647,0.8868736459976541,0.7387516622847594
2717158,1,K03459.01,0.6229272035742767,0.8542569011522596,0.7385920523632681
5270698,2,,0.7975008710781766,0.6777434510830838,0.7376221610806302
9896018,1,K02579.01,0.8401374253382548,0.6338274668914324,0.7369824461148435
5978559,1,K02321.01,0.778570781886553,0.6948301170870319,0.7367004494867925
7386827,1,K01704.01,0.6516364212051826,0.8217597340967219,0.7366980776509522
6041734,2,,0.8546380962394309,0.6171490704933388,0.7358935833663849
9405595,1,K02125.01,0.5752456257461895,0.8961849179584829,0.7357152718523362
6383785,2,K00239.02,0.6851453511316902,0.7861544633828834,0.7356499072572869
6058816,1,K03500.01,0.7941299753438333,0.6765399381577359,0.7353349567507846
10793172,2,K02871.02,0.7252142202314669,0.7439962190595311,0.734605219645499
5709725,2,K00555.02,0.9075859707155612,0.5606034777304572,0.7340947242230091
4173026,1,K02172.01,0.8373594617242429,0.6292344238111516,0.7332969427676972
9649222,2,,0.6511664187614818,0.8141206896167702,0.7326435541891261
7522911,1,K01705.01,0.5979591718123793,0.8619598633503813,0.7299595175813803
5963582,1,K02479.01,0.5534506046626648,0.8975303887887095,0.7254904967256872
9605514,2,K00945.02,0.8677188505134604,0.5793825959915203,0.7235507232524904
8073806,1,K02411.01,0.6613836738939094,0.7830764604654923,0.7222300671797008
3859628,1,K01191.01,0.6295794168933441,0.8138487809994203,0.7217140989463822
11076400,1,K02759.01,0.5761088952003441,0.8672292987511845,0.7216690969757643
3098810,1,K01878.01,0.7453309599882305,0.6837541490969197,0.7145425545425751
11601584,3,K01831.03,0.5676786418970591,0.859183401433149,0.7134310216651041
11618601,2,K03022.02,0.6065949572536546,0.8166507700324814,0.711622863643068
12785320,2,K00298.02,0.7440804625731148,0.6722034361882324,0.7081419493806735
3231341,5,,0.8504749750881602,0.5564361612059767,0.7034555681470684
3128552,3,K02055.03,0.7298005628114241,0.6742869444524728,0.7020437536319485
3122913,1,K02490.01,0.6404425454428277,0.7617657030185379,0.7011041242306828
7939330,1,K01581.01,0.8151223553092124,0.5858683646334094,0.7004953599713108
7446631,1,K02598.01,0.7444859617213464,0.6535398561698856,0.6990129089456161
1872821,1,K02351.01,0.727944499412331,0.6699827022978465,0.6989636008550888
5219234,3,K01563.03,0.7167068655491481,0.6787388806737479,0.697722873111448
9896018,2,K02579.02,0.7403530204919202,0.6537700115725054,0.6970615160322128
5601258,1,K02191.01,0.6636330957796888,0.7294947678743346,0.6965639318270117
7879433,1,K02527.01,0.5484248387048558,0.8430827582951013,0.6957537984999785
10867062,1,K01303.01,0.6451396207990447,0.743843501103538,0.6944915609512914
4770174,1,K02971.01,0.6548963572188997,0.7335680888030516,0.6942322230109756
3648437,1,K01861.01,0.8385068142793739,0.54685602864247,0.6926814214609219
11705004,1,K02199.01,0.7440577183007757,0.6389036411278424,0.691480679714309
7017274,1,K03209.01,0.8282739439845486,0.5519224369000428,0.6900981904422957
10319385,1,K01169.01,0.6407974443747735,0.7387142975726172,0.6897558709736953
8892910,2,,0.6023018550082366,0.7760131412027627,0.6891574981054996
4665571,2,K02393.02,0.5819286380204145,0.7895328059719944,0.6857307219962044
5436013,1,K02471.01,0.7804738340455909,0.5884343043601754,0.6844540692028831
5211199,1,K02158.01,0.8372194505629038,0.5296312846679248,0.6834253676154143
6862721,1,K01982.01,0.7084387310827188,0.6569853588110134,0.6827120449468661
9100953,2,K04500.02,0.8003471679377046,0.5610317312246073,0.680689449581156
6889235,2,,0.5212242275534603,0.8396575466487068,0.6804408871010836
12645057,1,K04497.01,0.5974650887988946,0.7632998871696531,0.6803824879842739
5031857,2,K01573.02,0.76415808976828,0.5937661150488596,0.6789621024085698
12105051,1,K00141.01,0.654121011118066,0.7009382615213963,0.6775296363197312
7762723,1,K02663.01,0.7480990033146971,0.6033287443514321,0.6757138738330646
12115188,2,,0.7590311462693399,0.5915704137750271,0.6753007800221835
9872292,1,K01537.01,0.6120281394862752,0.7361001445764483,0.6740641420313618
10471621,1,K02554.01,0.7782267719483228,0.5688270024365742,0.6735268871924485
7023960,2,,0.7186843060062958,0.6273239492255815,0.6730041276159386
2854181,1,K02232.01,0.7783749060565306,0.5624321152977318,0.6704035106771312
11465950,1,K02620.01,0.5890714043509595,0.7515320140895467,0.6703017092202531
10005758,2,K01783.02,0.7930707967598715,0.5460262922399699,0.6695485444999207
10597693,1,K02958.01,0.5518385620326964,0.7870278585863902,0.6694332103095433
9654468,1,K02417.01,0.547770284793254,0.7877996607423924,0.6677849727678231
12156347,1,K02588.01,0.7583987557057387,0.5739751758308661,0.6661869657683024
4650733,1,K01659.01,0.6793846115787965,0.6474157105696905,0.6634001610742435
3102000,2,,0.6202724051232169,0.706377603140546,0.6633250041318814
6593150,1,K03037.01,0.5773770934151747,0.7472048046616873,0.662290949038431
8087812,1,K04343.01,0.5733350642767265,0.7493538066755996,0.6613444354761631
3097926,1,K02186.01,0.5684955385332644,0.7494156844135751,0.6589556114734197
9307509,1,K02096.01,0.7041705887537391,0.6126900857245882,0.6584303372391636
4857213,1,K02120.01,0.5547965973519627,0.7609206908297338,0.6578586440908483
7450747,1,K04267.01,0.517643881500935,0.7978822587201377,0.6577630701105364
11337141,1,K01649.01,0.5567961598964186,0.7572305142904788,0.6570133370934488
10788461,1,K03925.01,0.6078317492629182,0.7035545543997793,0.6556931518313487
11192235,1,K02329.01,0.554939883695392,0.7561895420533006,0.6555647128743463
5031857,1,K01573.01,0.6249954802037329,0.6813803377894156,0.6531879089965742
8934495,1,K00524.01,0.5699028759946161,0.7357679753895119,0.652835425692064
8753896,2,,0.677875873658143,0.6214545519802515,0.6496652128191972
12121570,1,K02290.01,0.7183311710682376,0.5722197217519456,0.6452754464100916
5621333,1,K03341.01,0.5953694925365434,0.6948384994183472,0.6451039959774453
10922659,1,K03335.01,0.6609416892092522,0.6241349333034963,0.6425383112563743
10418797,2,,0.5108789781042353,0.7739123620676891,0.6423956700859622
7987866,1,K02363.01,0.5145236408184795,0.7701315940878409,0.6423276174531602
8558011,1,K00577.01,0.5921007084841758,0.6923133137899169,0.6422070111370464
12009347,2,,0.7449376606076943,0.5338593215734542,0.6393984910905742
9697131,1,K02706.01,0.6037710703293118,0.6735261489610033,0.6386486096451576
7463685,1,K02890.01,0.6815061934017237,0.5933380648452484,0.6374221291234861
9346253,2,,0.5834136148118763,0.6874213159884749,0.6354174654001756
11967788,1,K04021.01,0.7444817945053146,0.524615681768495,0.6345487381369048
10141900,1,K01082.01,0.6765592998481401,0.5868448971882274,0.6317020985181838
8043714,2,,0.5907634179299129,0.6663967676184186,0.6285800927741658
6500206,2,,0.600435419345176,0.6530768769262927,0.6267561481357343
5621586,1,K02415.01,0.5719407216687338,0.679987149723541,0.6259639356961374
10480915,1,K02040.01,0.6136527931156563,0.6370955222343793,0.6253741576750178
4951877,1,K00501.01,0.626857974361609,0.6236212676134032,0.6252396209875061
3745559,1,K03423.01,0.5081949491630908,0.7327364510037869,0.6204657000834388
5906694,1,K04069.01,0.6608681790317941,0.5790532020325663,0.6199606905321802
8142942,1,K01985.01,0.6335274351862761,0.6046448523083692,0.6190861437473226
7899070,1,K02683.01,0.5263862961621828,0.7041684186043307,0.6152773573832567
7449554,1,K02357.01,0.6420499312281158,0.5831445351873102,0.612597233207713
10843431,1,K07378.01,0.5009021005915021,0.7218205347984781,0.6113613176949901
6879183,1,K05333.01,0.7018920720821891,0.518537431058714,0.6102147515704515
11408935,2,,0.5303843192594675,0.6836925420217017,0.6070384306405846
11622985,1,K02550.01,0.5862618543234113,0.6261503001315474,0.6062060772274793
8554498,1,K00005.01,0.6016347223322591,0.6070377099116964,0.6043362161219777
12469800,1,K02543.01,0.5370481199681392,0.6699456781101145,0.6034968990391268
5436338,1,K02835.01,0.5565997800038576,0.6475649919198183,0.6020823859618379
9714550,1,K03048.01,0.5288262281811059,0.6713862309921751,0.6001062295866405
5195172,1,K01671.01,0.6200775185522974,0.5781957057764661,0.5991366121643817
10186945,2,,0.6161463991317662,0.5800697913918771,0.5981080952618216
6291837,1,K00308.01,0.5698734378036371,0.6232708945872681,0.5965721661954526
7825899,3,K00896.03,0.6086399478680151,0.5835403374409719,0.5960901426544936
1571511,2,,0.6794774096076426,0.5083197106498372,0.5938985601287399
7972785,2,,0.6089420355706667,0.5765476213216232,0.592744828446145
7678434,2,K00892.02,0.6794708265115172,0.5018404244630468,0.590655625487282
2161536,1,K02130.01,0.6677283374214963,0.5059865057171362,0.5868574215693163
8547429,1,K02658.01,0.5072950354525039,0.6662964872159414,0.5867957613342226
5773121,1,K04002.01,0.5816694688381958,0.5909874261199393,0.5863284474790675
11404644,2,,0.5293397742515655,0.6313168078461517,0.5803282910488586
5953297,1,K02733.01,0.5991944472866091,0.5506254571065851,0.574909952196597
8880123,1,K03493.01,0.6169696778467846,0.5257047294002907,0.5713372036235376
10583180,2,,0.5837017379016481,0.5569226224879442,0.5703121801947961
9030537,1,K01892.01,0.6282116390665591,0.5105589465924087,0.5693852928294839
10387742,1,K02583.01,0.5550623304358098,0.5813628151944253,0.5682125728151175
9283156,1,K02657.01,0.6026693257505676,0.5294728185708695,0.5660710721607185
9153823,1,K06195.01,0.5887243856653712,0.5377864200985529,0.5632554028819621
7103919,1,K04310.01,0.5838143845984871,0.5299111881295033,0.5568627863639952
7679812,1,K03943.01,0.5123391652212158,0.5987396005926371,0.5555393829069264
6289650,1,K00415.01,0.5933300617484123,0.516740671089003,0.5550353664187077
10656508,1,K00211.01,0.5612042576325371,0.5487331192446058,0.5549686884385714
11818607,1,K02467.01,0.5606781031281642,0.5339021987249992,0.5472901509265817
12456063,1,K04329.01,0.5860085278401754,0.508422317552687,0.5472154226964312
9285265,2,K03410.02,0.5246337141582933,0.5586773130032441,0.5416555135807687
9886224,2,,0.5225638733010146,0.5320847306712577,0.5273243019861362
5106313,1,K02878.01,0.5374713425515576,0.514958050938227,0.5262146967448923
8121328,1,K03486.01,0.5207603235322571,0.5201302142105833,0.5204452688714202
7733731,1,K04022.01,0.5121997628650583,0.5006989276393796,0.506449345252219
