kepid,KOI,Morph,Mult,BJD0,BJD0 Err,Period,Period Err,Kepmag,Teff,RA,Dec
8846978, ,0.77,1,54954.87366,0.088038,1.37906,1.7E-06,13.371,5191,300.6806,45.0022
8848104, ,0.5,1,54964.625931,0.012751,0.824852,8E-07,12.372,5447,300.9949,45.0789
8848271,1256,0.12,1,54970.443168,0.025322,9.991665,2.91E-05,14.039,5627,301.0424,45.0229
8848288,3886,0.52,1,55038.387164,0.085548,5.566475,1.24E-05,9.837,4624,301.0473,45.0876
8868364,3541,0,1,55095.209856,0.058024,421.428343,0.00505,13.769,,284.2572,45.1187
8868649,3927,0.62,1,55731.793035,0.625627,4.447441,9.1E-06,14.016,5268,284.3966,45.136
8868650, ,0.62,1,54957.950912,0.140005,4.447382,9E-06,11.939,4991,284.3976,45.1289
8868907,3539,0.02,1,55213.215104,0.125954,157.324494,0.00137,15.291,5852,284.5137,45.1203
8869680,696,0.35,1,55007.145318,0.058853,7.033951,1.76E-05,13.357,5810,284.8804,45.1346
8872737, ,0.96,1,54964.789667,0.026985,0.459099,3E-07,15.748,5338,286.4104,45.1065
8878681, ,0.33,1,54955.218659,0.017658,2.496333,3.9E-06,11.211,6504,289.2316,45.1643
8878719, ,0.96,1,54964.675651,0.018233,0.364635,2E-07,13.849,5991,289.2472,45.1958
8879427, ,0.07,1,54969.85316,0.028757,16.313285,5.89E-05,14.524,5715,289.5367,45.1051
8879915, ,0.32,1,54965.531246,0.023334,3.442627,6.3E-06,15.187,5698,289.7452,45.1872
8891278,698,0.04,1,54993.273576,0.016686,12.718709,4.3E-05,13.816,,293.9136,45.1898
8892720,3336,0.03,1,55242.597466,0.065375,61.491143,0.000544,15.523,5588,294.3566,45.195
8892722, ,0.89,1,55002.034029,0.095779,1.794378,2.4E-06,12.625,,294.3567,45.1239
8892910,132,0.11,1,54966.031133,0.161469,10.810134,3.25E-05,13.794,5943,294.4125,45.1309
8893936, ,0.69,1,54968.941174,0.124417,4.244481,8.5E-06,13.973,4697,294.7471,45.1382
8894630, ,0.95,1,54954.049453,0.060528,1.084001,1.2E-06,11.544,7117,294.9902,45.1272
8904448, ,0.74,1,54965.055247,0.052993,0.865983,8E-07,13.879,7820,297.8815,45.1264
8906039, ,0.71,1,54954.933889,0.084787,2.347479,3.6E-06,12.624,5620,298.2823,45.1301
8906676, ,0.95,1,54958.852921,0.025759,8.209514,2.17E-05,12.121,,298.4486,45.1042
8908102,699,-1,1,54969.704621,,5.414582,1.21E-05,13.633,5757,298.836,45.1165
8912308, ,-1,1,55005.755725,,20.174443,7.95E-05,11.432,4872,300.0684,45.1016
8912468, ,0.98,1,54953.576945,0.005326,0.094838,,11.751,6194,300.1156,45.1679
8912911, ,0.86,1,55004.180169,0.850802,3.46356,6.3E-06,13.148,7542,300.2481,45.1093
8913061, ,0.76,1,54954.108073,0.059151,1.019971,1.1E-06,12.551,5414,300.2923,45.1513
8934111, ,0.92,1,54964.592316,0.022526,0.364518,2E-07,15.202,5644,283.3494,45.2974
8935352,5584,0.39,1,55001.193612,0.105097,10.9088,0.000284,14.096,5091,283.9836,45.2848
8937019,3754,0.05,1,55000.865062,0.010953,5.663652,3.85E-05,17.93,,284.7905,45.2301
8938628, ,0.14,1,54966.603088,0.018955,6.862216,1.7E-05,13.681,5602,285.6626,45.2177
8939650,5587,0.37,1,54965.82066,0.02518,3.655321,6.9E-06,14.268,6142,286.1252,45.2769
8940961, ,0.36,1,54966.960335,0.027274,3.16667,5.6E-06,14.932,5590,286.7895,45.2714
8948424,322,0.16,1,54965.36037,0.024451,5.88884,1.37E-05,12.97,,290.2099,45.2519
8949316,3849,0.51,1,54964.687795,0.007884,0.604357,2.88E-05,16.182,3701,290.519,45.2354
8953059,6062,0.3,1,54969.868726,0.040319,5.49994,1.24E-05,15.48,6217,291.8422,45.2393
8953257,1383,0.3,1,54965.919288,0.022012,3.221785,5.7E-06,14.601,6001,291.9206,45.247
8953296, ,0.6,1,54965.226457,0.025532,0.784295,7E-07,13.901,6346,291.9387,45.2222
8953426, ,0.4,1,54953.954513,0.04601,5.331751,1.17E-05,12.156,5987,291.991,45.2341
8956957, ,0.97,1,54964.745506,0.018852,0.324382,2E-07,13.978,6307,293.3337,45.2829
8957887, ,0.77,1,54964.883007,0.020555,0.347355,2E-07,15.43,5367,293.6607,45.2542
8957954,6189,0.36,1,54967.308458,0.029195,4.35985,8.9E-06,13.96,5845,293.6859,45.2386
8958670, ,0.92,1,54954.249347,0.138963,2.425317,3.7E-06,12.78,7302,293.9233,45.2494
8971432,1384,0.56,1,54964.79479,0.012574,0.624387,5E-07,15.487,5057,297.5735,45.2333
8972908, ,0.99,1,55092.58974,0.250102,4.200125,8.3E-06,12.58,6207,297.8737,45.2454
8973000, ,0.14,1,54991.347496,0.104077,28.027873,0.000126,14.594,5294,297.8944,45.2112
8977179, ,0.97,1,54966.109504,0.12193,3.196242,5.7E-06,14.769,4807,298.8793,45.2414
8977390, ,0.86,1,54954.156954,0.039055,0.653261,6E-07,13.105,6427,298.9343,45.2977
8982501, ,0.85,1,55000.141012,0.025628,0.414491,3E-07,14.458,5476,300.3465,45.2723
8982514, ,0.84,1,54953.928468,0.025499,0.414491,3E-07,13.226,5635,300.3535,45.2736
8984706,6190,0.13,1,54965.323083,0.034616,10.1354,3E-05,13.92,5642,300.9359,45.2057
9001468, ,0.12,1,54975.726452,0.050602,17.329966,6.39E-05,15.2,4949,282.7616,45.3985
