kepid,plnt,kepoi,koi,LR,GB,RF,_merge
8456679,2,K00102.02,FP,0.9715810432735456,-,0.5293394389202914,both
8480285,1,K00691.01,CAN,0.9706010323735595,-,0.7982674628663261,both
8804455,2,K02159.02,FP,0.9630240746287207,-,0.7047137044592453,both
10788461,1,K03925.01,CAN,0.9585122246112504,-,-,left_only
9071386,2,-,-,0.9557034642870772,0.9675550719517064,0.6090299159901658,both
7037540,2,-,-,0.9555948026734572,0.9710209526270972,0.9326513264534404,both
