kepid,plnt num,kname,dispos,GB_vif_cap2,LR
3122872,1,K03203.01,CAND,-,0.503
5963582,1,K02479.01,CAND,-,0.503
11046025,1,K01646.01,CAND,-,0.502
11450414,3,K01992.03,FP,-,0.502
11177543,1,K01648.01,CAND,-,0.501
4370956,2,-,-,-,0.501
9412462,3,-,-,-,0.5
10853783,2,-,-,-,0.5
11465651,1,K04150.01,CAND,-,0.499
9579208,1,K03165.01,CAND,-,0.499
9700145,2,-,-,-,0.497
5792202,4,K00841.04,FP,-,0.497
10798331,1,K02373.01,CAND,-,0.496
4077526,4,K01336.04,CAND,-,0.496
5004909,1,K03421.01,FP,-,0.496
3453026,2,-,-,-,0.496
7115249,7,-,-,-,0.494
8414216,1,K07036.01,FP,-,0.494
6606934,2,-,-,-,0.493
9086154,1,K04060.01,CAND,-,0.491
9588822,2,K04388.02,CAND,-,0.49
12257999,1,K02577.01,CAND,-,0.49
12316447,3,-,-,-,0.489
8241079,1,K03020.01,CAND,-,0.488
7031126,7,-,-,-,0.487
6115603,10,-,-,-,0.486
10717241,2,K00430.02,CAND,-,0.486
10482774,7,-,-,-,0.485
2443393,1,K02603.01,CAND,-,0.485
6945500,5,-,-,-,0.484
7031126,3,-,-,-,0.483
10514770,2,-,-,-,0.481
2993589,5,-,-,-,0.481
10659313,2,-,-,-,0.48
8690001,7,-,-,-,0.479
8280511,5,K01151.05,CAND,-,0.479
9512981,1,K01466.01,CAND,-,0.479
7047496,2,-,-,-,0.478
7352016,1,-,-,-,0.478
4566740,8,-,-,-,0.477
8176653,1,K01016.01,FP,-,0.477
7673192,5,K02722.05,CAND,-,0.477
7032218,3,-,-,-,0.477
4566740,9,-,-,-,0.476
11127641,5,-,-,-,0.474
3660392,6,-,-,-,0.471
2438502,2,-,-,-,0.471
3561700,5,-,-,-,0.471
6756202,3,-,-,-,0.471
8280511,4,K01151.04,CAND,-,0.471
5302881,2,-,-,-,0.47
8702921,2,-,-,-,0.47
7211759,8,-,-,-,0.468
10028792,3,K01574.03,CAND,-,0.466
5476864,2,-,-,-,0.464
6140084,10,-,-,-,0.464
7117444,6,-,-,-,0.464
9099950,7,-,-,-,0.462
4263801,4,-,-,-,0.462
8826317,10,-,-,-,0.462
10206675,2,-,-,-,0.462
11100532,9,-,-,-,0.461
8527297,3,-,-,-,0.461
9032900,4,-,-,-,0.459
1433399,3,-,-,-,0.458
9237305,5,-,-,-,0.458
7041634,2,-,-,-,0.458
3450040,1,K04205.01,CAND,-,0.458
10397751,5,K02859.05,CAND,-,0.458
3975085,7,-,-,-,0.458
3862246,2,-,-,-,0.455
7335514,1,K06860.01,CAND,-,0.455
10132618,2,-,-,-,0.455
8971294,2,-,-,-,0.455
5787972,10,-,-,-,0.454
10877367,6,-,-,-,0.454
5088084,4,-,-,-,0.454
10552700,4,-,-,-,0.452
9457728,1,K04637.01,CAND,-,0.449
2712825,1,K08086.01,FP,-,0.449
6783562,8,-,-,-,0.446
3120650,4,-,-,-,0.445
9642018,2,-,-,-,0.445
8950019,8,-,-,-,0.444
7880676,2,-,-,-,0.442
9278696,3,-,-,-,0.441
8783270,5,-,-,-,0.44
2436450,6,-,-,-,0.439
8553462,10,-,-,-,0.439
8431611,3,-,-,-,0.438
4739229,3,-,-,-,0.436
8176564,1,K02720.01,CAND,-,0.435
6945362,8,-,-,-,0.434
1026133,2,-,-,-,0.433
9178894,3,-,-,-,0.433
12644769,2,-,-,-,0.432
6041680,3,-,-,-,0.43
9156461,10,-,-,-,0.43
7533425,5,-,-,-,0.43
8894646,1,K02641.01,CAND,-,0.429
10843431,2,K07378.02,CAND,-,0.428
9006186,4,K02169.04,CAND,-,0.424
3764879,1,K02141.01,FP,-,0.423
10652379,10,-,-,-,0.423
6387450,2,-,-,-,0.423
8096395,1,K07587.01,CAND,-,0.423
7767559,1,K00895.01,FP,-,0.422
11356602,1,K07439.01,FP,-,0.42
4347340,4,-,-,-,0.42
10395312,10,-,-,-,0.413
3247616,4,-,-,-,0.413
8631160,1,K01271.01,CAND,-,0.411
11968463,6,-,-,-,0.411
7446357,10,-,-,-,0.41
2436450,7,-,-,-,0.409
5812648,4,-,-,-,0.408
8840117,8,-,-,-,0.408
8328003,6,-,-,-,0.408
6762829,5,-,-,-,0.406
7446357,8,-,-,-,0.402
6721523,7,-,-,-,0.401
6500206,1,K02451.01,FP,-,0.401
8362880,2,-,-,-,0.399
7900137,2,-,-,-,0.398
5471059,1,K03956.01,FP,-,0.397
7816992,10,-,-,-,0.395
5265699,9,-,-,-,0.394
9574614,1,K01745.01,FP,-,0.391
1718958,1,K04053.01,CAND,-,0.391
9084778,1,K01631.01,FP,-,0.39
5295670,4,-,-,-,0.387
6277594,2,-,-,-,0.386
8396405,1,K01733.01,CAND,-,0.383
4157325,4,K01860.04,FP,-,0.382
8613535,4,-,-,-,0.381
9166826,7,-,-,-,0.381
11919968,9,-,-,-,0.379
8818497,2,-,-,-,0.373
8703129,1,K02758.01,CAND,-,0.37
3558849,1,K04307.01,CAND,-,0.364
4066898,3,-,-,-,0.362
10801647,8,-,-,-,0.356
10321305,8,-,-,-,0.354
7115878,5,-,-,-,0.353
5652983,1,K00371.01,FP,-,0.352
10031808,6,-,-,-,0.351
8460081,5,-,-,-,0.35
4145040,4,-,-,-,0.347
7582608,6,-,-,-,0.345
