kepid,plnt,kepoi,koi,GB,RF,LR,_merge
11709124,2,-,-,0.9911142365308756,-,-,left_only
10616571,3,-,-,0.9828667132809136,-,-,left_only
4840513,2,-,-,0.9815348171449017,-,-,left_only
10794087,1,K01316.01,CAN,0.9808294770009258,-,-,left_only
8552719,2,K01792.02,FP,0.9799773331439812,-,-,left_only
9446824,2,-,-,0.9792953843600778,-,-,left_only
9288786,2,-,-,0.9791625570462312,-,-,left_only
12504988,2,-,-,0.9783197560210362,-,-,left_only
5370302,2,-,-,0.9772798121065024,-,-,left_only
7037540,2,-,-,0.9710209526270972,-,-,left_only
9411166,2,-,-,0.9697840084441784,-,-,left_only
12115188,2,-,-,0.969059024117772,-,-,left_only
9071386,2,-,-,0.9675550719517064,-,-,left_only
9838975,2,-,-,0.9654099876846046,-,-,left_only
2581316,2,K03681.02,CAN,0.9647626844699326,-,-,left_only
8180020,2,-,-,0.9630565268167968,-,-,left_only
9934208,2,-,-,0.9619785364111814,-,-,left_only
6666233,2,-,-,0.9615547944553956,-,-,left_only
7975727,2,-,-,0.9606206633703142,-,-,left_only
7584650,1,K02631.01,CAN,0.9588824514637699,-,-,left_only
3970233,2,-,-,0.957843088060726,-,-,left_only
10091110,3,-,-,0.9546242745519232,-,-,left_only
3323887,2,-,-,0.9546091824802676,-,-,left_only
5376836,2,-,-,0.95143404633824,-,-,left_only
8953059,2,-,-,0.9508873228749236,-,-,left_only
