,f1-score,precision,recall,support
CANDIDATE,0.27906976744186046,0.32061068702290074,0.24705882352941178,170.0
CONFIRMED,0.564179104477612,0.4405594405594406,0.7842323651452282,241.0
FALSE POSITIVE,0.6761453396524486,0.8842975206611571,0.5473145780051151,391.0
accuracy,0.5548628428927681,0.5548628428927681,0.5548628428927681,0.5548628428927681
macro avg,0.5064647371906403,0.5484892160811662,0.5262019222265849,802.0
weighted avg,0.558331486843302,0.6314700405825819,0.5548628428927681,802.0
