kepid,tce_plnt_num,kepoi_name,koi_disposition,GB_vif_cap2
11709124,2,,,1.0
9838975,2,,,1.0
2581316,2,K03681.02,CANDIDATE,1.0
9346253,2,,,1.0
10091110,3,,,1.0
7975727,2,,,1.0
10904857,2,,,1.0
7584650,1,K02631.01,CANDIDATE,1.0
9411166,2,,,1.0
7972785,2,,,1.0
6707942,2,,,1.0
12504988,2,,,1.0
5872150,3,,,1.0
5031857,2,K01573.02,CANDIDATE,1.0
8176650,2,,,1.0
9288786,2,,,1.0
9071386,2,,,1.0
7037540,2,,,1.0
5774557,2,,,1.0
10794087,1,K01316.01,CANDIDATE,1.0
3734868,2,,,1.0
7362696,2,,,1.0
5534941,1,K02332.01,CANDIDATE,1.0
5370302,2,,,1.0
10485250,2,,,1.0
12115188,2,,,1.0
8953059,2,,,1.0
4840513,2,,,1.0
11404644,2,,,1.0
5376836,2,,,1.0
8242681,2,,,1.0
9714123,2,,,1.0
10710755,2,,,1.0
6762829,2,,,1.0
5780885,2,,,1.0
1571511,2,,,1.0
10616571,3,,,1.0
9649222,2,,,1.0
5270698,2,,,1.0
12009347,2,,,1.0
3097926,1,K02186.01,CANDIDATE,1.0
9446824,2,,,1.0
11408935,2,,,1.0
4862625,2,,,1.0
5786676,1,K00650.01,CANDIDATE,1.0
3970233,2,,,1.0
4814502,1,K04004.01,CANDIDATE,1.0
5035972,2,,,1.0
5003117,2,,,1.0
10464078,2,,,1.0
12017140,2,,,1.0
6698670,2,,,1.0
6185476,3,,,1.0
8605074,2,,,1.0
3342592,2,,,1.0
9886224,2,,,1.0
6041734,2,,,1.0
3102000,2,,,1.0
10418797,2,,,1.0
3323887,2,,,1.0
6603756,2,,,1.0
6432345,1,K02757.01,CANDIDATE,1.0
8180020,2,,,1.0
8552719,2,K01792.02,FALSE POSITIVE,1.0
11030475,2,,,1.0
2444412,1,K00103.01,CANDIDATE,1.0
10923260,2,,,1.0
10287248,2,,,0.999
8460600,2,,,0.999
7605600,2,,,0.999
7023960,2,,,0.999
8892910,2,,,0.999
6756669,2,,,0.999
5372966,2,,,0.999
5551672,1,K03119.01,CANDIDATE,0.999
8953257,2,,,0.999
5775129,1,K02802.01,CANDIDATE,0.999
4851464,2,,,0.999
7186665,2,,,0.999
5980783,1,K02967.01,CANDIDATE,0.999
9705459,2,,,0.999
5356593,2,,,0.999
10016874,1,K00426.01,CANDIDATE,0.999
8655354,2,,,0.999
9934208,2,,,0.999
8458207,2,,,0.999
8263545,1,K02822.01,CANDIDATE,0.999
3323887,3,,,0.999
8686150,2,,,0.998
9413313,1,,,0.998
9995771,1,K03470.01,CANDIDATE,0.998
9016295,2,,,0.998
8074805,2,,,0.998
3757778,2,,,0.998
6504534,3,,,0.998
8043714,2,,,0.997
6666233,2,,,0.996
4932348,2,,,0.996
6889235,2,,,0.996
11656302,2,,,0.996
3231341,5,,,0.996
7270230,2,,,0.995
8695779,2,,,0.995
11189127,2,,,0.994
3558981,2,,,0.994
10415087,1,,,0.994
11126381,1,K01863.01,CANDIDATE,0.994
8126558,1,K02259.01,CANDIDATE,0.994
11601584,4,K01831.04,CANDIDATE,0.993
4242147,1,K01934.01,CANDIDATE,0.993
5978559,1,K02321.01,CANDIDATE,0.993
4037428,2,,,0.992
8951205,1,K04099.01,CANDIDATE,0.992
11495305,2,,,0.991
2449431,1,K02009.01,CANDIDATE,0.991
9149789,2,,,0.99
5124667,1,K01822.01,CANDIDATE,0.99
9632895,2,,,0.989
7869590,2,,,0.988
5095635,1,K02607.01,CANDIDATE,0.988
11465950,1,K02620.01,CANDIDATE,0.986
9411471,1,,,0.985
10005758,2,K01783.02,CANDIDATE,0.984
9474222,2,,,0.984
6750902,2,,,0.983
10295951,2,,,0.983
6805146,2,,,0.981
5728283,2,,,0.98
9836959,1,K01715.01,CANDIDATE,0.977
6365321,1,K01123.01,FALSE POSITIVE,0.977
8236479,1,,,0.976
6847018,2,,,0.975
6428794,1,K04054.01,CANDIDATE,0.975
1026957,1,K00958.01,CANDIDATE,0.975
9204103,1,,,0.975
3342467,2,,,0.974
6525209,3,,,0.973
5773121,1,K04002.01,CANDIDATE,0.972
7375348,2,K00266.02,CANDIDATE,0.971
6131236,1,K01051.01,CANDIDATE,0.97
4042026,2,,,0.967
5554685,1,,,0.966
2718778,1,K02489.01,CANDIDATE,0.965
11972526,3,,,0.964
6866228,2,,,0.963
9098590,2,,,0.961
5098444,2,,,0.954
10006641,2,,,0.953
10332789,2,,,0.953
11192235,1,K02329.01,CANDIDATE,0.951
3834322,2,,,0.949
9782748,1,K04856.01,CANDIDATE,0.947
9528430,2,,,0.945
3218908,4,,,0.944
4862625,4,,,0.939
7211759,3,,,0.932
3547091,2,,,0.932
10973583,2,,,0.925
4650733,1,K01659.01,CANDIDATE,0.925
10384962,2,,,0.919
11246161,2,,,0.919
5080636,3,,,0.918
4937435,2,,,0.918
6784155,3,,,0.918
2574338,1,K01030.01,CANDIDATE,0.916
2719873,2,,,0.905
8801343,2,,,0.904
9700449,1,K04120.01,CANDIDATE,0.903
5816165,1,K01043.01,FALSE POSITIVE,0.892
6185476,2,,,0.884
5213230,1,K03474.01,CANDIDATE,0.879
6523216,2,,,0.877
5979863,2,,,0.875
10152836,2,,,0.874
4150390,2,,,0.872
12644769,3,,,0.868
11968463,3,K02433.03,CANDIDATE,0.858
