,f1-score,precision,recall,support
CANDIDATE,0.5579937304075235,0.5973154362416108,0.5235294117647059,170.0
CONFIRMED,0.7984031936127745,0.7692307692307693,0.8298755186721992,241.0
FALSE POSITIVE,0.9183673469387754,0.916030534351145,0.9207161125319693,391.0
accuracy,0.8092269326683291,0.8092269326683291,0.8092269326683291,0.8092269326683291
macro avg,0.7582547569863577,0.7608589132745083,0.7580403476562915,802.0
weighted avg,0.8059298459888016,0.8043593247842731,0.8092269326683291,802.0
