kepid,tce_plnt_num,kepoi_name,koi_disposition,bLR
8263545,1,K02822.01,FALSE POSITIVE,0.8703344262833206
11076400,1,K02759.01,FALSE POSITIVE,0.8672292987511845
11874577,1,K02779.01,FALSE POSITIVE,0.8652231874186257
4814502,1,K04004.01,FALSE POSITIVE,0.8649028117639388
3342592,2,,,0.8638873681558659
7522911,1,K01705.01,FALSE POSITIVE,0.8619598633503813
11618601,1,K03022.01,FALSE POSITIVE,0.8619367545003265
9279354,1,K02060.01,FALSE POSITIVE,0.8606089334462705
11601584,3,K01831.03,FALSE POSITIVE,0.859183401433149
4164922,1,K03864.01,FALSE POSITIVE,0.8575548661211276
2717158,1,K03459.01,FALSE POSITIVE,0.8542569011522596
6467363,1,K02840.01,FALSE POSITIVE,0.8535028111126279
10091110,3,,,0.8531126483414971
5787131,1,K02927.01,FALSE POSITIVE,0.8493540938082768
7183745,2,K02521.02,FALSE POSITIVE,0.8489715252809064
11098013,1,K02712.01,FALSE POSITIVE,0.8460793883156654
11071200,2,K02696.02,FALSE POSITIVE,0.8457336955370961
10616571,3,,,0.8454299582406704
5905822,1,K02801.01,FALSE POSITIVE,0.8434640215049416
7879433,1,K02527.01,FALSE POSITIVE,0.8430827582951013
4067925,1,K03066.01,FALSE POSITIVE,0.8423403563369343
8935810,1,K01395.01,FALSE POSITIVE,0.8410944924306669
6889235,2,,,0.8396575466487068
7609674,1,K03128.01,FALSE POSITIVE,0.8394663244471613
7219825,3,K00238.03,FALSE POSITIVE,0.8347195971182909
5356593,2,,,0.8311177455544905
5716932,1,K02358.01,FALSE POSITIVE,0.8307566350808202
7202957,2,K02687.02,FALSE POSITIVE,0.8288285892965229
5792202,3,K00841.03,FALSE POSITIVE,0.8269470512116104
4061149,1,K01201.01,FALSE POSITIVE,0.8264637460178064
4860678,1,K01602.01,FALSE POSITIVE,0.8241012515849352
7386827,1,K01704.01,FALSE POSITIVE,0.8217597340967219
6698670,2,,,0.8217408566063795
6719086,1,K01357.01,FALSE POSITIVE,0.8184634460487739
8686150,2,,,0.8172964734200552
4471747,1,K01656.01,FALSE POSITIVE,0.8170166131387191
5780885,2,,,0.8167188504704821
11618601,2,K03022.02,FALSE POSITIVE,0.8166507700324814
9649222,2,,,0.8141206896167702
3859628,1,K01191.01,FALSE POSITIVE,0.8138487809994203
11599038,1,K01437.01,FALSE POSITIVE,0.8109101198431373
2449431,1,K02009.01,FALSE POSITIVE,0.8078709549221029
12120943,1,K01458.01,FALSE POSITIVE,0.8077339237026464
3425851,1,K00268.01,FALSE POSITIVE,0.8066919745653706
11126381,1,K01863.01,FALSE POSITIVE,0.8053109428878884
7810483,1,K01943.01,FALSE POSITIVE,0.8045371221306341
4851464,2,,,0.8041375608102608
3103212,1,K04145.01,FALSE POSITIVE,0.7980723395157316
7450747,1,K04267.01,FALSE POSITIVE,0.7978822587201377
9006186,2,K02169.02,FALSE POSITIVE,0.7969976655157851
8018547,1,K00902.01,FALSE POSITIVE,0.7969473719365083
10074466,1,K01917.01,FALSE POSITIVE,0.7947143968753185
9605514,1,K00945.01,FALSE POSITIVE,0.794396573744052
11752906,2,K00253.02,FALSE POSITIVE,0.7935269291776943
4665571,2,K02393.02,FALSE POSITIVE,0.7895328059719944
4770365,1,K01475.01,FALSE POSITIVE,0.7887483604640907
9654468,1,K02417.01,FALSE POSITIVE,0.7877996607423924
