kepid,plnt,kepoi,koi,RF,plnt num,kname,dispos,GB_vif,LR,_merge
9649222,2.0,-,-,0.98,2.0,-,-,0.988,0.81,both
4665571,2.0,K02393.02,CAN,0.9795918367346941,-,-,-,-,-,left_only
6041734,2.0,-,-,0.9791666666666666,-,-,-,-,-,left_only
11189127,2.0,-,-,0.978021978021978,-,-,-,-,-,left_only
7449554,1.0,K02357.01,CAN,0.9775280898876404,-,-,-,-,-,left_only
8953257,2.0,-,-,0.9708737864077672,2.0,-,-,0.993,-,both
8953059,2.0,-,-,0.9705882352941176,2.0,-,-,0.999,-,both
9071386,2.0,-,-,0.9705882352941176,2.0,-,-,1.0,0.956,both
12115188,2.0,-,-,0.9702970297029704,2.0,-,-,1.0,0.633,both
3102000,2.0,-,-,0.97,2.0,-,-,0.999,0.822,both
6603756,2.0,-,-,0.9696969696969696,2.0,-,-,1.0,-,both
11601584,4.0,K01831.04,CAN,0.9629629629629628,4.0,K01831.04,CAND,0.999,0.529,both
8823868,2.0,-,-,0.9611650485436892,-,-,-,-,-,left_only
3323887,3.0,-,-,0.9591836734693876,3.0,-,-,0.999,0.598,both
5966810,1.0,K03909.01,CAN,0.9583333333333331,-,-,-,-,-,left_only
3323887,2.0,-,-,0.9578947368421052,3.0,-,-,0.999,0.598,both
5450814,2.0,-,-,0.9574468085106382,-,-,-,-,-,left_only
7362696,2.0,-,-,0.9523809523809524,-,-,-,-,-,left_only
10186945,2.0,-,-,0.9509803921568628,-,-,-,-,-,left_only
11030475,2.0,-,-,0.9509803921568628,2.0,-,-,0.999,0.816,both
