kepid,tce_plnt_num,kepoi_name,koi_disposition,DT,bLR,mean
4149450,1,K01864.01,CANDIDATE,0.9923432378421458,0.9728216032355596,0.9825824205388527
12505076,1,K02154.01,CANDIDATE,0.9707219612258084,0.9885161836734868,0.9796190724496476
8804455,2,K02159.02,FALSE POSITIVE,0.9858487780729592,0.967421769521848,0.9766352737974036
3831053,1,K00388.01,CANDIDATE,0.9660023647360548,0.9796321281673862,0.9728172464517205
8480285,1,K00691.01,CANDIDATE,0.9478608382414216,0.9971185204722098,0.9724896793568157
3970233,2,,,0.9719167713122138,0.9721774550463472,0.9720471131792805
5534941,1,K02332.01,CANDIDATE,0.9694298195273008,0.9698010244726044,0.9696154219999527
4735826,2,,,0.9815760882827982,0.9474498889497772,0.9645129886162878
8644365,1,K03384.01,CANDIDATE,0.9429393236381276,0.9845727100787446,0.963756016858436
5972334,2,K00191.02,CANDIDATE,0.9344606098444702,0.9907571039176006,0.9626088568810354
8456679,2,K00102.02,FALSE POSITIVE,0.9508446079490016,0.9725159129079906,0.9616802604284961
2438513,1,K01944.01,CANDIDATE,0.9523690814507212,0.9564759061575135,0.9544224938041174
8180020,2,,,0.9251933584553008,0.9779364156136288,0.9515648870344648
5020319,1,K00635.01,CANDIDATE,0.9126141632686292,0.9891593348137756,0.9508867490412024
6803202,1,K00177.01,CANDIDATE,0.9104463263121174,0.991078092666722,0.9507622094894197
5374854,2,K00645.02,CANDIDATE,0.9405922488544776,0.9583509991714618,0.9494716240129697
11394027,1,K00349.01,CANDIDATE,0.9300413086051924,0.9685945986758944,0.9493179536405434
9446824,2,,,0.9133002228447421,0.9798609104583098,0.9465805666515259
7287415,1,K01369.01,CANDIDATE,0.9367100137183842,0.9532005125648976,0.9449552631416409
10794087,1,K01316.01,CANDIDATE,0.8988744700436949,0.9892027100580424,0.9440385900508687
8804845,1,K02039.01,CANDIDATE,0.9190388203208296,0.9688429270142992,0.9439408736675644
12504988,2,,,0.9210902929451604,0.9658028396753005,0.9434465663102305
7037540,2,,,0.8890394860741043,0.9972078931214066,0.9431236895977555
5965819,1,K03319.01,CANDIDATE,0.8911251899191501,0.9913034310113256,0.9412143104652378
5370302,2,,,0.9086030795586292,0.97283842096745,0.9407207502630396
9071386,2,,,0.940990490924598,0.9329053066865856,0.9369478988055917
4840513,2,,,0.9466579610840292,0.9166591630776944,0.9316585620808617
