"koi_disposition","kepid","kepoi_name","tcet_model_chisq","wst_depth","boot_mesmean","tce_fwm_sra","tce_fwm_pdeco","tce_slogg_sn"
"CANDIDATE",2854914,"K01113.01",68330,20.51,-0.064956,19.465079,-0.0001316,35.75
"CANDIDATE",2854914,"K01113.02",66310,25.9,-0.21535,19.465081,-0.0003918,35.75
"FALSE POSITIVE",3337425,"K01114.01",67250,48.92,-0.042375,19.342289,9.94e-05,24.2222222222222
"CANDIDATE",3116412,"K01115.01",67490,36.05,0.055176,19.428248,-1.611e-05,24.9411764705882
"CANDIDATE",2849805,"K01116.01",67190,9.569,-0.13721,19.392281,1.061e-06,37.0833333333333
"CANDIDATE",3114811,"K01117.01",66090,20.28,0.050267,19.40212,1.399e-05,14.8
"CANDIDATE",2853446,"K01118.01",67270,18.66,0.047993,19.443402,-0.0003065,36.4166666666667
"FALSE POSITIVE",3003992,"K01119.01",54530,4.966,-0.013352,0,-0.02032,32.0714285714286
"FALSE POSITIVE",3003992,"K01119.02",51560,7.971,-0.031556,19.633207,0.0003902,32.0714285714286
"FALSE POSITIVE",6307537,"K01120.01",103300000,50570,-1,19.850472,-0.03046,91.4
"FALSE POSITIVE",6359798,"K01121.01",7303000,20740,-0.06778,19.356859,-0.01419,36.6666666666667
"FALSE POSITIVE",6311681,"K01122.01",81660,0.1182,-0.78927,19.915148,0.0008839,24.7222222222222
"FALSE POSITIVE",6365321,"K01123.01",67390,31.25,-0.31004,19.48245,6.027e-06,20.4545454545455
"FALSE POSITIVE",6301035,"K01124.01",96440,1677,-0.053324,19.752756,-0.04936,24.1666666666667
"FALSE POSITIVE",6292162,"K01125.01",56320,308.2,-0.060149,19.601856,-0.005977,21.4285714285714
"FALSE POSITIVE",6307521,"K01126.01",69920,210,-0.87558,19.850546,-0.01862,33.6153846153846
"FALSE POSITIVE",6307521,"K01126.02",61050,260.1,-2.8637,19.850353,-0.007851,33.6153846153846
"CANDIDATE",6359320,"K01127.01",56960,37.09,-0.12874,19.347704,-0.000293,21.5238095238095
"CANDIDATE",6359320,"K01127.02",51470,58.91,-0.17977,19.34766,0.0004765,21.5238095238095
"CANDIDATE",6359320,"K01127.03",48120,37.12,-0.22405,19.347603,0.0001622,21.5238095238095
"CANDIDATE",6362874,"K01128.01",69670,5.264,-0.39456,19.428887,2.542e-05,45.6
"CANDIDATE",6272413,"K01129.01",67350,30.06,0.0029585,19.151548,-5.385e-05,37.3333333333333
"FALSE POSITIVE",8279765,"K01130.01",154000,2759,-0.11816,18.840223,-0.0006439,23.7368421052632
"CANDIDATE",8435247,"K01131.01",83460,5.722,-0.29306,19.569239,0.00154,57.375
"FALSE POSITIVE",8330548,"K01132.01",4e+05,39.84,-0.18052,20.067984,0,20.0454545454545
"FALSE POSITIVE",8374494,"K01133.01",195200,1152,-0.19755,19.668293,0.07778,26.5882352941176
"FALSE POSITIVE",8414907,"K01134.01",110700,2673,-1.1794,18.968314,-0.1041,76.1666666666667
"FALSE POSITIVE",8414907,"K01134.02",75180,186.7,-1.3591,18.968331,-0.04662,76.1666666666667
