"koi_disposition","kepid","kepoi_name","tce_time0bk","tce_num_transits","tce_full_conv","tce_cap_stat","tce_fwm_pdeco","tce_steff_sn","tce_fwm_prao_sn"
"CANDIDATE",8008206,"K00569.01",143.976,65,1,16.2,-0.0003465,60.719512195122,-1.337109375
"CANDIDATE",8008206,"K00569.02",132.917,807,1,17.14,-0.000276,60.719512195122,0.227018299246502
"FALSE POSITIVE",8106610,"K00570.01",135.583,109,1,2.416,0.01201,28.3705357142857,12.2826086956522
"CANDIDATE",8120608,"K00571.01",137.978,179,1,25.45,6.936e-05,44.6547619047619,-0.315906735751295
"CANDIDATE",8120608,"K00571.02",136.874,99,1,27.67,6.181e-05,44.6547619047619,0.55
"CANDIDATE",8120608,"K00571.03",133.327,332,1,22.3,-0.0001365,44.6547619047619,0.732467532467532
"CANDIDATE",8120608,"K00571.04",153.799,54,1,20.09,0.0001522,44.6547619047619,1.05567765567766
"CANDIDATE",8120608,"K00571.05",176.829,8,1,4.538,6.175e-06,44.6547619047619,-0.0411567164179105
"CANDIDATE",8193178,"K00572.01",137.214,126,1,31.31,0.000401,45.6119402985075,1.38867924528302
"CANDIDATE",8193178,"K00572.02",135.953,262,1,10.97,6.503e-05,45.6119402985075,0.431653746770026
"CANDIDATE",8344004,"K00573.01",136.529,225,1,35.97,-0.0002819,66.9285714285714,-0.517179487179487
"CANDIDATE",8344004,"K00573.02",133.201,617,1,13.89,-0.0001185,66.9285714285714,1.74786324786325
"CANDIDATE",8355239,"K00574.01",151.232,69,1,33.57,0.0001027,62.8227848101266,-0.173695652173913
"CANDIDATE",8355239,"K00574.02",141.512,127,1,9.902,0.0001833,62.8227848101266,-0.394319526627219
"CANDIDATE",8367113,"K00575.01",134.776,55,1,20.45,1.336e-05,27.8660714285714,-1.80555555555556
"FALSE POSITIVE",8474898,"K00576.01",240.85,7,1,-9.353,-0.02348,50.4107142857143,28.4817073170732
"CANDIDATE",8558011,"K00577.01",138.884,16,1,11.66,-0.0004428,25.8325123152709,-0.097235142118863
"CANDIDATE",8558011,"K00577.02",131.747,988,1,6.917,-4.296e-05,25.8325123152709,0.278185524974516
"CANDIDATE",8565266,"K00578.01",137.818,214,1,83.97,-9.739e-05,28.5592417061611,1.70594837261504
"CANDIDATE",8616637,"K00579.01",131.69,665,1,28.49,-8.865e-05,50.5247524752475,0
"CANDIDATE",8616637,"K00579.02",132.593,325,1,21.08,-5.113e-06,50.5247524752475,0
"CANDIDATE",8625925,"K00580.01",136.584,201,1,37.09,0.0002383,33.2685714285714,0.73641975308642
"CANDIDATE",8822216,"K00581.01",133.934,190,1,49.35,-0.0003523,33.0231213872832,0.776027397260274
"CANDIDATE",8822216,"K00581.02",143.31,9,1,5.162,-4.647e-05,33.0231213872832,-0.265706806282722
"CANDIDATE",9020160,"K00582.01",134.803,225,1,27.02,0.0004767,60.7738095238095,1.425
"CANDIDATE",9020160,"K00582.02",148.989,68,1,11.83,0.0006362,60.7738095238095,0.0287462121212121
"CANDIDATE",9020160,"K00582.03",131.585,129,1,10.48,0.0002883,60.7738095238095,1.47219251336898
"CANDIDATE",9076513,"K00583.01",131.747,552,1,26.05,-9.808e-05,74.3066666666667,1.48905109489051
"CANDIDATE",9146018,"K00584.01",135.979,134,1,52.68,2.486e-05,50.2293577981651,-2.36057692307692
"CANDIDATE",9146018,"K00584.02",149.152,62,1,29.5,6.308e-05,50.2293577981651,0.735766423357664
"CANDIDATE",9146018,"K00584.03",136.5,195,1,13.1,-1.309e-05,50.2293577981651,-0.312302483069977
"CANDIDATE",9279669,"K00585.01",134.338,357,1,37.59,-0.0001184,36.9539473684211,3.17668711656442
"CANDIDATE",9570741,"K00586.01",144.407,86,1,18.58,0.0001493,33.376404494382,-0.251050228310502
"CANDIDATE",9607164,"K00587.01",143.534,74,1,31.78,-7.153e-05,33.2784810126582,0.732098765432099
"CANDIDATE",9631762,"K00588.01",134.258,129,1,19.91,-0.0002212,55.9759036144578,1.63826530612245
"CANDIDATE",9782691,"K00590.01",140.388,93,1,17.42,5.463e-05,74.379746835443,0.24109756097561
"CANDIDATE",9782691,"K00590.02",141.313,23,1,16.09,-0.000867,74.379746835443,-0.299925925925926
"FALSE POSITIVE",9886221,"K00591.01",131.895,448,1,-11.01,-0.01215,33.6352941176471,0
"CANDIDATE",9957627,"K00592.01",135.714,35,1,21.84,0.0001116,33.3626373626374,0.220710659898477
"CANDIDATE",9958962,"K00593.01",131.797,133,1,13.84,0.0005994,30.1708542713568,-1.87267080745342
