"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_sradius","tce_fwm_stat","tce_fwm_pdeco"
"FALSE POSITIVE",8736245,"K07082.01",1,0.781,0,0
"FALSE POSITIVE",8738115,"K07083.01",1,0.917,119,-0.000656
"FALSE POSITIVE",8739209,"K07084.01",1,1.594,6.5457,1.186e-05
"FALSE POSITIVE",8746310,"K07085.01",1,0.931,9405.2,-0.003643
"FALSE POSITIVE",8750094,"K07086.01",1,0.84,1055.6,-0.0002471
"FALSE POSITIVE",8758161,"K07087.01",1,1.755,0,0
"CANDIDATE",8760760,"K07088.01",1,0.734,3.4126,0.0001652
"FALSE POSITIVE",8767034,"K07089.01",1,0.615,75.775,-0.0001184
"FALSE POSITIVE",8773948,"K07090.01",1,3.075,0,-0.06645
"FALSE POSITIVE",8784288,"K07091.01",1,2.077,160890,-0.07475
"FALSE POSITIVE",8807057,"K07093.01",1,1.169,8.1121,-0.0002979
"FALSE POSITIVE",8822585,"K07095.01",1,2.088,0.81015,6.259e-06
"FALSE POSITIVE",8823397,"K07096.01",1,2.352,8852.7,-0.006075
"FALSE POSITIVE",8841616,"K07097.01",1,0.554,0,0
"FALSE POSITIVE",8845221,"K07098.01",1,1.984,7768.9,0.0004081
"CANDIDATE",8848104,"K07100.01",1,1.654,51512,-0.01097
"FALSE POSITIVE",8848115,"K07101.01",1,41.42,4019.6,-0.009276
"FALSE POSITIVE",8868657,"K07102.01",1,0.764,4.7293,7.857e-05
"FALSE POSITIVE",8878681,"K07103.01",1,2.615,0,0
"FALSE POSITIVE",8879427,"K07104.01",1,1.006,52.522,0.0006609
"FALSE POSITIVE",8879915,"K07105.01",1,1.073,0,-0.09945
"CANDIDATE",8881169,"K07106.01",1,1.083,13.674,0.0002515
"FALSE POSITIVE",8890996,"K07107.01",1,2.02,27.691,-4.029e-05
"FALSE POSITIVE",8906676,"K07108.01",1,2.111,30355,0.009245
"FALSE POSITIVE",8938628,"K07109.01",1,0.969,58.183,0.000291
"FALSE POSITIVE",8940961,"K07110.01",1,0.953,4385.8,0.0009319
"CANDIDATE",8953281,"K07112.01",1,0.681,57.173,-0.0001354
"FALSE POSITIVE",8953426,"K07113.01",1,1.159,0,0.01355
"FALSE POSITIVE",8953475,"K07114.01",1,1.353,21.62,-0.0001124
"FALSE POSITIVE",8957572,"K07115.01",1,3.138,11.332,1.612e-05
"CANDIDATE",8958811,"K07116.01",1,1.036,15.567,-9.578e-05
"FALSE POSITIVE",9001468,"K07120.01",1,0.683,581.35,2.246e-05
"FALSE POSITIVE",9005854,"K07121.01",1,0.78,0,0
"FALSE POSITIVE",9007918,"K07122.01",1,1.894,0,-0.002245
"FALSE POSITIVE",9007953,"K07123.01",1,0.996,7.057,1.354e-05
"FALSE POSITIVE",9024857,"K07124.01",1,0.81,0,-0.007447
"FALSE POSITIVE",9024857,"K07124.02",2,0.81,0,-0.0004121
"CANDIDATE",9025739,"K07125.01",1,1.016,2.6369,-1.815e-05
"FALSE POSITIVE",9029486,"K07126.01",1,1.083,291710,0.04848
"FALSE POSITIVE",9049010,"K07127.01",1,2.803,11.421,-6.85e-05
"FALSE POSITIVE",9083503,"K07128.01",1,0.795,29.36,-0.0003611
"FALSE POSITIVE",9093566,"K07130.01",1,1.984,8.1133,-1.549e-05
"CANDIDATE",9098590,"K07131.01",1,0.801,164.33,-7.748e-05
"FALSE POSITIVE",9098810,"K07132.01",1,0.888,78690,0.007495
"CANDIDATE",9099773,"K07133.01",1,1.48,0.78992,4.815e-05
"FALSE POSITIVE",9101208,"K07134.01",1,0.911,57.157,0.0003508
"FALSE POSITIVE",9119405,"K07135.01",1,3.478,1441.4,-0.002773
"FALSE POSITIVE",9159301,"K07138.01",1,3.163,0,0
"FALSE POSITIVE",9163674,"K07139.01",1,1.91,302780,-0.02445
"FALSE POSITIVE",9172506,"K07141.01",1,1.646,2264.9,0.001967
"FALSE POSITIVE",9179531,"K07142.01",1,0.975,209670,-0.1176
"FALSE POSITIVE",9181340,"K07143.01",1,1.028,23866,-0.01702
"CANDIDATE",9203154,"K07144.01",1,0.853,11.664,0.0002136
