"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tce_mesmedian","tce_minmesd","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_stat","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_depth_sn","tce_sma_sn","tce_insol_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",6278762,"K03158.03",3,0.1284,3869,89.02,0.721,0.009153,2.656,0.05378,0,0,2.3879,0.5653,2.794e-05,6.30041436464088,13.6986301369863,30.929203539823,17.1043376318875,6.32693674484719,-1.02857142857143,1.59689265536723,-14.5291576673866,0.784831460674157,4.08681081081081
"CANDIDATE",6278762,"K03158.04",4,0.05111,3857,134.34,0.721,-0.004182,-0.349,0.6789,13.75,0,5.8643,-0.1008,-2.365e-05,3.06722997795738,30.5132920916235,27.5339185953711,17.0986321094312,6.32485875706215,-1.02857142857143,-0.281564245810056,-12.9483870967742,-0.736760124610592,1.83793859649123
"CANDIDATE",6278762,"K03158.05",5,0.01957,-1,183.34,0.721,-0.1892,2.625,0,0,0,3.3954,0.05771,-2.047e-05,-0.1,-2,-119,-0.04066,-183.34,-1.02857142857143,0.133279445727483,-10.4477876106195,-0.812301587301587,2.78454887218045
"FALSE POSITIVE",5200084,"K03159.01",1,0.1021,26400,11456.62,3.05,0.09331,1.904,1.414,11.55,0,1.524,-6.166,-7.596e-06,5.71921824104235,44.3771043771044,9.05403102096472,3.26554726368159,1.59592292733483,2.8,-1.10304114490161,0.626327433628319,-0.3165,4.49902564102564
"FALSE POSITIVE",2696703,"K03161.01",1,0.9021,1936,955.73,1.666,-0.04397,3.069,0.7435,1.176,0,315.91,-0.9645,0.001127,78.4235294117647,390.307226308957,79.5977849023608,3.91253951527924,2.52091686009707,0.514285714285714,-17.6648351648352,-8.96179775280899,3.13055555555556,3.29885714285714
"FALSE POSITIVE",9752973,"K03162.01",1,0.0294,22170,7783.59,1.173,0.3775,0.2792,1.702,0.5855,0,1941.8,12.32,0.0005958,17.5472790428406,33.2185706833594,36.6107165913493,4.30559582487678,2.48278798859337,-2.13333333333333,22.8996282527881,-21.7343173431734,19.4071661237785,51.1720930232558
"CANDIDATE",9579208,"K03165.01",1,0.1339,10830,1480.95,1.726,0.1308,2.513,0.0202,7.652,0,11.304,0.2052,3.711e-05,5.85546875,22.2736625514403,13.320770519263,22.7178602243313,14.2673410404624,-1.2,0.361904761904762,-2.61993769470405,1.81911764705882,2.40369088811995
"FALSE POSITIVE",12255382,"K03167.01",1,0.05682,21210,1680.2,0.855,-0.9525,0.5781,0.000618,16.76,0,310.21,-3.226,-0.000194,5.10062182023742,24.7625916576512,12.9272619751626,7.94503691550451,4.85887796414112,0.466666666666667,-4.79346210995542,8.60761904761905,-8.47161572052402,37.8433333333333
"CANDIDATE",4450844,"K03168.01",1,0.23,1768,28.02,1.471,0.01804,3.29,0.2533,496.7,0,3.7805,-1.519,-6.008e-05,1.8946554770318,14.1601991506809,9.53346855983773,35.3585657370518,16.0114285714286,-1.33333333333333,-0.693607305936073,0.973869346733668,-0.803208556149733,4.11112781954887
"FALSE POSITIVE",3337061,"K03172.01",1,0.1009,3583,641.88,1.606,-0.2662,0.3646,0.06204,20.47,0,2831.7,3.999,-0.004712,1.75033895022274,4.18889845094664,11.998028724303,5.23994147768837,3.34364744491327,-0.266666666666667,6.52365415986949,67.2955974842767,-69.4985250737463,14.7428571428571
