"koi_disposition","kepid","kepoi_name","tce_incl","tce_impact","tce_slogg_prov","tce_albedo_stat","tce_fwm_pdeco","tce_ingress_sn"
"CANDIDATE",11446443,"K00001.01",83.88,0.8426,0,-130.8,0.0007788,469.499241274659
"CANDIDATE",10666592,"K00002.01",80.47,0.6221,1,-72.4,0,215.123739688359
"CANDIDATE",10748390,"K00003.01",88.02,0.502,2,-5.858,0.0008108,22.272615837215
"CANDIDATE",3861595,"K00004.01",79.57,0.9298,3,-1.58,0.0001224,33.2392947103275
"CANDIDATE",8554498,"K00005.01",82.35,0.9558,1,-8.181,-0.0001082,28.916532905297
"FALSE POSITIVE",3248033,"K00006.01",65.18,0.9039,4,-0.1536,-0.003615,0.41978021978022
"CANDIDATE",11853905,"K00007.01",78.74,0.7866,1,-6.302,5.112e-05,5.34986543637063
"FALSE POSITIVE",5903312,"K00008.01",73,0.8999,4,-0.4082,-0.0004966,0.576075471698113
"FALSE POSITIVE",11553706,"K00009.01",75.48,0.9491,5,0.7748,0.01866,302.231237322515
"CANDIDATE",6922244,"K00010.01",84.15,0.7061,6,-28.98,0.0003616,96.0744933357678
"FALSE POSITIVE",11913073,"K00011.01",64.3,0.9746,7,3.051,0.004598,74.0977323538805
"CANDIDATE",5812701,"K00012.01",89.18,0.277,8,0.7123,-0.0009708,142.739130434783
"CANDIDATE",9941662,"K00013.01",81.56,0.5709,7,-63.74,0,161.56462585034
"FALSE POSITIVE",7684873,"K00014.01",75.18,0.9735,7,1.934,5.322e-05,24.2982741777922
"FALSE POSITIVE",3964562,"K00015.01",68.43,0.9981,7,0.6071,0,160.91360066143
"FALSE POSITIVE",9110357,"K00016.01",40.03,0.9918,7,-27.7,0.06975,20.8146726380891
"CANDIDATE",10874614,"K00017.01",89.84,0.02118,9,-40.98,0.0008648,54.6152472772719
"CANDIDATE",8191672,"K00018.01",89.93,0.007762,10,-40.73,-0.000686,43.3979445817614
"FALSE POSITIVE",7255336,"K00019.01",67.67,0.9532,4,-151,-2.683e-05,544.347826086957
"CANDIDATE",11804465,"K00020.01",90,0.0001978,11,-24.28,8.806e-05,124.325006308352
"FALSE POSITIVE",10125352,"K00021.01",81.4,0.9946,5,-0.1816,-0.00363,249.507550886408
"CANDIDATE",9631995,"K00022.01",87.99,0.4798,12,-4.986,0.0009601,68.5693950177936
"FALSE POSITIVE",9071386,"K00023.01",87.5,0.3229,4,1.697,-1.322e-05,257.514580529385
"FALSE POSITIVE",4743513,"K00024.01",76.89,0.9205,5,-5.546,0.008371,35.1774727875059
"FALSE POSITIVE",10593759,"K00025.01",75.82,0.9997,7,-53.2,-8.061e-05,1097.44214372716
"FALSE POSITIVE",5021737,"K00026.01",84.88,1,7,2.331,-0.006092,1.12701784197111
"FALSE POSITIVE",3832716,"K00027.01",88.91,0.1,7,0,0,-0.3386
"FALSE POSITIVE",4247791,"K00028.01",69.73,0.8648,13,0,0.02054,8736.45426961422
"FALSE POSITIVE",6956014,"K00031.01",60.48,0.9024,4,0,3.581e-05,2.83822272856736
"FALSE POSITIVE",5725087,"K00033.01",66.98,0.9,14,0,-5.153e-05,0.716124661246613
"CANDIDATE",6521045,"K00041.01",85.09,0.8036,1,2.539,-0.0001281,1.77254641909814
"CANDIDATE",6521045,"K00041.02",80.18,0.9031,1,2.01,-5.996e-05,0.768439716312057
"CANDIDATE",6521045,"K00041.03",87.33,0.9113,1,2.492,-5.045e-05,0.718786923985821
"CANDIDATE",8866102,"K00042.01",86.5,0.8822,1,2.088,0.0001457,6.32185801350683
"FALSE POSITIVE",9025922,"K00043.01",85.44,0.885,15,16.91,0.06295,6.96952104499274
"FALSE POSITIVE",8845026,"K00044.01",89.38,0.2966,13,2.641,-0.001799,93.0318412551915
"FALSE POSITIVE",3742855,"K00045.01",83.81,0.767,15,42.67,-0.05663,71.8239564428312
"CANDIDATE",10905239,"K00046.01",81.91,0.7179,16,-5.126,-7.65e-05,4.63247863247863
"CANDIDATE",10905239,"K00046.02",80.73,0.8875,16,0.6736,2.684e-05,0.148492623476588
"FALSE POSITIVE",7837302,"K00048.01",87.74,0.9578,13,-3.26,-0.0006494,1005.41455160745
"CANDIDATE",9527334,"K00049.01",86.49,0.8033,4,2.369,8.647e-06,2.18382352941176
"FALSE POSITIVE",6056992,"K00051.01",86.72,0.9433,15,-0.5675,0.04291,249.902987970508
"FALSE POSITIVE",3558981,"K00052.01",85.67,0.6595,13,3.583,-0.003217,240.43321299639
"FALSE POSITIVE",2445975,"K00053.01",84.48,0.7618,15,3.276,-0.00428,31.9326755658735
"FALSE POSITIVE",8248939,"K00061.01",70.8,0.9066,13,0.5437,-0.0036,1.46038732394366
"CANDIDATE",11554435,"K00063.01",88.02,0.6946,17,1.881,-9.444e-05,25.4767726161369
"CANDIDATE",7051180,"K00064.01",79.11,0.9001,0,-11.94,7.244e-05,8.61652739090065
"FALSE POSITIVE",10620329,"K00066.01",77.77,0.9,18,-6.941,-2.884e-05,2.32224025974026
"FALSE POSITIVE",8669092,"K00068.01",88.57,0.1,5,0,-5.345e-05,-0.07916
"CANDIDATE",3544595,"K00069.01",81.99,0.8744,1,0.4636,1.635e-05,4.50319829424307
"CANDIDATE",6850504,"K00070.01",87.06,0.7616,19,-0.3411,-5.514e-05,4.21761501210654
"CANDIDATE",6850504,"K00070.02",81.21,0.8789,19,-0.2139,2.923e-05,2.24895076261644
"CANDIDATE",6850504,"K00070.03",89.26,0.7394,19,3.433,0.0001024,2.5521613832853
"CANDIDATE",6850504,"K00070.04",83,0.8987,19,1.423,2.47e-05,0.346574993633817
"CANDIDATE",6850504,"K00070.05",87.58,0.8842,19,0.9024,-4.405e-05,0.227570492737112
"CANDIDATE",11904151,"K00072.01",88.79,0.7383,1,3.314,6.128e-05,2.40550595238095
"CANDIDATE",11904151,"K00072.02",63.44,0.9012,1,-1.977,-2.284e-05,0.627862595419847
"FALSE POSITIVE",6889235,"K00074.01",83.47,0.6997,7,2.22,-4.611e-05,21.3746630727763
"CANDIDATE",7199397,"K00075.01",89.06,0.6085,0,2.273,-0.0008328,16.6480980423365
"FALSE POSITIVE",9955262,"K00076.01",89.49,0.4736,5,1.841,-0.0007428,8.22842930935527
"FALSE POSITIVE",9552608,"K00080.01",81.42,0.9999,7,0.4685,-6.04e-05,335.645977873617
"FALSE POSITIVE",8823868,"K00081.01",90,0.0003194,7,2.39,-0.000332,81.3222923238696
"CANDIDATE",10187017,"K00082.01",87.56,0.835,20,0.6242,-3.555e-05,6.81826517513296
"CANDIDATE",10187017,"K00082.02",85.5,0.8995,20,2.156,1.449e-05,1.94866666666667
"CANDIDATE",10187017,"K00082.03",88.17,0.879,20,1.553,2.79e-05,0.503644314868805
"CANDIDATE",10187017,"K00082.04",84.15,0.8989,20,1.502,2.566e-05,0.416639263400197
"CANDIDATE",10187017,"K00082.05",82.41,0.8988,20,1.091,-2.593e-05,0.308548082966688
"CANDIDATE",10187017,"K00082.06",89.42,0.6404,20,1.015,-3.415e-05,0.280477128474502
"CANDIDATE",2571238,"K00084.01",85.1,0.8823,21,2.837,-1.688e-05,8.08325266214908
"CANDIDATE",5866724,"K00085.01",80.44,0.8883,1,0.696,-6.693e-05,6.12547397449155
"CANDIDATE",5866724,"K00085.02",69.09,0.9001,1,-1.716,-1.214e-05,1.31549067315491
"CANDIDATE",5866724,"K00085.03",82.13,0.9004,1,2.22,-2.972e-05,1.14894613583138
"CANDIDATE",10593626,"K00087.01",89.74,0.8255,22,2.367,-6.895e-05,1.67121010638298
"FALSE POSITIVE",7700871,"K00088.01",73.41,0.9097,5,0.6188,-0.0002737,0.725358851674641
"CANDIDATE",8056665,"K00089.01",88.74,0.8228,16,1.01,-5.856e-05,3.17853231106243
"CANDIDATE",8056665,"K00089.02",89.76,0.7152,16,2.089,0.0001417,0.996913580246914
"FALSE POSITIVE",9210823,"K00090.01",63.45,0.9006,5,-14.85,0,0.490212183436003
"CANDIDATE",7941200,"K00092.01",89.39,0.8621,23,2.831,2.344e-06,2.48275862068966
"CANDIDATE",6462863,"K00094.01",89.35,0.298,23,0.965,-0.0002888,25.9150326797386
"CANDIDATE",6462863,"K00094.02",89.06,0.642,23,0.3147,-4.452e-05,8.3862733976177
"CANDIDATE",6462863,"K00094.03",86.35,0.7082,23,1.372,-0.0001318,2.74656188605108
"CANDIDATE",6462863,"K00094.04",74.63,0.9085,23,1.201,-2.14e-05,0.824143556280587
"CANDIDATE",5780885,"K00097.01",85.65,0.517,0,-26.42,-2.272e-05,101.383019592778
"CANDIDATE",10264660,"K00098.01",85.53,0.5798,0,-3.735,-0.0002271,24.9297573435504
"CANDIDATE",4055765,"K00100.01",81.11,0.9672,4,-1.293,-1.491e-05,174.653739612188
"CANDIDATE",8456679,"K00102.01",71.33,0.9,23,-11.8,-0.001065,18.0505747126437
"FALSE POSITIVE",8456679,"K00102.02",77.41,0.9316,23,1.317,-6.386e-05,0.469337511190689
"CANDIDATE",2444412,"K00103.01",85.86,0.9326,23,2.466,-0.0001361,13.1751711263223
"CANDIDATE",10318874,"K00104.01",83.76,0.8999,20,-2.692,3.93e-06,7.88676761026991
"CANDIDATE",8711794,"K00105.01",88.15,0.7789,23,1.968,8.027e-05,2.01755570560432
"FALSE POSITIVE",10489525,"K00106.01",67.86,0.9006,5,-1.158,0.03441,0.631269769543606
"CANDIDATE",11250587,"K00107.01",83.35,0.8071,0,1.084,-2.081e-05,2.68643306379155
"CANDIDATE",4914423,"K00108.01",86.95,0.8289,1,2.75,-8.038e-05,2.69524617996604
"CANDIDATE",4914423,"K00108.02",89.45,0.7222,1,4.078,9.363e-05,6.92724573125464
"FALSE POSITIVE",4752451,"K00109.01",69.88,0.9966,5,0.6598,-0.006196,22.4118444846293
"CANDIDATE",9450647,"K00110.01",85.98,0.8135,23,2.407,4.615e-05,2.62127236580517
"CANDIDATE",6678383,"K00111.01",86.13,0.8,23,0,0.0001063,2.46927871772039
"CANDIDATE",6678383,"K00111.02",88.72,0.7803,23,1.853,6.937e-05,2.752457002457
"CANDIDATE",6678383,"K00111.03",87.82,0.7785,23,2.1,3.642e-05,1.84213759213759
"CANDIDATE",10984090,"K00112.01",88.75,0.8086,23,2.615,7.995e-05,3.60231381055676
"CANDIDATE",10984090,"K00112.02",79.27,0.9011,23,1.691,-5.047e-05,0.628624535315985
"FALSE POSITIVE",6721123,"K00114.01",69.57,0.9999,4,0.4281,-0.005549,47.7037887485649
"CANDIDATE",9579641,"K00115.01",82.76,0.8853,23,1.375,-0.0001369,4.87822452802998
"CANDIDATE",9579641,"K00115.02",84.04,0.8984,23,2.201,6.1e-05,0.79798356982823
"CANDIDATE",9579641,"K00115.03",76.07,0.8961,23,1.036,-2.759e-06,0.253152639087019
"CANDIDATE",8395660,"K00116.01",86.51,0.8988,20,2.475,0.0001081,2.89477503628447
"CANDIDATE",8395660,"K00116.02",88.13,0.8698,20,1.878,0.0001199,3.79841897233202
"CANDIDATE",8395660,"K00116.03",83.23,0.861,20,0.9714,3.023e-05,0.2050020500205
"CANDIDATE",8395660,"K00116.04",87.09,0.9017,20,1.194,-0.0001016,0.239035916824197
"CANDIDATE",10875245,"K00117.01",84.1,0.8918,0,2.924,0.000114,5.19455564451561
"CANDIDATE",10875245,"K00117.02",72.42,0.9115,0,1.103,2.021e-05,0.902087832973362
"CANDIDATE",10875245,"K00117.03",77.21,0.9004,0,0.9806,-1.23e-05,0.886204704386523
"CANDIDATE",10875245,"K00117.04",81.65,0.8902,0,0.7551,-1.84e-05,0.230758658603628
"CANDIDATE",3531558,"K00118.01",87.24,0.8486,0,2.571,0.0001512,1.24025513819986
"CANDIDATE",9471974,"K00119.01",88.61,0.6416,0,1.106,-0.00188,10.4799768685846
"CANDIDATE",9471974,"K00119.02",89.33,0.7709,0,2.78,-0.001,6.90866510538642
"CANDIDATE",11869052,"K00120.01",88.31,0.9192,5,0.8575,-0.0001147,0.185087719298246
"FALSE POSITIVE",3247396,"K00121.01",75.53,0.9929,4,0.7957,0.001113,39.895356442119
"CANDIDATE",8349582,"K00122.01",86.55,0.8153,1,0.9571,6.316e-05,2.25086505190311
"CANDIDATE",5094751,"K00123.01",81.24,0.9071,1,1.544,-4.27e-05,3.5
"CANDIDATE",5094751,"K00123.02",87.22,0.7778,1,2.578,-7.224e-05,1.88036253776435
"CANDIDATE",11086270,"K00124.01",85.68,0.8926,23,2.088,-4.62e-05,1.32144373673036
"CANDIDATE",11086270,"K00124.02",88.4,0.8237,23,2.017,6.819e-05,1.01044668587896
"CANDIDATE",11449844,"K00125.01",89.99,0.007245,4,2.863,-0.0003218,62.9083788519015
"FALSE POSITIVE",5897826,"K00126.01",87.88,0.7388,4,1.163,-0.0004284,81.3386686067661
"CANDIDATE",5897826,"K00126.02",87.83,1,4,0.2151,0.0002066,0.893355209187859
"CANDIDATE",8359498,"K00127.01",87.89,0.3554,24,-11.29,0.0002158,39.5741849634065
"CANDIDATE",11359879,"K00128.01",86.24,0.6597,25,-6.805,-0.002235,91.368942341705
"CANDIDATE",11974540,"K00129.01",89.97,0.01512,26,-5.349,-0.0007078,21.2943186672362
"CANDIDATE",5297298,"K00130.01",89.13,0.6557,4,1.513,0.000125,112.744379276637
"CANDIDATE",7778437,"K00131.01",88.25,0.2642,7,-2.868,-0.0005156,24.9675558759913
"FALSE POSITIVE",8892910,"K00132.01",84.65,0.9535,7,2.014,0.00159,441.031699153377
"FALSE POSITIVE",11673674,"K00133.01",80.18,0.7682,7,1.738,-0.01577,41.8066801619433
"FALSE POSITIVE",9032900,"K00134.01",89.85,0.6056,4,2.877,0.0002735,9.61092715231788
"CANDIDATE",9818381,"K00135.01",84.53,0.6577,27,-20.09,-0.0002718,59.9409754582168
"FALSE POSITIVE",7601633,"K00136.01",87.78,0.9752,4,-0.3693,0.0001242,126.71865380669
"CANDIDATE",8644288,"K00137.01",88.33,0.7072,28,0,0.0002559,9.285
"CANDIDATE",8644288,"K00137.02",86.18,0.768,28,0.6955,0.0001639,9.53988497124281
"CANDIDATE",8644288,"K00137.03",81.51,0.8965,28,1.043,-0.0001172,0.804347826086957
"FALSE POSITIVE",8506766,"K00138.01",88.21,0.9798,7,1.501,-0.003826,243.62962962963
"CANDIDATE",8559644,"K00139.01",89.71,0.65,23,2.344,-0.0001367,11.4514456859809
"CANDIDATE",8559644,"K00139.02",76.68,0.904,23,1.701,7.537e-05,0.709072978303747
"FALSE POSITIVE",5130369,"K00140.01",81.59,0.9348,7,2.11,-0.009659,10.9884678747941
"CANDIDATE",12105051,"K00141.01",83.15,0.8924,23,-4.801,0.0001692,14.4876033057851
"CANDIDATE",4649305,"K00143.01",87.72,0.9271,7,2.243,0.0001295,18.719705833194
"CANDIDATE",4180280,"K00144.01",82.82,0.7635,23,0.9044,-1.631e-05,3.96746909564086
"CANDIDATE",9904059,"K00145.01",87.81,0.9261,29,2.676,-0.0004518,8.19429778247096
"FALSE POSITIVE",9048161,"K00146.01",79.88,1,7,-0.2072,-0.05926,21.8508535489668
"FALSE POSITIVE",1996679,"K00147.01",89.38,0.9861,7,1.023,-0.01246,35.2979443143378
"CANDIDATE",5735762,"K00148.01",86.54,0.8162,20,1.902,-4.434e-05,3.0583743594896
"CANDIDATE",5735762,"K00148.02",80.95,0.911,20,1.607,3.226e-05,3.26949740034662
"CANDIDATE",5735762,"K00148.03",88.51,0.8388,20,2.731,-0.0001775,1.66906474820144
"CANDIDATE",3835670,"K00149.01",86.51,0.6705,23,1.438,-2.098e-05,3.66012488849242
"CANDIDATE",7626506,"K00150.01",86.32,0.7731,16,1.768,0.0003416,1.93679092382496
"CANDIDATE",7626506,"K00150.02",88.75,0.7048,16,2.285,0.0005166,1.203125
"CANDIDATE",2307199,"K00151.01",85.8,0.9683,7,2.265,0.0003652,58.7373167981962
"CANDIDATE",8394721,"K00152.01",89.16,0.5775,16,1.824,-0.0006164,8.07981639678694
"CANDIDATE",8394721,"K00152.02",84.91,0.8834,16,2.241,7.225e-05,4.01846965699208
"CANDIDATE",8394721,"K00152.03",86.89,0.8627,16,1.908,-8.218e-06,4.06083650190114
"CANDIDATE",8394721,"K00152.04",89.48,0.8801,16,1.429,0.0002121,0.289760570555272
"CANDIDATE",12252424,"K00153.01",82.34,0.9002,20,0.92,4.709e-05,4.06548431105048
"CANDIDATE",12252424,"K00153.02",86.85,0.8332,20,2.167,8.51e-05,1.91422444603288
"CANDIDATE",8030148,"K00155.01",82.44,0.7902,23,0.4237,-0.000103,3.49152180868082
"CANDIDATE",10925104,"K00156.01",87,0.8675,30,2.384,-0.0006337,6.91169599750818
"CANDIDATE",10925104,"K00156.02",83.42,0.9446,30,2.204,-0.0002523,6.39521531100478
"CANDIDATE",10925104,"K00156.03",78.76,0.9608,30,3.354,-9.972e-05,4.28301886792453
"CANDIDATE",6541920,"K00157.01",88.59,0.8342,31,2.269,0.0002749,4.42957746478873
"CANDIDATE",6541920,"K00157.02",86.45,0.812,31,1.007,0.0001231,2.35759897828863
"CANDIDATE",6541920,"K00157.03",88.18,0.7213,31,2.682,0.0002936,1.75168831168831
"CANDIDATE",6541920,"K00157.04",89.64,0.5166,31,3.229,0.0002123,1.29554390563565
"CANDIDATE",6541920,"K00157.05",87.81,0.905,31,2.664,0.0001472,3.55504587155963
"CANDIDATE",6541920,"K00157.06",82.9,0.9226,31,2.713,0.0001207,2.0546218487395
"FALSE POSITIVE",10555375,"K00158.01",74.9,0.9644,7,0.6595,0.002798,2.67637745408486
"CANDIDATE",8972058,"K00159.01",84.34,0.8635,23,2.798,-1.057e-05,1.94553376906318
"CANDIDATE",8972058,"K00159.02",80.25,0.8997,23,0.8607,-3.242e-05,0.216651904340124
"CANDIDATE",6631721,"K00160.01",85.45,0.9552,7,2.192,-0.001993,7.3739061256961
"CANDIDATE",5084942,"K00161.01",83.54,0.8578,23,0.8811,4.776e-05,2.89119625621527
"CANDIDATE",8107380,"K00162.01",87.58,0.7079,32,2.083,7.939e-05,1.2022301064369
"CANDIDATE",6851425,"K00163.01",86.83,0.8294,32,2.512,0.0001603,1.45010845986985
"FALSE POSITIVE",5652237,"K00164.01",67.05,0.9837,7,0.5617,-0.002663,22.7537784124717
"CANDIDATE",9527915,"K00165.01",87.43,0.8642,32,3.061,-0.0005696,2.23308774279973
"CANDIDATE",2441495,"K00166.01",87.75,0.8666,32,2.503,0.0001245,1.18559160305344
"CANDIDATE",11666881,"K00167.01",77.63,0.8996,23,2.197,2.635e-06,3.82713915298185
"CANDIDATE",11512246,"K00168.01",80.09,0.925,0,2.674,0,6.21457489878543
"CANDIDATE",11512246,"K00168.02",85.64,0.83,0,1.85,0,0.597754712984537
"CANDIDATE",11512246,"K00168.03",77.98,0.9095,0,2.125,0,0.604231703087062
"FALSE POSITIVE",6185711,"K00169.01",84.77,0.9883,7,0.8769,-0.003187,22.7845914665745
"FALSE POSITIVE",11044770,"K00170.01",79.75,0.9837,7,1.763,-0.003068,28.9408396946565
"CANDIDATE",7831264,"K00171.01",83.77,0.8138,16,1.135,-4.498e-05,1.56679636835279
"CANDIDATE",7831264,"K00171.02",86.62,0.8957,16,1.642,-1.641e-05,0.57248044178555
"CANDIDATE",8692861,"K00172.01",86.87,0.7556,33,1.432,-2.721e-05,1.33220009713453
"CANDIDATE",8692861,"K00172.02",89.34,0.8596,33,2.347,-0.0002438,1.00589938860882
"CANDIDATE",11402995,"K00173.01",83.52,0.8966,32,1.824,-0.0001396,3.19962686567164
"CANDIDATE",10810838,"K00174.01",89.3,0.8655,23,2.529,-0.0002601,1.39960758665795
"FALSE POSITIVE",8323753,"K00175.01",80.78,0.9513,5,0.6798,-0.00253,2.58468899521531
"CANDIDATE",6442377,"K00176.01",87.94,0.7967,23,2.333,-2.005e-05,1.49080506742951
"CANDIDATE",6803202,"K00177.01",88.11,0.7174,32,1.27,-8.769e-05,0.513597733711048
"FALSE POSITIVE",11455491,"K00178.01",64.71,0.9816,5,2.776,0.007375,3.94171046344959
"CANDIDATE",9663113,"K00179.01",87.54,0.5621,32,2.408,-0.0001572,2.89695398574206
"CANDIDATE",9663113,"K00179.02",89.28,0.7771,32,2.467,-4.92e-05,3.43174061433447
"CANDIDATE",9573539,"K00180.01",86.35,0.8451,23,2.214,-2.201e-05,2.7386468952734
"FALSE POSITIVE",12504988,"K00181.01",86.06,0.6472,7,1.95,0.002842,197.290412227883
"CANDIDATE",5376836,"K00182.01",84.75,0.6531,7,1.87,8.307e-05,194.136066040421
"CANDIDATE",9651668,"K00183.01",87.79,0.3145,34,-27.49,-0.001386,81.9061801935964
"FALSE POSITIVE",7972785,"K00184.01",86.91,0.5093,7,1.982,0.00109,96.1088994477976
"FALSE POSITIVE",4178389,"K00185.01",88.8,0.9488,7,1.084,-0.009349,532.463071109584
"CANDIDATE",12019440,"K00186.01",88.27,0.266,26,-11.33,-0.0008932,44.9427977119085
"FALSE POSITIVE",7023960,"K00187.01",89.68,0.2697,7,2.54,-0.0006482,73.7262124002456
"CANDIDATE",5357901,"K00188.01",86.99,0.6044,35,-7.631,-4.848e-05,52.3447583536498
"CANDIDATE",11391018,"K00189.01",89.43,0.4038,7,2.75,-0.0003632,66.5381526104418
"FALSE POSITIVE",5771719,"K00190.01",86.76,0.8265,26,0.5329,2.5e-05,99.7764530551416
"CANDIDATE",5972334,"K00191.01",88.8,0.5667,16,0.4508,-0.0001327,35.8687943262411
"CANDIDATE",5972334,"K00191.02",77.45,0.9034,16,0.3264,1.011e-05,1.63760217983651
"CANDIDATE",5972334,"K00191.03",60.02,0.9,16,-0.1975,7.048e-06,0.20568593779813
"CANDIDATE",5972334,"K00191.04",88.29,0.8531,16,1.64,0.0004393,0.499071973602805
"CANDIDATE",7950644,"K00192.01",89.28,0.2442,35,-1.854,0.0004139,27.2668112798265
"FALSE POSITIVE",10799735,"K00193.01",89.6,0.4683,7,2.324,0.0007782,54.4127516778523
"CANDIDATE",10904857,"K00194.01",84.56,0.8091,7,0.8981,0.000865,110.434208353971
"CANDIDATE",11502867,"K00195.01",85.64,0.7265,35,-12.45,0.001059,67.2829463097175
"CANDIDATE",9410930,"K00196.01",82.01,0.6955,36,-27.27,-0.000621,81.8436312737452
"CANDIDATE",2987027,"K00197.01",89.65,0.2196,32,2.728,-0.0001924,15.2930806522697
"FALSE POSITIVE",10666242,"K00198.01",89.52,0.9434,4,2.811,-0.0004984,197.904761904762
"CANDIDATE",10019708,"K00199.01",86.05,0.4787,26,-24.05,0.002655,40.7992467831363
"FALSE POSITIVE",10019708,"K00199.02",63.62,0.9808,26,2.625,-0.04034,19.1594915949159
"CANDIDATE",6046540,"K00200.01",87.4,0.6929,37,-2.944,-0.0005434,37.016
"CANDIDATE",6849046,"K00201.01",87.65,0.4524,23,-6.911,0,22.2250209907641
"CANDIDATE",7877496,"K00202.01",82.27,0.7277,38,-42.12,-0.003873,64.0858701390111
"CANDIDATE",10619192,"K00203.01",89.09,0.08986,39,-55.52,-0.01007,59.7719141323792
"CANDIDATE",9305831,"K00204.01",84.36,0.6641,27,-14.96,0.004011,24.4115872057936
"CANDIDATE",7046804,"K00205.01",88.33,0.7071,7,2.371,-0.001331,35.6594556873691
"CANDIDATE",5728139,"K00206.01",87.25,0.3188,40,-4.781,-0.001888,16.4226682408501
"CANDIDATE",3762468,"K00208.01",85.88,0.487,7,-1.456,-0.00131,16.6075824716888
"CANDIDATE",10723750,"K00209.01",89.62,0.2449,16,2.019,-0.0001567,18.9916603487491
"CANDIDATE",10723750,"K00209.02",87.26,0.7083,16,1.4,0.0002356,12.1186749180925
"FALSE POSITIVE",10602291,"K00210.01",87.96,0.9658,7,1.56,-0.0003883,162.535748331745
"CANDIDATE",10656508,"K00211.01",89.9,0.3352,26,2.653,0.001418,3.64068100358423
"CANDIDATE",6300348,"K00212.01",87.89,0.4319,7,0.9715,-0.000638,6.10512129380054
"FALSE POSITIVE",9164836,"K00213.01",89.23,0.9356,7,2.538,-0.0008935,1293.33986287953
"CANDIDATE",11046458,"K00214.01",84.68,0.9296,12,-6.787,-0.001449,127.211238293444
"FALSE POSITIVE",12508335,"K00215.01",88.94,0.9706,7,1.907,0.002166,136.177972283005
"CANDIDATE",6152974,"K00216.01",89.07,0.65,26,1.828,-0.0009789,5.49341097149862
"CANDIDATE",6152974,"K00216.02",85.3,0.8759,26,1.133,-6.409e-06,0.273367903204361
"CANDIDATE",9595827,"K00217.01",89.21,0.1622,41,-6.298,0.0009357,46.7728758169935
"FALSE POSITIVE",9838975,"K00218.01",89.81,0.1475,7,6.169,-0.0001226,86.4657814096016
"CANDIDATE",6305192,"K00219.01",85.46,0.6968,32,1.373,0.0002142,17.9396984924623
"CANDIDATE",7132798,"K00220.01",81.84,0.7363,7,-2.243,0.0002716,5.85359675785208
"CANDIDATE",7132798,"K00220.02",80.03,0.8896,7,0.7889,0.0001799,0.235012707430109
"CANDIDATE",3937519,"K00221.01",86.37,0.5574,26,-3.282,-5.973e-05,4.94474488596285
"CANDIDATE",3937519,"K00221.02",82.02,0.8983,26,0.3032,0.0001177,0.205818540433925
"CANDIDATE",4249725,"K00222.01",85.51,0.8225,30,2.407,-0.0002413,2.28193499622071
"CANDIDATE",4249725,"K00222.02",87.37,0.8058,30,2.141,-4.172e-05,0.826060606060606
"CANDIDATE",4545187,"K00223.01",83.33,0.8997,7,1.315,-0.0002351,3.11113638948925
"CANDIDATE",4545187,"K00223.02",89.22,0.7451,7,1.882,0.0003081,0.568652302492607
"FALSE POSITIVE",5547480,"K00224.01",78.17,0.9812,7,1.09,0.005859,24.6335593961934
"FALSE POSITIVE",5801571,"K00225.01",69.22,0.9004,26,-33.55,-0.001055,12.4702380952381
"CANDIDATE",5959753,"K00226.01",83.38,0.9218,26,3.17,0.0002362,4.56295802798134
"CANDIDATE",3847907,"K00229.01",84.44,0.6983,7,-2.264,0.000767,6.46220009053871
"FALSE POSITIVE",3862246,"K00230.01",83.28,0.9619,7,2.73,-0.002638,97.8003384094755
"FALSE POSITIVE",4043443,"K00231.01",89.59,0.9721,32,1.161,-0.0003026,36.8947906026558
"CANDIDATE",4833421,"K00232.01",87.52,0.654,16,1.354,0.0002824,6.28665028665029
"CANDIDATE",4833421,"K00232.02",82.92,0.8285,16,1.644,1.418e-05,0.805760449596066
"CANDIDATE",4833421,"K00232.03",85.99,0.9484,16,2.189,8.637e-05,2.99899295065458
"CANDIDATE",4833421,"K00232.04",87.77,0.8098,16,1.451,3.759e-05,0.340583858042358
"CANDIDATE",4833421,"K00232.05",88.74,0.7594,16,1.497,0.0001127,0.383259423503326
"FALSE POSITIVE",5023956,"K00233.01",60.32,0.9998,7,-33.97,-0.2306,302.307206068268
"CANDIDATE",8491277,"K00234.01",84.95,0.8283,7,1.704,0.0001132,2.57088607594937
"CANDIDATE",8107225,"K00235.01",85.82,0.8366,7,1.677,-6.52e-05,0.855325164938737
"FALSE POSITIVE",8453211,"K00236.01",67.56,1,7,-0.4807,0.05002,23.8239436619718
"CANDIDATE",8041216,"K00237.01",84.12,0.8955,32,2.025,5.715e-05,3.5229151014275
"CANDIDATE",7219825,"K00238.01",87.99,0.7263,16,1.458,-0.0002136,0.731638418079096
"CANDIDATE",7219825,"K00238.02",89.29,0.9204,16,2.649,0.0001266,1.00168823860439
"CANDIDATE",7219825,"K00238.03",87.94,0.8547,16,0.7619,-3.247e-05,0.137976539589443
"CANDIDATE",6383785,"K00239.01",84.8,0.8216,26,0.5578,0.001095,3.32897384305835
"CANDIDATE",6383785,"K00239.02",78.97,0.8974,26,1.063,0.000182,0.272561403508772
"CANDIDATE",8026752,"K00240.01",82.57,0.73,7,1.64,-0.0001089,1.93002099370189
"CANDIDATE",11288051,"K00241.01",86.26,0.8963,16,2.502,-0.0001273,3.27311696264544
