"koi_disposition","kepid","kepoi_name","tce_incl","tce_impact","tce_slogg_prov","tce_albedo_stat","tce_fwm_pdeco","tce_ingress_sn"
"CANDIDATE",9489524,"K02029.01",86.6,0.9671,16,2.885,0,3.10709563684442
"CANDIDATE",9489524,"K02029.02",87.22,0.8002,16,1.046,0,0.274763872491145
"CANDIDATE",9489524,"K02029.03",84.14,0.9231,16,0.9004,0,0.1868896484375
"CANDIDATE",9489524,"K02029.04",83.23,0.8997,16,0.8154,0,0.191417910447761
"FALSE POSITIVE",8111919,"K02030.01",77.42,0.901,7,-2.193,0.01151,0.39265429761454
"CANDIDATE",5940165,"K02031.01",89.15,0.4921,7,0.8106,0.0004131,0.239364814040953
"CANDIDATE",2985767,"K02032.01",88.33,0.9191,5,1.037,1.22e-05,0.302080783353733
"CANDIDATE",2304320,"K02033.01",87.86,0.8848,32,1.741,0.0004294,0.490638990638991
"CANDIDATE",3657758,"K02034.01",85.26,0.8081,7,1.404,-0.001104,0.716541650217134
"CANDIDATE",3657758,"K02034.02",83.86,0.7399,7,0.4837,0.0003394,0.10750776665516
"CANDIDATE",9790806,"K02035.01",78.02,0.8996,26,0.08962,-4.301e-05,1.63092046470063
"CANDIDATE",6382217,"K02036.01",87.36,0.8021,42,1.182,0.0004801,0.288971457524067
"CANDIDATE",6382217,"K02036.02",84.51,0.8993,42,1.042,0.0003694,0.238033635187581
"CANDIDATE",9634821,"K02037.01",89.66,0.796,7,1.162,0.003173,0.677197506984741
"CANDIDATE",9634821,"K02037.02",86.19,0.904,7,1.058,0.001513,0.500637592450905
"CANDIDATE",9634821,"K02037.03",87.47,0.9063,7,1.075,0.0003271,0.457198026174641
"CANDIDATE",8950568,"K02038.01",74.9,0.9945,16,0.517,-0.0002648,17.4364406779661
"CANDIDATE",8950568,"K02038.02",80.08,0.9734,16,2.633,6.521e-05,21.5092879256966
"CANDIDATE",8950568,"K02038.03",87.89,0.7792,16,0.6996,-0.0002085,0.160574620909816
"CANDIDATE",8950568,"K02038.04",86.86,0.8667,16,0.8671,-7.837e-05,0.19010989010989
"CANDIDATE",8804845,"K02039.01",82.95,0.9029,26,1.61,9.516e-05,0.563591635916359
