"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_incl","tce_impact","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tce_slogg_prov","tcet_model_chisq","wst_depth","tce_mesmedian","tce_mesmad","tce_minmesd","tce_bin_oedp_stat","tce_rminmes","tce_albedo","tce_albedo_stat","boot_mesmean","tce_rb_tcount3","tce_fwm_stat","tce_fwm_sra","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_ingress_sn","tce_depth_sn","tce_sma_sn","tce_insol_sn","tce_slogg_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",11662440,"K07469.01",1,88.44,0.9259,1.588,4479,50.56,0.846,7,904600,26240,-0.07517,1.083,9.723,20.04,0.07966,125.4,3.272,-0.054344,0,21185,19.481152,-0.05473,-0.05853,20.9006772009029,712.586941889163,712.427097353073,913.174345913406,5.53990610328638,3.43711760707002,32.2857142857143,-0.333333333333333,-8.56494522691706,-0.60304,-2.02525951557093,6.9130787037037
"CANDIDATE",11672354,"K07471.01",1,79.51,0.8896,0.2341,3042,422.36,1.1,7,65930,53.52,-0.05332,0.7844,2.323,0.09169,0.2835,50.85,0.822,-0.016576,0,3.9257,19.788046,0.7844,0.0002162,1.30593071051086,3.16679596586501,0.158068872383525,8.24085005903188,3.61724137931034,2.31620510008226,20.1363636363636,0.233333333333333,0.560285714285714,-0.612944785276074,0.948245614035088,1.22350427350427
"FALSE POSITIVE",11704044,"K07472.01",1,89.75,0.1,1.178,-1,170.27,0.948,7,606000,71.8,0.1557,0.7466,0.4155,0,0.0006734,0,0,-1,0,6047.8,19.127362,0.1398,0.009862,-0.1,-3.5,-1.178,0,-0.07075,-170.27,22.4,0.333333333333333,117.478991596639,93.4782608695652,0.0776535433070866,0.481691616766467
"FALSE POSITIVE",11706658,"K07473.01",1,89.28,0.1,0.1487,-1,458.35,0.741,7,106900,235.7,0.04911,2.223,0.7048,0,0.05511,0,0,-1,0,1052.1,19.234142,0.1533,0.002671,-0.1,-1.5,-0.1487,-15050,-0.02218,-458.35,76,0.533333333333333,65.2340425531915,132.797202797203,0.234298245614035,1.5631654676259
"FALSE POSITIVE",11709022,"K07474.01",1,89.33,0.01563,0.0007953,46840,147.06,0.368,13,129700,337.2,-3.243,4.321,0.25,9.337e-11,0.7064,905700,0.0004762,-1,0,0,0,0,0,8.67851193781233e-08,0.0120036101083032,0.000158489438023117,0.0005924382256624,4.42667706708268,2.70430305259287,44.3636363636364,-0.533333333333333,0,0,0,5.83256578947368
"FALSE POSITIVE",11724091,"K07475.01",1,86.31,0.2422,1.452,24770,16878.21,2.624,7,273900,31030,-9.562,61.71,0.6688,0,0.08749,1.181,0.2698,-1,0,21.272,19.79847,0.01015,-0.0001911,534.06835722161,9008.49298834683,3377.52965806001,3057.76444111028,2.77556325823224,1.67068313242756,11.6969696969697,-0.114285714285714,28.8352272727273,-187.755681818182,-0.00247859922178988,0.0195622188905547
"FALSE POSITIVE",11757422,"K07476.01",1,72.81,0.8423,0.09474,15690,160.39,0.578,7,68120,21.93,-0.4759,0.4846,0.3125,2.042,0.2101,18.44,0.4949,-0.40589,0,320.87,19.239817,10.3,0.001526,0.623925925925926,4.56151519974534,0.115171407731583,7.34377646062659,11.9544779811974,5.73640915593705,77.8333333333333,-1.26666666666667,5.91954022988506,-9.82122905027933,9.84516129032258,10.2484084880637
"FALSE POSITIVE",11763910,"K07477.01",1,84.98,0.1025,0.03263,47260,14474.53,1.368,7,76920,22.35,1.085,1.812,0.3796,0.004718,0.1464,7.239,0.5221,-1,0,69.131,19.486095,-2.225,-0.0001082,0.00241006348459911,19.0332805071315,0.104751203852327,6.46932515337423,3.700939080183,2.42552760080301,21.4,-0.228571428571429,-2.74352651048089,2.89298245614035,-4.50833333333333,18.1488372093023
"FALSE POSITIVE",11768970,"K07478.01",1,88.08,1,1.218,1776,449.23,3.54,58,78480,801.3,-0.1733,0.7507,10.31,0.009107,0.01255,1.677,1.234,-0.053341,0,1359.5,19.649401,0.2063,0.002068,12.8766417718259,3.63744960430043,3.63799283154122,1.07458912768647,5.73705179282869,3.77726393676953,24.4285714285714,-1.73333333333333,21.3561076604555,-7.87304347826087,0.00580898876404494,4.25178041543027
"CANDIDATE",11773625,"K07479.01",1,85.06,0.7424,0.06373,6728,389.44,1.575,26,66150,17.55,-0.1307,0.6974,-0.974,0.04846,0.2723,39.54,0.6847,0.10152,0,7.4002,19.782584,-0.9782,-9.466e-05,0.439550029603316,13.5015479876161,0.16126012145749,8.53788891009735,4.27001753360608,2.65756789954961,18.3636363636364,0.8,-0.719264705882353,1.43443708609272,-1.40237037037037,0.974639016897081
