"koi_disposition","kepid","kepoi_name","tce_chisq1","tce_steff_prov","boot_fap","tce_fwm_pdeco"
"FALSE POSITIVE",10332789,"K07311.01",321300,5,0,0.001193
"FALSE POSITIVE",10340228,"K07312.01",8460,5,2.7533e-15,0.0001285
"FALSE POSITIVE",10341787,"K07313.01",6308,8,3.3758e-25,8.44e-05
"FALSE POSITIVE",10342097,"K07314.01",3731,5,6.8878e-07,0.000113
"FALSE POSITIVE",10345862,"K07315.01",2845000,5,0,0.04776
"FALSE POSITIVE",10346522,"K07316.01",17210000,5,-1,0.007257
"FALSE POSITIVE",10352603,"K07317.01",48580000,5,-1,0.09091
"FALSE POSITIVE",10363300,"K07318.01",5252000,5,-1,0
"CANDIDATE",10396708,"K07320.01",875.2,5,4.1954e-16,0.0001629
"FALSE POSITIVE",10407047,"K07321.01",4836,8,-1,-3.914e-05
"FALSE POSITIVE",10407430,"K07322.01",8499,8,7.0081e-22,4.444e-05
"FALSE POSITIVE",10407464,"K07323.01",8321,5,3.3387e-17,5.411e-06
"FALSE POSITIVE",10417704,"K07324.01",3273,8,-1,0
"FALSE POSITIVE",10420279,"K07325.01",16200000,5,-1,0
"FALSE POSITIVE",10422852,"K07326.01",202800,8,-1,-0.003084
"CANDIDATE",10450504,"K07327.01",396.9,5,3.4815e-16,-0.00192
"FALSE POSITIVE",10454401,"K07328.01",4963000,5,-1,-0.002368
"FALSE POSITIVE",10462826,"K07329.01",481200,5,0,0.003976
"CANDIDATE",10468514,"K07331.01",482.6,8,3.9143e-267,-0.0008223
"CANDIDATE",10471113,"K07332.01",10220,5,1.1625e-27,0.0001757
"FALSE POSITIVE",10481054,"K07333.01",2889,18,2.8078e-15,-7.52e-05
"FALSE POSITIVE",10486425,"K07334.01",1897000,8,0,0.01265
"FALSE POSITIVE",10490960,"K07335.01",7098000,5,-1,0.1027
"FALSE POSITIVE",10491031,"K07336.01",56540000,13,-1,-0.1048
"FALSE POSITIVE",10535807,"K07337.01",546200,5,-1,-0.001011
"FALSE POSITIVE",10535858,"K07338.01",8704,53,1.2751e-17,9.411e-06
