"koi_disposition","kepid","kepoi_name","tce_chisq1","tce_steff_prov","boot_fap","tce_fwm_pdeco"
"CANDIDATE",11446443,"K00001.01",283100,0,0,0.0007788
"CANDIDATE",10666592,"K00002.01",176900,0,-1,0
"CANDIDATE",10748390,"K00003.01",34240,1,0,0.0008108
"CANDIDATE",3861595,"K00004.01",2303,2,0,0.0001224
"CANDIDATE",8554498,"K00005.01",2709,3,0,-0.0001082
"FALSE POSITIVE",3248033,"K00006.01",4702,4,2.0116e-101,-0.003615
"CANDIDATE",11853905,"K00007.01",4939,0,0,5.112e-05
"FALSE POSITIVE",5903312,"K00008.01",5568,4,9.95989999999999e-274,-0.0004966
"FALSE POSITIVE",11553706,"K00009.01",10640,5,0,0.01866
"CANDIDATE",6922244,"K00010.01",19260,6,0,0.0003616
"FALSE POSITIVE",11913073,"K00011.01",2860,5,0,0.004598
"CANDIDATE",5812701,"K00012.01",19910,7,0,-0.0009708
"CANDIDATE",9941662,"K00013.01",1263000,8,-1,0
"FALSE POSITIVE",7684873,"K00014.01",2726,8,0,5.322e-05
"FALSE POSITIVE",3964562,"K00015.01",8383,8,0,0
"FALSE POSITIVE",9110357,"K00016.01",36640,8,0,0.06975
"CANDIDATE",10874614,"K00017.01",169700,9,0,0.0008648
"CANDIDATE",8191672,"K00018.01",80050,10,0,-0.000686
"FALSE POSITIVE",7255336,"K00019.01",38830,4,0,-2.683e-05
"CANDIDATE",11804465,"K00020.01",112800,11,0,8.806e-05
"FALSE POSITIVE",10125352,"K00021.01",5753,5,0,-0.00363
"CANDIDATE",9631995,"K00022.01",53030,12,0,0.0009601
"FALSE POSITIVE",9071386,"K00023.01",71430,4,0,-1.322e-05
"FALSE POSITIVE",4743513,"K00024.01",149500,5,0,0.008371
"FALSE POSITIVE",10593759,"K00025.01",73000,5,0,-8.061e-05
"FALSE POSITIVE",5021737,"K00026.01",54680,5,0,-0.006092
"FALSE POSITIVE",3832716,"K00027.01",11070000,5,-1,0
"FALSE POSITIVE",4247791,"K00028.01",41120000,13,-1,0.02054
"FALSE POSITIVE",6956014,"K00031.01",10280,4,0,3.581e-05
"FALSE POSITIVE",5725087,"K00033.01",8755,13,-1,-5.153e-05
"CANDIDATE",6521045,"K00041.01",669.1,0,0,-0.0001281
"CANDIDATE",6521045,"K00041.02",1303,0,9.12609999999999e-152,-5.996e-05
"CANDIDATE",6521045,"K00041.03",239.7,0,1.953e-66,-5.045e-05
"CANDIDATE",8866102,"K00042.01",533.7,0,0,0.0001457
"FALSE POSITIVE",9025922,"K00043.01",3205,14,0,0.06295
"FALSE POSITIVE",8845026,"K00044.01",28670,13,0,-0.001799
"FALSE POSITIVE",3742855,"K00045.01",8722,14,0,-0.05663
"CANDIDATE",10905239,"K00046.01",5446,15,0,-7.65e-05
"CANDIDATE",10905239,"K00046.02",1126,15,5.6114e-19,2.684e-05
"FALSE POSITIVE",7837302,"K00048.01",284600,13,0,-0.0006494
"CANDIDATE",9527334,"K00049.01",822.5,4,0,8.647e-06
"FALSE POSITIVE",6056992,"K00051.01",7321,14,0,0.04291
"FALSE POSITIVE",3558981,"K00052.01",65560,13,0,-0.003217
"FALSE POSITIVE",2445975,"K00053.01",9172,14,0,-0.00428
"FALSE POSITIVE",8248939,"K00061.01",4599,13,0,-0.0036
"CANDIDATE",11554435,"K00063.01",2364,16,0,-9.444e-05
"CANDIDATE",7051180,"K00064.01",4191,17,0,7.244e-05
"FALSE POSITIVE",10620329,"K00066.01",8548,18,-1,-2.884e-05
"FALSE POSITIVE",8669092,"K00068.01",16600,5,-1,-5.345e-05
"CANDIDATE",3544595,"K00069.01",2063,0,0,1.635e-05
"CANDIDATE",6850504,"K00070.01",982.7,19,0,-5.514e-05
"CANDIDATE",6850504,"K00070.02",2601,19,0,2.923e-05
"CANDIDATE",6850504,"K00070.03",109.5,19,0,0.0001024
"CANDIDATE",6850504,"K00070.04",1010,19,1.5678e-55,2.47e-05
"CANDIDATE",6850504,"K00070.05",331,19,2.7984e-31,-4.405e-05
"CANDIDATE",11904151,"K00072.01",320,0,0,6.128e-05
"CANDIDATE",11904151,"K00072.02",7766,0,1.9193e-175,-2.284e-05
"FALSE POSITIVE",6889235,"K00074.01",9950,8,0,-4.611e-05
"CANDIDATE",7199397,"K00075.01",2093,0,0,-0.0008328
"FALSE POSITIVE",9955262,"K00076.01",318.3,5,0,-0.0007428
"FALSE POSITIVE",9552608,"K00080.01",3998,8,0,-6.04e-05
"FALSE POSITIVE",8823868,"K00081.01",33670,8,0,-0.000332
"CANDIDATE",10187017,"K00082.01",522.9,20,0,-3.555e-05
"CANDIDATE",10187017,"K00082.02",654.3,20,0,1.449e-05
"CANDIDATE",10187017,"K00082.03",227.2,20,3.7665e-84,2.79e-05
"CANDIDATE",10187017,"K00082.04",1147,20,1.5148e-78,2.566e-05
"CANDIDATE",10187017,"K00082.05",1363,20,7.574e-40,-2.593e-05
"CANDIDATE",10187017,"K00082.06",276.3,20,4.5506e-16,-3.415e-05
"CANDIDATE",2571238,"K00084.01",1435,21,0,-1.688e-05
"CANDIDATE",5866724,"K00085.01",1825,0,0,-6.693e-05
"CANDIDATE",5866724,"K00085.02",3240,0,0,-1.214e-05
"CANDIDATE",5866724,"K00085.03",788.8,0,0,-2.972e-05
"CANDIDATE",10593626,"K00087.01",18.32,22,1.1375e-171,-6.895e-05
"FALSE POSITIVE",7700871,"K00088.01",3286,5,0,-0.0002737
"CANDIDATE",8056665,"K00089.01",164.2,15,0,-5.856e-05
"CANDIDATE",8056665,"K00089.02",81.52,15,0,0.0001417
"FALSE POSITIVE",9210823,"K00090.01",9180,5,4.4485e-55,0
"CANDIDATE",7941200,"K00092.01",174.7,23,0,2.344e-06
"CANDIDATE",6462863,"K00094.01",3389,23,0,-0.0002888
"CANDIDATE",6462863,"K00094.02",584,23,0,-4.452e-05
"CANDIDATE",6462863,"K00094.03",491.9,23,0,-0.0001318
"CANDIDATE",6462863,"K00094.04",898.5,23,9.52019999999999e-187,-2.14e-05
"CANDIDATE",5780885,"K00097.01",33960,17,0,-2.272e-05
"CANDIDATE",10264660,"K00098.01",3384,0,0,-0.0002271
"CANDIDATE",4055765,"K00100.01",2344,4,-1,-1.491e-05
"CANDIDATE",8456679,"K00102.01",7790,23,0,-0.001065
"FALSE POSITIVE",8456679,"K00102.02",1440,23,4.955e-102,-6.386e-05
"CANDIDATE",2444412,"K00103.01",1035,23,0,-0.0001361
"CANDIDATE",10318874,"K00104.01",4874,20,0,3.93e-06
"CANDIDATE",8711794,"K00105.01",1442,23,0,8.027e-05
"FALSE POSITIVE",10489525,"K00106.01",3846,5,7.92299999999999e-204,0.03441
"CANDIDATE",11250587,"K00107.01",1151,0,0,-2.081e-05
"CANDIDATE",4914423,"K00108.01",716,0,0,-8.038e-05
"CANDIDATE",4914423,"K00108.02",121.2,0,0,9.363e-05
"FALSE POSITIVE",4752451,"K00109.01",982.1,5,0,-0.006196
"CANDIDATE",9450647,"K00110.01",1029,23,0,4.615e-05
"CANDIDATE",6678383,"K00111.01",1738,23,0,0.0001063
"CANDIDATE",6678383,"K00111.02",258.6,23,0,6.937e-05
"CANDIDATE",6678383,"K00111.03",391,23,0,3.642e-05
"CANDIDATE",10984090,"K00112.01",204.1,23,0,7.995e-05
"CANDIDATE",10984090,"K00112.02",2038,23,0,-5.047e-05
"FALSE POSITIVE",6721123,"K00114.01",1171,4,0,-0.005549
"CANDIDATE",9579641,"K00115.01",2062,23,0,-0.0001369
"CANDIDATE",9579641,"K00115.02",1126,23,0,6.1e-05
"CANDIDATE",9579641,"K00115.03",2443,23,7.9141e-14,-2.759e-06
"CANDIDATE",8395660,"K00116.01",675.1,20,0,0.0001081
"CANDIDATE",8395660,"K00116.02",253.4,20,0,0.0001199
"CANDIDATE",8395660,"K00116.03",1070,20,1.9375e-30,3.023e-05
"CANDIDATE",8395660,"K00116.04",298.5,20,1.6179e-27,-0.0001016
"CANDIDATE",10875245,"K00117.01",420.8,17,0,0.000114
"CANDIDATE",10875245,"K00117.02",1804,17,2.739e-243,2.021e-05
"CANDIDATE",10875245,"K00117.03",1047,17,1.5483e-219,-1.23e-05
"CANDIDATE",10875245,"K00117.04",535.7,17,2.0096e-23,-1.84e-05
"CANDIDATE",3531558,"K00118.01",352.3,0,0,0.0001512
"CANDIDATE",9471974,"K00119.01",846.8,0,0,-0.00188
"CANDIDATE",9471974,"K00119.02",151.7,0,0,-0.001
"CANDIDATE",11869052,"K00120.01",716.6,5,0,-0.0001147
"FALSE POSITIVE",3247396,"K00121.01",850.8,4,0,0.001113
"CANDIDATE",8349582,"K00122.01",846,0,0,6.316e-05
"CANDIDATE",5094751,"K00123.01",1438,17,0,-4.27e-05
"CANDIDATE",5094751,"K00123.02",376.7,17,0,-7.224e-05
"CANDIDATE",11086270,"K00124.01",678.3,23,0,-4.62e-05
"CANDIDATE",11086270,"K00124.02",324.8,23,0,6.819e-05
"CANDIDATE",11449844,"K00125.01",9090,4,0,-0.0003218
"FALSE POSITIVE",5897826,"K00126.01",198800,4,-1,-0.0004284
"CANDIDATE",5897826,"K00126.02",228.9,4,-1,0.0002066
"CANDIDATE",8359498,"K00127.01",20250,24,0,0.0002158
"CANDIDATE",11359879,"K00128.01",57760,25,0,-0.002235
"CANDIDATE",11974540,"K00129.01",3188,26,0,-0.0007078
"CANDIDATE",5297298,"K00130.01",9495,4,0,0.000125
"CANDIDATE",7778437,"K00131.01",4304,5,0,-0.0005156
"FALSE POSITIVE",8892910,"K00132.01",15190,5,0,0.00159
"FALSE POSITIVE",11673674,"K00133.01",6018,5,0,-0.01577
"FALSE POSITIVE",9032900,"K00134.01",990.4,4,0,0.0002735
"CANDIDATE",9818381,"K00135.01",8050,27,0,-0.0002718
"FALSE POSITIVE",7601633,"K00136.01",1843,4,0,0.0001242
"CANDIDATE",8644288,"K00137.01",3241,28,0,0.0002559
"CANDIDATE",8644288,"K00137.02",2131,28,0,0.0001639
"CANDIDATE",8644288,"K00137.03",2206,28,0,-0.0001172
"FALSE POSITIVE",8506766,"K00138.01",7015,5,0,-0.003826
"CANDIDATE",8559644,"K00139.01",979.5,23,0,-0.0001367
"CANDIDATE",8559644,"K00139.02",2499,23,5.78809999999999e-271,7.537e-05
"FALSE POSITIVE",5130369,"K00140.01",737.2,8,0,-0.009659
"CANDIDATE",12105051,"K00141.01",18210,23,0,0.0001692
"CANDIDATE",4649305,"K00143.01",1838,5,0,0.0001295
"CANDIDATE",4180280,"K00144.01",1587,23,0,-1.631e-05
"CANDIDATE",9904059,"K00145.01",204.2,4,0,-0.0004518
"FALSE POSITIVE",9048161,"K00146.01",11870,5,0,-0.05926
"FALSE POSITIVE",1996679,"K00147.01",152.1,5,0,-0.01246
"CANDIDATE",5735762,"K00148.01",999,20,0,-4.434e-05
"CANDIDATE",5735762,"K00148.02",1713,20,0,3.226e-05
"CANDIDATE",5735762,"K00148.03",154.8,20,0,-0.0001775
"CANDIDATE",3835670,"K00149.01",713.4,23,0,-2.098e-05
"CANDIDATE",7626506,"K00150.01",1188,15,0,0.0003416
"CANDIDATE",7626506,"K00150.02",289.5,15,0,0.0005166
"CANDIDATE",2307199,"K00151.01",828.9,5,0,0.0003652
"CANDIDATE",8394721,"K00152.01",746.4,15,0,-0.0006164
"CANDIDATE",8394721,"K00152.02",597.5,15,0,7.225e-05
"CANDIDATE",8394721,"K00152.03",333.2,15,0,-8.218e-06
"CANDIDATE",8394721,"K00152.04",80.54,15,4.7664e-38,0.0002121
"CANDIDATE",12252424,"K00153.01",2531,20,0,4.709e-05
"CANDIDATE",12252424,"K00153.02",744.7,20,0,8.51e-05
"CANDIDATE",8030148,"K00155.01",1805,23,0,-0.000103
"CANDIDATE",10925104,"K00156.01",771,29,0,-0.0006337
"CANDIDATE",10925104,"K00156.02",901.3,29,0,-0.0002523
"CANDIDATE",10925104,"K00156.03",1313,29,0,-9.972e-05
"CANDIDATE",6541920,"K00157.01",547.7,30,0,0.0002749
"CANDIDATE",6541920,"K00157.02",1292,30,0,0.0001231
"CANDIDATE",6541920,"K00157.03",629.1,30,0,0.0002936
"CANDIDATE",6541920,"K00157.04",70.82,30,0,0.0002123
"CANDIDATE",6541920,"K00157.05",161.8,30,0,0.0001472
"CANDIDATE",6541920,"K00157.06",792.5,30,0,0.0001207
"FALSE POSITIVE",10555375,"K00158.01",1076,5,2.474e-181,0.002798
"CANDIDATE",8972058,"K00159.01",932.2,23,0,-1.057e-05
"CANDIDATE",8972058,"K00159.02",2882,23,3.6519e-50,-3.242e-05
"CANDIDATE",6631721,"K00160.01",650.9,5,0,-0.001993
"CANDIDATE",5084942,"K00161.01",2491,23,0,4.776e-05
"CANDIDATE",8107380,"K00162.01",595.8,31,0,7.939e-05
"CANDIDATE",6851425,"K00163.01",697.9,31,0,0.0001603
"FALSE POSITIVE",5652237,"K00164.01",1836,5,3.6699e-247,-0.002663
"CANDIDATE",9527915,"K00165.01",642.7,31,0,-0.0005696
"CANDIDATE",2441495,"K00166.01",753.6,31,0,0.0001245
"CANDIDATE",11666881,"K00167.01",1868,23,0,2.635e-06
"CANDIDATE",11512246,"K00168.01",887.7,0,0,0
"CANDIDATE",11512246,"K00168.02",540.9,0,1.744e-202,0
"CANDIDATE",11512246,"K00168.03",1227,0,5.2432e-98,0
"FALSE POSITIVE",6185711,"K00169.01",642.3,5,0,-0.003187
"FALSE POSITIVE",11044770,"K00170.01",464,8,5.37369999999999e-268,-0.003068
"CANDIDATE",7831264,"K00171.01",1269,15,0,-4.498e-05
"CANDIDATE",7831264,"K00171.02",469.5,15,1.4807e-143,-1.641e-05
"CANDIDATE",8692861,"K00172.01",702.1,32,0,-2.721e-05
"CANDIDATE",8692861,"K00172.02",90.3,32,1.8659e-66,-0.0002438
"CANDIDATE",11402995,"K00173.01",765.9,31,0,-0.0001396
"CANDIDATE",10810838,"K00174.01",85.87,23,0,-0.0002601
"FALSE POSITIVE",8323753,"K00175.01",1124,5,0,-0.00253
"CANDIDATE",6442377,"K00176.01",290.8,23,0,-2.005e-05
"CANDIDATE",6803202,"K00177.01",331.1,31,0,-8.769e-05
"FALSE POSITIVE",11455491,"K00178.01",1292,5,6.5806e-157,0.007375
"CANDIDATE",9663113,"K00179.01",423.2,31,0,-0.0001572
"CANDIDATE",9663113,"K00179.02",569.4,31,1.8387e-61,-4.92e-05
"CANDIDATE",9573539,"K00180.01",732.9,23,0,-2.201e-05
"FALSE POSITIVE",12504988,"K00181.01",37440,5,0,0.002842
"CANDIDATE",5376836,"K00182.01",19680,5,0,8.307e-05
"CANDIDATE",9651668,"K00183.01",22840,33,0,-0.001386
"FALSE POSITIVE",7972785,"K00184.01",16560,5,0,0.00109
"FALSE POSITIVE",4178389,"K00185.01",28340,5,0,-0.009349
"CANDIDATE",12019440,"K00186.01",29980,26,0,-0.0008932
"FALSE POSITIVE",7023960,"K00187.01",8333,5,0,-0.0006482
"CANDIDATE",5357901,"K00188.01",19560,34,0,-4.848e-05
"CANDIDATE",11391018,"K00189.01",6632,5,0,-0.0003632
"FALSE POSITIVE",5771719,"K00190.01",8432,26,0,2.5e-05
"CANDIDATE",5972334,"K00191.01",2200,15,0,-0.0001327
"CANDIDATE",5972334,"K00191.02",2539,15,0,1.011e-05
"CANDIDATE",5972334,"K00191.03",7989,15,1.5317e-97,7.048e-06
"CANDIDATE",5972334,"K00191.04",80.67,15,3.7253e-36,0.0004393
"CANDIDATE",7950644,"K00192.01",23410,34,0,0.0004139
"FALSE POSITIVE",10799735,"K00193.01",7357,5,0,0.0007782
"CANDIDATE",10904857,"K00194.01",16510,5,0,0.000865
"CANDIDATE",11502867,"K00195.01",104500,34,0,0.001059
"CANDIDATE",9410930,"K00196.01",45690,35,0,-0.000621
"CANDIDATE",2987027,"K00197.01",2030,31,0,-0.0001924
"FALSE POSITIVE",10666242,"K00198.01",16780,4,0,-0.0004984
"CANDIDATE",10019708,"K00199.01",20670,26,0,0.002655
"FALSE POSITIVE",10019708,"K00199.02",802.2,26,1.4122e-62,-0.04034
"CANDIDATE",6046540,"K00200.01",5999,36,0,-0.0005434
"CANDIDATE",6849046,"K00201.01",11390,23,0,0
"CANDIDATE",7877496,"K00202.01",43780,37,0,-0.003873
"CANDIDATE",10619192,"K00203.01",630000,38,0,-0.01007
"CANDIDATE",9305831,"K00204.01",12210,27,0,0.004011
"CANDIDATE",7046804,"K00205.01",2727,5,0,-0.001331
"CANDIDATE",5728139,"K00206.01",2406,39,0,-0.001888
"CANDIDATE",3762468,"K00208.01",2723,5,0,-0.00131
"CANDIDATE",10723750,"K00209.01",768.2,15,0,-0.0001567
"CANDIDATE",10723750,"K00209.02",702.2,15,0,0.0002356
"FALSE POSITIVE",10602291,"K00210.01",3421,5,0,-0.0003883
"CANDIDATE",10656508,"K00211.01",81.62,26,0,0.001418
"CANDIDATE",6300348,"K00212.01",740.8,8,0,-0.000638
"FALSE POSITIVE",9164836,"K00213.01",217500,5,0,-0.0008935
"CANDIDATE",11046458,"K00214.01",5580,12,0,-0.001449
"FALSE POSITIVE",12508335,"K00215.01",2145,5,0,0.002166
"CANDIDATE",6152974,"K00216.01",509.8,26,0,-0.0009789
"CANDIDATE",6152974,"K00216.02",894.3,26,1.4901e-44,-6.409e-06
"CANDIDATE",9595827,"K00217.01",8944,40,0,0.0009357
"FALSE POSITIVE",9838975,"K00218.01",11860,5,0,-0.0001226
"CANDIDATE",6305192,"K00219.01",1290,31,0,0.0002142
"CANDIDATE",7132798,"K00220.01",4836,5,0,0.0002716
"CANDIDATE",7132798,"K00220.02",1814,5,6.2213e-64,0.0001799
"CANDIDATE",3937519,"K00221.01",5858,26,0,-5.973e-05
"CANDIDATE",3937519,"K00221.02",1140,26,1.3749e-32,0.0001177
"CANDIDATE",4249725,"K00222.01",1461,29,0,-0.0002413
"CANDIDATE",4249725,"K00222.02",599.9,29,0,-4.172e-05
"CANDIDATE",4545187,"K00223.01",2636,5,0,-0.0002351
"CANDIDATE",4545187,"K00223.02",147.6,5,6.91339999999999e-240,0.0003081
"FALSE POSITIVE",5547480,"K00224.01",1682,5,0,0.005859
"FALSE POSITIVE",5801571,"K00225.01",9810,26,0,-0.001055
"CANDIDATE",5959753,"K00226.01",976.2,26,0,0.0002362
"CANDIDATE",3847907,"K00229.01",5674,5,0,0.000767
"FALSE POSITIVE",3862246,"K00230.01",1877,5,0,-0.002638
"FALSE POSITIVE",4043443,"K00231.01",158.3,31,0,-0.0003026
"CANDIDATE",4833421,"K00232.01",1064,15,0,0.0002824
"CANDIDATE",4833421,"K00232.02",1439,15,0,1.418e-05
"CANDIDATE",4833421,"K00232.03",182.1,15,1.3155e-128,8.637e-05
"CANDIDATE",4833421,"K00232.04",358,15,1.6885e-107,3.759e-05
"CANDIDATE",4833421,"K00232.05",138.3,15,7.6838e-87,0.0001127
"FALSE POSITIVE",5023956,"K00233.01",55250,5,0,-0.2306
"CANDIDATE",8491277,"K00234.01",862.3,5,0,0.0001132
"CANDIDATE",8107225,"K00235.01",1604,5,0,-6.52e-05
"FALSE POSITIVE",8453211,"K00236.01",19380,5,0,0.05002
"CANDIDATE",8041216,"K00237.01",912.4,31,0,5.715e-05
"CANDIDATE",7219825,"K00238.01",512.8,15,0,-0.0002136
"CANDIDATE",7219825,"K00238.02",22.4,15,5.3317e-37,0.0001266
"CANDIDATE",7219825,"K00238.03",286.3,15,3.022e-27,-3.247e-05
"CANDIDATE",6383785,"K00239.01",1557,26,0,0.001095
"CANDIDATE",6383785,"K00239.02",2056,26,8.0345e-67,0.000182
"CANDIDATE",8026752,"K00240.01",3006,5,0,-0.0001089
"CANDIDATE",11288051,"K00241.01",507.8,15,0,-0.0001273
"CANDIDATE",11288051,"K00241.02",221.3,15,8.2394e-93,-2.438e-05
"CANDIDATE",11288051,"K00241.03",1798,15,9.5295e-81,-6.079e-06
"FALSE POSITIVE",3642741,"K00242.01",1893,5,0,-0.0005473
"FALSE POSITIVE",9592579,"K00243.01",28610,5,0,0
"CANDIDATE",4349452,"K00244.01",2409,17,0,1.748e-05
"CANDIDATE",4349452,"K00244.02",1775,17,0,-3.298e-05
"CANDIDATE",8478994,"K00245.01",589.4,0,0,-0.0006645
"CANDIDATE",8478994,"K00245.02",455.2,0,2.5304e-150,-2.097e-05
"CANDIDATE",11295426,"K00246.01",1828,0,0,0.0001224
"CANDIDATE",11295426,"K00246.02",906.4,0,6.0904e-136,1.555e-05
"CANDIDATE",11852982,"K00247.01",386.5,41,0,-0.0001805
"CANDIDATE",5364071,"K00248.01",1014,41,0,1.155e-05
"CANDIDATE",5364071,"K00248.02",2527,41,0,-0.0001929
"CANDIDATE",5364071,"K00248.03",617.5,41,0,0.00012
"CANDIDATE",5364071,"K00248.04",319.1,41,8.69779999999999e-91,6.385e-05
"CANDIDATE",9390653,"K00249.01",814.8,41,0,0.001125
"CANDIDATE",9757613,"K00250.01",751,41,0,-0.0006605
"CANDIDATE",9757613,"K00250.02",403.9,41,0,0.0005987
"CANDIDATE",9757613,"K00250.03",181.6,41,1.7885e-118,-0.001088
"CANDIDATE",9757613,"K00250.04",1998,41,3.8546e-105,1.369e-05
"CANDIDATE",10489206,"K00251.01",1601,41,0,0.003124
"CANDIDATE",10489206,"K00251.02",1004,41,5.8045e-34,0.000733
"CANDIDATE",11187837,"K00252.01",409.7,41,0,0.001501
"CANDIDATE",11752906,"K00253.01",941,41,0,-0.001851
"CANDIDATE",11752906,"K00253.02",254.5,41,2.7153e-33,-0.0009121
"CANDIDATE",5794240,"K00254.01",10720,41,0,0.001127
"CANDIDATE",7021681,"K00255.01",310.8,41,0,0.0005278
"CANDIDATE",7021681,"K00255.02",518.3,41,2.1629e-16,9.378e-05
"FALSE POSITIVE",7021681,"K00255.03",918.1,41,3.2344e-13,5.038e-05
"FALSE POSITIVE",11548140,"K00256.01",8276,41,0,0.005516
"CANDIDATE",5514383,"K00257.01",904.7,0,0,1.996e-05
"FALSE POSITIVE",11231334,"K00258.01",4957,5,0,-0.0004082
"FALSE POSITIVE",5790807,"K00259.01",25180,18,-1,0.0008155
"CANDIDATE",8292840,"K00260.01",108,17,0,2.98e-05
"CANDIDATE",8292840,"K00260.02",771.5,17,0,2.496e-05
"CANDIDATE",8292840,"K00260.03",331.4,17,1.8455e-295,-4.803e-05
"CANDIDATE",5383248,"K00261.01",620.7,20,0,0.0003686
"CANDIDATE",11807274,"K00262.01",766.7,17,1.4239e-283,8.71e-05
"CANDIDATE",11807274,"K00262.02",1123,17,1.5042e-248,9.769e-06
"FALSE POSITIVE",10514430,"K00263.01",404.7,0,1.7322e-163,0.0001081
"FALSE POSITIVE",3097346,"K00264.01",2083,13,0,0.003282
"CANDIDATE",12024120,"K00265.01",2221,23,0,0
"CANDIDATE",7375348,"K00266.01",348.9,23,0,-3.581e-05
"CANDIDATE",7375348,"K00266.02",192,23,7.2623e-37,5.644e-05
"CANDIDATE",3425851,"K00268.01",98.57,17,0,0.0002751
"CANDIDATE",7670943,"K00269.01",429.5,17,8.69149999999999e-306,-9.293e-07
"CANDIDATE",6528464,"K00270.01",660.6,17,0,-3.823e-05
"CANDIDATE",6528464,"K00270.02",210.9,17,2.6532e-205,5.287e-06
"CANDIDATE",9451706,"K00271.01",424.1,17,0,-0.0001935
"CANDIDATE",9451706,"K00271.02",199.4,17,0,-0.0002452
"CANDIDATE",9451706,"K00271.03",577,17,7.9818e-121,-5.742e-05
"FALSE POSITIVE",5716763,"K00272.01",10980,5,0,-7.925e-06
"CANDIDATE",3102384,"K00273.01",914,0,0,0.0001089
"CANDIDATE",8077137,"K00274.01",515.3,17,3.2998e-47,-1.238e-05
"CANDIDATE",8077137,"K00274.02",349.5,17,3.4262e-22,5.213e-05
"CANDIDATE",10586004,"K00275.01",436.4,0,0,7.346e-07
"CANDIDATE",10586004,"K00275.02",76.19,0,2.4444e-87,-7.603e-06
"CANDIDATE",11133306,"K00276.01",176.2,0,0,5.465e-05
"CANDIDATE",11401755,"K00277.01",1788,17,0,-1.709e-05
"CANDIDATE",11401755,"K00277.02",604.9,17,1.7463e-55,-5.24e-05
"CANDIDATE",12314973,"K00279.01",574.6,0,0,-2.576e-05
"CANDIDATE",12314973,"K00279.02",454.7,0,0,9.559e-05
"CANDIDATE",12314973,"K00279.03",1031,0,1.7072e-15,-3.869e-06
"CANDIDATE",4141376,"K00280.01",929.9,0,0,-6.148e-05
"CANDIDATE",4143755,"K00281.01",478.8,17,0,1.483e-05
"CANDIDATE",5088536,"K00282.01",287.6,0,0,-7.086e-06
"CANDIDATE",5088536,"K00282.02",951.4,0,4.5482e-124,2.572e-05
"CANDIDATE",5088536,"K00282.03",110.7,0,2.0363e-23,6.797e-05
"CANDIDATE",5695396,"K00283.01",532.5,20,0,-6.445e-05
"CANDIDATE",5695396,"K00283.02",311.1,20,1.9479e-23,-1.569e-05
"CANDIDATE",6021275,"K00284.01",1013,23,0,5.608e-05
"CANDIDATE",6021275,"K00284.02",375.5,23,3.0967e-229,-3.597e-05
"CANDIDATE",6021275,"K00284.03",973.7,23,4.3681e-230,1.642e-05
"CANDIDATE",6021275,"K00284.04",80.92,23,3.5034e-20,0.0001461
"CANDIDATE",6196457,"K00285.01",627.6,17,0,2.604e-05
"CANDIDATE",6196457,"K00285.02",368.9,17,1.5249e-308,-3.191e-05
"CANDIDATE",6196457,"K00285.03",157.6,17,3.2163e-80,-1.266e-05
"FALSE POSITIVE",8258171,"K00286.01",449.9,8,0,-0.001516
"FALSE POSITIVE",8703887,"K00287.01",7334,13,0,-0.003541
"CANDIDATE",9592705,"K00288.01",756.2,0,0,6.366e-05
"CANDIDATE",10386922,"K00289.01",35.08,23,0,0.0002782
"CANDIDATE",10386922,"K00289.02",323.1,23,0,-1.578e-05
"FALSE POSITIVE",10488450,"K00290.01",2384,13,0,-0.0003683
"CANDIDATE",10933561,"K00291.01",205.7,23,0,-5.668e-05
"CANDIDATE",10933561,"K00291.02",741.1,23,3.294e-87,3.641e-05
"CANDIDATE",11075737,"K00292.01",2427,20,0,-5.09e-05
"FALSE POSITIVE",11200415,"K00293.01",1565,5,3.5998e-114,0.0001715
"CANDIDATE",11259686,"K00294.01",243.8,23,0,-0.0002038
"CANDIDATE",11547513,"K00295.01",997.5,23,0,6.342e-05
"CANDIDATE",11547513,"K00295.02",565.9,23,9.6538e-68,-8.228e-05
"CANDIDATE",11802615,"K00296.01",210.7,23,0,-3.641e-05
"CANDIDATE",11905011,"K00297.01",1038,23,2.2495e-278,2.3e-05
"CANDIDATE",12785320,"K00298.01",458.3,23,1.1655e-173,0.0001147
"CANDIDATE",12785320,"K00298.02",155.2,23,6.5178e-66,-0.000178
"CANDIDATE",2692377,"K00299.01",5441,20,0,1.991e-05
"FALSE POSITIVE",3438975,"K00300.01",3194,5,0,-0.0002269
"CANDIDATE",3642289,"K00301.01",1467,23,0,1.957e-05
"CANDIDATE",3642289,"K00301.02",696,23,2.8516e-60,-0.000127
"CANDIDATE",3662838,"K00302.01",286,5,0,1.463e-05
"CANDIDATE",5966322,"K00303.01",124,23,0,0.0006662
"CANDIDATE",6029239,"K00304.01",885,23,0,4.606e-05
"CANDIDATE",6029239,"K00304.02",1304,23,2.2746e-13,1.187e-05
"CANDIDATE",6063220,"K00305.01",1734,20,0,8.762e-05
"CANDIDATE",6071903,"K00306.01",356.7,23,0,0.0001137
"CANDIDATE",6289257,"K00307.01",361.1,23,9.20249999999999e-217,-7.053e-05
"CANDIDATE",6289257,"K00307.02",1312,23,6.3174e-190,-1.141e-06
"CANDIDATE",6291837,"K00308.01",395.2,23,0,-2.242e-05
"FALSE POSITIVE",7024222,"K00309.01",4756,5,1.0518e-69,-0.002303
"CANDIDATE",7050989,"K00312.01",665.8,23,0,-2.228e-05
