"koi_disposition","kepid","kepoi_name","tce_model_dof","tcet_period","tcet_model_dof","tce_rb_tpdur","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_pdeco","tce_prad_sn"
"CANDIDATE",5282049,"K01545.01",5354,5.91039,8084,6,0,40.411214,0.0281,3.29166666666667
"FALSE POSITIVE",5282049,"K01545.02",6209,5.91026,10610,12,0,40.41078,0.0007096,2.74971391204839
"CANDIDATE",5475431,"K01546.01",24630,0.917547,31940,3,0,40.639993,-0.0007506,3.56786346804057
"CANDIDATE",5283458,"K01547.01",827.2,30.6938,1085,6,0,40.456083,0.003895,3.13948205361199
"FALSE POSITIVE",9940565,"K01548.01",15120,2.13932,30080,6,0,46.892947,0.002241,8.3855421686747
"FALSE POSITIVE",8053552,"K01549.01",1569,29.4812,1867,6,0,43.897191,-0.0006291,3.47968239140588
"FALSE POSITIVE",8111381,"K01550.01",14540,2.23381,28800,6,0,43.906073,-0.004452,3.40740740740741
"FALSE POSITIVE",5444549,"K01551.01",1670,31.1383,2025,12,0,40.678535,-0.0138,3.4475374732334
"CANDIDATE",7984047,"K01552.01",555,77.6335,735,6,0,43.750472,0.02055,9.65609280361359
"CANDIDATE",7951018,"K01553.01",1710,52.7594,2550,12,0,43.763529,-0.0001458,3.00515995872033
"FALSE POSITIVE",9899355,"K01554.01",17290,1.33256,27270,3,0,46.758794,-0.0006089,1.20044918585065
"FALSE POSITIVE",12644774,"K01555.01",1357,41.0774,2054,12,0,51.751223,0.04454,3.48343079922027
"FALSE POSITIVE",9902856,"K01556.01",375.2,135.913,436,12,0,46.73297,-0.0329,2.45688197497464
"CANDIDATE",5371776,"K01557.01",6493,3.2957,7808,3,0,40.557554,0.0003913,12.9128787878788
"CANDIDATE",5371776,"K01557.02",3041,9.65345,4733,6,0,40.55757,0.0002281,9.41807542262679
"CANDIDATE",5371776,"K01557.03",2571,5.31593,4211,3,0,40.557386,0.0007872,4.7341211225997
