"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_pdeco","tce_depth_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",11358389,"K02163.01",132.52,0.01467,0.0001283,21.2446657183499,0.74593023255814,2.31984615384615
"CANDIDATE",11358389,"K02163.02",67.02,0.01284,-0.0001417,15.8129797627355,-0.74578947368421,0.508475609756098
"CANDIDATE",11358389,"K02163.03",36.2,-0.02131,-5.12e-06,7.97987616099071,-0.0159501557632399,0.972785714285714
"CANDIDATE",7204981,"K02164.01",231.66,-0.1048,-0.0003236,22.3682140047207,-2.00993788819876,0.793545150501672
"FALSE POSITIVE",7906739,"K02165.01",69.84,-0.05827,0,22.8979143798024,0,99.8696774193548
"CANDIDATE",4370527,"K02166.01",7.69,0.02927,0.000702,16.2541646834841,0.668571428571429,1.88146892655367
"CANDIDATE",6041734,"K02167.01",69.94,-0.02738,0.000133,20.3368421052632,0.336708860759494,0.295141843971631
"CANDIDATE",11308499,"K02168.01",731.41,-0.2439,-0.0002818,19.4510604514007,-2.40854700854701,1.82511312217195
"CANDIDATE",11308499,"K02168.02",122.75,-0.1631,-4.663e-05,19.0227272727273,-0.263446327683616,1.1724907063197
"CANDIDATE",9006186,"K02169.01",158.19,0.004712,-5.983e-05,24.6480044345898,-2.07024221453287,3.56993670886076
"CANDIDATE",9006186,"K02169.02",313.25,0.006292,-4.974e-05,18.2739457339,-2.19118942731278,1.9153417721519
"CANDIDATE",9006186,"K02169.03",219.02,0.08541,2.86e-05,14.4091041727458,1.1171875,5.14451827242525
"CANDIDATE",9006186,"K02169.04",533.04,0.02912,-1.01e-06,7.02456140350877,-0.0554945054945055,1.30085271317829
"FALSE POSITIVE",2860114,"K02170.01",1584.48,-1.136,0.00132,25.3691275167785,12.6923076923077,28.870796460177
"CANDIDATE",11410904,"K02171.01",427.67,-0.122,6.514e-05,18.341384863124,0.472028985507246,1.28538860103627
"CANDIDATE",4173026,"K02172.01",111.7,-0.02056,-0.0004295,29.2594013814275,-1.42218543046358,1.49303867403315
"CANDIDATE",4173026,"K02172.02",4.48,-0.02473,-9.374e-06,16.1991765311374,-0.0107009132420091,1.55425531914894
"CANDIDATE",11774991,"K02173.01",6.1,0.001685,-4.865e-05,20.7666666666667,-0.368560606060606,1.44930555555556
"CANDIDATE",11774991,"K02173.02",3.83,0.009707,0.0003318,18.4585987261146,2.18289473684211,1.04102112676056
"CANDIDATE",8261920,"K02174.01",32.63,0.01313,0.0001281,7.66634146341463,0.302836879432624,7.69393939393939
"CANDIDATE",8261920,"K02174.02",10.7,0.007483,0.0008834,11.9938301672349,1.83659043659044,1.178127090301
"CANDIDATE",8261920,"K02174.03",3.87,-0.01187,0.001043,12.5328899812057,1.95684803001876,2.78415637860082
"CANDIDATE",8261920,"K02174.04",94.46,0.07522,9.43e-05,6.19239825092499,0.473869346733668,2.5610086100861
"CANDIDATE",9022166,"K02175.01",97.11,-0.02375,-8.9e-05,25.4504960518324,-1.24649859943978,2.2436917562724
"CANDIDATE",9022166,"K02175.02",25.88,0.02,5.768e-07,19.073275862069,0.00403356643356643,1.75406040268456
"CANDIDATE",10965588,"K02177.01",5.14,-0.01218,8.211e-05,18.4195011337868,0.145070671378092,1.76696721311475
"FALSE POSITIVE",2014991,"K02178.01",2278.59,0.04384,0.0001778,21.8023741849189,3.68879668049793,16.1654822335025
"CANDIDATE",10670119,"K02179.01",5.52,0.02653,-9.705e-05,25.9014647137151,-0.23498789346247,1.51676829268293
"CANDIDATE",10670119,"K02179.02",52.83,-0.04126,-0.0004835,20.5250913924892,-1.888671875,2.02422924901186
"CANDIDATE",7286911,"K02180.01",57.91,0.008343,0.0004658,21.4222873900293,2.05198237885463,1.23548223350254
"CANDIDATE",8591173,"K02181.01",164.77,-0.01117,-0.0004565,19.0486725663717,-1.89419087136929,0.568509615384615
"CANDIDATE",6962109,"K02182.01",32.95,-0.03335,-0.0001051,22.7573209625979,-0.215811088295688,2.42979865771812
"CANDIDATE",5706595,"K02183.01",41.56,-0.05281,-0.0003169,19.7760149323378,-1.02556634304207,0.379557522123894
"CANDIDATE",5706595,"K02183.02",277.51,-0.2292,0.0003711,17.3615635179153,2.319375,0.683615384615385
"FALSE POSITIVE",5706595,"K02183.03",2.64,-0.06702,0.0003089,8.13992042440318,0.411318242343542,0.511053459119497
"FALSE POSITIVE",12885212,"K02184.01",273.49,-0.4777,-0.004338,18.1653099561678,-23.4486486486486,81.6561822125813
"CANDIDATE",12885212,"K02184.02",1.63,0.02859,0.000802,8.46458141674333,0.6416,0.761141781681305
"CANDIDATE",8611781,"K02185.01",9.83,0.02881,8.361e-05,21.2394705174489,0.360387931034483,1.5404
"CANDIDATE",3097926,"K02186.01",35.01,-0.01571,0.0001801,27.7828467153285,0.424764150943396,1.87084967320261
"FALSE POSITIVE",5894073,"K02187.01",163.62,0.05155,-0.00224,13.4833659491194,-27.5184275184275,124.714285714286
"FALSE POSITIVE",10518424,"K02188.01",751.1,-1.62,-2.939e-05,19.2005937234945,-0.231417322834646,8.32096317280453
"CANDIDATE",5730445,"K02189.01",10.49,-0.002792,0.0002309,17.7487922705314,0.253457738748628,1.53155797101449
"FALSE POSITIVE",4245933,"K02190.01",14.45,0.006935,-0.001835,29.0229357798165,-8.19196428571429,15.6772845953003
"CANDIDATE",5601258,"K02191.01",12.51,0.02093,-0.0003423,18.5493701747257,-1.18854166666667,1.09909090909091
