"koi_disposition","kepid","kepoi_name","tce_ldm_coeff1","tce_ptemp_stat","tce_fwm_pdeco","tce_dikco_mra","tce_dikco_mdec","tce_dikco_msky","tce_sradius_sn","tce_ptemp_sn","tce_dicco_mra_sn","tce_dikco_msky_sn"
"CANDIDATE",4947556,"K03936.02",0.6744124,3.544,-3.532e-05,0.62561,0.024177,0.62607,10.1686746987952,4.43382200830242,0.94373253493014,1.27769387755102
"FALSE POSITIVE",7362696,"K03937.01",0.3480708,1.116,0.0005277,0.19671,-0.071024,0.20914,6.28225806451613,1.49019390450094,0.554582210242588,0.595840455840456
"FALSE POSITIVE",3865595,"K03938.01",0.8672698,0,-0.0001101,2.7485,1.0501,2.9423,4.62936507936508,0,10.7769230769231,12.009387755102
"CANDIDATE",9593528,"K03939.01",0.2714812,3.956,0.0007168,-0.26176,-0.43946,0.51151,3.36657681940701,8.63176921583851,-0.756589716684155,5.60251916757941
"FALSE POSITIVE",5195945,"K03940.01",0.3982016,4.144,0.0004502,-1.8956,-0.42804,1.9433,5.53926206244087,11.814411709514,-24.6970474967908,24.7869897959184
"FALSE POSITIVE",8552587,"K03941.01",0.3776608,3.385,0.0003127,-1.0952,-1.8666,2.1642,3.04297994269341,6.92919961821653,-3.5742946708464,3.88545780969479
"FALSE POSITIVE",6019872,"K03942.01",0.523213,3.047,-0.04012,-0.13707,12.182,12.183,9.20253164556962,5.05320632334279,-0.0540082449941107,122.8125
"CANDIDATE",7679812,"K03943.01",0.4575378,5.928,9.689e-05,-0.46692,0.72254,0.86028,5.62672811059908,7.41382323077286,-0.520697674418605,3.87513513513513
"FALSE POSITIVE",4864734,"K03944.01",0.2983902,1.911,-0.000351,4.0241,-0.039245,4.0243,1.64621337755666,7.81764531764532,48.1883691529709,34.6922413793103
"FALSE POSITIVE",3121340,"K03945.01",0.3225368,0.1875,-0.0004755,0.24498,6.967,6.9713,1.35437120149603,11.2999545720034,2.26158940397351,94.3342354533153
"CANDIDATE",8636434,"K03946.01",0.4391676,9.684,-4.144e-05,0.19923,-0.13185,0.2389,4.33762057877814,10.5458171405195,0.702012195121951,0.62051948051948
"FALSE POSITIVE",5952366,"K03947.01",0.4997976,6.009,-0.0004969,8.0674,5.5571,9.7961,0,13.6622516556291,2.15824362606232,17.8110909090909
"FALSE POSITIVE",5952366,"K03947.02",0.4997976,10.09,-0.003158,8.2736,5.2042,9.7743,0,13.0388639074975,1.62672690763052,17.6113513513514
"FALSE POSITIVE",6045250,"K03948.01",0.364912,13.4,0,0,0,0,3.52229299363057,30.0398580538984,0,0
