"koi_disposition","kepid","kepoi_name","tce_ror","tce_model_snr","tce_nkoi","tcet_ingress","tcet_depth","tce_max_sngle_ev","tce_rb_tcount4","tce_fwm_sdeco","tce_fwm_pdeco","tce_dicco_msky","tce_dor_sn","tce_fwm_sdec_sn"
"CANDIDATE",11446443,"K00001.01",0.12589471,6930,1,0.5518,14130,544.2,0,0.1066,0.0007788,0.29669,1610.1899216663,100645775.510204
"CANDIDATE",10666592,"K00002.01",0.078784226,3565,1,0.6548,6440,232.3,3,-0.7585,0,3.9676,518.084614400144,76021090.3328051
"CANDIDATE",10748390,"K00003.01",0.060925075,1792,1,0.5699,4137,245.3,0,2.85,0.0008108,6.6417,53.1480389114627,27633129.3103448
"CANDIDATE",3861595,"K00004.01",0.039866118,228.8,1,0.6771,1265,26.06,0,-0.1427,0.0001224,0.080227,86.098782606003,7239282.52788104
"CANDIDATE",8554498,"K00005.01",0.036615779,358,2,0.6339,944.8,39.68,0,-0.05111,-0.0001082,0.19041,101.573489982459,4626674.19689119
"FALSE POSITIVE",3248033,"K00006.01",0.0076370104,24.36,1,1.242,91.3,4.849,0,72.7,-0.003615,0,1.18113773292656,319891.383333333
"CANDIDATE",11853905,"K00007.01",0.027263501,302.3,1,0.6652,693.9,23.66,0,-0.04694,5.112e-05,0.052554,12.8463015548391,4043204.59677419
"FALSE POSITIVE",5903312,"K00008.01",0.010921054,40.95,1,0.6695,122.8,6.059,0,5.283,-0.0004966,8.07,1.43660478887071,651970.792393027
"FALSE POSITIVE",11553706,"K00009.01",0.054669728,401.5,1,1.201,2463,57.1,0,-8.476,0.01866,5.1778,159.857437140931,7403353.51270553
"CANDIDATE",6922244,"K00010.01",0.094050704,1687,1,0.6757,8873,130.8,0,-0.05969,0.0003616,0.019556,224.491748893217,20409164.9038462
"FALSE POSITIVE",11913073,"K00011.01",0.027921071,91.99,1,1.817,587.7,14.43,0,-9.567,0.004598,11.166,43.6137026606863,1440185.47277937
"CANDIDATE",5812701,"K00012.01",0.089229178,628.5,1,1.133,8714,82.2,0,0.241,-0.0009708,0.056623,330.670655196848,32808845.6
"CANDIDATE",9941662,"K00013.01",0.065143174,5052,1,0.5663,4469,480.5,0,0.6993,0,4.5277,377.269684357263,61346274.8691099
"FALSE POSITIVE",7684873,"K00014.01",0.023767831,297.5,1,0.6419,406.3,31.11,0,0.2429,5.322e-05,3.5901,106.559748843321,3115482.51798561
"FALSE POSITIVE",3964562,"K00015.01",0.054691924,281.4,1,1.24,1184,90.5,0,-3.55,0,9.3006,37.011839520282,3586127.88990826
"FALSE POSITIVE",9110357,"K00016.01",0.019118708,48.61,1,1.182,852.9,49.07,0,-397.6,0.06975,9.7538,15.9635937129658,532934.929411765
"CANDIDATE",10874614,"K00017.01",0.092531652,2865,1,0.7118,10120,237.9,0,0.1457,0.0008648,0.069382,126.484085856367,41230756.4102564
"CANDIDATE",8191672,"K00018.01",0.078259482,2178,1,0.7521,6964,165.8,0,0.05465,-0.000686,0.034869,98.6353208039967,27870295.5696203
"FALSE POSITIVE",7255336,"K00019.01",0.063146039,1209,1,0.7349,2820,72.83,0,0.109,-2.683e-05,0.10923,261.997809454726,17557054.5081967
"CANDIDATE",11804465,"K00020.01",0.11673926,3245,1,0.8109,15710,302.4,0,0.01748,8.806e-05,0.0017607,283.693198475572,50241350.4016064
"FALSE POSITIVE",10125352,"K00021.01",0.094634263,546.6,1,0.8598,3422,50.98,0,0.8743,-0.00363,1.9669,56.0120372649457,8203456.17391304
"CANDIDATE",9631995,"K00022.01",0.095297998,1908,1,0.7968,9938,204.7,0,-0.09276,0.0009601,0.02252,156.206553030528,23161667
"FALSE POSITIVE",9071386,"K00023.01",0.11106938,2740,1,0.8955,13790,231.4,0,0.05016,-1.322e-05,0.010211,589.575823186897,74676108.5526316
"FALSE POSITIVE",4743513,"K00024.01",0.064409723,476,1,0.8051,4791,85.65,0,-2.52,0.008371,3.9475,124.130781391886,13922646.8531469
"FALSE POSITIVE",10593759,"K00025.01",0.16255676,1279,1,1.327,9744,113.1,0,0.0619,-8.061e-05,0.012365,234.52444437291,37355888.28125
"FALSE POSITIVE",5021737,"K00026.01",0.12471358,578.7,1,1.972,6422,262.7,0,1.124,-0.006092,3.9415,48.3980187165405,17012988.1355932
"FALSE POSITIVE",3832716,"K00027.01",0.19933221,-1,1,1.663,305500,562.9,0,0,0,0.025063,-5.2597108,0
"FALSE POSITIVE",4247791,"K00028.01",0.44109552,6545,1,2.975,108700,1604,0,-0.158,0.02054,0.040968,1921.28623930805,577373856.304985
"FALSE POSITIVE",6956014,"K00031.01",0.018555452,114.9,1,1.002,399.4,17.21,0,-0.2884,3.581e-05,0.18865,9.55797925889709,3599047.79661017
"FALSE POSITIVE",5725087,"K00033.01",0.0051196794,15.55,1,0.9467,375.1,5.495,0,2.787,-5.153e-05,1.1882,2.03399552731598,198677.402912621
"CANDIDATE",6521045,"K00041.01",0.015152156,74.06,3,1.051,210.5,11.34,0,0.4325,-0.0001281,1.4587,4.00792576144511,969754.965357968
"CANDIDATE",6521045,"K00041.02",0.0091881405,30.22,3,0.8701,68.68,5.232,0,0.7017,-5.996e-05,2.0478,1.77491223990941,411671.225490196
"CANDIDATE",6521045,"K00041.03",0.010860443,19.16,3,1.39,93.07,6.183,0,0.373,-5.045e-05,0.31842,1.60813411671033,265761.860759494
"CANDIDATE",8866102,"K00042.01",0.019055336,130.2,1,0.8934,311.4,22.8,0,0.5845,0.0001457,0.62906,14.0809731124692,1540614.06143345
"FALSE POSITIVE",9025922,"K00043.01",0.055722403,79.52,1,1.738,5770,44.02,0,-24.28,0.06295,6.5744,17.2207190082108,1724104.7148289
"FALSE POSITIVE",8845026,"K00044.01",0.10363115,375.1,1,2.933,11900,75.78,0,-0.1898,-0.001799,0.13576,215.678116823976,15548123.4482759
"FALSE POSITIVE",3742855,"K00045.01",0.14059062,460.6,1,1.496,18580,63.56,0,3.952,-0.05663,5.7996,194.953844155908,10818667.1309192
"CANDIDATE",10905239,"K00046.01",0.035391094,324.1,2,0.6962,1234,23.27,0,0.1938,-7.65e-05,0.033736,10.981179378022,4132930.42735043
"CANDIDATE",10905239,"K00046.02",0.0075242398,8.924,2,2.364,63.8,2.974,0,-0.4241,2.684e-05,0.91942,0.344676410753403,121495.261306533
"FALSE POSITIVE",7837302,"K00048.01",0.24317691,1481,1,2.315,28460,464.4,0,-0.004111,-0.0006494,0.022834,379.777531583619,38877838.3928571
"CANDIDATE",9527334,"K00049.01",0.029118208,94.13,1,0.436,774,12.27,0,-0.1191,8.647e-06,0.048161,4.94262722217645,1831936.11111111
"FALSE POSITIVE",6056992,"K00051.01",0.23491987,462.9,1,1.434,28830,69.95,0,-0.6604,0.04291,1.8999,96.0050510747963,6677261.38933764
"FALSE POSITIVE",3558981,"K00052.01",0.20241323,1601,1,0.734,41790,256,0,-0.4744,-0.003217,0.047751,659.395987294913,33343294.8275862
"FALSE POSITIVE",2445975,"K00053.01",0.10606213,437.2,1,0.6037,11370,56.54,0,-0.3116,-0.00428,1.2923,78.5323094884376,8469381.39013453
"FALSE POSITIVE",8248939,"K00061.01",0.014381763,60.78,1,1.524,326.9,12.44,0,20.43,-0.0036,5.8661,3.71725521386399,1802723.26530612
"CANDIDATE",11554435,"K00063.01",0.062276765,595.5,1,0.5806,3859,93.15,0,0.308,-9.444e-05,0.017323,58.8060180271052,17823124.4604317
"CANDIDATE",7051180,"K00064.01",0.037300782,246.6,1,0.493,1138,18.17,0,-0.1126,7.244e-05,0.059336,21.4618491183001,5071204.88676997
"FALSE POSITIVE",10620329,"K00066.01",0.015407142,118.1,1,0.7127,623.9,6.816,4,-0.02395,-2.884e-05,1.1169,5.37016941615768,2044445
"FALSE POSITIVE",8669092,"K00068.01",0.039939602,-1,1,0.7227,214.8,34.87,0,0.15,-5.345e-05,0.69505,-4.0034094,1112344.96277916
"CANDIDATE",3544595,"K00069.01",0.017550607,244,1,0.5622,262.9,20.67,0,0.1577,1.635e-05,2.8336,10.3823718380632,1267947.67213115
"CANDIDATE",6850504,"K00070.01",0.032239604,193.8,5,0.7038,988.8,29.72,0,-0.2011,-5.514e-05,0.065013,9.65922919125734,3814294.05405405
"CANDIDATE",6850504,"K00070.02",0.020962066,114.3,5,0.5124,360,11.91,0,-0.3318,2.923e-05,0.12169,5.27732388599204,1987729.01408451
"CANDIDATE",6850504,"K00070.03",0.028661534,79.46,5,1.194,804,27.55,0,-0.377,0.0001024,0.16379,5.80111697126085,1501369.32624113
"CANDIDATE",6850504,"K00070.04",0.0093461664,17.53,5,0.6177,68.54,3.486,0,-0.5958,2.47e-05,0.95606,0.795056448326162,323195.076335878
"CANDIDATE",6850504,"K00070.05",0.010448115,13.49,5,0.9984,99.38,3.157,0,0.2187,-4.405e-05,0.98122,0.513405769441781,246155.703488372
"CANDIDATE",11904151,"K00072.01",0.021919818,95.69,2,1.23,458.2,25.64,0,0.3506,6.128e-05,1.1346,5.39993162263173,1407322.04481793
"CANDIDATE",11904151,"K00072.02",0.0070167575,37.1,2,0.393,182.3,9.294,0,1.032,-2.284e-05,0.99401,1.86137667869117,505448.561368209
"FALSE POSITIVE",6889235,"K00074.01",0.03467064,878.1,1,0.2555,1187,88.64,0,0.1534,-4.611e-05,0.61004,47.38466568383,5584784.32147563
"CANDIDATE",7199397,"K00075.01",0.038163237,196.5,1,2.331,1471,70.94,0,0.8721,-0.0008328,1.8655,37.2052894228729,3502354.26229508
"FALSE POSITIVE",9955262,"K00076.01",0.034004041,63.28,1,1.356,1240,16.85,0,0.9909,-0.0007428,2.2383,18.5955304089449,2675566.57142857
"FALSE POSITIVE",9552608,"K00080.01",0.054803128,335.5,1,1.408,1034,41.6,0,-0.1358,-6.04e-05,0.14064,37.2661074189926,4349462.45283019
"FALSE POSITIVE",8823868,"K00081.01",0.067853135,1311,1,0.636,4959,332.1,0,0.03213,-0.000332,0.86381,176.179281108361,25724856.5714286
"CANDIDATE",10187017,"K00082.01",0.032394061,204,6,0.7189,893.8,33.63,0,-0.3918,-3.555e-05,0.092204,15.9781747260206,3807090.40322581
"CANDIDATE",10187017,"K00082.02",0.018428366,71.07,6,0.7142,270.5,10.43,0,-0.4829,1.449e-05,0.28421,4.52778763944819,1275889.08108108
"CANDIDATE",10187017,"K00082.03",0.012937892,23.56,6,1.633,157.3,7.143,0,-0.6291,2.79e-05,0.59564,1.15546301166372,441194.906542056
"CANDIDATE",10187017,"K00082.04",0.0089898176,20.95,6,0.664,69.63,5.118,0,-0.8273,2.566e-05,0.36877,0.966108736749461,360364.885496183
"CANDIDATE",10187017,"K00082.05",0.0071716997,14.54,6,1.212,47.66,4.75,0,0.2022,-2.593e-05,1.2743,0.720011177993418,262267.144444444
"CANDIDATE",10187017,"K00082.06",0.0073210692,9.237,6,0.01076,60.37,3.178,0,0.1561,-3.415e-05,0.85894,0.652894993272059,156318.122516556
"CANDIDATE",2571238,"K00084.01",0.02826536,216.2,1,0.6541,659,25.73,0,-0.291,-1.688e-05,0.069313,18.6696541153894,1951119.53608247
"CANDIDATE",5866724,"K00085.01",0.01910492,153.2,3,0.6599,308,14.8,0,0.08524,-6.693e-05,1.7964,14.136023309676,2555975.40372671
"CANDIDATE",5866724,"K00085.02",0.0099237244,68.02,3,0.6859,96.77,7.821,0,0.01948,-1.214e-05,1.1955,3.44941334055781,1047103.94402036
"CANDIDATE",5866724,"K00085.03",0.011147733,43.99,3,0.8456,108.8,6.505,0,0.1545,-2.972e-05,0.63055,2.60055680742117,718171.431064573
"CANDIDATE",10593626,"K00087.01",0.023532487,36.67,1,0.8605,493,22.13,0,-0.6878,-6.895e-05,0.36704,3.76779250582049,808855.89527027
"FALSE POSITIVE",7700871,"K00088.01",0.0096111873,49.38,1,1.501,112.5,17.29,0,3.142,-0.0002737,6.7371,1.78788652492938,916143.615221987
"CANDIDATE",8056665,"K00089.01",0.019064551,67.32,2,1.998,347.9,32.52,0,0.3596,-5.856e-05,0.34224,6.97487381506085,855749.4140625
"CANDIDATE",8056665,"K00089.02",0.021839265,46.75,2,1.935,470.1,22.51,0,-0.09632,0.0001417,0.31572,2.18182122908316,679290.589147287
"FALSE POSITIVE",9210823,"K00090.01",0.0085988193,29.03,1,1.286,158.9,4.767,0,121.2,0,14.954,1.44764100524694,0
"CANDIDATE",7941200,"K00092.01",0.026796113,76.99,1,0.7882,623.8,24.89,0,0.5206,2.344e-06,0.42235,5.58446813060221,1233475.07042254
"CANDIDATE",6462863,"K00094.01",0.069450928,701.5,4,1.043,5381,174.5,0,0.08032,-0.0002888,0.078397,57.8076891962198,13963714
"CANDIDATE",6462863,"K00094.02",0.04271843,159.4,4,1.81,1893,61.65,0,0.0522,-4.452e-05,0.15886,18.7122075814678,3378317.25806452
"CANDIDATE",6462863,"K00094.03",0.027449924,135.6,4,0.8265,743.3,24.25,0,0.198,-0.0001318,0.10851,6.13744147079787,2634665.09433962
"CANDIDATE",6462863,"K00094.04",0.01207315,35.39,4,0.7314,123.5,6.25,0,0.2027,-2.14e-05,0.41427,1.98949009124458,636644.012158055
"CANDIDATE",5780885,"K00097.01",0.08150984,2182,1,0.8808,7136,185.9,0,-0.1924,-2.272e-05,0.039446,232.863930964016,43206894.8475289
"CANDIDATE",10264660,"K00098.01",0.045211767,627.4,1,0.8994,2131,60.59,0,-0.1168,-0.0002271,0.12524,56.2523290802112,18135255.9386973
"CANDIDATE",4055765,"K00100.01",0.05026091,168.6,1,1.738,1579,19.94,0,0.02998,-1.491e-05,0.11477,71.802928592958,3975608.31643002
"CANDIDATE",8456679,"K00102.01",0.033486218,421.1,2,0.496,919.6,25.64,0,-1.27,-0.001065,2.2665,48.0555380350775,2794679.05660377
"FALSE POSITIVE",8456679,"K00102.02",0.010159682,24.43,2,0.5568,78.1,4.064,0,-1.611,-6.386e-05,0,1.10935552684491,154289.243055556
"CANDIDATE",2444412,"K00103.01",0.033472792,108.3,1,1.245,847.3,20.15,0,-0.3266,-0.0001361,0.14556,32.7323433828613,1209983.94230769
"CANDIDATE",10318874,"K00104.01",0.043822455,306,1,0.2593,1456,22.65,0,0.292,3.93e-06,0.04706,19.9482656814979,3861561.8699187
"CANDIDATE",8711794,"K00105.01",0.032806588,187,1,0.3949,1022,21.91,0,-0.09051,8.027e-05,0.089633,4.54860886218089,2220687.37623762
"FALSE POSITIVE",10489525,"K00106.01",0.010682806,34.95,1,1.816,153.8,5.022,2,-344.5,0.03441,11.887,1.67168442444085,512676.422413793
"CANDIDATE",11250587,"K00107.01",0.021953159,130.8,1,0.7765,436,13.53,0,-0.01099,-2.081e-05,0.082706,6.15425123704611,2354921.00961538
"CANDIDATE",4914423,"K00108.01",0.022609642,119.1,2,0.7287,457,18.05,0,0.212,-8.038e-05,0.045792,6.06321206645941,1712161.92307692
"CANDIDATE",4914423,"K00108.02",0.035147515,122.9,2,2.247,1208,56.45,0,-0.02888,9.363e-05,0.18338,15.5984264967885,1628639.10569106
"FALSE POSITIVE",4752451,"K00109.01",0.020571578,36.89,1,1.598,197.7,13.64,0,40.69,-0.006196,7.282,5.44989808907132,365277.366972477
"CANDIDATE",9450647,"K00110.01",0.023307215,146,1,0.6086,497.5,17.2,0,0.2438,4.615e-05,0.11154,5.84936355886608,2437243.28042328
"CANDIDATE",6678383,"K00111.01",0.022511733,144.7,4,0.8117,484.6,27.96,0,-0.7343,0.0001063,0.1537,5.51791538668622,1841335.19650655
"CANDIDATE",6678383,"K00111.02",0.02462578,98.89,4,1.333,578.7,27.93,0,-0.6343,6.937e-05,0.12081,6.12517508947453,1285567.19512195
"CANDIDATE",6678383,"K00111.03",0.021288706,97.65,4,0.8738,432.6,17.81,0,-0.5998,3.642e-05,0.26546,4.09259271353358,1281659.96960486
"CANDIDATE",10984090,"K00112.01",0.0277997,99.86,2,0.9258,701.6,24.09,0,-0.05551,7.995e-05,0.25399,8.0931996730525,1443319.79166667
"CANDIDATE",10984090,"K00112.02",0.012239429,44.92,2,0.5719,125.8,4.866,0,0.4516,-5.047e-05,0.28745,1.46471570788261,613093.362831858
"FALSE POSITIVE",6721123,"K00114.01",0.027799294,47.53,1,2.221,242.1,10.96,0,24.09,-0.005549,8.9301,6.20336487717067,683278.152350081
"CANDIDATE",9579641,"K00115.01",0.026333802,160.3,3,0.5615,578.8,46.48,0,-0.1746,-0.0001369,0.083728,11.2732150448727,2448475.76719577
"CANDIDATE",9579641,"K00115.02",0.01478111,43.81,3,0.4681,178.3,6.181,0,-0.7323,6.1e-05,0.055025,1.80880672761915,665842.258992806
"CANDIDATE",9579641,"K00115.03",0.0053793436,8.747,3,0.04665,23.2,3.894,0,-0.2904,-2.759e-06,0.047235,0.606687047128975,137726.663690476
"CANDIDATE",8395660,"K00116.01",0.024687453,78.81,4,0.6662,510.4,18.77,0,-0.002582,0.0001081,0.25606,6.58921933375702,1009966.9476082
"CANDIDATE",8395660,"K00116.02",0.026214035,65.18,4,1.278,596.3,16.55,0,0.01076,0.0001199,0.22874,8.59205032210738,879713.353174603
"CANDIDATE",8395660,"K00116.03",0.0078114853,12.51,4,1.453,58.75,2.695,0,-0.3421,3.023e-05,0.82348,0.464814447293285,164823.252788104
"CANDIDATE",8395660,"K00116.04",0.01055926,11.88,4,0.0003793,90,4.178,0,1.283,-0.0001016,0.63511,0.53189643000923,164214.466666667
"CANDIDATE",10875245,"K00117.01",0.022357336,68.96,4,1.065,419.4,11.16,0,-0.05887,0.000114,0.41661,11.9237373251494,1530431.55555556
"CANDIDATE",10875245,"K00117.02",0.01205818,38.54,4,0.7952,115.5,5.308,0,0.03864,2.021e-05,0.35789,2.2640471487127,777558.403225806
"CANDIDATE",10875245,"K00117.03",0.012742908,36.4,4,0.6812,132.8,5.743,0,0.2982,-1.23e-05,0.58697,2.10578870268746,760389.479495268
"CANDIDATE",10875245,"K00117.04",0.0076056212,10.27,4,0.7159,50.39,2.978,0,0.5793,-1.84e-05,0.96404,0.528005514236484,226332.258215962
"CANDIDATE",3531558,"K00118.01",0.017037026,50.07,1,0.7207,248.7,10.75,0,-0.1836,0.0001512,0.45763,2.78760079438262,491724.541984733
"CANDIDATE",9471974,"K00119.01",0.039073987,246.5,2,1.811,1541,61.6,0,-1.081,-0.00188,0.013996,23.8359724391073,2374331.44329897
"CANDIDATE",9471974,"K00119.02",0.033993233,95.42,2,2.745,1090,45.91,0,-1.341,-0.001,0.45536,15.7337124964771,854581.762523191
"CANDIDATE",11869052,"K00120.01",0.014816572,21.14,1,0.9425,670.9,41.06,0,0.3826,-0.0001147,0.52561,0.416345752991666,473322.603773585
"FALSE POSITIVE",3247396,"K00121.01",0.031245354,64.8,1,1.964,397.8,10.12,0,-2.831,0.001113,2.9142,10.1203118798391,682965.729537367
"CANDIDATE",8349582,"K00122.01",0.023108816,118.4,1,0.5715,474.6,16.45,0,-0.4012,6.316e-05,0.07089,5.12701696208264,2312392.13541667
"CANDIDATE",5094751,"K00123.01",0.018569503,102.2,2,0.782,287.1,13.49,0,0.2079,-4.27e-05,0.13421,8.06339801420644,1685561.84100418
"CANDIDATE",5094751,"K00123.02",0.01926697,84.17,2,1.054,349.8,14.82,0,0.2574,-7.224e-05,0.089566,4.19925044073669,1470253.32116788
"CANDIDATE",11086270,"K00124.01",0.017038988,54.13,2,0.3211,235.1,7.566,0,0.1741,-4.62e-05,0.029038,2.97055700949945,872582.728904848
"CANDIDATE",11086270,"K00124.02",0.019279424,53.46,2,0.5278,337.8,10.34,0,-0.2039,6.819e-05,0.15555,2.25326464066999,855682.271126761
"CANDIDATE",11449844,"K00125.01",0.13799207,827.1,1,1.049,22470,261.1,0,-0.1583,-0.0003218,0.014484,145.704734012485,19061948.2625483
"FALSE POSITIVE",5897826,"K00126.01",0.11431255,646.1,2,3.908,11260,343.9,0,-0.02269,-0.0004284,0.041924,198.46336655376,24472788.0952381
"CANDIDATE",5897826,"K00126.02",0.035712583,11.4,2,1.872,216.9,16.41,0,-0.6059,0.0002066,0.19167,1.71667728573084,223446.315217391
"CANDIDATE",8359498,"K00127.01",0.09763895,1679,1,0.6507,10970,145,0,0.1277,0.0002158,0.0019719,91.69614158514,25633210.982659
"CANDIDATE",11359879,"K00128.01",0.10207675,1873,1,0.7272,10730,161.2,0,-0.2461,-0.002235,0.10409,217.450419991789,26562190.2702703
"CANDIDATE",11974540,"K00129.01",0.076651615,455,2,0.9462,6886,88.02,0,0.2203,-0.0007078,0.23258,49.3152526336535,13762945.6284153
"CANDIDATE",5297298,"K00130.01",0.11386052,1303,1,1.072,13220,267.3,0,-0.1744,0.000125,0.0077772,260.854092483606,15980143.083004
"CANDIDATE",7778437,"K00131.01",0.074979659,764.2,1,0.7458,6269,65.98,0,-0.04134,-0.0005156,0.058737,56.0579171082886,15155950.8710801
"FALSE POSITIVE",8892910,"K00132.01",0.10161448,728.9,1,1.598,5991,94.32,0,-0.2387,0.00159,0.15004,152.600990428269,10446940.7407407
"FALSE POSITIVE",11673674,"K00133.01",0.065312783,506.3,1,1.087,4508,79.86,0,4.492,-0.01577,2.6951,100.141777195061,7790640.7523511
"FALSE POSITIVE",9032900,"K00134.01",0.068570127,104,1,4.069,4924,69.02,0,-0.2193,0.0002735,0.048023,21.8579157398164,2302787.76649746
"CANDIDATE",9818381,"K00135.01",0.085482394,1347,1,0.6096,7530,118.4,0,0.03797,-0.0002718,0.011495,140.203190942529,23334130.5
"FALSE POSITIVE",7601633,"K00136.01",0.1053127,286.1,1,0.8974,5063,60.04,0,-0.02188,0.0001242,0.0080958,34.1389288844923,3756855.13043478
"CANDIDATE",8644288,"K00137.01",0.056028438,370.8,3,0.8051,3243,85.15,0,-0.1273,0.0002559,0.043326,21.565553346412,4895654.81400438
"CANDIDATE",8644288,"K00137.02",0.047845337,359.8,3,0.7779,2172,44.18,0,-0.1214,0.0001639,0.033691,22.2697989327179,4661071.45833333
"CANDIDATE",8644288,"K00137.03",0.018624505,57.39,3,0.1773,272.4,5.868,0,0.3625,-0.0001172,0.040658,1.88878935556607,685243.813169985
"FALSE POSITIVE",8506766,"K00138.01",0.12424446,362.5,1,2.365,7054,85.07,0,-0.05353,-0.003826,0.17413,67.4380832858645,7442126.04340568
"CANDIDATE",8559644,"K00139.01",0.056930941,147,2,3.279,3401,74.15,0,0.0001408,-0.0001367,0.095693,25.9499602629902,2613349.12280702
"CANDIDATE",8559644,"K00139.02",0.01367521,39.28,2,0.4017,147.9,5.243,0,-0.521,7.537e-05,0.29171,1.69517315756189,533908.303464755
"FALSE POSITIVE",5130369,"K00140.01",0.028700855,70.66,1,2.5,1131,40.64,0,13.14,-0.009659,5.8008,26.046869758908,1074416.26666667
"CANDIDATE",12105051,"K00141.01",0.056561449,360.5,1,0.3722,2553,18.87,0,-0.09519,0.0001692,0.28668,37.6950123386881,4823960.38095238
"CANDIDATE",4649305,"K00143.01",0.052249402,181.8,1,1.176,2358,30.53,0,-0.1285,0.0001295,0.13486,53.8553871204145,2566554.4516129
"CANDIDATE",4180280,"K00144.01",0.037090436,220.4,1,0.7221,1283,20.03,0,0.08378,-1.631e-05,0.058102,9.53133495718501,2255734.65517241
"CANDIDATE",9904059,"K00145.01",0.050566305,42.91,1,4.067,1820,14.38,0,0.07009,-0.0004518,0.055667,24.4120754643297,2069979.15929204
"FALSE POSITIVE",9048161,"K00146.01",0.081297612,226,1,1.784,2255,75.43,0,27.69,-0.05926,1.8378,32.3543323572769,5138746.14512472
"FALSE POSITIVE",1996679,"K00147.01",0.081508532,62.07,1,2.213,2430,31.37,0,3.668,-0.01246,5.1929,8.75077885871441,733679.04109589
"CANDIDATE",5735762,"K00148.01",0.031953088,132.6,3,0.683,908.4,18.6,0,-0.3615,-4.434e-05,0.23178,7.11059110992735,1819952
"CANDIDATE",5735762,"K00148.02",0.024099683,93.46,3,0.7093,448.7,11.53,0,-0.4786,3.226e-05,0.14698,7.81355374468679,1153489.77464789
"CANDIDATE",5735762,"K00148.03",0.024779481,45.72,3,0.9561,536.5,13.86,0,-0.08882,-0.0001775,0.30653,3.84046800362476,638829.875195008
"CANDIDATE",3835670,"K00149.01",0.030039999,167.2,1,1.222,907.8,24.27,0,0.04308,-2.098e-05,0.080799,8.30203517990293,1564080.80321285
"CANDIDATE",7626506,"K00150.01",0.028259564,133.5,2,0.6345,762.6,16.77,0,0.3717,0.0003416,0.083964,4.38982630711137,1606314.23791822
"CANDIDATE",7626506,"K00150.02",0.02823234,86.56,2,0.6246,777.9,18.87,0,0.1819,0.0005166,0.098446,2.7061532154788,1046242.15496368
"CANDIDATE",2307199,"K00151.01",0.048068984,102.8,1,1.082,1412,16.02,0,-0.7363,0.0003652,0.23901,21.8985048359949,950271.590909091
"CANDIDATE",8394721,"K00152.01",0.051318943,146,4,1.141,2750,34.86,0,0.0838,-0.0006164,0.052964,18.0196997959174,2689794.12121212
"CANDIDATE",8394721,"K00152.02",0.027263521,62.11,4,0.8465,618.4,12.84,0,-0.2384,7.225e-05,0.29818,9.12698527318286,932384.74789916
"CANDIDATE",8394721,"K00152.03",0.028539777,54.62,4,1.168,720.9,10.94,0,-0.1176,-8.218e-06,0.1023,9.13094927511898,868523.424657534
"CANDIDATE",8394721,"K00152.04",0.021105533,14.04,4,0.8863,394,5.044,0,-0.6643,0.0002121,0.21801,0.644946235730988,193805.218340611
"CANDIDATE",12252424,"K00153.01",0.030673161,132.1,2,0.6091,723.8,18.24,0,-0.03626,4.709e-05,0.068633,9.84775090068919,1709540.93959732
"CANDIDATE",12252424,"K00153.02",0.032756149,122.1,2,0.6405,931.1,16.53,0,-0.06106,8.51e-05,0.1157,4.52156716218709,1627613.83386581
"CANDIDATE",8030148,"K00155.01",0.027420995,182.9,1,0.9051,702.1,16.76,0,0.2722,-0.000103,0.20368,8.06885321895946,2285481.5625
"CANDIDATE",10925104,"K00156.01",0.040174057,133.9,3,0.709,1399,20.59,0,0.5008,-0.0006337,0.26325,16.0330672633261,3334459.24137931
"CANDIDATE",10925104,"K00156.02",0.028250282,66.55,3,0.7324,551.4,10.57,0,0.4843,-0.0002523,0.32296,16.0336157666176,1569793.99350649
"CANDIDATE",10925104,"K00156.03",0.022019046,46.9,3,0.6257,321.5,7.283,0,0.355,-9.972e-05,0.32972,11.2893520568262,1086508.29213483
"CANDIDATE",6541920,"K00157.01",0.038248142,103.5,6,0.9,1325,22.14,0,0.283,0.0002749,0.10102,10.1575710895939,1663064.24603175
"CANDIDATE",6541920,"K00157.02",0.028266399,96.83,6,0.8002,738,17.77,0,0.3237,0.0001231,0.15691,5.36597605706782,1546466.05166052
"CANDIDATE",6541920,"K00157.03",0.030519662,99.09,6,1.199,914.4,19.66,0,0.1798,0.0002936,0.14962,3.96279064244276,1611891.92307692
"CANDIDATE",6541920,"K00157.04",0.031139882,61.56,6,1.264,1048,23.93,0,0.2934,0.0002123,0.18647,2.91728832276693,1063685.83756345
"CANDIDATE",6541920,"K00157.05",0.02606647,43.4,6,1.292,544.6,11.76,0,0.2241,0.0001472,0.035455,8.17312410814133,739139.365079365
"CANDIDATE",6541920,"K00157.06",0.019357395,44.04,6,0.7798,286.7,7.053,0,0.0805,0.0001207,0.15111,4.75494434455098,683673.115823817
"FALSE POSITIVE",10555375,"K00158.01",0.017424165,26.51,1,0.9077,246.4,11.33,0,-12.7,0.002798,6.3287,6.92032587925598,463912.067961165
"CANDIDATE",8972058,"K00159.01",0.02276173,80.83,2,0.7169,446.9,9.809,0,0.2087,-1.057e-05,0.1491,4.42447373413875,1120345.99009901
"CANDIDATE",8972058,"K00159.02",0.0090909778,16,2,0.02027,72.05,3.489,0,0.6518,-3.242e-05,0.39977,0.501062245671696,207624.316513761
"CANDIDATE",6631721,"K00160.01",0.029439352,65.44,1,0.8876,650.6,11.26,0,3.299,-0.001993,3.1327,20.0036154281996,797230.474383302
