"koi_disposition","kepid","kepoi_name","tce_ror","tce_model_snr","tce_nkoi","tcet_ingress","tcet_depth","tce_max_sngle_ev","tce_rb_tcount4","tce_fwm_sdeco","tce_fwm_pdeco","tce_dicco_msky","tce_dor_sn","tce_fwm_sdec_sn"
"FALSE POSITIVE",9529294,"K07184.01",0.010843702,8.535,1,1.043,123,3.322,0,4.237,-0.0003896,6.7563,0.25246413486387,101915.534216336
"FALSE POSITIVE",9529856,"K07185.01",0.26731531,1351,1,1.879,29000,409.4,0,0.3503,-0.01317,0.52528,298.63856528247,27147480.5882353
"FALSE POSITIVE",9536048,"K07186.01",0.0083622026,10.25,1,0.5132,81.49,5.223,0,-8.164,0.0004807,4.6903,0.64666544252948,129379.333333333
"FALSE POSITIVE",9540450,"K07187.01",0.38865553,-1,1,1.598,277000,2007,0,0,0,0.43549,-4.6317464,0
"FALSE POSITIVE",9540675,"K07188.01",0.006639377,7.786,1,0.5592,34.62,3.545,0,1.439,-6.182e-05,2.4812,0.874509596379449,157141.462585034
"FALSE POSITIVE",9541163,"K07189.01",0.0081036376,13.02,1,1.273,105.2,3.886,0,0.1602,-1.158e-05,1.6199,0.529305524635267,165241.519713262
"FALSE POSITIVE",9541567,"K07190.01",0.0034525261,8.635,1,1.002,56,3.938,0,1.33,-1.444e-05,0.066249,1.89023890273006,118561.334190231
"FALSE POSITIVE",9569866,"K07191.01",0.64457763,4046,1,1.197,399600,383.5,0,-0.1823,0.1051,0.018542,922.745954676828,379066467.213115
"FALSE POSITIVE",9579192,"K07192.01",0.20740909,5579,1,2.485,42200,993.4,0,-0.002264,-1.08e-05,0.017394,3575.65121675436,184457007.968127
"FALSE POSITIVE",9579789,"K07193.01",0.0093990591,9.354,1,0.8325,87.69,3.225,0,-4.634,0.0003175,2.7678,0.424249962469764,108403.613583138
"FALSE POSITIVE",9592855,"K07196.01",0.49115117,2186,1,1.611,142400,293.5,0,-0.1485,0.01229,0.041061,158.524175618585,676962503.660322
"CANDIDATE",9596064,"K07197.01",0.01983534,9.822,1,0.7406,358.2,3.491,0,-1.016,0.0003033,0.32563,0.389343992419597,127739.966850829
"CANDIDATE",9596187,"K07198.01",0.03973218,212.6,1,0.7094,2298,14.39,0,0.1634,-0.0001317,0.048152,14.5780670407869,2719036.17647059
"FALSE POSITIVE",9597095,"K07200.01",0.27843495,1712,1,1.14,44950,143,0,-0.3431,0.0009548,0.14494,480.779810984504,24610787.2340426
"FALSE POSITIVE",9597854,"K07201.01",0.0088874134,8.822,1,0.01925,86,3.515,0,-58.71,0.00484,0,0.433453770174672,88438.6252390057
"FALSE POSITIVE",9602431,"K07202.01",0.0090722883,8.973,1,0.09164,59.74,4.072,0,0.497,-3.651e-05,2.5298,0.595407847498062,101634.391208791
"FALSE POSITIVE",9602538,"K07203.01",0.0075167652,8.396,1,3.392,52.85,3.053,0,3.328,-0.0001553,3.3453,0.597516183753164,93690.2935222672
"FALSE POSITIVE",9630640,"K07204.01",0.041758765,58.37,1,0.1772,878.9,5.967,0,-0.2485,0.0001222,0.049973,5.12264304865003,1113487.52403846
"CANDIDATE",9635520,"K07205.01",0.018028719,-1,1,2.874,657.2,5.123,0,11.22,-0.007215,9.2143,-5.2387793,333656.165467626
