"koi_disposition","kepid","kepoi_name","tce_ingress","tce_model_chisq","tce_minmesd","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_sma_sn","tce_smet_sn","tce_fwm_sdeco_sn"
"FALSE POSITIVE",7031340,"K07804.01",0.04196,28070,0.3251,1.715,8.64e-05,2.56485475985045,1.87251582511409,-0.914285714285714,-1.64353312302839
"FALSE POSITIVE",7031638,"K07805.01",0.07746,14250,0.3911,-0.9406,1.431e-05,2.3921620901093,5.29109589041096,-0.6,-1.15412844036697
"FALSE POSITIVE",7031726,"K07806.01",0.05269,49090,0.2918,-1.378,4.086e-05,1.29270618147148,0,-0.72,-2.94293125810636
"FALSE POSITIVE",7031898,"K07807.01",0.0378,47060,0.2,0.2416,3.434e-05,1.21847439269689,5.94072743601257,-1.46666666666667,-3.02586206896552
"FALSE POSITIVE",7045605,"K07808.01",0.02428,47610,0.806,0.1114,-1.113e-06,0.00925607476635514,4.19198664440735,-0.114285714285714,-0.11954954954955
"FALSE POSITIVE",7090867,"K07810.01",1.054,340.5,201.7,-0.845,-0.0007183,6.20275162925416,6.90430314707771,0.16,1.8021978021978
"FALSE POSITIVE",7115550,"K07811.01",0.0295,47840,0.3168,0.6073,8.539e-05,0.25671768707483,4.8048503220917,-1.26666666666667,-3.78169790518192
"FALSE POSITIVE",7116024,"K07812.01",0.08103,10050,1.519,0.268,-1.106e-05,3.1326139923425,3.70819935691318,0,0.778235294117647
"FALSE POSITIVE",7116519,"K07813.01",0.06021,-1,0.3043,-0.05783,-0.0002614,-0.1,-0.01387,0.2,2.86680121089808
"FALSE POSITIVE",7117126,"K07814.01",0.02793,27830,0.2542,-1.563,-4.415e-06,2.17142857142857,4.55722786139307,0.2,-0.0579213483146067
"FALSE POSITIVE",7117147,"K07815.01",0.01388,47990,0.3501,-2.157,5.005e-05,0.0240765391014975,3.22379467498201,-1.42857142857143,-4.67147613762486
"FALSE POSITIVE",7117485,"K07816.01",0.05672,-1,0.3335,-2.14,6.262e-05,-0.1,-0.01276,-1.86666666666667,-0.862732919254658
"FALSE POSITIVE",7117710,"K07817.01",0.08137,46970,0.3262,-1.667,1.846e-05,1.90970464135021,8.82081686429513,2.4,-0.906422018348624
"CANDIDATE",7134626,"K07818.01",0.09421,10330,0.5609,0.6799,-1.697e-05,2.63517060367454,3.08483896307934,-1.13333333333333,0.738041733547351
"FALSE POSITIVE",7177766,"K07819.01",0.04785,21110,0.5219,0.7047,-5.036e-05,3.21184022824536,3.70585874799358,0.0666666666666667,3.95723014256619
"FALSE POSITIVE",7199644,"K07821.01",0.05697,23870,0.7865,-4.366,4.599e-05,1.09051254089422,4.26142183978693,-1.53333333333333,-1.25736434108527
"FALSE POSITIVE",7199724,"K07822.01",0.0874,47430,0.3085,1.192,1.61e-05,1.17164948453608,4.00817995910021,-0.228571428571429,-0.512894736842105
"FALSE POSITIVE",7199756,"K07823.01",0.07763,40070,0.3001,0.3424,-5.551e-05,0.349271523178808,12.1015416714965,-1,0.357867647058824
"FALSE POSITIVE",7199883,"K07824.01",0.07235,47780,0.2918,-0.9984,7.381e-05,1.21362725450902,3.67722718656918,-0.266666666666667,-4.60185185185185
"FALSE POSITIVE",7200485,"K07825.01",0.03433,39140,0.2835,1.372,3.355e-05,0.765736015210647,3.97276853252648,-0.866666666666667,-0.394661016949153
"FALSE POSITIVE",7203326,"K07826.01",0.1359,239.4,2,-1.329,-2.044e-05,0.20187548840844,4.26539058458355,-1.46666666666667,-0.0600566037735849
"FALSE POSITIVE",7210749,"K07828.01",0.2958,2214,4.945,-2.546,0.000306,0.893594934080764,102318.392581144,1.06666666666667,4.04081632653061
"FALSE POSITIVE",7281668,"K07829.01",0.08072,46890,0.3501,0.2448,3.331e-05,2.27473363774734,7.78425655976676,0.466666666666667,-1.97546012269939
"FALSE POSITIVE",7282154,"K07830.01",0.06628,-1,0.3001,0.4726,-0.0003174,-0.1,-0.01216,-0.914285714285714,2.95481481481481
"FALSE POSITIVE",7282168,"K07831.01",0.05735,34830,0.3376,-1.49,6.504e-05,0.915006100040667,6.75246440306681,-1.66666666666667,-1.16697674418605
