"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_ingress","tce_model_chisq","tce_sradius","tce_minmesd","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_stat","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_sma_sn","tce_insol_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn"
"CANDIDATE",6153407,"K03179.01",1,0.08704,2961,0.972,4.097,0.0008602,22.34,0,9.5359,2.76,3.154e-05,3.19290231904427,7.43669480231008,7.75283640356228,4.60932046807637,0,2.60377358490566,-1.05127582017011
"CANDIDATE",4735826,"K03184.01",1,0.1169,9588,1.376,1.989,0.807,40.28,0,2.2095,0.2204,-1.582e-05,2.27230935640887,25.3311851056212,5.43202846975089,3.24555654850561,0.8,0.251598173515982,0.502475247524752
"FALSE POSITIVE",3240406,"K03185.01",1,0.02259,47970,2.152,0.3825,0.3495,0.4176,0,3.9222,-0.8942,-5.229e-06,1.81233933161954,32.3187108325873,7.2896,4.851791525095,0.5,-1.04707259953162,0.644537037037037
"FALSE POSITIVE",4663658,"K03187.01",1,0.01563,37730,2.449,0.4271,0.2927,1.623,0,0,-1.177,-4.591e-06,0.00405801182765418,29.1456077015644,3.39907746142834,2.1213266362404,0.116666666666667,-0.989075630252101,0.66551724137931
"FALSE POSITIVE",7457278,"K03188.01",1,0.1757,17560,1.002,-1.648,0.1055,236,0,7.5539,-1.457,1.988e-05,0.740871934604905,84.6913580246913,5.58521560574949,3.40771812080537,0,-1.80993788819876,-0.644051446945338
"CANDIDATE",5985713,"K03190.01",1,0.1087,3445,1.207,5.963,0.5998,35.17,0,25.961,2.003,0.0001124,1.94932871372889,6.96969696969697,5.99785407725322,3.5710586881473,-1.46666666666667,1.55271317829457,-2.2811320754717
"CANDIDATE",10467815,"K03191.02",2,0.2298,633.5,3.218,-11.78,3.572,6444,0,6.7656,0.7235,-0.0001617,0.0972268310026072,17.9869524697111,2.46413199426112,1.53377110694184,0.107692307692308,0.911209068010076,1.46674182638106
"FALSE POSITIVE",7430876,"K03193.01",1,1.401,532.7,1,11.32,5.843,72.73,0,129.55,-4.478,-0.004681,6.82283737024222,9.22924901185771,241859.339063067,0,1.06666666666667,-6.08423913043478,4.54860186418109
"CANDIDATE",12004971,"K03194.01",1,0.02883,1230,1.46,-1.579,0.807,50.54,0,0.31756,0.2718,1.751e-05,1.51604595879556,17.8762518864042,6.5470297029703,4.11564229536848,2.26666666666667,0.420743034055727,-0.196271637816245
"CANDIDATE",9002538,"K03196.01",1,0.07297,5993,1.298,2.048,0.0245,7.494,0,6.4753,-1.155,-1.851e-05,2.87759667625439,12.8474114441417,6.46368467670505,3.92518987341772,-0.266666666666667,-1.19565217391304,0.978355501813785
