"koi_disposition","kepid","kepoi_name","tce_dof2","tce_chisq2","tce_chisqgof","tce_eqt","tce_hap_stat","tce_fwm_pdeco","tce_dicco_mdec","tce_time0_sn"
"CANDIDATE",4252671,"K07687.01",61.41,76.59,909.2,1160,2.194,-2.27e-05,-2.5105,185364693.446089
"FALSE POSITIVE",4281068,"K07689.01",486800,425100,815000,2320,0,0,-0.088958,43122431055.6824
"FALSE POSITIVE",4284980,"K07690.01",463.7,466.3,3603,1340,10.09,-0.0002364,-1.238,354550798.146204
"FALSE POSITIVE",4355503,"K07691.01",7.78,27.71,122.3,100,-0.5962,-0.0007157,0.26081,251920468.095499
"FALSE POSITIVE",4373195,"K07692.01",1878,2159,9675,5130,0,0,14.797,1050452493.52817
"CANDIDATE",4384909,"K07693.01",139.3,136.4,674.1,887,-0.7542,-0.0007827,2.1856,319052681.374893
"FALSE POSITIVE",4386607,"K07694.01",139.7,134.2,1021,953,3.932,5.968e-05,-1.8046,252038404.757065
"FALSE POSITIVE",4390912,"K07695.01",1657,1879,5152,0,4.774,0.0001612,-3.4611,3670518157.02598
"FALSE POSITIVE",4472143,"K07696.01",7.71,1.515,21.22,268,-1.381,0.000155,-0.91036,166471613.29256
"FALSE POSITIVE",4574319,"K07697.01",649.8,612.9,6786,1490,6.682,-0.0001045,-2.3162,380844601.093371
"FALSE POSITIVE",4651399,"K07698.01",6.47,1.192,29.64,595,1.204,0.002041,-0.021162,532066590.673665
"FALSE POSITIVE",4670267,"K07699.01",5180000,9551000,18940000,1710,547.4,0,-0.079704,-2454970
"CANDIDATE",4670361,"K07700.01",6.708,0.8827,78.09,237,0.3635,0.0004618,-0.20045,289580217.322582
"FALSE POSITIVE",4730442,"K07702.01",774.6,794.5,2855,2000,4.131,4.01e-05,-0.42243,1015407141.46858
"CANDIDATE",4742188,"K07703.01",6.204,0.3451,57.76,254,0.3291,0.0002778,1.3151,105704088.310257
"CANDIDATE",4742452,"K07704.01",213,224.7,1675,1110,-0.7481,-7.087e-05,1.025,332400434.359928
"CANDIDATE",4762283,"K07706.01",29.07,22.19,105.7,303,-0.6631,0.001462,0.22219,383922483.626605
"FALSE POSITIVE",4774646,"K07707.01",2363,2769,10590,2760,22.35,-0.000316,5.4138,2301117297.48983
"CANDIDATE",4813793,"K07708.01",157.5,143.9,595.8,1370,-0.4928,5.423e-05,-1.8505,662304307.593526
"FALSE POSITIVE",4840156,"K07709.01",394.2,431.2,2752,1440,23.08,-9.562e-05,0.79135,525848386.122517
"FALSE POSITIVE",4851283,"K07710.01",361.4,405.4,3698,1700,8.964,-0.0006209,6.4471,483735071.516819
"CANDIDATE",4940203,"K07711.01",9.449,1.536,138.4,246,3.81,7.335e-05,-1.6567,119549011.301498
"FALSE POSITIVE",5009688,"K07713.01",964.1,991.3,4040,1730,7.039,-0.0003072,3.4501,917824402.937086
"FALSE POSITIVE",5024429,"K07714.01",559.4,675.7,2821,1700,9.975,0.0003249,2.2755,907694981.180351
"CANDIDATE",5091479,"K07715.01",54.75,52.66,715.6,613,2.199,6.668e-05,-0.78549,136535894.640831
"CANDIDATE",5097856,"K07716.01",6.557,2.427,73.7,202,-1.446,0.0004422,-1.4364,91984010.7294449
"FALSE POSITIVE",5120225,"K07717.01",30880,190900,213400,1860,172.1,-0.001524,1.6964,7458619935.34745
"FALSE POSITIVE",5126932,"K07718.01",2420,2793,9796,2230,2.841,-0.0001013,2.2596,1194435929.99664
"FALSE POSITIVE",5168498,"K07719.01",8.831,7.485,133.7,427,0.922,-0.0003742,-0.9806,109050246.077857
"FALSE POSITIVE",5185765,"K07720.01",31.78,28.97,98.13,669,0.4372,-0.0001371,-2.4957,494968678.993454
"FALSE POSITIVE",5201593,"K07721.01",2095,1294,4357,2450,4.566,-0.0001674,7.3001,793827767.286649
"FALSE POSITIVE",5273713,"K07722.01",983.4,1145,4270,2320,37.97,0.0006651,0,714225034.547967
"FALSE POSITIVE",5276332,"K07723.01",6.892,4.041,75.43,306,4.282,1.461e-05,-3.8173,132282119.669172
"FALSE POSITIVE",5301093,"K07724.01",6.69,0.5835,49.2,188,-0.08583,6.618e-05,0,92561108.0115204
"FALSE POSITIVE",5305399,"K07725.01",22.75,67.8,202.5,259,17.35,0.002754,-2.634,136797352.115187
"FALSE POSITIVE",5389632,"K07726.01",1180,1314,4861,1750,13.94,0.0003053,-1.9412,1211768364.31484
"FALSE POSITIVE",5444491,"K07727.01",1740,1946,10850,2060,18.09,-0.0001944,4.566,336738263.005784
"FALSE POSITIVE",5456319,"K07728.01",1127,1239,6753,1590,18.69,0.0002265,-3.6267,627795706.898933
