"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_prao","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",5731312,"K06621.01",37.02,-0.8976,-0.1821,0,3.24716417910448
"FALSE POSITIVE",5735878,"K06622.01",566.01,-0.1277,0.008928,2.67317073170732,0.592544910179641
"FALSE POSITIVE",5736461,"K06623.01",114.86,-0.6333,-0.03844,0.213838383838384,0.589730941704036
"FALSE POSITIVE",5737869,"K06624.01",27.43,0.06533,-0.0006892,1.95826771653543,3.82403846153846
"FALSE POSITIVE",5771589,"K06625.01",395.22,-0.1922,0.000803,1.75527950310559,6.20943134535368
"FALSE POSITIVE",5781192,"K06626.01",81.51,-0.3263,0,-0.0238263305322129,0.148103293413174
"FALSE POSITIVE",5802285,"K06627.01",647.65,0.1506,0.004064,0,14.6792452830189
"FALSE POSITIVE",5802470,"K06628.01",241.03,-0.2539,0.02822,0.0245436893203883,0.413398203592814
"FALSE POSITIVE",5807579,"K06629.01",138.45,-0.1503,0.02745,-0.102294807370184,0.244167916041979
"CANDIDATE",5809372,"K06630.01",476.94,-0.02248,8.53e-05,0.398100558659218,0.722563909774436
"CANDIDATE",5860347,"K06631.01",445.1,-0.06992,-8.539e-05,-0.980479452054794,1.95803842264914
"FALSE POSITIVE",5871918,"K06632.01",9.09,-0.2658,-0.006133,0.0892063492063492,0.509536621823617
"FALSE POSITIVE",5894825,"K06633.01",11336.49,3.36,-8.941e-06,-0.461560693641619,0.286294670846395
"FALSE POSITIVE",5894972,"K06634.01",4557.2,0.9289,1.558e-05,0.0697073170731707,3.8354
"FALSE POSITIVE",5952309,"K06636.01",3096.18,-1.479,-0.000293,-3.28820375335121,11.7362068965517
"FALSE POSITIVE",5952457,"K06637.01",1100.39,-0.4361,-0.000137,1.57179487179487,5.46930693069307
"FALSE POSITIVE",5962514,"K06639.01",9878.18,2.188,0.007249,0.00188709677419355,0.11637874251497
"FALSE POSITIVE",5962716,"K06640.01",3235.99,3.74,0,0,0.370224887556222
"CANDIDATE",5966732,"K06641.01",2292.31,-0.1798,-0.0007992,1.28,1.8972602739726
"FALSE POSITIVE",5977541,"K06642.01",24522.76,-1.627,8.24e-05,-17.6592592592593,18.8120087336245
"FALSE POSITIVE",5983348,"K06644.01",52.36,-0.228,0.01056,0.202222222222222,2.93304843304843
"FALSE POSITIVE",5990753,"K06645.01",5021.17,-0.1097,-9.491e-05,0,3.93609589041096
"CANDIDATE",6019971,"K06646.01",75.48,0.01624,0.0001378,0.14241610738255,0.357243107769424
"FALSE POSITIVE",6029130,"K06647.01",40.3,-0.7161,-0.03768,0.0758033573141487,0.20568215892054
"FALSE POSITIVE",6041511,"K06649.01",9265.08,-0.3086,-2.964e-05,0.47396694214876,0.853630490956072
"FALSE POSITIVE",6042116,"K06650.01",3671.8,-12.92,0.0001222,-0.0785501858736059,0.284146706586826
"FALSE POSITIVE",6042663,"K06651.01",17.77,-0.3011,-0.001337,-0.00943801652892562,0.104935532233883
"FALSE POSITIVE",6044064,"K06652.01",160.93,3.568,1.077,0,0.515994020926756
"FALSE POSITIVE",6046311,"K06654.01",4945.27,-0.06194,0.0001425,-1.0326359832636,2.01737288135593
"FALSE POSITIVE",6048106,"K06655.01",5900.78,-6.403,0,0,0.496946107784431
"FALSE POSITIVE",6048255,"K06656.01",27487.89,-0.06182,0,0,0.28060248447205
"FALSE POSITIVE",6057750,"K06657.01",9136.51,-4.852,-1.59e-05,0.776847290640394,0.826486486486487
"FALSE POSITIVE",6060580,"K06658.01",459.84,-12.66,0.001581,-0.940492957746479,2.01528189910979
"FALSE POSITIVE",6063448,"K06659.01",42.73,-0.05207,-0.002711,2.09639175257732,1.13489520958084
"FALSE POSITIVE",6103049,"K06662.01",5474.85,-96.76,0.0001793,0.144084682440847,0.181283582089552
"FALSE POSITIVE",6109688,"K06663.01",485.76,-0.1188,0.002695,0.212307692307692,0.440119760479042
"FALSE POSITIVE",6111011,"K06664.01",37.82,-0.05267,1.717e-05,0.335492957746479,1.54854961832061
"FALSE POSITIVE",6128141,"K06665.01",1366.72,-0.7267,8.057e-05,2.43827859569649,2.62900552486188
"CANDIDATE",6128245,"K06666.01",1905.87,0.02282,5.187e-05,-0.564994026284349,0.551492537313433
"FALSE POSITIVE",6131659,"K06667.01",22.36,-3.207,0.007351,0.766220735785953,0.648335832083958
"FALSE POSITIVE",6146838,"K06668.01",18.24,-0.07302,-0.01554,2.22087378640777,1.73091715976331
"FALSE POSITIVE",6147573,"K06669.01",28.13,-2.561,0.02597,0.0876315789473684,2.24533333333333
"FALSE POSITIVE",6152521,"K06670.01",34080.04,0.1975,1.106e-05,-0.648581560283688,0
"FALSE POSITIVE",6185717,"K06671.01",560.79,-0.09332,-0.04736,-5.97397260273973,0.931014925373134
"CANDIDATE",6187508,"K06672.01",458.56,-0.3183,0.0001468,1.42914979757085,0.498669064748201
"FALSE POSITIVE",6205460,"K06673.01",2126.82,-6.5,-0.01155,-0.172619047619048,0.357548579970105
"FALSE POSITIVE",6206751,"K06674.01",7113.53,0.379,-0.0002721,-0.00156851851851852,0.101986526946108
"FALSE POSITIVE",6207053,"K06675.01",1544.73,-1.221,0.02137,-1.7378640776699,0
"FALSE POSITIVE",6220470,"K06677.01",1171.7,-0.3663,0,0,0.882910447761194
"FALSE POSITIVE",6228703,"K06678.01",2156.61,0.2475,-0.003225,-0.113664596273292,0.342713643178411
"FALSE POSITIVE",6231401,"K06679.01",273.08,-0.1883,0.01409,8.89716312056738,0.0407921428571429
"CANDIDATE",6265961,"K06680.01",264.47,-0.0242,3.404e-05,-2.57160647571606,1.94721485411141
