"koi_disposition","kepid","kepoi_name","tce_ldm_coeff4","tce_prad","tce_steff","tce_fwm_prao"
"CANDIDATE",4274548,"K01331.01",-0.5649116,2.265,4805,-0.001006
"CANDIDATE",4455231,"K01332.01",-0.3361804,4.428,5661,-0.0004988
"CANDIDATE",4455231,"K01332.02",-0.3361804,3.862,5661,-0.0003632
"CANDIDATE",4455231,"K01332.03",-0.3361804,2.557,5661,-0.000187
"FALSE POSITIVE",4285107,"K01333.01",-0.2367268,1.675,5462,0.01459
"FALSE POSITIVE",4150624,"K01334.01",-0.4753536,4.079,5421,0.0004388
"FALSE POSITIVE",4150624,"K01334.02",-0.4753536,4.213,5421,0.0004961
"CANDIDATE",4155328,"K01335.01",0.1133152,9.658,6505,0.0001376
"CANDIDATE",4077526,"K01336.01",0.034156,2.823,6100,0.000273
"CANDIDATE",4077526,"K01336.02",0.034156,2.876,6100,-1.528e-05
"CANDIDATE",4077526,"K01336.03",0.034156,2.824,6100,0.0008871
"CANDIDATE",4077526,"K01336.04",0.034156,1.692,6100,-5.108e-05
"CANDIDATE",4243911,"K01337.01",-0.5234826,1.58,5194,-3.028e-05
"CANDIDATE",4466677,"K01338.01",-0.0842032,1.661,5823,-0.0001002
"CANDIDATE",4466677,"K01338.02",-0.0842032,1.732,5823,0.0002236
"CANDIDATE",4466677,"K01338.03",-0.0842032,1.312,5823,-6.725e-05
"CANDIDATE",4135665,"K01339.01",-0.3201164,2.574,5689,8.32e-05
"FALSE POSITIVE",4386059,"K01340.01",0.2776412,2.068,6547,0
"CANDIDATE",4650674,"K01341.01",-0.1670132,2.119,5940,1.971e-05
"CANDIDATE",4275721,"K01342.01",0.3667536,1.502,6224,0.0003057
"CANDIDATE",4275721,"K01342.02",0.3667536,1.918,6224,0.0005451
"FALSE POSITIVE",4570931,"K01343.01",0.2053296,1.153,6309,-0.004144
"CANDIDATE",4136466,"K01344.01",0.1039458,1.576,6060,1.287e-05
"FALSE POSITIVE",7199774,"K01346.01",-0.1256544,29.48,5868,0.0007196
"FALSE POSITIVE",7037540,"K01347.01",-0.0761072,23.32,5945,0.0001446
"FALSE POSITIVE",6866228,"K01348.01",-0.2990004,16.95,5598,0.0006675
"FALSE POSITIVE",6847018,"K01349.01",0.1594,27.13,6440,0.0002817
"FALSE POSITIVE",7220322,"K01350.01",-0.0893776,4.94,5916,0.00242
"FALSE POSITIVE",6964043,"K01351.01",-0.2618142,39.05,5582,0.03981
"FALSE POSITIVE",6956233,"K01352.01",-0.460766,2.587,5030,0.05431
"CANDIDATE",7303287,"K01353.01",-0.0861348,12.64,5933,0.000825
"CANDIDATE",7303287,"K01353.02",-0.0861348,2.637,5933,-1.45e-05
"CANDIDATE",7303287,"K01353.03",-0.0861348,4.408,5933,-0.0004786
"FALSE POSITIVE",6891543,"K01354.01",-0.2824588,2.142,5739,0.001345
"CANDIDATE",7211141,"K01355.01",-0.324286,8.727,5671,0.001189
"CANDIDATE",6719086,"K01357.01",-0.552486,3.502,5209,0.001034
"CANDIDATE",7376983,"K01358.01",-0.561374,3.265,4769,-0.0002244
"CANDIDATE",7376983,"K01358.02",-0.561374,2.453,4769,6.231e-05
"CANDIDATE",7376983,"K01358.03",-0.561374,1.696,4769,-3.767e-05
"CANDIDATE",7376983,"K01358.04",-0.561374,1.51,4769,-1.836e-05
"CANDIDATE",6946199,"K01359.01",0.1703186,6.407,5986,-0.002014
"CANDIDATE",6946199,"K01359.02",0.1703186,3.331,5986,-0.0007408
"CANDIDATE",7102227,"K01360.01",-0.5138972,3.22,5142,0.0001167
"CANDIDATE",7102227,"K01360.02",-0.5138972,2.877,5142,0.0002279
"CANDIDATE",7102227,"K01360.03",-0.5138972,0.8903,5142,7.029e-05
"CANDIDATE",6960913,"K01361.01",-0.0652008,2.362,4016,0.0001691
"CANDIDATE",6837146,"K01362.01",-0.272236,2.565,5310,-0.0005707
"CANDIDATE",6936909,"K01363.01",-0.1367574,2.391,5993,2.69e-05
"CANDIDATE",6936909,"K01363.02",-0.1367574,1.914,5993,0.0002934
"CANDIDATE",6962977,"K01364.01",-0.4463868,2.228,5296,-1.269e-05
"CANDIDATE",6962977,"K01364.02",-0.4463868,2.741,5296,-0.0003802
"CANDIDATE",6962977,"K01364.03",-0.4463868,2.621,5296,-0.0009462
"CANDIDATE",6962977,"K01364.04",-0.4463868,1.998,5296,0.0001926
"CANDIDATE",6962977,"K01364.05",-0.4463868,1.368,5296,0.0004723
"FALSE POSITIVE",7174351,"K01365.01",-0.3431146,1.58,5650,0.0007985
"CANDIDATE",6932987,"K01366.01",-0.2647166,3.245,5798,-3.815e-05
"CANDIDATE",6932987,"K01366.02",-0.2647166,3.802,5798,-7.763e-05
"CANDIDATE",6934291,"K01367.01",-0.5374138,1.777,5073,7.942e-05
"FALSE POSITIVE",7357531,"K01368.01",-0.2696808,15.79,5714,0.005424
"CANDIDATE",7287415,"K01369.01",-0.3709712,2.729,5611,7.401e-05
"CANDIDATE",6924203,"K01370.01",-0.145587,2.212,5679,0.0005374
"FALSE POSITIVE",6878167,"K01371.01",-0.1944176,1.269,5747,-0.01146
"FALSE POSITIVE",6863839,"K01373.01",0.2167404,1.353,6063,6.678e-05
"FALSE POSITIVE",7296086,"K01374.01",-0.320937,1.823,5687,-0.001872
"CANDIDATE",6766634,"K01375.01",-0.0785834,7.325,6018,0.0001507
"FALSE POSITIVE",6774826,"K01376.01",0.4225152,6.335,7131,0.002595
"CANDIDATE",7211469,"K01377.01",-0.0849164,1.897,6096,-1.972e-05
"FALSE POSITIVE",7375795,"K01378.01",-0.1355784,1.683,5687,0
"FALSE POSITIVE",7375795,"K01378.02",-0.1355784,0.5576,5687,0
"CANDIDATE",7211221,"K01379.01",-0.327818,1.324,5637,9.347e-05
"FALSE POSITIVE",7025526,"K01380.01",-0.5444888,0.5077,4699,-0.003584
"FALSE POSITIVE",9451127,"K01381.01",-0.033814,28.44,6161,-0.004259
"FALSE POSITIVE",9446824,"K01382.01",0.038762,23.67,6185,0.0006278
"FALSE POSITIVE",8953257,"K01383.01",0.1733772,25.12,6250,0.001576
"FALSE POSITIVE",8971432,"K01384.01",0.0691908,11.4,5211,0.0002974
"FALSE POSITIVE",9278553,"K01385.01",0.1213688,29.55,6077,-0.006934
"FALSE POSITIVE",9143254,"K01386.01",-0.0293984,15.87,5912,0.001887
"FALSE POSITIVE",8949247,"K01387.01",-0.0767654,34.17,5934,-0.002156
"FALSE POSITIVE",9346253,"K01388.01",0.2218622,15.61,6161,0.001893
"FALSE POSITIVE",9002237,"K01389.01",0.002494,22.6,6060,0.0002377
"FALSE POSITIVE",9288786,"K01390.01",-0.4565016,8.921,4368,-0.0005417
"FALSE POSITIVE",8958035,"K01391.01",0.1284764,13.56,6217,0.0006212
"FALSE POSITIVE",9040849,"K01392.01",0.1416394,4.204,5944,0.004597
"CANDIDATE",9202151,"K01393.01",-0.0857138,2.133,3764,-0.000729
"FALSE POSITIVE",8937021,"K01394.01",-0.5491314,2.017,4917,0.005098
"CANDIDATE",8935810,"K01395.01",-0.4594722,3.825,5477,-0.0001709
"CANDIDATE",9455556,"K01396.01",-0.3821184,2.876,5616,-0.0005119
"CANDIDATE",9455556,"K01396.02",-0.3821184,1.91,5616,-0.0005432
"CANDIDATE",9427402,"K01397.01",0.1740732,2.221,3821,-0.001138
"CANDIDATE",9269281,"K01398.01",-0.1402848,3.011,5774,0.000333
"CANDIDATE",9100484,"K01399.01",-0.5517666,2.922,4942,0.0001231
"FALSE POSITIVE",9157908,"K01400.01",0.2592448,2.024,6406,-0.004546
"CANDIDATE",9034103,"K01402.01",-0.1233008,2.611,6014,0.0003526
"CANDIDATE",9214942,"K01403.01",0.0886218,1.821,3976,-0.0001974
"CANDIDATE",8874090,"K01404.01",0.2354312,1.448,3751,0.0001236
"CANDIDATE",8874090,"K01404.02",0.2354312,1.19,3751,3.743e-06
"CANDIDATE",9264949,"K01405.01",-0.0065776,3.035,6311,0.0004558
"CANDIDATE",9271752,"K01406.01",0.1346024,2.771,6244,0.0001025
"CANDIDATE",9150827,"K01408.01",0.0869304,1.4,3957,2.645e-06
"CANDIDATE",9391208,"K01409.01",0.2937272,2.923,5818,-0.0002542
"CANDIDATE",9391506,"K01410.01",0.0576724,2.851,6191,0.0002231
"CANDIDATE",9425139,"K01411.01",-0.416748,7.906,5716,0.0002981
"CANDIDATE",8950853,"K01412.01",-0.2293892,3.085,5988,-0.00016
"CANDIDATE",9006449,"K01413.01",-0.1677232,1.511,5607,-0.0001675
"CANDIDATE",9006449,"K01413.02",-0.1677232,1.327,5607,-0.0001109
"CANDIDATE",9006449,"K01413.03",-0.1677232,1.581,5607,0.0001592
"FALSE POSITIVE",8916492,"K01414.01",0.1327182,3.085,7516,0.0006166
"CANDIDATE",11517719,"K01416.01",0.0801552,15.46,6039,0.0008228
"FALSE POSITIVE",11599264,"K01417.01",-0.0719472,12.13,5761,0.01191
"FALSE POSITIVE",11100657,"K01418.01",-0.4384658,10.69,5447,-0.007874
"FALSE POSITIVE",11125936,"K01419.01",0.1249276,4.265,6119,-0.001369
"CANDIDATE",11026304,"K01420.01",-0.5625676,4.669,4843,-1.799e-05
"CANDIDATE",11497958,"K01422.01",0.0841296,1.568,3526,-0.0001627
"CANDIDATE",11497958,"K01422.02",0.0841296,1.599,3526,-0.001162
"CANDIDATE",11497958,"K01422.03",0.0841296,1.403,3526,-6.503e-05
"CANDIDATE",11497958,"K01422.04",0.0841296,1.351,3526,0.0006752
"CANDIDATE",11497958,"K01422.05",0.0841296,1.243,3526,-0.000154
"CANDIDATE",11177707,"K01423.01",-0.5458092,10.88,5066,-0.0008647
"CANDIDATE",11611600,"K01424.01",-0.561263,1.763,4838,6.24e-05
"CANDIDATE",11254382,"K01425.01",-0.3625916,3.211,5632,-7.106e-05
"CANDIDATE",11122894,"K01426.01",-0.2390208,5.666,5618,-0.0005252
"CANDIDATE",11122894,"K01426.02",-0.2390208,7.119,5618,0.0002431
"CANDIDATE",11122894,"K01426.03",-0.2390208,3.555,5618,0.0002814
"CANDIDATE",11129738,"K01427.01",0.1293472,1.264,3883,0.0001409
"CANDIDATE",11129738,"K01427.02",0.1293472,0.9002,3883,-0.0002709
"CANDIDATE",11401182,"K01428.01",-0.560898,1.52,4815,6.485e-05
"CANDIDATE",11030711,"K01429.01",-0.3629734,5.084,5644,-0.0002625
"CANDIDATE",11176127,"K01430.01",-0.4471282,2.199,4463,0.0006065
"CANDIDATE",11176127,"K01430.02",-0.4471282,2.624,4463,-0.0001758
"CANDIDATE",11176127,"K01430.03",-0.4471282,2.186,4463,0.000386
"CANDIDATE",11075279,"K01431.01",-0.432981,7.759,5597,-6.925e-05
"CANDIDATE",11014932,"K01432.01",-0.3200728,2.55,5616,-0.0001307
"CANDIDATE",11014932,"K01432.02",-0.3200728,1.764,5616,-0.0003206
"CANDIDATE",11014932,"K01432.03",-0.3200728,1.461,5616,0.0005305
"CANDIDATE",11014932,"K01432.04",-0.3200728,2.018,5616,-0.0002028
"CANDIDATE",11288505,"K01433.01",-0.142312,2.366,5775,-0.000272
"CANDIDATE",11493431,"K01434.01",-0.5567592,1.437,4798,0.0002318
"CANDIDATE",11037335,"K01435.01",0.0143536,2.374,5968,3.503e-05
"CANDIDATE",11037335,"K01435.02",0.0143536,2.107,5968,-0.0001998
"CANDIDATE",11389771,"K01436.01",-0.134958,1.53,5814,-0.0001437
"CANDIDATE",11389771,"K01436.02",-0.134958,1.857,5814,-0.0001226
"CANDIDATE",11389771,"K01436.03",-0.134958,1.552,5814,6.244e-05
"CANDIDATE",11599038,"K01437.01",0.0689304,1.719,6052,-0.0001709
"FALSE POSITIVE",11599038,"K01437.02",0.0689304,1.466,6052,0.0005903
"FALSE POSITIVE",11599038,"K01437.03",0.0689304,1.563,6052,7.794e-05
"CANDIDATE",11193263,"K01438.01",-0.3556988,2.264,5685,1.992e-05
"CANDIDATE",11027624,"K01439.01",-0.151222,7.772,5910,0.0001214
"CANDIDATE",11032227,"K01440.01",0.092218,1.764,6185,-0.0001835
"CANDIDATE",11356260,"K01441.01",-0.1494,1.987,5822,-0.0001996
"CANDIDATE",11600889,"K01442.01",-0.4861892,1.024,5475,-1.618e-05
"FALSE POSITIVE",11197126,"K01443.01",-0.5313368,6.188,5117,0.0003754
"CANDIDATE",11043167,"K01444.01",-0.1729522,2.604,6121,-0.0001833
"CANDIDATE",11336883,"K01445.01",0.0397384,1.769,6221,-3.925e-05
"FALSE POSITIVE",12506351,"K01446.01",0.1214036,33.21,6207,-0.0003892
"FALSE POSITIVE",7622486,"K01447.01",0.344055,98.24,6594,-0.1379
"FALSE POSITIVE",7622486,"K01447.02",0.344055,18.75,6594,-0.00109
"CANDIDATE",9705459,"K01448.01",-0.3491888,25.29,5892,-0.001772
"FALSE POSITIVE",7802136,"K01449.01",0.1673664,21.98,5952,0
"CANDIDATE",7532973,"K01450.01",0.169336,17.1,6296,-0.0006926
"FALSE POSITIVE",9632895,"K01451.01",-0.1615432,21.55,5620,-0.001538
"FALSE POSITIVE",7449844,"K01452.01",-0.3188074,75.29,5560,-4.603e-05
"FALSE POSITIVE",7842610,"K01453.01",-0.3034576,5.844,5592,0.02664
"FALSE POSITIVE",7830637,"K01454.01",0.1582534,19.77,6036,-0.003199
"FALSE POSITIVE",4760746,"K01455.01",-0.0904642,16.99,5982,0.01305
"CANDIDATE",7832356,"K01456.01",-0.10595,9.101,5847,0.001348
"CANDIDATE",9643874,"K01457.01",-0.4265504,8.759,5569,1.654e-05
"CANDIDATE",12120943,"K01458.01",-0.2039154,6.992,5977,-0.001895
"FALSE POSITIVE",9761199,"K01459.01",0.129838,2.887,3752,-0.001811
"FALSE POSITIVE",7751571,"K01460.01",-0.4060004,5.093,5367,0.05989
"FALSE POSITIVE",9579499,"K01461.01",-0.5631216,10.94,4859,-0.001824
"FALSE POSITIVE",11913013,"K01462.01",-0.2420112,11.08,5780,-0.00409
"FALSE POSITIVE",7672940,"K01463.01",0.3579156,33.75,6340,-4.533e-05
"FALSE POSITIVE",7838655,"K01464.01",-0.357646,2.371,5482,0.02393
"FALSE POSITIVE",11702948,"K01465.01",-0.1302176,10.57,5812,0.0005051
"CANDIDATE",9512981,"K01466.01",-0.5585272,10.83,4810,0.0005232
"FALSE POSITIVE",7770450,"K01467.01",-0.3936744,1.74,5566,0
"FALSE POSITIVE",9851226,"K01468.01",-0.0516194,4.333,5951,0.001989
"FALSE POSITIVE",7543649,"K01469.01",0.1599244,5.421,6109,0
"CANDIDATE",9480310,"K01470.01",-0.2000496,4.297,5900,-0.0001557
"FALSE POSITIVE",11858748,"K01471.01",-0.247266,2.598,5730,0.02289
"CANDIDATE",7761545,"K01472.01",-0.393666,6.353,5584,0.001423
"CANDIDATE",7499398,"K01473.01",-0.438038,7.629,5613,-0.003455
"CANDIDATE",12365184,"K01474.01",0.1024544,11.81,6430,6.843e-05
"CANDIDATE",4770365,"K01475.01",-0.1728884,1.728,4224,0
"CANDIDATE",4770365,"K01475.02",-0.1728884,2.378,4224,0
"CANDIDATE",4770365,"K01475.03",-0.1728884,1.6,4224,0
"CANDIDATE",12406749,"K01476.01",-0.3635174,4.909,5446,0.0007996
"CANDIDATE",7811397,"K01477.01",-0.5014844,8.503,5270,-0.002135
"CANDIDATE",12403119,"K01478.01",-0.3234952,5.199,5591,0.0003563
"FALSE POSITIVE",9842890,"K01479.01",-0.0490878,2.365,5819,0.001465
"CANDIDATE",7512982,"K01480.01",-0.5536374,3.613,4883,0.001185
"CANDIDATE",7512982,"K01480.02",-0.5536374,1.466,4883,4.681e-05
"CANDIDATE",9597806,"K01481.01",-0.1614806,3.132,5869,0.0001292
"FALSE POSITIVE",7812167,"K01482.01",0.11734,4.024,6273,-0.01046
"FALSE POSITIVE",11909686,"K01483.01",-0.2853688,19.83,5813,-0.0005722
"FALSE POSITIVE",11760959,"K01484.01",-0.549689,2.895,4922,0.0001986
"FALSE POSITIVE",9692345,"K01485.01",-0.495009,1.141,4478,0.003828
"CANDIDATE",7898352,"K01486.01",-0.2645956,12.09,5733,0.002955
"CANDIDATE",7898352,"K01486.02",-0.2645956,3.989,5733,0.0003757
"FALSE POSITIVE",12062667,"K01487.01",0.3985412,6.035,6634,0.005615
"CANDIDATE",9589323,"K01488.01",-0.5295966,2.826,5155,-0.0001005
"CANDIDATE",9823487,"K01489.01",-0.5223024,2.414,5180,0.0006011
"FALSE POSITIVE",9602514,"K01490.01",-0.552168,6.03,4951,-0.0002321
"CANDIDATE",9726659,"K01491.01",-0.4856416,2.359,5258,0.0003374
"FALSE POSITIVE",12108312,"K01492.01",-0.1834044,0.9141,5717,-0.01041
"FALSE POSITIVE",9842906,"K01493.01",0.1037166,3.091,6418,-0.001517
"CANDIDATE",11821363,"K01494.01",-0.551644,2.449,4723,0.0002737
"CANDIDATE",7629518,"K01495.01",-0.11172,2.838,5900,-0.0003268
"FALSE POSITIVE",4828341,"K01496.01",0.014176,8.5,5921,0.0009495
"FALSE POSITIVE",11774387,"K01497.01",-0.205018,1.319,5776,0.001298
"CANDIDATE",9636135,"K01498.01",-0.1187422,3.107,6213,-0.0003088
"CANDIDATE",9636135,"K01498.02",-0.1187422,1.767,6213,0.0003441
"CANDIDATE",7841925,"K01499.01",-0.341554,2.619,5440,-9.779e-05
"CANDIDATE",7841925,"K01499.02",-0.341554,1.062,5440,-2.928e-05
"CANDIDATE",7841925,"K01499.03",-0.341554,0.5831,5440,1.358e-05
"FALSE POSITIVE",9719634,"K01500.01",-0.5280568,1.969,5185,-0.008204
"CANDIDATE",7439316,"K01501.01",-0.5643252,1.966,4831,6.457e-05
"FALSE POSITIVE",12061238,"K01502.01",-0.4819,1.874,5198,-0.0008781
"CANDIDATE",12400538,"K01503.01",-0.3482792,4.72,5604,2.205e-05
"FALSE POSITIVE",9641018,"K01504.01",0.1524344,1.463,5947,-8.55e-05
"CANDIDATE",9813499,"K01505.01",-0.0308036,2.486,5970,-0.000245
"CANDIDATE",12254792,"K01506.01",-0.0774336,2.993,5813,0.0002267
"CANDIDATE",12020218,"K01507.01",0.073744,2.687,6170,0.0002227
"CANDIDATE",7690844,"K01508.01",-0.2000496,3.206,5900,-0.0004384
"FALSE POSITIVE",9535080,"K01509.01",0.190562,8.283,6273,3.458e-05
"CANDIDATE",11870545,"K01510.01",-0.5615368,1.681,4932,-0.0001799
"CANDIDATE",7901948,"K01511.01",-0.1979372,1.81,5743,4.34e-05
"FALSE POSITIVE",11955499,"K01512.01",-0.5290712,3.713,5237,-0.0009802
"FALSE POSITIVE",9784222,"K01513.01",0.122482,1.079,6258,0
"FALSE POSITIVE",9520668,"K01514.01",-0.5358496,1.218,4502,-0.0004811
"CANDIDATE",7871954,"K01515.01",0.0577096,1.012,4042,-1.424e-05
"CANDIDATE",7871954,"K01515.02",0.0577096,1.254,4042,-0.0001137
"CANDIDATE",12418724,"K01516.01",0.106234,3.23,6325,6.627e-05
"CANDIDATE",7456001,"K01517.01",0.1227718,3.394,6026,8.175e-05
"CANDIDATE",7549209,"K01518.01",-0.2011908,2.671,5783,0.0001586
"CANDIDATE",7663405,"K01519.01",-0.5311486,1.905,5157,0.000454
"CANDIDATE",7663405,"K01519.02",-0.5311486,1.927,5157,-0.0001733
"CANDIDATE",9765975,"K01520.01",-0.4902026,2.564,5311,0.0005646
"CANDIDATE",9818462,"K01521.01",-0.5309586,2.353,5167,0.0001013
"CANDIDATE",12266636,"K01522.01",-0.174311,2.539,5833,-0.0001253
"CANDIDATE",12266636,"K01522.02",-0.174311,1.138,5833,-0.0002624
"FALSE POSITIVE",9850893,"K01523.01",-0.4982276,2.062,5401,0.0001466
"FALSE POSITIVE",4826110,"K01524.01",-0.505124,0.9036,5199,-0.002844
"CANDIDATE",7869917,"K01525.01",0.2984812,4.489,6900,1.724e-05
"CANDIDATE",7869917,"K01525.02",0.2984812,3.157,6900,7.092e-05
"CANDIDATE",9824805,"K01526.01",0.05854,1.605,6240,-0.0001169
"CANDIDATE",7768451,"K01527.01",-0.4501052,3.348,5401,-0.0001157
"CANDIDATE",7691260,"K01528.01",-0.3674862,1.12,5229,0.000167
"CANDIDATE",9821454,"K01529.01",0.18646,2.966,6296,-8.387e-05
"CANDIDATE",9821454,"K01529.02",0.18646,1.118,6296,-0.0002005
"CANDIDATE",11954842,"K01530.01",0.01746,1.954,5948,5.884e-05
"CANDIDATE",11764462,"K01531.01",-0.3541726,1.405,5646,4.932e-05
"CANDIDATE",11656246,"K01532.01",-0.0586794,2.487,6109,-4.668e-05
"CANDIDATE",7808587,"K01533.01",-0.231568,1.859,5810,2.783e-05
"CANDIDATE",4741126,"K01534.01",-0.0404368,2.143,6119,1.103e-05
"CANDIDATE",4741126,"K01534.02",-0.0404368,1.264,6119,2.786e-05
"CANDIDATE",11669125,"K01535.01",-0.1296248,1.967,5811,-0.0001317
"CANDIDATE",12159249,"K01536.01",-0.2570362,1.293,5876,-9.189e-05
"CANDIDATE",9872292,"K01537.01",0.1386544,1.453,6212,5.239e-06
"FALSE POSITIVE",9963461,"K01538.01",0.1632844,53.29,6168,0
"CANDIDATE",8081482,"K01539.01",-0.1500572,29.51,5767,-0.001246
"FALSE POSITIVE",5649956,"K01540.01",-0.1107036,24.66,5601,-0.0003614
"CANDIDATE",4840513,"K01541.01",0.0910574,25.81,6392,-0.009301
"FALSE POSITIVE",8113154,"K01542.01",0.3939006,11.76,6812,-0.0006208
"FALSE POSITIVE",5270698,"K01543.01",-0.1172992,37.26,5758,0.001724
"FALSE POSITIVE",5024450,"K01544.01",0.0509728,23.89,6203,0
"CANDIDATE",5282049,"K01545.01",0.1461568,12.64,6200,0.0008572
"FALSE POSITIVE",5282049,"K01545.02",0.1461568,1.682,6200,-4.278e-05
"CANDIDATE",5475431,"K01546.01",-0.309342,2.216,5713,-0.0005526
"CANDIDATE",5283458,"K01547.01",0.0076388,13.82,6137,0.004118
"FALSE POSITIVE",9940565,"K01548.01",-0.5774896,10.44,4765,0.004089
"FALSE POSITIVE",8053552,"K01549.01",-0.0611828,14.9,5631,-0.002252
"FALSE POSITIVE",8111381,"K01550.01",-0.1912668,6.9,5741,-0.006438
"FALSE POSITIVE",5444549,"K01551.01",-0.2399234,12.88,5919,0.02078
"CANDIDATE",7984047,"K01552.01",-0.5667888,9.406,4812,0.005428
"CANDIDATE",7951018,"K01553.01",-0.0506594,8.736,6228,-9.923e-05
"FALSE POSITIVE",9899355,"K01554.01",0.0578328,1.069,5995,-0.0002101
"FALSE POSITIVE",12644774,"K01555.01",-0.0487592,3.574,5665,0.05107
"FALSE POSITIVE",9902856,"K01556.01",0.1341316,14.53,6141,-0.04471
"CANDIDATE",5371776,"K01557.01",-0.5568748,3.409,4723,-6.917e-06
"CANDIDATE",5371776,"K01557.02",-0.5568748,2.897,4723,3.781e-05
"CANDIDATE",5371776,"K01557.03",-0.5568748,2.564,4723,-0.0009419
"CANDIDATE",5371776,"K01557.04",-0.5568748,1.319,4723,-8.558e-05
"FALSE POSITIVE",10019763,"K01558.01",0.1285594,12.6,6132,-0.005001
"FALSE POSITIVE",9899280,"K01559.01",-0.4582212,0.9618,4489,-0.0005381
"FALSE POSITIVE",8046659,"K01560.01",-0.2465344,9.886,5654,0.001488
"FALSE POSITIVE",4940438,"K01561.01",0.2089182,6.595,5931,0.0008327
"FALSE POSITIVE",5308663,"K01562.01",0.0084752,1.533,5997,0.001093
"CANDIDATE",5308663,"K01562.02",0.0084752,2.097,5997,0.0003452
"CANDIDATE",5219234,"K01563.01",-0.53333,3.178,5103,0.0006657
"CANDIDATE",5219234,"K01563.02",-0.53333,3.152,5103,0.0003453
"CANDIDATE",5219234,"K01563.03",-0.53333,1.8,5103,0.000306
"CANDIDATE",5219234,"K01563.04",-0.53333,3.026,5103,0.0002916
"CANDIDATE",5184584,"K01564.01",-0.2399234,6.028,5919,0.001515
"FALSE POSITIVE",5636648,"K01565.01",-0.1512292,1.882,5791,0.01056
"FALSE POSITIVE",5564247,"K01566.01",-0.284818,1.504,5394,0.002988
"CANDIDATE",5438099,"K01567.01",-0.543464,2.514,4955,1.868e-06
"CANDIDATE",5438099,"K01567.02",-0.543464,2.248,4955,0.000596
"CANDIDATE",5438099,"K01567.03",-0.543464,1.759,4955,2.112e-05
"CANDIDATE",5438099,"K01567.04",-0.543464,2.759,4955,0.0006303
"FALSE POSITIVE",5210475,"K01568.01",-0.1108004,1.554,5708,0.0006532
"CANDIDATE",8009350,"K01569.01",-0.563924,2.889,4802,0.0001229
"CANDIDATE",8082001,"K01570.01",-0.06571,3.238,6108,0.0006397
"FALSE POSITIVE",5557821,"K01571.01",-0.00734,3.064,5955,-0.01319
"CANDIDATE",10004519,"K01572.01",0.073744,3.051,6170,0.0001708
"CANDIDATE",5031857,"K01573.01",0.0774402,4.77,6086,-0.0001894
"CANDIDATE",5031857,"K01573.02",0.0774402,1.309,6086,0.0002155
"CANDIDATE",10028792,"K01574.01",-0.213254,12.36,5597,0.001482
"CANDIDATE",10028792,"K01574.02",-0.213254,10.77,5597,-3.921e-05
"CANDIDATE",10028792,"K01574.03",-0.213254,1.793,5597,6.371e-05
"CANDIDATE",10028792,"K01574.04",-0.213254,1.836,5597,3.937e-05
"FALSE POSITIVE",5553652,"K01575.01",-0.4672016,3.419,5286,0.01009
"CANDIDATE",5299459,"K01576.01",-0.4428812,3.332,5511,-7.306e-06
"CANDIDATE",5299459,"K01576.02",-0.4428812,3.294,5511,0.0001411
"CANDIDATE",12506770,"K01577.01",-0.0643448,1.658,4153,0.0005349
"FALSE POSITIVE",5629985,"K01578.01",-0.0243088,1.584,5788,-0.006424
"FALSE POSITIVE",9898364,"K01579.01",0.326576,8.608,7530,-0.001091
"FALSE POSITIVE",5193400,"K01580.01",-0.057695,2.389,6218,0.004479
"CANDIDATE",7939330,"K01581.01",-0.3390768,3.105,5510,0
"CANDIDATE",7939330,"K01581.02",-0.3390768,2.792,5510,0
"CANDIDATE",4918309,"K01582.01",-0.4664348,8.47,5393,0.0008746
"CANDIDATE",12602568,"K01583.01",-0.0856,2.246,5840,-9.039e-05
"CANDIDATE",9941066,"K01584.01",-0.1598208,1.631,4166,-0.000428
"CANDIDATE",5470739,"K01585.01",-0.2244424,2.708,5767,-0.0001313
"CANDIDATE",10022908,"K01586.01",-0.5528424,2.159,4847,0.0002825
"FALSE POSITIVE",9932970,"K01587.01",-0.48792,7.63,5204,-0.0006414
"CANDIDATE",5617854,"K01588.01",-0.015505,1.539,4132,-2.568e-05
"CANDIDATE",5301750,"K01589.01",0.0360124,2.903,6036,0.0001722
"CANDIDATE",5301750,"K01589.02",0.0360124,3.44,6036,0.0002769
"CANDIDATE",5301750,"K01589.03",0.0360124,2.766,6036,-9.561e-05
"CANDIDATE",5301750,"K01589.04",0.0360124,1.637,6036,-2.489e-05
"CANDIDATE",5301750,"K01589.05",0.0360124,2.295,6036,0.0002908
"CANDIDATE",5542466,"K01590.01",-0.5519248,2.361,4915,-6.785e-05
"CANDIDATE",5542466,"K01590.02",-0.5519248,1.585,4915,5.239e-05
"CANDIDATE",5542466,"K01590.03",-0.5519248,1.634,4915,0.0003452
"CANDIDATE",10028140,"K01591.01",-0.4260942,2.812,5288,0.000899
"FALSE POSITIVE",5217586,"K01592.01",-0.1496848,4.625,5585,0.002126
"CANDIDATE",5289854,"K01593.01",-0.1150864,2.382,5896,-0.0006449
"CANDIDATE",5289854,"K01593.02",-0.1150864,2.457,5896,0.0001903
"FALSE POSITIVE",9895709,"K01594.01",0.092333,2.003,6153,-0.0001425
"CANDIDATE",10006581,"K01595.01",-0.4199598,3.606,5509,-3.941e-05
"CANDIDATE",10027323,"K01596.01",0.1509532,1.13,3883,9.949e-05
