"koi_disposition","kepid","kepoi_name","tce_maxmesd","tce_fwm_prao","tce_fwm_pdeco","tce_dikco_mra_sn"
"CANDIDATE",11446443,"K00001.01",1.234,-0.0001223,0.0007788,0.2104329004329
"CANDIDATE",10666592,"K00002.01",1.097,-0.001754,0,2.933381712627
"CANDIDATE",10748390,"K00003.01",3.029,0.001684,0.0008108,-2.86035714285714
"CANDIDATE",3861595,"K00004.01",1.904,0.0001896,0.0001224,-0.669203296703297
"CANDIDATE",8554498,"K00005.01",-0.4,8.928e-05,-0.0001082,-1.75523415977961
"FALSE POSITIVE",3248033,"K00006.01",0.4323,0,-0.003615,0
"CANDIDATE",11853905,"K00007.01",2.246,-0.0001967,5.112e-05,2.36935064935065
"FALSE POSITIVE",5903312,"K00008.01",-0.1563,0.003678,-0.0004966,-106.959243085881
"FALSE POSITIVE",11553706,"K00009.01",1.855,-0.01863,0.01866,51.3644314868805
"CANDIDATE",6922244,"K00010.01",1.769,1.319e-05,0.0003616,-0.421292719167905
"FALSE POSITIVE",11913073,"K00011.01",1.885,-0.0007874,0.004598,1.649300155521
"CANDIDATE",5812701,"K00012.01",-3.263,0.0004751,-0.0009708,-0.240537688442211
"CANDIDATE",9941662,"K00013.01",0.8823,0,0,2.94166666666667
"FALSE POSITIVE",7684873,"K00014.01",1.497,0.0005353,5.322e-05,-18.8420765027322
"FALSE POSITIVE",3964562,"K00015.01",1.504,0.092,0,-135.923741007194
"FALSE POSITIVE",9110357,"K00016.01",-0.2172,0.04832,0.06975,-79.4314516129032
"CANDIDATE",10874614,"K00017.01",1.647,0.00086,0.0008648,1.05943641618497
"CANDIDATE",8191672,"K00018.01",1.778,0.0004054,-0.000686,-0.0401748878923767
"FALSE POSITIVE",7255336,"K00019.01",0.8031,0.0004573,-2.683e-05,-0.240134589502019
"CANDIDATE",11804465,"K00020.01",2.204,-4.892e-05,8.806e-05,-0.61518776077886
"FALSE POSITIVE",10125352,"K00021.01",2.145,-0.006036,-0.00363,24.0982019363762
"CANDIDATE",9631995,"K00022.01",4.309,0.001755,0.0009601,-1.10876488095238
"FALSE POSITIVE",9071386,"K00023.01",2.35,-0.000133,-1.322e-05,1.93784570596798
"FALSE POSITIVE",4743513,"K00024.01",1.042,0.02495,0.008371,-58.0625
"FALSE POSITIVE",10593759,"K00025.01",1.594,-4.409e-05,-8.061e-05,0.618522388059701
"FALSE POSITIVE",5021737,"K00026.01",8.106,0.04122,-0.006092,-65.5474777448071
"FALSE POSITIVE",3832716,"K00027.01",0.5708,0,0,-0.612064896755162
"FALSE POSITIVE",4247791,"K00028.01",1.254,0.02208,0.02054,0.45952802359882
"FALSE POSITIVE",6956014,"K00031.01",0.4094,-1.231e-05,3.581e-05,0.916186895810956
"FALSE POSITIVE",5725087,"K00033.01",0.375,3.992e-05,-5.153e-05,-0.58125
"CANDIDATE",6521045,"K00041.01",8.947,0.0001068,-0.0001281,-2.11040816326531
"CANDIDATE",6521045,"K00041.02",3.44,-3.921e-06,-5.996e-05,-2.16606060606061
"CANDIDATE",6521045,"K00041.03",13.27,-6.725e-06,-5.045e-05,0.125323754789272
"CANDIDATE",8866102,"K00042.01",6.561,0.0002523,0.0001457,1.68732782369146
"FALSE POSITIVE",9025922,"K00043.01",8.339,0.09774,0.06295,-102.267543859649
"FALSE POSITIVE",8845026,"K00044.01",21.75,0.004064,-0.001799,-0.921253196930946
"FALSE POSITIVE",3742855,"K00045.01",3.162,0.04568,-0.05663,29.9742198100407
"CANDIDATE",10905239,"K00046.01",2.35,-0.0001073,-7.65e-05,0.372426367461431
"CANDIDATE",10905239,"K00046.02",2.343,5.168e-05,2.684e-05,0.553897260273973
"FALSE POSITIVE",7837302,"K00048.01",4.114,4.268e-05,-0.0006494,1.0634375
"CANDIDATE",9527334,"K00049.01",4.638,0.0001002,8.647e-06,0.10642277486911
"FALSE POSITIVE",6056992,"K00051.01",6.078,0.01613,0.04291,-14.5125
"FALSE POSITIVE",3558981,"K00052.01",1.496,0,-0.003217,0.403060921248143
"FALSE POSITIVE",2445975,"K00053.01",0.2292,0.004894,-0.00428,-11.6925742574257
"FALSE POSITIVE",8248939,"K00061.01",0.946,0.003007,-0.0036,-53.5662983425414
"CANDIDATE",11554435,"K00063.01",4.981,2.272e-05,-9.444e-05,2.09323204419889
"CANDIDATE",7051180,"K00064.01",0.975,2.265e-05,7.244e-05,-1.37746164574616
"FALSE POSITIVE",10620329,"K00066.01",0.4413,0,-2.884e-05,2.10065400843882
"FALSE POSITIVE",8669092,"K00068.01",0.5958,-3.973e-06,-5.345e-05,-4.29068062827225
"CANDIDATE",3544595,"K00069.01",2.789,-2.044e-05,1.635e-05,-2.39289176090469
"CANDIDATE",6850504,"K00070.01",1.274,-2.59e-05,-5.514e-05,-0.95019758507135
"CANDIDATE",6850504,"K00070.02",0.6302,2.398e-05,2.923e-05,-1.37552836484983
"CANDIDATE",6850504,"K00070.03",44.5,4.252e-05,0.0001024,0.91177304964539
"CANDIDATE",6850504,"K00070.04",1.469,-9.707e-06,2.47e-05,0.654769230769231
"CANDIDATE",6850504,"K00070.05",7.097,3.076e-05,-4.405e-05,0.0784230769230769
"CANDIDATE",11904151,"K00072.01",16.09,-1.762e-05,6.128e-05,-2.45654545454545
"CANDIDATE",11904151,"K00072.02",-0.1687,5.24e-06,-2.284e-05,-3.24601990049751
"FALSE POSITIVE",6889235,"K00074.01",2.588,9.049e-05,-4.611e-05,-2.28511764705882
"CANDIDATE",7199397,"K00075.01",61.63,0.0007389,-0.0008328,-1.81451814768461
"FALSE POSITIVE",9955262,"K00076.01",50.09,-0.001127,-0.0007428,1.62876712328767
"FALSE POSITIVE",9552608,"K00080.01",6.027,-1.973e-05,-6.04e-05,0.773165467625899
"FALSE POSITIVE",8823868,"K00081.01",11.94,0.000319,-0.000332,-3.81276315789474
"CANDIDATE",10187017,"K00082.01",10.65,2.264e-05,-3.555e-05,-4.6692523364486
"CANDIDATE",10187017,"K00082.02",-2.563,7.556e-05,1.449e-05,-3.93176165803109
"CANDIDATE",10187017,"K00082.03",-3.303,9.302e-06,2.79e-05,-2.68122171945701
"CANDIDATE",10187017,"K00082.04",-0.6875,3.283e-05,2.566e-05,-3.02202749140893
"CANDIDATE",10187017,"K00082.05",2.386,-3.96e-05,-2.593e-05,0.304507462686567
"CANDIDATE",10187017,"K00082.06",-2.854,-4.164e-05,-3.415e-05,-1.03096296296296
"CANDIDATE",2571238,"K00084.01",0.7375,1.629e-05,-1.688e-05,1.83734375
"CANDIDATE",5866724,"K00085.01",2.568,8.754e-06,-6.693e-05,-3.36428571428571
"CANDIDATE",5866724,"K00085.02",0.3424,5.765e-06,-1.214e-05,-2.11325268817204
"CANDIDATE",5866724,"K00085.03",1.947,7.786e-06,-2.972e-05,-0.163096698113208
"CANDIDATE",10593626,"K00087.01",87.5,-0.0002333,-6.895e-05,-2.94420689655172
"FALSE POSITIVE",7700871,"K00088.01",-0.4125,-0.002118,-0.0002737,96.9712230215827
"CANDIDATE",8056665,"K00089.01",29.9,0.0001747,-5.856e-05,-0.917679738562092
"CANDIDATE",8056665,"K00089.02",39.31,-0.0001914,0.0001417,0.00866358974358974
"FALSE POSITIVE",9210823,"K00090.01",0.4,-0.01176,0,103.136798905609
"CANDIDATE",7941200,"K00092.01",31.13,-9.543e-05,2.344e-06,-0.528988571428571
"CANDIDATE",6462863,"K00094.01",0.7492,0.001372,-0.0002888,1.36724598930481
"CANDIDATE",6462863,"K00094.02",-7.438,0.0003053,-4.452e-05,0.168748299319728
"CANDIDATE",6462863,"K00094.03",-1.553,0.0001439,-0.0001318,2.558934169279
"CANDIDATE",6462863,"K00094.04",0.8514,6.143e-05,-2.14e-05,-1.03825327510917
"CANDIDATE",5780885,"K00097.01",2.44,0.0002854,-2.272e-05,-0.508906705539359
"CANDIDATE",10264660,"K00098.01",4.481,0.0001601,-0.0002271,-2.21588921282799
"CANDIDATE",4055765,"K00100.01",-1.955,2.603e-05,-1.491e-05,0.303263041065483
"CANDIDATE",8456679,"K00102.01",0.8667,0.00014,-0.001065,0.428087201125176
"FALSE POSITIVE",8456679,"K00102.02",-0.9559,4.147e-06,-6.386e-05,2.14056097560976
"CANDIDATE",2444412,"K00103.01",3.131,4.489e-05,-0.0001361,-1.94994272623139
"CANDIDATE",10318874,"K00104.01",-0.5063,0.0001626,3.93e-06,-1.16848837209302
"CANDIDATE",8711794,"K00105.01",-0.5219,4.585e-06,8.027e-05,-3.42954070981211
"FALSE POSITIVE",10489525,"K00106.01",0.8333,0.008739,0.03441,-36.4893009985735
"CANDIDATE",11250587,"K00107.01",2.207,2.221e-05,-2.081e-05,-0.304710556186152
"CANDIDATE",4914423,"K00108.01",5.381,-6.412e-05,-8.038e-05,0.216338028169014
"CANDIDATE",4914423,"K00108.02",69.32,-0.0001103,9.363e-05,-0.309731481481481
"FALSE POSITIVE",4752451,"K00109.01",3.206,-0.001033,-0.006196,17.9851851851852
"CANDIDATE",9450647,"K00110.01",7.012,8.768e-06,4.615e-05,0.311350806451613
"CANDIDATE",6678383,"K00111.01",-1.682,-8.112e-05,0.0001063,0.99512331838565
"CANDIDATE",6678383,"K00111.02",37.66,-8.607e-05,6.937e-05,-0.379063636363636
"CANDIDATE",6678383,"K00111.03",12.89,-0.0001372,3.642e-05,1.716015625
"CANDIDATE",10984090,"K00112.01",5.531,1.936e-05,7.995e-05,-1.17306748466258
"CANDIDATE",10984090,"K00112.02",1.068,-4.609e-05,-5.047e-05,0.998993710691824
"FALSE POSITIVE",6721123,"K00114.01",3.753,0.003032,-0.005549,-63.7191011235955
"CANDIDATE",9579641,"K00115.01",0.9167,-5.213e-05,-0.0001369,-2.04948849104859
"CANDIDATE",9579641,"K00115.02",-1.07,-6.863e-05,6.1e-05,-0.38856170212766
"CANDIDATE",9579641,"K00115.03",-0.5365,1.221e-05,-2.759e-06,-0.169653614457831
"CANDIDATE",8395660,"K00116.01",-1.069,-4.392e-05,0.0001081,2.8609375
"CANDIDATE",8395660,"K00116.02",30.62,0.0002044,0.0001199,0.886900826446281
"CANDIDATE",8395660,"K00116.03",0.3882,1.223e-05,3.023e-05,-0.631900900900901
"CANDIDATE",8395660,"K00116.04",11.7,-6.593e-05,-0.0001016,0.168925925925926
"CANDIDATE",10875245,"K00117.01",-3.412,2.118e-05,0.000114,0.89037037037037
"CANDIDATE",10875245,"K00117.02",0.7969,1.114e-05,2.021e-05,-0.0611115537848606
"CANDIDATE",10875245,"K00117.03",1.362,-5.649e-05,-1.23e-05,-2.78092
"CANDIDATE",10875245,"K00117.04",1.533,-1.163e-05,-1.84e-05,0.665912087912088
"CANDIDATE",3531558,"K00118.01",12.81,-4.674e-05,0.0001512,0.756136363636364
"CANDIDATE",9471974,"K00119.01",23.16,0.0002428,-0.00188,4.05752293577982
"CANDIDATE",9471974,"K00119.02",81.59,0.000293,-0.001,1.90758474576271
"CANDIDATE",11869052,"K00120.01",8.421,0.0002035,-0.0001147,-0.43369685767098
"FALSE POSITIVE",3247396,"K00121.01",4.411,-9.548e-05,0.001113,5.78238770685579
"CANDIDATE",8349582,"K00122.01",6.307,-1.2e-05,6.316e-05,0.530631067961165
"CANDIDATE",5094751,"K00123.01",3.764,2.933e-05,-4.27e-05,-1.86150234741784
"CANDIDATE",5094751,"K00123.02",9.304,3.454e-05,-7.224e-05,-0.733618644067797
"CANDIDATE",11086270,"K00124.01",5.544,-4.903e-05,-4.62e-05,0.433515923566879
"CANDIDATE",11086270,"K00124.02",-4.666,5.365e-05,6.819e-05,0.3134
"CANDIDATE",11449844,"K00125.01",1.274,5.863e-05,-0.0003218,0.636294117647059
"FALSE POSITIVE",5897826,"K00126.01",18.76,0.003046,-0.0004284,-0.0451495844875346
"CANDIDATE",5897826,"K00126.02",-1.621,0.0006563,0.0002066,0.051120253164557
"CANDIDATE",8359498,"K00127.01",0.9323,-0.000137,0.0002158,-0.0276991017964072
"CANDIDATE",11359879,"K00128.01",3.349,0.001817,-0.002235,0.115820474777448
"CANDIDATE",11974540,"K00129.01",8.868,0.0018,-0.0007078,-0.0693333333333333
"CANDIDATE",5297298,"K00130.01",0.5721,-2.357e-05,0.000125,-0.487321428571429
"CANDIDATE",7778437,"K00131.01",2.377,-0.002294,-0.0005156,0.322919708029197
"FALSE POSITIVE",8892910,"K00132.01",5.406,-0.0001769,0.00159,0.147166172106825
"FALSE POSITIVE",11673674,"K00133.01",2.316,-0.01947,-0.01577,37.8759615384615
"FALSE POSITIVE",9032900,"K00134.01",67.35,0.0001761,0.0002735,0.562098159509202
"CANDIDATE",9818381,"K00135.01",1.505,-0.0001734,-0.0002718,-0.189816643159379
"FALSE POSITIVE",7601633,"K00136.01",-3.042,0,0.0001242,-0.43994708994709
"CANDIDATE",8644288,"K00137.01",0.4495,0,0.0002559,0.994010989010989
"CANDIDATE",8644288,"K00137.02",4.104,0,0.0001639,0.840805084745763
"CANDIDATE",8644288,"K00137.03",0.85,0,-0.0001172,0.414472727272727
"FALSE POSITIVE",8506766,"K00138.01",12.44,-0.0001232,-0.003826,1.79275167785235
"CANDIDATE",8559644,"K00139.01",82.96,0.0001498,-0.0001367,0.487875166002656
"CANDIDATE",8559644,"K00139.02",0.6355,2.957e-05,7.537e-05,2.02417218543046
"FALSE POSITIVE",5130369,"K00140.01",9.222,-0.01005,-0.009659,58.8997134670487
"CANDIDATE",12105051,"K00141.01",-0.3313,0.0001489,0.0001692,-4.20976331360947
"CANDIDATE",4649305,"K00143.01",0.3563,8.489e-05,0.0001295,0.253706666666667
"CANDIDATE",4180280,"K00144.01",1.757,0.0006774,-1.631e-05,6.30307076101469
"CANDIDATE",9904059,"K00145.01",64.84,-0.000121,-0.0004518,-0.368329896907217
"FALSE POSITIVE",9048161,"K00146.01",4.337,0.03337,-0.05926,-66.8304347826087
"FALSE POSITIVE",1996679,"K00147.01",-15.67,-0.01371,-0.01246,47.1038107752957
"CANDIDATE",5735762,"K00148.01",-1.813,-0.0002655,-4.434e-05,2.35386138613861
"CANDIDATE",5735762,"K00148.02",2.213,-4.422e-05,3.226e-05,1.81156756756757
"CANDIDATE",5735762,"K00148.03",-3.453,-6.385e-05,-0.0001775,-1.7316339869281
"CANDIDATE",3835670,"K00149.01",3.366,-1.314e-05,-2.098e-05,-2.06045503791983
"CANDIDATE",7626506,"K00150.01",6.127,-0.0001594,0.0003416,3.48654104979812
"CANDIDATE",7626506,"K00150.02",-0.8037,-0.0002247,0.0005166,2.15925619834711
"CANDIDATE",2307199,"K00151.01",0.2667,8.82e-05,0.0003652,0.450609756097561
"CANDIDATE",8394721,"K00152.01",18.27,0.0003244,-0.0006164,1.14650632911392
"CANDIDATE",8394721,"K00152.02",9.534,0.0001088,7.225e-05,-1.43276595744681
"CANDIDATE",8394721,"K00152.03",2.793,-2.709e-05,-8.218e-06,-0.218736842105263
"CANDIDATE",8394721,"K00152.04",43.94,-4.183e-05,0.0002121,0.653571428571429
"CANDIDATE",12252424,"K00153.01",1.62,-0.0001466,4.709e-05,-1.12850589777195
"CANDIDATE",12252424,"K00153.02",4.79,-0.0001333,8.51e-05,-2.0632380952381
"CANDIDATE",8030148,"K00155.01",2.432,-4.061e-05,-0.000103,2.53182989690722
"CANDIDATE",10925104,"K00156.01",-1.763,0.0006336,-0.0006337,2.82692307692308
"CANDIDATE",10925104,"K00156.02",0.6198,0.0001799,-0.0002523,2.64611048478016
"CANDIDATE",10925104,"K00156.03",-1.203,0.0003111,-9.972e-05,1.03311320754717
"CANDIDATE",6541920,"K00157.01",-4.584,-0.0002271,0.0002749,-1.4479375696767
"CANDIDATE",6541920,"K00157.02",1.369,-0.0001343,0.0001231,-1.2422131147541
"CANDIDATE",6541920,"K00157.03",7.702,0.0001353,0.0002936,-1.78475967174678
"CANDIDATE",6541920,"K00157.04",42.8,-6.545e-05,0.0002123,-1.15825
"CANDIDATE",6541920,"K00157.05",30.15,-0.000213,0.0001472,-0.594981366459627
"CANDIDATE",6541920,"K00157.06",2.343,3.354e-06,0.0001207,0.208025510204082
"FALSE POSITIVE",10555375,"K00158.01",1.485,0.003224,0.002798,-56.8078512396694
"CANDIDATE",8972058,"K00159.01",6.444,6.127e-06,-1.057e-05,1.00138888888889
"CANDIDATE",8972058,"K00159.02",1.566,5.904e-05,-3.242e-05,1.1190676416819
"CANDIDATE",6631721,"K00160.01",8.208,-0.001227,-0.001993,30.0488466757123
"CANDIDATE",5084942,"K00161.01",2.102,-1.297e-05,4.776e-05,-1.76711772665765
"CANDIDATE",8107380,"K00162.01",5.016,-0.0001673,7.939e-05,1.34538461538462
"CANDIDATE",6851425,"K00163.01",3.587,-1.631e-06,0.0001603,-4.76113043478261
"FALSE POSITIVE",5652237,"K00164.01",2.175,-0.007128,-0.002663,124.680456490728
"CANDIDATE",9527915,"K00165.01",9.289,0.0001255,-0.0005696,1.85728070175439
"CANDIDATE",2441495,"K00166.01",8.947,0.000255,0.0001245,1.55465498357065
"CANDIDATE",11666881,"K00167.01",1.328,4.078e-05,2.635e-06,-0.625466531440162
"CANDIDATE",11512246,"K00168.01",4.856,-4.612e-06,0,-0.282920731707317
"CANDIDATE",11512246,"K00168.02",11.13,1.32e-05,0,-0.613227383863081
"CANDIDATE",11512246,"K00168.03",3.94,-1.461e-06,0,0.18384375
"FALSE POSITIVE",6185711,"K00169.01",7.99,-0.02987,-0.003187,52.8388571428572
"FALSE POSITIVE",11044770,"K00170.01",11.23,-0.003724,-0.003068,21.5009836065574
"CANDIDATE",7831264,"K00171.01",2.951,8.767e-05,-4.498e-05,0.75022131147541
"CANDIDATE",7831264,"K00171.02",2.696,-0.0001113,-1.641e-05,0.979024390243902
"CANDIDATE",8692861,"K00172.01",6.832,8.908e-05,-2.721e-05,0.0972170542635659
"CANDIDATE",8692861,"K00172.02",137.8,0.0001001,-0.0002438,0.169923456790123
"CANDIDATE",11402995,"K00173.01",6.839,-0.0001198,-0.0001396,-1.57467248908297
"CANDIDATE",10810838,"K00174.01",15.84,-0.0001845,-0.0002601,1.70301470588235
"FALSE POSITIVE",8323753,"K00175.01",-1.588,-0.003715,-0.00253,49.0217054263566
"CANDIDATE",6442377,"K00176.01",3.821,-0.0001025,-2.005e-05,-0.50784328358209
"CANDIDATE",6803202,"K00177.01",7.09,-8.963e-05,-8.769e-05,2.29525252525253
"FALSE POSITIVE",11455491,"K00178.01",3.132,0.01245,0.007375,-115.494134897361
"CANDIDATE",9663113,"K00179.01",-2.295,0.0001853,-0.0001572,1.29928789420142
"CANDIDATE",9663113,"K00179.02",177.4,-3.568e-05,-4.92e-05,-0.000313094117647059
"CANDIDATE",9573539,"K00180.01",1.9,-0.0001111,-2.201e-05,-1.05042528735632
"FALSE POSITIVE",12504988,"K00181.01",2.544,0,0.002842,-1.52525849335303
"CANDIDATE",5376836,"K00182.01",1.742,-0.0007776,8.307e-05,1.37863955119215
"CANDIDATE",9651668,"K00183.01",1.919,0.001694,-0.001386,0.0339776119402985
"FALSE POSITIVE",7972785,"K00184.01",3.651,-0.0004379,0.00109,-1.09452522255193
"FALSE POSITIVE",4178389,"K00185.01",4.779,0.01859,-0.009349,-0.730544117647059
"CANDIDATE",12019440,"K00186.01",1.577,-0.001763,-0.0008932,0.938064516129032
"FALSE POSITIVE",7023960,"K00187.01",4.604,-0.0002169,-0.0006482,-0.508483063328424
"CANDIDATE",5357901,"K00188.01",0.2292,0.000323,-4.848e-05,-1.03550445103858
"CANDIDATE",11391018,"K00189.01",1.451,0.0004704,-0.0003632,1.02204022988506
"FALSE POSITIVE",5771719,"K00190.01",5.304,0.0007134,2.5e-05,0.0235848214285714
"CANDIDATE",5972334,"K00191.01",-1.723,0.001427,-0.0001327,-0.260326530612245
"CANDIDATE",5972334,"K00191.02",1.108,0.0002529,1.011e-05,-0.137766871165644
"CANDIDATE",5972334,"K00191.03",0.4367,9.406e-05,7.048e-06,2.32301310043668
"CANDIDATE",5972334,"K00191.04",2.234,-3.766e-05,0.0004393,0.263048888888889
"CANDIDATE",7950644,"K00192.01",6.892,1.316e-05,0.0004139,0.49405604719764
"FALSE POSITIVE",10799735,"K00193.01",-6.941,0.001137,0.0007782,-0.746194690265487
"CANDIDATE",10904857,"K00194.01",1.577,9.224e-05,0.000865,1.76233382570163
"CANDIDATE",11502867,"K00195.01",-0.2708,0.0009451,0.001059,-0.553988355167395
"CANDIDATE",9410930,"K00196.01",0.925,-0.0004327,-0.000621,0.18944776119403
"CANDIDATE",2987027,"K00197.01",2.2,0.0001316,-0.0001924,3.75050798258345
"FALSE POSITIVE",10666242,"K00198.01",17.03,-0.0002927,-0.0004984,-0.79708211143695
"CANDIDATE",10019708,"K00199.01",1.712,0.0004907,0.002655,-0.707355126300149
"FALSE POSITIVE",10019708,"K00199.02",4.386,-0.0009013,-0.04034,15.1373844121532
"CANDIDATE",6046540,"K00200.01",1.734,-0.0002521,-0.0005434,0.484082840236686
"CANDIDATE",6849046,"K00201.01",1.385,0.0001861,0,-0.266449704142012
"CANDIDATE",7877496,"K00202.01",0.8615,-0.001587,-0.003873,0.01317341211226
"CANDIDATE",10619192,"K00203.01",0.7229,0.000807,-0.01007,-0.125823269513991
"CANDIDATE",9305831,"K00204.01",2.075,0.001239,0.004011,-0.10002380952381
"CANDIDATE",7046804,"K00205.01",-1.099,0.002979,-0.001331,1.22223357664234
"CANDIDATE",5728139,"K00206.01",2.69,7.626e-06,-0.001888,-0.319248554913295
"CANDIDATE",3762468,"K00208.01",1.525,-0.0008451,-0.00131,-0.518934911242604
"CANDIDATE",10723750,"K00209.01",-3.889,-0.000125,-0.0001567,0.89698670605613
"CANDIDATE",10723750,"K00209.02",1.791,-0.0001188,0.0002356,0.713357452966715
"FALSE POSITIVE",10602291,"K00210.01",7.979,0.0005884,-0.0003883,0.777847919655667
"CANDIDATE",10656508,"K00211.01",82.85,0.0007906,0.001418,-1.7479674796748
"CANDIDATE",6300348,"K00212.01",2.282,-0.0008977,-0.000638,-0.14576
"FALSE POSITIVE",9164836,"K00213.01",35.6,-0.008019,-0.0008935,3.53695014662757
"CANDIDATE",11046458,"K00214.01",1.631,0.0002351,-0.001449,2.71033519553073
"FALSE POSITIVE",12508335,"K00215.01",17.8,0.0009722,0.002166,-0.696773255813954
"CANDIDATE",6152974,"K00216.01",-1.069,0.001078,-0.0009789,1.73897685749086
"CANDIDATE",6152974,"K00216.02",3.456,0.0004392,-6.409e-06,2.22130612244898
"CANDIDATE",9595827,"K00217.01",2.728,0.001912,0.0009357,-1.8
"FALSE POSITIVE",9838975,"K00218.01",8.718,0.001143,-0.0001226,3.14275147928994
"CANDIDATE",6305192,"K00219.01",4.638,-0.0002373,0.0002142,-0.100195435092725
"CANDIDATE",7132798,"K00220.01",1.203,-5.631e-06,0.0002716,-0.827514367816092
"CANDIDATE",7132798,"K00220.02",1.544,2.054e-05,0.0001799,1.22097058823529
"CANDIDATE",3937519,"K00221.01",1.094,-0.0002326,-5.973e-05,0.845252525252525
"CANDIDATE",3937519,"K00221.02",-0.3678,-7.155e-05,0.0001177,-0.493812949640288
"CANDIDATE",4249725,"K00222.01",-0.7552,0.0002262,-0.0002413,-3.67815013404826
"CANDIDATE",4249725,"K00222.02",5.793,-7.528e-05,-4.172e-05,-3.21591928251121
"CANDIDATE",4545187,"K00223.01",1.087,0.0001163,-0.0002351,1.92360043907794
"CANDIDATE",4545187,"K00223.02",0.7288,0.0004907,0.0003081,-0.293583941605839
"FALSE POSITIVE",5547480,"K00224.01",1.992,0.004861,0.005859,-38.4686648501362
"FALSE POSITIVE",5801571,"K00225.01",0.6073,-0.000935,-0.001055,-0.0997339699863574
"CANDIDATE",5959753,"K00226.01",-1.914,0.0003117,0.0002362,0.565709711846318
"CANDIDATE",3847907,"K00229.01",1.401,-0.0008899,0.000767,4.61035460992908
"FALSE POSITIVE",3862246,"K00230.01",2.297,0.003877,-0.002638,-2.5817158931083
"FALSE POSITIVE",4043443,"K00231.01",-24.21,-0.0008265,-0.0003026,-0.221900826446281
"CANDIDATE",4833421,"K00232.01",-1.662,0,0.0002824,-0.0696389645776567
"CANDIDATE",4833421,"K00232.02",1.628,0,1.418e-05,-0.650699029126214
"CANDIDATE",4833421,"K00232.03",4.816,0,8.637e-05,0.428778280542986
"CANDIDATE",4833421,"K00232.04",14.35,0,3.759e-05,1.39670731707317
"CANDIDATE",4833421,"K00232.05",35.23,0,0.0001127,-0.432367491166078
"FALSE POSITIVE",5023956,"K00233.01",-0.3313,0.06048,-0.2306,-37.7031484257871
"CANDIDATE",8491277,"K00234.01",3.351,-0.0001339,0.0001132,0.0698892405063291
"CANDIDATE",8107225,"K00235.01",-0.8333,-0.0005645,-6.52e-05,1.79052890528905
"FALSE POSITIVE",8453211,"K00236.01",0.5177,0.02224,0.05002,0
"CANDIDATE",8041216,"K00237.01",2.554,-0.00017,5.715e-05,-1.02676470588235
"CANDIDATE",7219825,"K00238.01",9.624,-1.12e-05,-0.0002136,1.98371212121212
"CANDIDATE",7219825,"K00238.02",126.6,-0.0002463,0.0001266,-0.344429203539823
"CANDIDATE",7219825,"K00238.03",8.167,8.615e-05,-3.247e-05,-0.809109947643979
"CANDIDATE",6383785,"K00239.01",1.318,-0.001668,0.001095,-0.671204819277108
"CANDIDATE",6383785,"K00239.02",0.9063,-0.00037,0.000182,0.0753954545454545
"CANDIDATE",8026752,"K00240.01",-0.4836,-0.0001599,-0.0001089,0.8513499344692
"CANDIDATE",11288051,"K00241.01",-2.276,0.0001222,-0.0001273,-1.34403225806452
"CANDIDATE",11288051,"K00241.02",18.45,-0.000423,-2.438e-05,1.06927272727273
"CANDIDATE",11288051,"K00241.03",0.2708,0.0001142,-6.079e-06,-0.340195035460993
"FALSE POSITIVE",3642741,"K00242.01",4.33,0.001466,-0.0005473,-0.340243553008596
"FALSE POSITIVE",9592579,"K00243.01",1.028,0.03197,0,-28.8699551569507
"CANDIDATE",4349452,"K00244.01",0.3698,-0.0008787,1.748e-05,1.3978792822186
"CANDIDATE",4349452,"K00244.02",-1.464,-0.0002248,-3.298e-05,2.00068493150685
"CANDIDATE",8478994,"K00245.01",10.52,-0.0008098,-0.0006645,1.94723092998955
"CANDIDATE",8478994,"K00245.02",-4.747,-5.604e-05,-2.097e-05,-1.28953846153846
"CANDIDATE",11295426,"K00246.01",2.245,-4.282e-05,0.0001224,-1.15292915531335
"CANDIDATE",11295426,"K00246.02",6.118,5.118e-05,1.555e-05,-0.500804387568556
"CANDIDATE",11852982,"K00247.01",4.117,0.0005753,-0.0001805,-1.11435483870968
"CANDIDATE",5364071,"K00248.01",-0.9323,0.000292,1.155e-05,-2.57302709069494
"CANDIDATE",5364071,"K00248.02",-0.6031,0.0003273,-0.0001929,-1.79396551724138
"CANDIDATE",5364071,"K00248.03",5.616,-3.725e-06,0.00012,-0.0143328990228013
"CANDIDATE",5364071,"K00248.04",10.85,0.0001609,6.385e-05,-1.85689024390244
"CANDIDATE",9390653,"K00249.01",2.966,0.0005224,0.001125,0.505184016824395
"CANDIDATE",9757613,"K00250.01",7.786,0.001444,-0.0006605,1.01339877300613
"CANDIDATE",9757613,"K00250.02",6.421,0.001046,0.0005987,0.137433090024331
"CANDIDATE",9757613,"K00250.03",17.76,0.0003642,-0.001088,1.14696296296296
"CANDIDATE",9757613,"K00250.04",0.5542,0.000243,1.369e-05,1.81453551912568
"CANDIDATE",10489206,"K00251.01",1.256,-0.002341,0.003124,-0.466456876456876
"CANDIDATE",10489206,"K00251.02",1.808,-0.0003091,0.000733,0.554762550881954
"CANDIDATE",11187837,"K00252.01",5.762,0.0001334,0.001501,-0.710131926121372
"CANDIDATE",11752906,"K00253.01",-1.308,0.0001267,-0.001851,-3.90324675324675
"CANDIDATE",11752906,"K00253.02",-2.306,-0.000606,-0.0009121,-0.234361233480176
