"koi_disposition","kepid","kepoi_name","tce_maxmesd","tce_fwm_prao","tce_fwm_pdeco","tce_dikco_mra_sn"
"CANDIDATE",9596064,"K07197.01",0.375,0.0003972,0.0003033,-0.0628351063829787
"CANDIDATE",9596187,"K07198.01",0.475,0.0004024,-0.0001317,0.159355704697987
"FALSE POSITIVE",9597095,"K07200.01",1.371,0.0108,0.0009548,-8.16934523809524
"FALSE POSITIVE",9597854,"K07201.01",0.7079,0.002511,0.00484,0
"FALSE POSITIVE",9602431,"K07202.01",1.792,0.000147,-3.651e-05,3.19522546419098
"FALSE POSITIVE",9602538,"K07203.01",1.178,-9.117e-05,-0.0001553,-0.652841726618705
"FALSE POSITIVE",9630640,"K07204.01",2.121,-3.026e-05,0.0001222,-2.56305916305916
"CANDIDATE",9635520,"K07205.01",1.679,-0.001768,-0.007215,-0.716980906921241
"FALSE POSITIVE",9635529,"K07206.01",1.41,-0.0001812,0,-1.04837758112094
"FALSE POSITIVE",9637299,"K07207.01",0.9408,0,0,2.62392909896603
"CANDIDATE",9640123,"K07209.01",4.114,3.132e-05,1.966e-05,0.605785714285714
"FALSE POSITIVE",9640921,"K07210.01",49.84,0.001219,0.0002379,0.0349478260869565
"FALSE POSITIVE",9640921,"K07210.02",27.83,0.0006235,0.0008954,-0.797244623655914
"FALSE POSITIVE",9641031,"K07211.01",1.089,0,0.2733,-1.09984496124031
"FALSE POSITIVE",9641103,"K07212.01",0.7578,-2.751e-06,-1.409e-05,-2.13233618233618
"FALSE POSITIVE",9644411,"K07213.01",0.3745,0.0021,0.00118,-117.909482758621
"FALSE POSITIVE",9644683,"K07214.01",0.2083,0,0,-10.9979381443299
"CANDIDATE",9651602,"K07215.01",1.444,3.152e-05,0.0002413,-1.20087751371115
"FALSE POSITIVE",9652166,"K07216.01",0.4719,0,0,-0.971345939933259
"FALSE POSITIVE",9652632,"K07217.01",0.7288,0.001282,-0.003319,0.84778774289985
"FALSE POSITIVE",9655424,"K07218.01",0.5245,9.371e-05,-2.846e-05,12.2962711864407
"CANDIDATE",9658089,"K07220.01",0.4625,4.582e-05,-5.259e-05,-0.16970618556701
"FALSE POSITIVE",9665503,"K07221.01",7.556,0,0,-0.0166998514115899
"FALSE POSITIVE",9673173,"K07222.01",-3.406,0.01509,-0.001106,0.0358880706921944
"CANDIDATE",9674320,"K07223.01",18.57,-0.0008146,0.0001522,0.736929316338355
"FALSE POSITIVE",9711751,"K07225.01",0.3266,-0.0004364,-0.000297,1.59808259587021
"FALSE POSITIVE",9762514,"K07227.01",3.932,-0.006325,-0.0008035,44.7015151515151
"FALSE POSITIVE",9762519,"K07228.01",3.937,0.00469,0.001421,1.96844444444444
"FALSE POSITIVE",9777062,"K07229.01",11.53,0.003534,0.0009519,-0.52319587628866
"FALSE POSITIVE",9786821,"K07230.01",-0.2063,-0.0003335,0,2.25775623268698
"FALSE POSITIVE",9790965,"K07231.01",0.4471,-0.0003502,0.0008068,-1.28992592592593
"CANDIDATE",9811915,"K07232.01",-0.3667,0.0004802,0,0.277540983606557
"FALSE POSITIVE",9818732,"K07233.01",13.4,0,0,0.0531944827586207
"FALSE POSITIVE",9821078,"K07234.01",4.223,0,0.09031,-2.21620029455081
"CANDIDATE",9837013,"K07236.01",3.876,-0.00038,-3.526e-05,0.601111111111111
"FALSE POSITIVE",9850387,"K07238.01",0.7833,0,-0.0002434,-1.55555555555556
"FALSE POSITIVE",9850912,"K07239.01",1.798,0.0008254,-0.001206,2.34191176470588
"FALSE POSITIVE",9873869,"K07241.01",2.495,-0.005512,0.004018,0.165381165919283
"FALSE POSITIVE",9881258,"K07242.01",-0.3882,-0.0003488,0.0004736,-1.67761194029851
"FALSE POSITIVE",9899153,"K07243.01",0.6266,-0.0003158,0,1.28662049861496
"FALSE POSITIVE",9899193,"K07244.01",0.6675,-3.531e-05,-6.875e-05,2.04877675840979
"FALSE POSITIVE",9899410,"K07245.01",0.6938,-0.0001413,-1.081e-05,0.978432055749129
"FALSE POSITIVE",9899421,"K07246.01",0.6667,0.0001277,4.726e-05,-4.88083941605839
"FALSE POSITIVE",9899577,"K07247.01",0.6198,0.0001398,-0.0001437,-1.16563573883162
"FALSE POSITIVE",9899583,"K07248.01",0.6403,0.0002612,-8.046e-05,-3.09031830238727
"FALSE POSITIVE",9906489,"K07249.01",-1.641,2.314e-05,-5.745e-05,0.814607142857143
"CANDIDATE",9909965,"K07252.01",-0.7875,-0.000255,-1.72e-06,1.82686200378072
"FALSE POSITIVE",9913481,"K07253.01",2.129,-0.0006981,-0.001972,3.04690476190476
"FALSE POSITIVE",9913798,"K07254.01",1.076,-0.274,0.1522,52.6792452830189
"FALSE POSITIVE",9934208,"K07256.01",5.052,-0.001049,0.003131,-0.236876790830946
"FALSE POSITIVE",9936698,"K07257.01",0.5063,0.0009856,-0.0003884,-1.11032520325203
"CANDIDATE",9943009,"K07258.01",0.9719,2.471e-05,-3.149e-05,0.836078431372549
"CANDIDATE",9944201,"K07259.01",0.349,-0.002055,0.001634,5.94598930481283
"FALSE POSITIVE",9944421,"K07260.01",3.986,0.01807,-0.006542,-0.445473372781065
"FALSE POSITIVE",9945280,"K07261.01",0.325,0.0003788,-0.0003568,-0.432378138847858
"FALSE POSITIVE",9953736,"K07262.01",0.2219,-2.303e-05,-5.183e-06,0.938168316831683
"FALSE POSITIVE",9958053,"K07263.01",0.4042,0.000133,-7.985e-05,-0.324869565217391
"FALSE POSITIVE",9959093,"K07264.01",8.827,0.0002069,0.0001975,-3.44248466257669
"FALSE POSITIVE",9963009,"K07265.01",21.24,-0.0003522,-0.01178,1.5371546961326
"FALSE POSITIVE",9965691,"K07267.01",-1.62,4.668e-05,-4.309e-05,-0.731610486891386
"FALSE POSITIVE",9971475,"K07268.01",2.681,0.006188,-0.001967,0.3
"FALSE POSITIVE",10000490,"K07269.01",0.7072,0,0,-0.093496644295302
"CANDIDATE",10002049,"K07270.01",0.8188,0.000156,-0.000487,-2.46636259977195
"FALSE POSITIVE",10014702,"K07271.01",0.6823,2.226e-05,4.531e-05,-1.62027713625866
