"koi_disposition","kepid","kepoi_name","tce_incl","tce_slogg_prov","wst_depth","tce_albedo_stat","tce_fwm_prao","tce_ingress_sn"
"FALSE POSITIVE",9418994,"K07172.01",88.55,7,2198,0.6455,0.007273,61.6959907701183
"FALSE POSITIVE",9451096,"K07173.01",79.59,13,70250,0.8742,0,3096.63641217298
"CANDIDATE",9458266,"K07174.01",75.55,7,12.88,0.6859,9.432e-05,0.148988195615514
"FALSE POSITIVE",9466042,"K07175.01",23.57,5,10.1,1.286,3.434e-05,22.5222792330543
"FALSE POSITIVE",9468296,"K07176.01",86.4,7,5638,4.209,0.001244,136.492281303602
"FALSE POSITIVE",9474222,"K07177.01",89.3,18,3077,3.473,0.000668,1827.03856933138
"FALSE POSITIVE",9474969,"K07178.01",88.55,5,124900,2.15,0.0005727,1965.40124939933
"FALSE POSITIVE",9509207,"K07181.01",88.12,13,163000,1.951,-0.008947,2856.61424606846
"CANDIDATE",9513168,"K07182.01",80.92,7,218.2,1.217,-0.001178,3.60585585585586
"FALSE POSITIVE",9520700,"K07183.01",87.9,7,13.52,0,0.02195,-1.392
"FALSE POSITIVE",9529294,"K07184.01",85.27,7,64.24,0.5112,-0.001946,0.11044921875
"FALSE POSITIVE",9529856,"K07185.01",88.77,5,6897,1.75,0.009611,1279.85074626866
"FALSE POSITIVE",9536048,"K07186.01",83.08,7,12.65,1.028,0.0001174,0.288189588189588
"FALSE POSITIVE",9540450,"K07187.01",88.76,7,57.17,0,0,-0.7125
"FALSE POSITIVE",9540675,"K07188.01",61.21,7,24.23,1.244,8.725e-06,0.281494352736751
"FALSE POSITIVE",9541163,"K07189.01",78.94,7,44.51,0.4478,-8.809e-05,0.109208590761989
"FALSE POSITIVE",9541567,"K07190.01",57.35,7,12.17,1.601,5.491e-06,0.565710473649099
"FALSE POSITIVE",9569866,"K07191.01",84.89,7,25650,4.245,0,4459.83379501385
"FALSE POSITIVE",9579192,"K07192.01",86.26,5,5191,2.041,-0.0006327,1086.47362157874
"FALSE POSITIVE",9579789,"K07193.01",58.99,7,18.82,0.3877,6.915e-05,0.125962487660415
"FALSE POSITIVE",9592855,"K07196.01",60.39,7,-347.8,0,-0.02136,3419.23209961951
"CANDIDATE",9596064,"K07197.01",73.48,7,41.15,0.5372,0.0003972,0.153215077605322
"CANDIDATE",9596187,"K07198.01",72.15,7,49.62,-2.772,0.0004024,5.51043302669957
"FALSE POSITIVE",9597095,"K07200.01",81.66,15,7539,20.37,0.0108,904.076738609113
"FALSE POSITIVE",9597854,"K07201.01",81.21,7,17.43,0.7553,0.002511,0.18648097826087
"FALSE POSITIVE",9602431,"K07202.01",64.16,7,15.94,0.8677,0.000147,0.202165605095541
"FALSE POSITIVE",9602538,"K07203.01",62.78,7,12.83,0.8994,-9.117e-05,0.201376462491397
"FALSE POSITIVE",9630640,"K07204.01",78.72,7,121.7,0.5093,-3.026e-05,20.5008904719501
"CANDIDATE",9635520,"K07205.01",88.91,7,30.46,0,-0.001768,-0.06336
"FALSE POSITIVE",9635529,"K07206.01",79.3,7,-4.927,0,-0.0001812,13847.9157123225
"FALSE POSITIVE",9637299,"K07207.01",89.4,7,63230,0,0,-0.4963
"CANDIDATE",9640123,"K07209.01",82.65,26,15.74,0.6179,3.132e-05,0.162238325281804
"FALSE POSITIVE",9640921,"K07210.01",89.05,7,9718,2.369,0.001219,138.756560355268
