"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_impact","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tcet_model_chisq","tce_mesmedian","tce_minmesd","tce_bin_oedp_stat","tce_albedo","boot_mesmean","tce_rb_tcount3","tce_fwm_stat","tce_fwm_sra","tce_fwm_srao","tce_fwm_prao","tce_impact_sn","tce_duration_sn","tce_depth_sn","tce_eqt_sn","tce_insol_sn","tce_slogg_sn","tce_smet_sn","tce_albedo_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",11408935,"K06086.01",1,0.293,1.495,6476,49.34,0.805,138100,0.03778,5.083,6.669,40.77,-0.17371,0,69.109,19.65205,-0.08382,-0.001462,55.3665910808768,1475.83318792532,1510.50135501355,10.8333333333333,2.70504385964912,22.85,-1.53333333333333,2.85504201680672,-19.7223529411765,-76.7377398720682,-0.0885356454720616,0.555149253731343
"FALSE POSITIVE",11519226,"K06087.01",1,1,1.598,2257,139.95,1.745,464000,-0.02672,8.349,0.2426,99.36,-0.12179,0,17.991,19.804714,0.07857,0.0005238,22.9147571035747,18.1281905842314,5.03600654664484,7.43220338983051,1.85364238410596,12.3125,-1.14285714285714,1.65987303708654,3.15542168674699,7.5,0.00166861313868613,0.666
"FALSE POSITIVE",11756821,"K06088.01",1,0.8677,1.356,14140,150.32,0.658,271000,-0.02756,1.291,1.871,3.49,-0.17718,0,0,19.215449,6.019,-0.07631,367.202708421498,288.813886210222,224.720945502298,22.2693266832918,5.56534616808589,77.5,-0.133333333333333,8.39345839345839,225.430711610487,-186.014760147601,0,67.4206695778748
"FALSE POSITIVE",11769146,"K06089.01",1,0.1,4.071,-1,1.45,0.959,861900,0.02054,156.5,0,0,-1,0,2040.8,19.654614,-0.001652,0.02572,-0.1,-12.5,0,-280,-1.45,20.4090909090909,-0.2,0,-1.75557917109458,-25.4375,0.317191780821918,0.161385991058122
"FALSE POSITIVE",11812199,"K06090.01",1,0.9996,3.614,2438,19.8,0.94,143700,-0.09332,4.536,0.2102,692.6,-0.019403,0,16975,19.391268,-5.136,0.02204,25.2871237035163,142.283464566929,46.0755009409941,9.55595026642984,2.39130434782609,20.4545454545455,-0.0666666666666667,1.57839562443026,-90.7420494699647,42.8837209302326,-10.8776978417266,71.9522471910112
"FALSE POSITIVE",11826400,"K06091.01",1,0.4335,1.09,20270,1953,2.071,834300,-0.6103,3.124,3.9,1.537,-0.074892,0,0,19.834226,-0.1056,0,503.71833604462,4588.5078776645,5107.78985507246,8.09523809523809,2.0143988777952,14.7777777777778,-0.628571428571429,2.13769123783032,-123.508771929825,-316.151202749141,2.60238095238095,0.216946107784431
"FALSE POSITIVE",12010534,"K06092.01",1,0.01493,1.329,29320,735.8,0.989,3424000,3.866,1.124,3.777,4.871,-1,0,838.74,19.335123,0.06651,0.003123,0.635860306643952,4032.5271059216,2935.54006968641,11.271186440678,2.81786151960784,24.5,-0.333333333333333,2.98285364360073,66.51,95.8937691521961,0.0576984126984127,0.250748502994012
"FALSE POSITIVE",2019477,"K06093.01",1,0.7754,0.2775,6457,485.98,4.524,69480,-0.08149,5.389,0.7263,18.9,-0.26902,0,19.206,19.503483,0.8967,4.032e-06,1.03400453393786,16.2926449604359,10.1351695995919,7.84313725490196,1.95699271131156,11.7241379310345,2,1.03618421052632,0.994124168514412,-0.0390442477876106,-2.3607103218646,0.434384694932782
"CANDIDATE",2019477,"K06093.02",2,0.8501,0.4906,5644,334.1,4.524,63590,-0.1218,2.159,1.826,26.13,-0.16794,0,13.625,19.503474,0.5291,3.278e-05,2.81583305730374,16.1234991423671,9.33738529376713,7.84172661870504,1.95700562324274,11.7241379310345,2,1.21084337349398,0.518725490196078,-4.09375,1.974,0.288952755905512
"FALSE POSITIVE",2161623,"K06094.01",1,0.1,1.251,-1,3895.19,1.719,549700,-83.16,0.9944,0,0,-1,0,83640,19.449646,0.6701,-3.857,-0.1,-4.5,-163700,-2010,-3895.19,17.0416666666667,-0.8,0,536.08,-880.254777070064,0.323116883116883,1.89128686327078
"FALSE POSITIVE",2707097,"K06095.01",1,0.9009,0.4031,3354,4257.35,1,6525,-5.236,0.2969,0.5771,1.099,-1,0,28.823,19.336364,-0.1681,0.001015,9.22769640479361,33.6857501044714,109.164969450102,3879472.69303202,0,0,1.06666666666667,1.71077210460772,-3.76062639821029,-16.6574803149606,-0.278531073446328,0.662573696145125
"FALSE POSITIVE",2719873,"K06096.01",1,0.5029,1.854,4412,22.66,0.658,208900,-0.2213,8.773,1.629,92.92,-0.0083181,0,14046,19.528705,-0.08553,-0.03694,623.481279444582,2753.3802055165,2807.34568950859,24.7111111111111,6.19125683060109,77,-2.6,9.10088148873653,-34.9102040816326,-382.365145228216,0.678486055776892,0.37085201793722
"FALSE POSITIVE",2997455,"K06098.01",1,0.9,0.5693,18870,0,7.102,67510,-0.03436,0.625,0,0,-0.19763,0,1612,19.542037,0.4386,-0.001293,488.334237655996,249.966184228324,291.58273381295,0,0,17.5294117647059,1.06666666666667,0,28.6666666666667,-46.6554054054054,4.69483568075117,16.5722627737226
"FALSE POSITIVE",3003991,"K06099.01",1,0.5327,1.049,8831,106.03,0.788,777000,0.08168,3.505,42.61,20.47,-0.32988,0,218880,19.632666,0.08765,-0.0384,559.382547516539,2420.15613910575,3156.01023017903,13.6789297658863,3.42032258064516,32.7857142857143,-0.733333333333333,3.75114531794026,46.1315789473684,-464.201183431953,-11.2335766423358,5.85567164179104
"FALSE POSITIVE",3229028,"K06100.01",1,0.9021,0.07731,39030,8772.95,1.463,69130,-0.03588,0.5403,2.972e-06,1.386,-0.39722,0,38.504,19.320734,-1.224,2.47e-05,2.56132879045997,11.5587129126619,10.4111675126904,14.0340909090909,3.50181218715822,25.9375,0.8,1.24640287769784,-1.43661971830986,3.16582406471183,-3.24729064039409,2.04128595600677
"FALSE POSITIVE",3230787,"K06101.01",1,0.8015,3.651,14610,149.69,1.554,11910000,-0.0349,-2.295,2.026,0.04011,-1.4769,0,351.02,19.35032,-0.1147,-0.0006548,39.1357421875,5035.1724137931,4416.72606319791,8.18348623853211,2.05026708670045,14.4285714285714,-0.8,1.66777546777547,-275.721153846154,-1038.88888888889,0.0307058823529412,0.0708134615384615
"FALSE POSITIVE",3634051,"K06103.01",1,0.6908,0.8914,405.8,5.46,3.006,67920,-0.009267,151.7,0.6543,674.1,-2.2533,0,1.6533,19.198357,-0.2745,0.0002833,4.07792207792208,40.4014167650531,37.4155844155844,6.16113744075829,1.53802816901408,9.63157894736842,0.8,1.30311231393775,-0.671149144254279,0.0604838709677419,0.215509138381201,2.15370558375635
"CANDIDATE",3634051,"K06103.02",2,0.7275,0.0689,159.9,31.16,3.006,67270,-0.01261,85.91,0.2518,458.5,0.011918,0,0.10672,19.198366,0.07556,-6.796e-06,0.260752688172043,3.68838526912181,10.8064516129032,6.14913176710929,1.53800592300099,9.63157894736842,0.8,0.50120244862265,0.060448,-0.0706521739130435,0.158918269230769,1.66272935779816
"CANDIDATE",3761319,"K06104.01",1,0.8377,0.5257,4303,58.2,0.923,55110,-0.06646,10.82,2.621,115.8,0.0044122,0,48.349,19.670658,-0.1754,-8.103e-06,4.32472896231285,13.5829251224633,15.8992276572269,11.6556291390728,2.91291291291291,26.1176470588235,-1,1.77471264367816,-0.613286713286713,-0.576235294117647,3.3026455026455,0.580133333333333
"FALSE POSITIVE",4035675,"K06107.01",1,0.918,1.014,16590,2655.93,2.287,722800,0.2057,1.378,25.45,0.9015,0.052101,0,6274.3,18.974958,-0.7277,-0.005524,112.156383628589,1055.70015616866,1543.71002132196,4.42028985507246,1.10666055542824,7.09259259259259,0.56,1.1153037238649,-250.931034482759,193.440736478711,5.50931677018634,139.908361970218
"FALSE POSITIVE",4144236,"K06109.01",1,0.7353,2.076,3932,102.43,1.297,1967000,0.02006,0.6563,0,0.3146,-1,0,30273,19.188891,0.1157,-0.01075,36.5457256461233,2542.55970606246,5108.1359423275,13.8869863013699,3.47338080705324,30.6428571428571,-0.6,3.67394604694616,403.135888501742,-469.846153846154,0.338642297650131,0.581424287856072
"FALSE POSITIVE",4150701,"K06110.01",1,0.8907,0.2832,2958,40.59,0.696,57390,-0.1278,-1.115,0.4264,351.6,-0.047757,0,285.4,19.317481,-2.511,0.001772,2.1987163663293,3.1611117518164,12.126218851571,23.9405204460967,5.98672566371681,115.25,-0.4,1.08552022229083,-6.57329842931937,-1.22205513784461,4.46914893617021,11.500350262697
"FALSE POSITIVE",4285087,"K06112.01",1,0.6769,2.157,79960,2557,1.444,5444000,-0.154,-0.2969,0,0.0014,-1,0,776070,19.776591,0.07036,-0.04544,63.4990619136961,5009.87109511091,10113.7614678899,6.41843971631206,1.6056817396874,11.3333333333333,-1.93333333333333,1.40407180824391,259.630996309963,-810.21021021021,2.97864077669903,0.933841554559043
"FALSE POSITIVE",4346875,"K06113.01",1,0.903,2.276,23350,189.68,0.787,1033000,-0.3997,2.225,1.155,9.351,-0.051544,0,422.5,19.039046,-0.2423,-0.001716,34.7040737893928,1419.5258889582,1441.65316045381,14.1616766467066,3.5427717594322,32.7142857142857,-0.8,3.7950487012987,-109.144144144144,-146.912442396313,-0.0391794871794872,0.154775449101796
"FALSE POSITIVE",4459068,"K06114.01",1,0.9865,1.387,3490,1013.67,3.018,98840,-0.04339,-1.104,0.6249,2.966,-0.14718,0,0,19.334955,-0.08795,0,88.7140287769784,259.981255857545,494.19315403423,5.17985611510791,1.29570641545128,9.21951219512195,-1.1,1.42459173871278,-7.15040650406504,-4.52922077922078,0.427566137566137,0.378089887640449
"FALSE POSITIVE",4547480,"K06116.01",1,0.9432,0.8058,3522,199.6,0.746,70250,-0.1694,2.144,0.02753,38.79,0.021277,0,7.0971,19.142542,-0.0712,-0.0001758,77.757625721352,44.5303867403315,40.9945070829719,17.5779816513761,4.39938285210492,45.7,-1.54285714285714,4.46426516284958,-0.659259259259259,-1.30097087378641,0.547395833333333,1.5750593824228
