"koi_disposition","kepid","kepoi_name","tce_period","tce_num_transits","tce_model_snr","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_prao","tce_prad_sn"
"CANDIDATE",11446443,"K00001.01",2.47061,432,6930,0,49.31643,-0.0001223,25.3591266040988
"CANDIDATE",10666592,"K00002.01",2.20473,611,3565,5,47.969308,-0.001754,17.7434704451729
"CANDIDATE",10748390,"K00003.01",4.8878,215,1792,3,48.081645,0.001684,26.8554790894653
"CANDIDATE",3861595,"K00004.01",3.84938,276,228.8,1,38.94734,0.0001896,3.08238636363636
"CANDIDATE",8554498,"K00005.01",4.78033,280,358,11,44.647406,8.928e-05,13.5176069670579
"FALSE POSITIVE",3248033,"K00006.01",1.33413,799,24.36,0,38.386966,0,3.39170744269894
"CANDIDATE",11853905,"K00007.01",3.21366,335,302.3,2,50.135737,-0.0001967,15.2437810945274
"FALSE POSITIVE",5903312,"K00008.01",1.16015,1151,40.95,1,41.139357,0.003678,4.66613672496025
"FALSE POSITIVE",11553706,"K00009.01",3.71981,364,401.5,0,49.528435,-0.01863,3.06497484139138
"CANDIDATE",6922244,"K00010.01",3.5225,384,1687,0,42.451063,1.319e-05,13.1886625332152
"FALSE POSITIVE",11913073,"K00011.01",3.74782,358,91.99,0,50.262473,-0.0007874,4.35467128027682
"CANDIDATE",5812701,"K00012.01",17.8552,75,628.5,0,41.011057,0.0004751,5.11923076923077
"CANDIDATE",9941662,"K00013.01",1.76359,761,5052,0,46.868554,0,2.25890985324948
"FALSE POSITIVE",7684873,"K00014.01",2.94736,454,297.5,30,43.305207,0.0005353,3.84472461844725
"FALSE POSITIVE",3964562,"K00015.01",3.01248,354,281.4,0,39.088794,0.092,3.12935708752905
"FALSE POSITIVE",9110357,"K00016.01",0.895279,1499,48.61,0,45.299469,0.04832,1.58632517722387
"CANDIDATE",10874614,"K00017.01",3.2347,335,2865,0,48.239985,0.00086,13.5889954147561
"CANDIDATE",8191672,"K00018.01",3.54846,378,2178,0,44.035067,0.0004054,11.3297872340426
"FALSE POSITIVE",7255336,"K00019.01",1.20321,1110,1209,4,42.839213,0.0004573,5.56980227681246
"CANDIDATE",11804465,"K00020.01",4.43796,238,3245,0,50.040385,-4.892e-05,5.05466778805719
"FALSE POSITIVE",10125352,"K00021.01",4.28851,313,546.6,0,47.169873,-0.006036,2.83500205733096
"CANDIDATE",9631995,"K00022.01",7.89145,169,1908,0,46.323334,0.001755,5.91536338546458
"FALSE POSITIVE",9071386,"K00023.01",4.6933,284,2740,0,45.403074,-0.000133,5.50679851668727
"FALSE POSITIVE",4743513,"K00024.01",2.08607,641,476,0,39.81877,0.02495,3.28679867986799
"FALSE POSITIVE",10593759,"K00025.01",3.13261,430,1279,0,47.815537,-4.409e-05,2.91012640644534
"FALSE POSITIVE",5021737,"K00026.01",15.0395,74,578.7,0,40.150652,0.04122,2.94135293235338
"FALSE POSITIVE",3832716,"K00027.01",1.14187,0,-1,0,0,0,-29.76
"FALSE POSITIVE",4247791,"K00028.01",2.05043,654,6545,0,39.376897,0.02208,3.40740740740741
"FALSE POSITIVE",6956014,"K00031.01",0.925575,1443,114.9,0,42.468764,-1.231e-05,3.36820652173913
"FALSE POSITIVE",5725087,"K00033.01",0.732392,1824,15.55,0,40.927545,3.992e-05,3.57070399675391
"CANDIDATE",6521045,"K00041.01",12.8159,104,74.06,0,41.99039,0.0001068,11.761583011583
"CANDIDATE",6521045,"K00041.02",6.88706,187,30.22,0,41.990465,-3.921e-06,7.28437654016757
"CANDIDATE",6521045,"K00041.03",35.3331,35,19.16,0,41.990374,-6.725e-06,6.82155408043733
"CANDIDATE",8866102,"K00042.01",17.8338,75,130.2,0,45.139992,0.0002523,17.4952800503461
"FALSE POSITIVE",9025922,"K00043.01",11.3203,119,79.52,0,45.343954,0.09774,59.7935103244838
"FALSE POSITIVE",8845026,"K00044.01",66.4676,21,375.1,0,45.089558,0.004064,3.49366359447005
"FALSE POSITIVE",3742855,"K00045.01",6.39719,212,460.6,0,38.839015,0.04568,485.289465359064
"CANDIDATE",10905239,"K00046.01",3.48769,386,324.1,0,48.355286,-0.0001073,4.14834794335806
"CANDIDATE",10905239,"K00046.02",6.02974,201,8.924,0,48.355114,5.168e-05,1.40012845215157
"FALSE POSITIVE",7837302,"K00048.01",23.8368,57,1481,0,43.543179,4.268e-05,2.13167701863354
"CANDIDATE",9527334,"K00049.01",8.31378,157,94.13,0,46.16479,0.0001002,6.01752289924333
"FALSE POSITIVE",6056992,"K00051.01",10.4311,121,462.9,0,41.332248,0.01613,12.5317693059629
"FALSE POSITIVE",3558981,"K00052.01",2.98787,362,1601,0,38.678222,0,6.46345811051693
"FALSE POSITIVE",2445975,"K00053.01",3.38888,391,437.2,0,37.773441,0.004894,259.708193041526
"FALSE POSITIVE",8248939,"K00061.01",1.63343,819,60.78,0,44.16672,0.003007,3.04193319118692
"CANDIDATE",11554435,"K00063.01",9.43416,144,595.5,0,49.548286,2.272e-05,7.37867647058824
"CANDIDATE",7051180,"K00064.01",1.95109,687,246.6,0,42.547409,2.265e-05,8.23603002502085
"FALSE POSITIVE",10620329,"K00066.01",0.872559,1221,118.1,27,47.840013,0,3.87346221441125
"FALSE POSITIVE",8669092,"K00068.01",1.00071,1332,-1,0,44.827502,-3.973e-06,-13.85
"CANDIDATE",3544595,"K00069.01",4.72674,284,244,0,38.672404,-2.044e-05,20.1293356848912
"CANDIDATE",6850504,"K00070.01",10.8541,123,193.8,0,42.338664,-2.59e-05,8.90287277701778
"CANDIDATE",6850504,"K00070.02",3.69612,343,114.3,0,42.338628,2.398e-05,8.44036697247707
"CANDIDATE",6850504,"K00070.03",77.6116,16,79.46,0,42.338615,4.252e-05,8.49882491186839
"CANDIDATE",6850504,"K00070.04",6.09855,196,17.53,0,42.338555,-9.707e-06,3.24974164657251
"CANDIDATE",6850504,"K00070.05",19.5775,60,13.49,0,42.338781,3.076e-05,2.18607542478243
"CANDIDATE",11904151,"K00072.01",45.2943,26,95.69,0,50.241397,-1.762e-05,14.4168591224018
"CANDIDATE",11904151,"K00072.02",0.837484,1245,37.1,0,50.241587,5.24e-06,6.28459119496855
"FALSE POSITIVE",6889235,"K00074.01",5.18865,258,878.1,0,42.388513,9.049e-05,2.44115691489362
"CANDIDATE",7199397,"K00075.01",105.88,14,196.5,0,42.728722,0.0007389,8.02621434078643
"FALSE POSITIVE",9955262,"K00076.01",77.48,17,63.28,0,46.822415,-0.001127,3.07670373538637
"FALSE POSITIVE",9552608,"K00080.01",9.25057,147,335.5,0,46.104302,-1.973e-05,2.05379482902419
"FALSE POSITIVE",8823868,"K00081.01",23.8761,58,1311,0,45.018499,0.000319,2.62561231630511
"CANDIDATE",10187017,"K00082.01",16.1457,84,204,0,47.207921,2.264e-05,14.8637911464245
"CANDIDATE",10187017,"K00082.02",10.3117,126,71.07,0,47.207896,7.556e-05,11.5057915057915
"CANDIDATE",10187017,"K00082.03",27.4538,48,23.56,0,47.207855,9.302e-06,4.23824959481361
"CANDIDATE",10187017,"K00082.04",7.07133,182,20.95,0,47.2078,3.283e-05,3.65092918131592
"CANDIDATE",10187017,"K00082.05",5.28696,228,14.54,0,47.208086,-3.96e-05,2.74184397163121
"CANDIDATE",10187017,"K00082.06",22.41,53,9.237,0,47.208073,-4.164e-05,2.11579699785561
"CANDIDATE",2571238,"K00084.01",9.28697,144,216.2,0,37.851719,1.629e-05,8.13680781758958
"CANDIDATE",5866724,"K00085.01",5.85994,232,153.2,0,41.151204,8.754e-06,16.2506841817187
"CANDIDATE",5866724,"K00085.02",2.1549,576,68.02,0,41.151185,5.765e-06,11.2390670553936
"CANDIDATE",5866724,"K00085.03",8.13122,131,43.99,0,41.151223,7.786e-06,10.3464755077658
"CANDIDATE",10593626,"K00087.01",289.866,4,36.67,0,47.884269,-0.0002333,8.41968911917098
"FALSE POSITIVE",7700871,"K00088.01",2.58984,520,49.38,0,43.333593,-0.002118,4.61555075593953
"CANDIDATE",8056665,"K00089.01",84.6877,18,67.32,0,43.81437,0.0001747,4.28538550057537
"CANDIDATE",8056665,"K00089.02",207.588,6,46.75,0,43.814243,-0.0001914,4.06285714285714
"FALSE POSITIVE",9210823,"K00090.01",0.828196,1616,29.03,1,0,-0.01176,2.16285714285714
"CANDIDATE",7941200,"K00092.01",65.7046,20,76.99,0,43.788365,-9.543e-05,6.39547074858461
"CANDIDATE",6462863,"K00094.01",22.343,30,701.5,0,41.891142,0.001372,5.47774158523344
"CANDIDATE",6462863,"K00094.02",54.3202,11,159.4,0,41.891134,0.0003053,5.46696035242291
"CANDIDATE",6462863,"K00094.03",10.4237,57,135.6,0,41.891175,0.0001439,5.38783783783784
"CANDIDATE",6462863,"K00094.04",3.74316,154,35.39,0,41.891176,6.143e-05,4.76889613920609
"CANDIDATE",5780885,"K00097.01",4.88549,277,2182,0,41.089757,0.0002854,15.9137769447048
"CANDIDATE",10264660,"K00098.01",6.79012,198,627.4,0,47.333018,0.0001601,13.6863995563566
"CANDIDATE",4055765,"K00100.01",9.9664,135,168.6,0,39.199498,2.603e-05,3.91515994436718
"CANDIDATE",8456679,"K00102.01",1.73513,772,421.1,0,44.435397,0.00014,6.04758961681088
"FALSE POSITIVE",8456679,"K00102.02",4.06843,292,24.43,0,44.435302,4.147e-06,3.91619927416694
"CANDIDATE",2444412,"K00103.01",14.9111,93,108.3,0,37.751499,4.489e-05,7.8639846743295
"CANDIDATE",10318874,"K00104.01",2.50806,540,306,0,47.497211,0.0001626,19.1324921135647
"CANDIDATE",8711794,"K00105.01",8.981,153,187,0,44.857885,4.585e-06,6.26606334841629
"FALSE POSITIVE",10489525,"K00106.01",1.61222,668,34.95,9,47.576372,0.008739,2.77314814814815
"CANDIDATE",11250587,"K00107.01",7.25697,184,130.8,0,48.982357,2.221e-05,14.3948797517455
"CANDIDATE",4914423,"K00108.01",15.9653,84,119.1,0,40.064589,-6.412e-05,13.8071065989848
"CANDIDATE",4914423,"K00108.02",179.61,7,122.9,0,40.064522,-0.0001103,15.472972972973
"FALSE POSITIVE",4752451,"K00109.01",6.41497,172,36.89,0,39.815233,-0.001033,1.44112859468258
"CANDIDATE",9450647,"K00110.01",9.94066,138,146,0,46.063898,8.768e-06,5.64030297692443
"CANDIDATE",6678383,"K00111.01",11.4276,116,144.7,0,42.166576,-8.112e-05,7.0381984036488
"CANDIDATE",6678383,"K00111.02",51.7553,25,98.89,0,42.166604,-8.607e-05,7.07438449449974
"CANDIDATE",6678383,"K00111.03",23.6684,52,97.65,0,42.166613,-0.0001372,6.85554903112155
"CANDIDATE",10984090,"K00112.01",51.0793,29,99.86,0,48.495545,1.936e-05,7.01040253279059
"CANDIDATE",10984090,"K00112.02",3.70919,352,44.92,0,48.495685,-4.609e-05,4.96002906976744
"FALSE POSITIVE",6721123,"K00114.01",7.36179,185,47.53,0,42.158262,0.003032,1.3472442730778
"CANDIDATE",9579641,"K00115.01",5.41219,244,160.3,0,46.276192,-5.213e-05,6.85990338164251
"CANDIDATE",9579641,"K00115.02",7.12595,181,43.81,0,46.276037,-6.863e-05,5.39052890528905
"CANDIDATE",9579641,"K00115.03",3.43591,357,8.747,0,46.276159,1.221e-05,2.53717693836978
"CANDIDATE",8395660,"K00116.01",13.5708,101,78.81,0,44.337549,-4.392e-05,6.42167255594817
"CANDIDATE",8395660,"K00116.02",43.8444,29,65.18,0,44.337553,0.0002044,6.47506150749273
"CANDIDATE",8395660,"K00116.03",6.16484,207,12.51,0,44.337455,1.223e-05,2.09878345498783
"CANDIDATE",8395660,"K00116.04",23.9801,56,11.88,0,44.337906,-6.593e-05,2.46511627906977
"CANDIDATE",10875245,"K00117.01",14.7491,72,68.96,0,48.208594,2.118e-05,20.2486678507993
"CANDIDATE",10875245,"K00117.02",3.18002,323,38.54,0,48.208621,1.114e-05,8.86592984142239
"CANDIDATE",10875245,"K00117.03",4.90145,193,36.4,0,48.208693,-5.649e-05,8.65128660159716
"CANDIDATE",10875245,"K00117.04",7.95818,109,10.27,0,48.208771,-1.163e-05,2.4285416232005
"CANDIDATE",3531558,"K00118.01",24.9933,53,50.07,0,38.649549,-4.674e-05,10.7086614173228
"CANDIDATE",9471974,"K00119.01",49.1839,29,246.5,0,46.06203,0.0002428,14.7164429530201
"CANDIDATE",9471974,"K00119.02",190.323,7,95.42,0,46.061957,0.000293,14.4589729012697
"CANDIDATE",11869052,"K00120.01",20.546,67,21.14,0,50.172196,0.0002035,1.78204010462075
"FALSE POSITIVE",3247396,"K00121.01",8.81111,125,64.8,0,38.382674,-9.548e-05,2.30252808988764
"CANDIDATE",8349582,"K00122.01",11.5231,116,118.4,0,44.397929,-1.2e-05,12.5281690140845
"CANDIDATE",5094751,"K00123.01",6.48162,214,102.2,0,40.284928,2.933e-05,19.3828067597355
"CANDIDATE",5094751,"K00123.02",21.2226,64,84.17,0,40.284941,3.454e-05,14.8669201520913
"CANDIDATE",11086270,"K00124.01",12.691,108,54.13,0,48.602858,-4.903e-05,3.79869313897964
"CANDIDATE",11086270,"K00124.02",31.7199,44,53.46,0,48.602753,5.365e-05,3.6971792932022
"CANDIDATE",11449844,"K00125.01",38.4788,35,827.1,0,49.370446,5.863e-05,7.45075970737198
"FALSE POSITIVE",5897826,"K00126.01",33.8028,42,646.1,0,41.114284,0.003046,4.25531914893617
"CANDIDATE",5897826,"K00126.02",279.319,5,11.4,0,41.114122,0.0006563,0.43364312267658
"CANDIDATE",8359498,"K00127.01",3.57878,374,1679,8,44.345455,-0.000137,16.8255481410867
"CANDIDATE",11359879,"K00128.01",4.94278,274,1873,0,49.140052,0.001817,7.34817813765182
"CANDIDATE",11974540,"K00129.01",24.6692,54,455,0,50.372381,0.0018,2.43736332396126
"CANDIDATE",5297298,"K00130.01",34.1936,39,1303,0,40.429762,-2.357e-05,4.73740392826644
"CANDIDATE",7778437,"K00131.01",5.01423,266,764.2,0,43.497579,-0.002294,2.9760579064588
"FALSE POSITIVE",8892910,"K00132.01",10.8101,129,728.9,0,45.130784,-0.0001769,3.24447482342219
"FALSE POSITIVE",11673674,"K00133.01",4.61877,287,506.3,0,49.704288,-0.01947,3.44340505144995
"FALSE POSITIVE",9032900,"K00134.01",405.661,3,104,0,45.364919,0.0001761,4.37479047938317
"CANDIDATE",9818381,"K00135.01",3.02409,446,1347,0,46.668261,-0.0001734,12.6903044871795
"FALSE POSITIVE",7601633,"K00136.01",15.6639,42,286.1,0,43.203834,0,3.53658536585366
"CANDIDATE",8644288,"K00137.01",14.8589,93,370.8,0,44.746285,0,14.4005358338915
"CANDIDATE",8644288,"K00137.02",7.64156,175,359.8,0,44.746286,0,14.4226237234878
"CANDIDATE",8644288,"K00137.03",3.50471,355,57.39,0,44.746421,0,6.81067344345616
"FALSE POSITIVE",8506766,"K00138.01",48.9379,27,362.5,0,44.578335,-0.0001232,3.5060930847159
"CANDIDATE",8559644,"K00139.01",224.783,7,147,0,44.68827,0.0001498,5.79018867924528
"CANDIDATE",8559644,"K00139.02",3.34181,402,39.28,0,44.688125,2.957e-05,4.62020556530459
"FALSE POSITIVE",5130369,"K00140.01",19.9787,69,70.66,0,40.29061,-0.01005,2.35890302066773
"CANDIDATE",12105051,"K00141.01",2.62424,508,360.5,1,50.651584,0.0001489,8.54086501462213
"CANDIDATE",4649305,"K00143.01",22.6512,58,181.8,0,39.781594,8.489e-05,2.5982905982906
"CANDIDATE",4180280,"K00144.01",4.17625,259,220.4,0,39.249783,0.0006774,13.6922406277245
"CANDIDATE",9904059,"K00145.01",102.962,10,42.91,0,46.781529,-0.000121,4.14127569847127
"FALSE POSITIVE",9048161,"K00146.01",8.66782,155,226,0,45.323741,0.03337,2.10209456917095
"FALSE POSITIVE",1996679,"K00147.01",145.563,9,62.07,0,37.490999,-0.01371,1.85222518067706
"CANDIDATE",5735762,"K00148.01",9.67394,140,132.6,0,40.94892,-0.0002655,11.9372549019608
"CANDIDATE",5735762,"K00148.02",4.77801,274,93.46,0,40.948887,-4.422e-05,12.2780748663102
"CANDIDATE",5735762,"K00148.03",42.8963,30,45.72,0,40.948995,-6.385e-05,9.81296758104738
"CANDIDATE",3835670,"K00149.01",14.5573,95,167.2,1,38.945612,-1.314e-05,4.94023479188901
"CANDIDATE",7626506,"K00150.01",8.40887,162,133.5,0,43.209853,-0.0001594,9.92862807295797
"CANDIDATE",7626506,"K00150.02",28.5743,46,86.56,0,43.209801,-0.0002247,8.27380952380952
"CANDIDATE",2307199,"K00151.01",13.4472,100,102.8,0,37.630755,8.82e-05,3.08126410835214
"CANDIDATE",8394721,"K00152.01",52.0907,27,146,0,44.381603,0.0003244,5.34920634920635
"CANDIDATE",8394721,"K00152.02",13.4845,98,62.11,0,44.381514,0.0001088,5.31650695100553
"CANDIDATE",8394721,"K00152.03",27.4023,49,54.62,0,44.381547,-2.709e-05,5.31451405001289
"CANDIDATE",8394721,"K00152.04",81.063,17,14.04,0,44.381395,-4.183e-05,2.81273062730627
"CANDIDATE",12252424,"K00153.01",4.754,278,132.1,0,50.94432,-0.0001466,13.1073446327684
"CANDIDATE",12252424,"K00153.02",8.92508,140,122.1,0,50.944313,-0.0001333,10.3944607637432
"CANDIDATE",8030148,"K00155.01",5.66067,237,182.9,0,43.881246,-4.061e-05,5.84123814278582
"CANDIDATE",10925104,"K00156.01",11.7761,114,133.9,0,48.349659,0.0006336,15.853985264568
"CANDIDATE",10925104,"K00156.02",8.04134,160,66.55,0,48.349655,0.0001799,15.6927426955702
"CANDIDATE",10925104,"K00156.03",5.18856,239,46.9,0,48.349619,0.0003111,15.009250693802
"CANDIDATE",6541920,"K00157.01",31.9955,41,103.5,0,41.909219,-0.0002271,14.4235216385861
"CANDIDATE",6541920,"K00157.02",13.0249,99,96.83,0,41.90923,-0.0001343,12.7459502173054
"CANDIDATE",6541920,"K00157.03",22.6872,57,99.09,0,41.90919,0.0001353,11.2970168612192
"CANDIDATE",6541920,"K00157.04",118.379,12,61.56,0,41.909222,-6.545e-05,9.52049290115189
"CANDIDATE",6541920,"K00157.05",46.686,28,43.4,0,41.909202,-0.000213,13.9279026217228
"CANDIDATE",6541920,"K00157.06",10.304,117,44.04,0,41.909162,3.354e-06,12.4031443009545
"FALSE POSITIVE",10555375,"K00158.01",5.80181,179,26.51,3,47.782943,0.003224,1.97767857142857
"CANDIDATE",8972058,"K00159.01",8.99089,147,80.83,0,45.261978,6.127e-06,5.73314938904218
"CANDIDATE",8972058,"K00159.02",2.40362,524,16,0,45.262101,5.904e-05,2.19909159727479
"CANDIDATE",6631721,"K00160.01",13.7381,102,65.44,0,42.014046,-0.001227,3.51020408163265
"CANDIDATE",5084942,"K00161.01",3.10551,433,177.7,0,40.211428,-1.297e-05,12.8763316350162
"CANDIDATE",8107380,"K00162.01",14.0064,96,96.12,3,43.963002,-0.0001673,5.93646102696712
"CANDIDATE",6851425,"K00163.01",11.1199,120,90.99,0,42.355277,-1.631e-06,9.50151712180321
"FALSE POSITIVE",5652237,"K00164.01",4.46449,300,33.11,0,40.864052,-0.007128,2.18833044482958
"CANDIDATE",9527915,"K00165.01",13.2217,100,85.12,0,46.19626,0.0001255,11.0601833399761
"CANDIDATE",2441495,"K00166.01",12.4934,107,70.66,0,37.769677,0.000255,8.31313131313131
"CANDIDATE",11666881,"K00167.01",4.91956,272,103.4,0,49.76506,4.078e-05,5.66811123149151
"CANDIDATE",11512246,"K00168.01",10.7424,126,72.26,0,49.479259,-4.612e-06,15.882099827883
"CANDIDATE",11512246,"K00168.02",15.2744,86,32.12,0,49.479289,1.32e-05,5.70790216368768
"CANDIDATE",11512246,"K00168.03",7.10703,170,23.36,0,49.478988,-1.461e-06,6.06207565470417
"FALSE POSITIVE",6185711,"K00169.01",11.7022,90,43.41,0,41.562678,-0.02987,1.80860702151755
"FALSE POSITIVE",11044770,"K00170.01",15.6087,72,37.29,3,48.556703,-0.003724,2.57854917668002
"CANDIDATE",7831264,"K00171.01",5.96871,225,93,1,43.536819,8.767e-05,5.32492581602374
"CANDIDATE",7831264,"K00171.02",13.0714,98,27.23,0,43.536813,-0.0001113,4.24580103359173
"CANDIDATE",8692861,"K00172.01",13.7224,97,88.37,0,44.868839,8.908e-05,6.89342403628118
"CANDIDATE",8692861,"K00172.02",242.468,6,19.69,0,44.869027,0.0001001,6.26696118649416
"CANDIDATE",11402995,"K00173.01",10.0608,130,77.3,0,49.262033,-0.0001198,6.3167104111986
"CANDIDATE",10810838,"K00174.01",56.3541,19,51.08,0,48.107791,-0.0001845,9.49055931599572
"FALSE POSITIVE",8323753,"K00175.01",6.71424,201,42.08,0,44.296414,-0.003715,2.69137670196672
"CANDIDATE",6442377,"K00176.01",30.2291,46,57.62,0,41.884724,-0.0001025,5.30912957618107
"CANDIDATE",6803202,"K00177.01",21.0608,65,46.78,0,42.237005,-8.963e-05,4.06811931457584
"FALSE POSITIVE",11455491,"K00178.01",6.1428,223,29.44,0,49.370198,0.01245,4.43948009748172
"CANDIDATE",9663113,"K00179.01",20.7403,52,120.9,0,46.328651,0.0001853,5.5349135169763
"CANDIDATE",9663113,"K00179.02",286.187,4,39.9,0,46.328619,-3.568e-05,5.53780501148922
"CANDIDATE",9573539,"K00180.01",10.0456,128,92.27,0,46.249161,-0.0001111,7.5022275022275
"FALSE POSITIVE",12504988,"K00181.01",5.09394,259,1636,0,51.417464,0,2.96568208980707
"CANDIDATE",5376836,"K00182.01",3.47942,306,1482,0,40.599129,-0.0007776,3.53967821107172
"CANDIDATE",9651668,"K00183.01",2.68433,501,2686,0,46.391192,0.001694,7.96284829721362
"FALSE POSITIVE",7972785,"K00184.01",7.30074,188,1335,0,43.762149,-0.0004379,2.9242819843342
"FALSE POSITIVE",4178389,"K00185.01",23.2105,48,1015,0,39.262659,0.01859,3.79291453615778
"CANDIDATE",12019440,"K00186.01",3.24326,413,1587,0,50.470064,-0.001763,6.10432330827068
"FALSE POSITIVE",7023960,"K00187.01",30.8825,42,1143,0,42.550905,-0.0002169,3.28866198681132
"CANDIDATE",5357901,"K00188.01",3.79702,356,1540,0,40.567712,0.000323,13.4478371501272
"CANDIDATE",11391018,"K00189.01",30.3604,35,1021,0,49.267088,0.0004704,9.92812219227314
"FALSE POSITIVE",5771719,"K00190.01",12.2649,84,556.3,0,41.014991,0.0007134,3.12946085428791
"CANDIDATE",5972334,"K00191.01",15.3588,71,659.9,0,41.222018,0.001427,9.84861976847729
"CANDIDATE",5972334,"K00191.02",2.41839,426,59.93,0,41.222011,0.0002529,8.35294117647059
"CANDIDATE",5972334,"K00191.03",0.708624,1324,20.71,0,41.222001,9.406e-05,1.99904580152672
"CANDIDATE",5972334,"K00191.04",38.6524,24,16.14,0,41.221787,-3.766e-05,4.20799143774527
"CANDIDATE",7950644,"K00192.01",10.291,128,1184,0,43.70487,1.316e-05,4.45691647408386
"FALSE POSITIVE",10799735,"K00193.01",37.5903,36,831.5,0,48.195333,0.001137,2.94093851132686
"CANDIDATE",10904857,"K00194.01",3.12083,435,954.1,0,48.345118,9.224e-05,3.19338990620813
"CANDIDATE",11502867,"K00195.01",3.21752,413,1337,4,49.473424,0.0009451,7.52895752895753
"CANDIDATE",9410930,"K00196.01",1.85556,725,1840,0,45.981655,-0.0004327,15.2763524409911
"CANDIDATE",2987027,"K00197.01",17.2763,78,739.1,0,38.18422,0.0001316,15.239378238342
"FALSE POSITIVE",10666242,"K00198.01",87.2441,17,462.8,0,47.940767,-0.0002927,6.39673358285131
"CANDIDATE",10019708,"K00199.01",3.26869,413,1343,0,46.956042,0.0004907,4.31406598858844
"FALSE POSITIVE",10019708,"K00199.02",8.78476,150,19.99,0,0,-0.0009013,4.18313489628084
"CANDIDATE",6046540,"K00200.01",7.34072,184,850.5,0,41.355553,-0.0002521,10.6899055918664
"CANDIDATE",6849046,"K00201.01",4.22538,313,1365,0,42.350172,0.0001861,6.30695770804911
"CANDIDATE",7877496,"K00202.01",1.72086,773,1572,0,43.680974,-0.001587,12.6507177033493
"CANDIDATE",10619192,"K00203.01",1.48571,724,2173,7,47.815047,0.000807,16.4148585709417
"CANDIDATE",9305831,"K00204.01",3.24673,415,740.7,0,45.76231,0.001239,12.0242537313433
"CANDIDATE",7046804,"K00205.01",11.7201,111,702.6,0,42.537934,0.002979,7.47479376718607
"CANDIDATE",5728139,"K00206.01",5.33408,253,564.2,0,40.977259,7.626e-06,4.35914332784184
"CANDIDATE",3762468,"K00208.01",3.00388,354,477.6,0,38.881531,-0.0008451,3.11703032020402
"CANDIDATE",10723750,"K00209.01",50.7904,29,369.6,0,48.040204,-0.000125,5.55382215288612
"CANDIDATE",10723750,"K00209.02",18.7959,67,221.6,0,48.040169,-0.0001188,5.5503003003003
"FALSE POSITIVE",10602291,"K00210.01",20.9274,64,257,0,47.800626,0.0005884,3.06529625151149
"CANDIDATE",10656508,"K00211.01",124.036,10,173.6,0,47.972035,0.0007906,6.08977825851812
"CANDIDATE",6300348,"K00212.01",5.6959,121,350.1,0,41.603087,-0.0008977,3.09917355371901
"FALSE POSITIVE",9164836,"K00213.01",48.1188,30,2362,0,45.589745,-0.008019,3.2212962962963
"CANDIDATE",11046458,"K00214.01",3.31187,319,453.4,0,48.577482,0.0002351,7.45858895705522
"FALSE POSITIVE",12508335,"K00215.01",42.9439,33,261.5,0,51.467487,0.0009722,3.4168071273778
"CANDIDATE",6152974,"K00216.01",20.172,65,196.5,0,41.424783,0.001078,10.9744435284419
"CANDIDATE",6152974,"K00216.02",7.51858,173,16.45,0,41.424739,0.0004392,2.37264863380475
"CANDIDATE",9595827,"K00217.01",3.90508,341,1413,0,46.285797,0.001912,15.0210575573234
"FALSE POSITIVE",9838975,"K00218.01",18.6929,72,1206,0,46.600231,0.001143,7.41708542713568
"CANDIDATE",6305192,"K00219.01",8.02512,169,389.7,0,41.66401,-0.0002373,5.67732962447844
"CANDIDATE",7132798,"K00220.01",2.42208,551,397.8,0,42.658861,-5.631e-06,4.69876602951851
"CANDIDATE",7132798,"K00220.02",4.12511,298,18.89,0,42.658456,2.054e-05,2.16548561900792
"CANDIDATE",3937519,"K00221.01",3.41304,398,459.2,0,39.098074,-0.0002326,4.81944444444444
"CANDIDATE",3937519,"K00221.02",5.89661,209,13.49,0,39.097834,-7.155e-05,1.86313625921896
"CANDIDATE",4249725,"K00222.01",6.31251,215,98.94,1,39.339172,0.0002262,5.88939857288481
"CANDIDATE",4249725,"K00222.02",12.7945,94,45.04,0,39.339135,-7.528e-05,4.76556291390728
"CANDIDATE",4545187,"K00223.01",3.17742,421,110.1,0,39.678085,0.0001163,6.23480902777778
"CANDIDATE",4545187,"K00223.02",41.0081,28,36.39,0,39.677942,0.0004907,4.00857095763969
"FALSE POSITIVE",5547480,"K00224.01",3.97987,269,59.16,0,40.79293,0.004861,2.1841704718417
"FALSE POSITIVE",5801571,"K00225.01",0.838594,1170,294,0,41.074725,-0.000935,5.63873067534581
"CANDIDATE",5959753,"K00226.01",8.30865,162,61.8,0,41.241024,0.0003117,12.1952207371405
"CANDIDATE",3847907,"K00229.01",3.5732,378,364.2,0,38.92791,-0.0008899,3.61622554660529
"FALSE POSITIVE",3862246,"K00230.01",4.70249,230,211.5,0,38.956279,0.003877,4.44347826086957
"FALSE POSITIVE",4043443,"K00231.01",119.84,10,72.16,0,39.190757,-0.0008265,2.31449356463346
"CANDIDATE",4833421,"K00232.01",12.466,109,237,0,39.949065,0,6.27339642481598
"CANDIDATE",4833421,"K00232.02",5.76615,227,54.07,0,39.949088,0,5.15461806266639
"CANDIDATE",4833421,"K00232.03",37.9945,33,25.51,0,39.949031,0,6.14065934065934
"CANDIDATE",4833421,"K00232.04",21.5872,54,24.4,0,39.949064,0,3.23959664820338
"CANDIDATE",4833421,"K00232.05",56.2606,22,22.58,0,39.949003,0,3.48941246644796
