"koi_disposition","kepid","kepoi_name","tce_period","tce_num_transits","tce_model_snr","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_prao","tce_prad_sn"
"FALSE POSITIVE",8414914,"K05513.01",100.3,0,-1,0,44.454359,-0.3046,-57.07
"CANDIDATE",8429817,"K05515.01",6.26349,212,202.2,1,44.431743,-0.0005741,2.91923451183912
"FALSE POSITIVE",8432034,"K05516.01",0.836211,220,-1,0,44.459664,-0.6721,-54.56
"FALSE POSITIVE",8439618,"K05518.01",558.514,3,8.874,0,44.477563,0.001269,0.865324638502977
"FALSE POSITIVE",8480642,"K05521.01",31.5912,41,72.39,0,44.544993,-0.0003675,1.26977518734388
"FALSE POSITIVE",8495232,"K05524.01",9.63642,139,9.767,0,44.536531,-9.542e-05,2.06641721234799
"FALSE POSITIVE",8507073,"K05527.01",209.063,7,1854,0,44.562223,-0.05886,3.17427589592538
"FALSE POSITIVE",8509781,"K05529.01",70.3359,19,2610,0,44.549138,-0.0006472,4.73366282262493
"FALSE POSITIVE",8552607,"K05542.01",1.0619,1261,19.5,15,44.634764,0.000215,2.37927292457949
"CANDIDATE",8560475,"K05543.01",7.41505,65,31.42,0,44.695188,0.0002839,1.71736442324678
"FALSE POSITIVE",8561192,"K05544.01",2.7426,0,-1,0,44.697284,0.08481,-65.68
"CANDIDATE",8644545,"K05552.01",295.958,4,14.03,0,44.743711,-0.0006879,2.94976490967582
"CANDIDATE",8644911,"K05553.01",120.941,10,9.897,0,44.756482,3.945e-06,2.41487279843444
"CANDIDATE",8715589,"K05563.01",7.62197,173,12.41,0,44.828264,5.897e-05,1.25056360708535
"FALSE POSITIVE",8718273,"K05564.01",3.47953,386,263.6,0,44.830615,0.0002554,4.33671798231248
"CANDIDATE",8741367,"K05566.01",0.98879,34,10.97,0,44.919728,3.518e-05,1.41166380789022
"FALSE POSITIVE",8742270,"K05567.01",397.396,4,348.5,0,44.968347,0,3.97856517935258
"CANDIDATE",8745553,"K05568.01",62.1366,8,9.33,0,44.923153,-0.0002186,1.50067506750675
"FALSE POSITIVE",8747222,"K05569.01",1.66747,805,42.61,14,44.982781,0.006999,4.48945615982242
"FALSE POSITIVE",8766285,"K05571.01",5.29709,262,16.78,0,44.979398,0.000734,10.1376518218623
"FALSE POSITIVE",8823893,"K05575.01",1.50648,894,11.59,0,45.097775,-5.919e-05,1.95598591549296
"CANDIDATE",8891684,"K05581.01",374.882,3,15.03,0,45.139868,-0.0006706,3.52591036414566
"FALSE POSITIVE",8904714,"K05582.01",5.23732,19,37.68,0,45.104839,-0.07881,1.24724809483489
"FALSE POSITIVE",8935352,"K05584.01",10.91,0,-1,0,45.284787,0,-45.62
"FALSE POSITIVE",8939211,"K05586.01",27.0735,53,29.68,0,45.206871,-7.093e-05,1.32112274024738
"FALSE POSITIVE",8939650,"K05587.01",1.82766,737,4063,0,45.276905,0.0005328,3.0703642384106
"CANDIDATE",9011877,"K05597.01",7.77712,174,10.77,0,45.331197,4.008e-05,2.16472469728124
"CANDIDATE",9018021,"K05600.01",17.1696,81,9.343,0,45.389347,5.236e-05,1.48700410396717
"FALSE POSITIVE",9026007,"K05602.01",403.16,3,8.862,0,45.342558,2.685e-05,1.77056856187291
"CANDIDATE",9047416,"K05605.01",9.0133,8,9.615,0,45.3434,-0.0005213,2.34607508532423
"FALSE POSITIVE",9049550,"K05606.01",23.8148,3,480.3,0,45.394242,0.005533,1.40384266811673
"FALSE POSITIVE",9049697,"K05607.01",1.32747,1015,13.81,0,45.33218,0.0007664,2.36588270318547
"FALSE POSITIVE",9101279,"K05614.01",1.81148,0,-1,0,45.448137,0,-89.75
"FALSE POSITIVE",9108058,"K05615.01",2.17466,0,-1,0,45.424237,0.2986,-26.43
"FALSE POSITIVE",9116075,"K05617.01",24.4992,56,11.85,0,45.459965,0.008123,0.410406029662047
"CANDIDATE",9141355,"K05622.01",469.621,3,15.2,0,45.55596,-0.0022,4.78768278965129
"FALSE POSITIVE",9142225,"K05623.01",583.757,3,7.065,0,45.571327,-0.000785,1.59299516908213
"CANDIDATE",9147012,"K05625.01",116.452,4,24.59,0,45.566186,-0.001935,8.25703564727955
"CANDIDATE",9157030,"K05628.01",24.9093,53,9.38,0,45.546699,-0.0002063,0.847718865598027
"CANDIDATE",9166700,"K05632.01",264.464,5,29.39,0,45.545077,9.369e-06,4.4215415880389
"FALSE POSITIVE",9180282,"K05636.01",2.7913,481,23.38,0,45.525016,-0.0009149,2.99658434051498
"FALSE POSITIVE",9268456,"K05647.01",84.7312,13,-1,0,45.715178,0.001257,-28.15
"CANDIDATE",9282853,"K05651.01",83.5024,13,12.44,0,45.731971,-0.0002727,5.16542155816435
"FALSE POSITIVE",9304976,"K05654.01",54.6949,25,10.79,0,45.710227,-0.0005504,6.06077554064131
"FALSE POSITIVE",9390655,"K05662.01",9.54992,29,12.11,0,45.972644,0.0005185,2.1351570650284
"CANDIDATE",9391817,"K05663.01",140.883,8,12.05,0,45.99041,-6.111e-05,3.13046785850133
"FALSE POSITIVE",9394762,"K05664.01",77.1382,14,12.57,0,45.950253,-0.02135,1.7639653815893
"FALSE POSITIVE",9402670,"K05667.01",0.536529,2503,14.5,0,45.953033,0.0001559,0.981709382409394
"FALSE POSITIVE",9418508,"K05672.01",11.0179,6,37.46,0,45.951014,0.000564,1.01795212765957
"CANDIDATE",9456887,"K05677.01",20.5141,61,8.788,0,46.038225,-0.0004475,1.30046082949309
"FALSE POSITIVE",9474485,"K05683.01",0.512581,2611,-1,0,46.017006,-0.003542,-23.25
"FALSE POSITIVE",9489348,"K05686.01",3.34437,414,18.17,0,46.068652,-7.095e-05,2.64507215228738
"CANDIDATE",9532603,"K05688.01",14.5556,54,8.286,0,46.149839,0.001022,0.326747437092265
"CANDIDATE",9575728,"K05692.01",2.64181,508,10.04,0,46.24775,-1.215e-05,1.4007053118801
"FALSE POSITIVE",9591728,"K05695.01",11.0357,8,1301,0,46.255382,0.0008674,1.82800528401585
"FALSE POSITIVE",9594184,"K05696.01",42.0939,21,9.407,0,46.2213,0.002055,0.982885085574572
"FALSE POSITIVE",9602595,"K05700.01",3.55648,0,-1,0,46.228474,0.3227,-24.31
"CANDIDATE",9715631,"K05706.01",425.484,4,13.54,0,46.441437,-8.108e-06,1.5462962962963
"CANDIDATE",9724993,"K05708.01",7.86336,138,1973,0,46.448284,-0.0322,4.47378640776699
"FALSE POSITIVE",9775475,"K05711.01",78.4285,7,139.9,0,46.593122,-0.0004039,3.73091976516634
"FALSE POSITIVE",9780149,"K05713.01",2.51649,14,9.9,0,46.514877,0.0002848,1.36662452591656
"FALSE POSITIVE",9786017,"K05714.01",2.24899,485,2278,0,46.521562,0.0002119,1.88603896103896
"FALSE POSITIVE",9838414,"K05717.01",1.33245,133,10.81,0,46.613697,0.002139,4.22252415458937
"FALSE POSITIVE",9839030,"K05719.01",27.2938,4,7.67,0,46.669952,-0.0002399,0.995525727069351
"FALSE POSITIVE",9845931,"K05721.01",61.2246,17,9.233,0,46.6863,0.00184,1.33751743375174
"FALSE POSITIVE",9847239,"K05722.01",28.5079,38,593.8,0,46.660429,0,3.21625544267054
"FALSE POSITIVE",9850843,"K05724.01",8.48038,128,8.973,0,46.651004,0.0002042,1.46836847946726
"FALSE POSITIVE",9896438,"K05728.01",18.0766,26,25.97,0,46.797639,0.02992,1.59926470588235
"FALSE POSITIVE",9899514,"K05729.01",1.33249,853,14.11,0,46.745027,-2.602e-05,1.9204012295745
"FALSE POSITIVE",9899607,"K05730.01",1.33254,1007,13.38,0,46.775149,0.0001221,1.8870458135861
