"koi_disposition","kepid","kepoi_name","tce_slogg","tce_minmes","tce_rmesmad","tce_rsnrmes","tce_ptemp","tce_rb_tcount1","tce_fwm_prao"
"FALSE POSITIVE",9552608,"K00080.01",3.71,-5.014,528.4,0.9957,3384.3,1,-1.973e-05
"FALSE POSITIVE",8823868,"K00081.01",4.05,-177.4,1512,0.7438,7750.37,0,0.000319
"CANDIDATE",10187017,"K00082.01",4.6,-2.897,282.9,0.9702,1219.47,0,2.264e-05
"CANDIDATE",10187017,"K00082.02",4.6,-2.895,108.9,1.088,1991.73,1,7.556e-05
"CANDIDATE",10187017,"K00082.03",4.6,-3.154,29.47,1.102,2663.32,1,9.302e-06
"CANDIDATE",10187017,"K00082.04",4.6,-2.636,32.84,1.057,2852.88,2,3.283e-05
"CANDIDATE",10187017,"K00082.05",4.6,-3.62,25.37,1.048,2821.39,4,-3.96e-05
"CANDIDATE",10187017,"K00082.06",4.6,-3.651,12.44,1.085,3908.18,2,-4.164e-05
"CANDIDATE",2571238,"K00084.01",4.58,-3.23,314.2,0.9665,1983.05,0,1.629e-05
"CANDIDATE",5866724,"K00085.01",4.22,-2.475,191,1.026,2113.01,0,8.754e-06
"CANDIDATE",5866724,"K00085.02",4.22,-3.336,89.45,1.103,2021.75,0,5.765e-06
"CANDIDATE",5866724,"K00085.03",4.22,-2.23,58.67,1.067,2998.18,0,7.786e-06
"CANDIDATE",10593626,"K00087.01",4.45,-3.511,54.37,1.029,2889.25,0,-0.0002333
"FALSE POSITIVE",7700871,"K00088.01",4.55,-2.644,92.16,0.8585,2226.55,0,-0.002118
"CANDIDATE",8056665,"K00089.01",4.06,-3.095,102.3,0.9446,2404.47,0,0.0001747
"CANDIDATE",8056665,"K00089.02",4.06,-3.822,69.25,1.037,3298.99,0,-0.0001914
"FALSE POSITIVE",9210823,"K00090.01",3.6,-1.291,15.23,1.72,2526.68,24,-0.01176
"CANDIDATE",7941200,"K00092.01",4.4,-3.446,129.8,0.9402,2863.19,1,-9.543e-05
"CANDIDATE",6462863,"K00094.01",4.23,-8.11,393.5,0.9979,1500.87,0,0.001372
"CANDIDATE",6462863,"K00094.02",4.23,-6.927,125.3,0.9836,1423.74,0,0.0003053
"CANDIDATE",6462863,"K00094.03",4.23,-3.658,197.6,0.9933,2239.54,0,0.0001439
"CANDIDATE",6462863,"K00094.04",4.23,-2.025,48.65,1.123,2957.11,14,6.143e-05
"CANDIDATE",5780885,"K00097.01",3.97,-6.886,2535,0.9691,1660.14,0,0.0002854
"CANDIDATE",10264660,"K00098.01",3.95,-3.545,937.2,1.048,1853.28,0,0.0001601
"CANDIDATE",4055765,"K00100.01",3.66,-2.378,259.6,1.046,2173.26,0,2.603e-05
"CANDIDATE",8456679,"K00102.01",4.39,-2.348,741.1,0.9727,1498.78,13,0.00014
"FALSE POSITIVE",8456679,"K00102.02",4.39,-2.812,30.83,1.087,2913.13,6,4.147e-06
"CANDIDATE",2444412,"K00103.01",4.5,-3.561,152.3,1.003,2148.18,0,4.489e-05
"CANDIDATE",10318874,"K00104.01",4.6,-1.855,442.3,1.076,1268.36,0,0.0001626
"CANDIDATE",8711794,"K00105.01",4.36,-3.023,269.1,1.017,2069.49,14,4.585e-06
"FALSE POSITIVE",10489525,"K00106.01",3.79,-3.39,32.76,1.088,3657.75,84,0.008739
"CANDIDATE",11250587,"K00107.01",4.11,-2.861,211.8,1.022,2114.83,0,2.221e-05
"CANDIDATE",4914423,"K00108.01",4.15,-5.658,118.6,0.974,2359.36,0,-6.412e-05
"CANDIDATE",4914423,"K00108.02",4.15,-3.043,169.1,1.059,2525.61,0,-0.0001103
"FALSE POSITIVE",4752451,"K00109.01",4.26,-2.479,71.97,0.8244,3194.48,1,-0.001033
"CANDIDATE",9450647,"K00110.01",4.3,-2.409,228.7,1.012,2491.24,2,8.768e-06
"CANDIDATE",6678383,"K00111.01",4.39,-5.292,91.2,0.9775,0,0,-8.112e-05
"CANDIDATE",6678383,"K00111.02",4.39,-3.61,95.94,0.9896,2254.05,0,-8.607e-05
"CANDIDATE",6678383,"K00111.03",4.39,-3.038,159.3,0.982,2346.75,0,-0.0001372
"CANDIDATE",10984090,"K00112.01",4.41,-2.888,181.1,0.9466,2429.88,0,1.936e-05
"CANDIDATE",10984090,"K00112.02",4.41,-2.813,50.54,1.088,2856.52,0,-4.609e-05
"FALSE POSITIVE",6721123,"K00114.01",3.99,-2.705,66.47,1.03,2643.27,1,0.003032
"CANDIDATE",9579641,"K00115.01",4.34,-2.522,248.9,0.9806,2078.8,9,-5.213e-05
"CANDIDATE",9579641,"K00115.02",4.34,-2.401,70.64,1.101,2982.39,5,-6.863e-05
"CANDIDATE",9579641,"K00115.03",4.34,-2.008,14.04,1.177,3958.54,17,1.221e-05
"CANDIDATE",8395660,"K00116.01",4.41,-3.539,82.65,1.027,2496.9,0,-4.392e-05
"CANDIDATE",8395660,"K00116.02",4.41,-2.664,97.06,0.9936,2447.66,0,0.0002044
"CANDIDATE",8395660,"K00116.03",4.41,-2.148,19.32,1.083,3947.2,0,1.223e-05
"CANDIDATE",8395660,"K00116.04",4.41,-2.526,16.58,1.092,4134.38,0,-6.593e-05
"CANDIDATE",10875245,"K00117.01",4.19,-2.368,87.37,1.042,2600.03,0,2.118e-05
"CANDIDATE",10875245,"K00117.02",4.19,-3.226,44.94,1.102,2736.64,0,1.114e-05
"CANDIDATE",10875245,"K00117.03",4.19,-2.006,62.59,1.097,2543.88,0,-5.649e-05
"CANDIDATE",10875245,"K00117.04",4.19,-3.254,17,1.01,3213.4,0,-1.163e-05
"CANDIDATE",3531558,"K00118.01",4.18,-2.357,76.34,1.034,2751.98,1,-4.674e-05
"CANDIDATE",9471974,"K00119.01",3.91,-4.287,279,0.9858,1592.61,0,0.0002428
"CANDIDATE",9471974,"K00119.02",3.91,-3.676,155.5,0.9986,2334.32,0,0.000293
"CANDIDATE",11869052,"K00120.01",4.21,-3.151,141.9,0.2259,3054.66,7,0.0002035
"FALSE POSITIVE",3247396,"K00121.01",3.8,-3.222,89.4,1.074,2759.49,0,-9.548e-05
"CANDIDATE",8349582,"K00122.01",4.16,-3.277,192,0.9819,1873.42,6,-1.2e-05
"CANDIDATE",5094751,"K00123.01",4.21,-1.926,131.6,1.105,2283.6,0,2.933e-05
"CANDIDATE",5094751,"K00123.02",4.21,-2.535,116.4,1.025,2590.91,0,3.454e-05
"CANDIDATE",11086270,"K00124.01",4.02,-3.331,61.84,1.137,3190.73,0,-4.903e-05
