"koi_disposition","kepid","kepoi_name","tce_slogg","tce_minmes","tce_rmesmad","tce_rsnrmes","tce_ptemp","tce_rb_tcount1","tce_fwm_prao"
"CANDIDATE",3444588,"K01202.01",4.67,-2.677,21.42,1.548,3245.51,30,-0.000291
"CANDIDATE",3962243,"K01203.01",4.48,-3.393,30.72,1.075,3056.47,0,-0.0004032
"CANDIDATE",3962243,"K01203.02",4.48,-3.091,28.05,1.061,3710.61,0,0.0004225
"CANDIDATE",3962243,"K01203.03",4.48,-3.7,15.03,1.078,3394.73,0,-0.0009125
"CANDIDATE",3438507,"K01204.01",4.44,-3.021,30.92,1.044,3645.68,0,7.773e-05
"CANDIDATE",3869014,"K01205.01",3.66,-2.789,44.74,1.096,3156.07,2,3.719e-05
"CANDIDATE",3732821,"K01207.01",4.52,-3.311,43.03,1.161,2746.4,2,0.00119
"CANDIDATE",3962357,"K01210.01",4.18,-3.283,33.49,1.014,2890.64,1,0.0001449
"FALSE POSITIVE",3858704,"K01211.01",4.22,-2.483,33.99,1.17,2544.63,24,-0.01086
"CANDIDATE",3749134,"K01212.01",4.34,-2.82,24.02,1.06,3179.79,14,-0.0001427
"FALSE POSITIVE",3556220,"K01213.01",4.12,-1.607,34.46,0.8494,3091.91,1,-0.002882
"CANDIDATE",3660924,"K01214.01",4.34,-1.933,20.96,1.08,3097.16,1,0.0004389
"CANDIDATE",3939150,"K01215.01",3.97,-2.835,60.69,1.068,2831.91,0,0.0001691
"CANDIDATE",3939150,"K01215.02",3.97,-2.785,47.09,1.046,3218.03,0,0.0001063
"CANDIDATE",3839488,"K01216.01",4.2,-2.102,41.27,1.081,3121.88,7,-2.465e-06
"FALSE POSITIVE",3542588,"K01217.01",4.41,-2.502,31.76,1.054,3455.49,4,0.0007319
"CANDIDATE",3442055,"K01218.01",4.4,-3.328,56.68,1.056,2720.42,0,-0.000203
"CANDIDATE",4043190,"K01220.01",4.11,-3.29,30.05,1.083,3349.03,8,0.0001237
"CANDIDATE",3640905,"K01221.01",3.62,-2.54,29.07,1.095,2927.9,0,-2.215e-05
"CANDIDATE",3640905,"K01221.02",3.62,-2.412,20.06,1.061,3357.32,0,-2.962e-05
"FALSE POSITIVE",6613006,"K01223.01",4.56,-80.43,1748,0.8643,2940.14,0,0.01394
"FALSE POSITIVE",6606653,"K01224.01",4.36,-10.04,1043,0.7777,1971.73,0,-0.0002489
"FALSE POSITIVE",6620003,"K01225.01",4.71,-4.894,1186,1.028,605.49,6,0.001411
"FALSE POSITIVE",6621116,"K01226.01",4.08,-3.852,1972,0.8157,940.35,0,0.001299
"FALSE POSITIVE",6629332,"K01227.01",4.57,-2.72,3486,0.9271,918.17,19,0.001543
"FALSE POSITIVE",6387450,"K01228.01",4.5,-64.69,1315,0.7846,3157.81,7,0.01315
"CANDIDATE",6470149,"K01230.01",2.99,-7.125,148.7,1.537,2039.38,1,0.003503
"FALSE POSITIVE",6462874,"K01231.01",4.66,-2.8,108.8,0.5679,2216.39,0,0.002247
"FALSE POSITIVE",6462874,"K01231.02",4.66,-4.507,23.4,1.074,3049.54,0,-0.0006035
"FALSE POSITIVE",6665223,"K01232.01",4.48,-3.151,706.4,0.9675,1286.91,0,8.391e-05
"FALSE POSITIVE",6665223,"K01232.02",4.48,-4.489,12.72,0.9724,4490.22,0,0.002469
"FALSE POSITIVE",6545358,"K01233.01",4.28,-5.342,18.23,1.3,3982.74,101,5.362e-05
"FALSE POSITIVE",6390824,"K01234.01",4.54,-4.871,13.54,1.023,3890.7,27,-0.00154
"FALSE POSITIVE",6546528,"K01235.01",4.55,-2.432,54.17,0.9235,2689.09,1,0.02767
"CANDIDATE",6677841,"K01236.01",4.04,-2.965,34.57,1.075,3614.46,0,1.984e-05
"CANDIDATE",6677841,"K01236.02",4.04,-4.248,30.36,1.169,3084.53,0,-0.000201
"CANDIDATE",6677841,"K01236.04",4.04,-4.312,12.55,1.072,5701.85,0,-0.0002786
"FALSE POSITIVE",6531491,"K01237.01",4.45,-2.654,107.9,0.614,4403.55,0,-0.02408
"CANDIDATE",6383821,"K01238.01",4.5,-2.979,50.9,1.06,3270.26,0,-0.0001506
"CANDIDATE",6607286,"K01239.01",4.25,-2.736,79.96,1.061,2695.8,1,0.0003443
"CANDIDATE",6607286,"K01239.02",4.25,-3.067,25.23,1.127,3244.77,0,0.0005079
"CANDIDATE",6690082,"K01240.01",4.34,-2.193,52.34,1.164,2380.45,1,-5.624e-05
"CANDIDATE",6690082,"K01240.02",4.34,-3.596,31.4,1.33,2678.38,0,-1.907e-05
"CANDIDATE",6448890,"K01241.01",3.3,-3.235,39.97,1.064,2300.29,0,8.713e-05
"CANDIDATE",6448890,"K01241.02",3.3,-2.878,28.04,1.107,1770.85,0,5.857e-05
"CANDIDATE",6607447,"K01242.01",4.45,-3.822,217.9,0.9941,1804.18,0,-0.0007418
"FALSE POSITIVE",6677256,"K01243.01",4.35,-2.98,37.02,1.161,4251.41,1,0
"FALSE POSITIVE",6692833,"K01244.01",4.47,-3.693,32.64,1.065,3033.58,0,-0.001153
"CANDIDATE",6693640,"K01245.01",4.41,-2.96,60.11,1.096,3530.73,0,5.415e-05
"CANDIDATE",6441738,"K01246.01",3.52,-3.429,29.13,1.073,2729,0,-2.628e-05
"FALSE POSITIVE",8801343,"K01247.01",3.84,-25.17,3476,0.9239,2057.09,0,-0.0003612
"FALSE POSITIVE",8488878,"K01248.01",4.54,-7.863,1168,0.4808,2296.41,5,0.002519
"FALSE POSITIVE",8560285,"K01249.01",4.52,-8.335,1451,0.8689,2707.44,0,-0.0159
"FALSE POSITIVE",8620565,"K01250.01",4.46,-9.261,80.87,0.1366,2336.95,61,0.0003564
"FALSE POSITIVE",8616873,"K01251.01",4.57,-97.21,18.64,1.749,2076.46,40,-2.605e-05
"FALSE POSITIVE",8737796,"K01252.01",2.82,-29.13,16.61,0.3088,0,0,0
"FALSE POSITIVE",8462258,"K01253.01",4.5,-4.128,106.6,0.7195,1407.43,0,-0.02566
"CANDIDATE",8454250,"K01254.01",4.44,-5.368,46.18,1.031,2901.44,0,-0.001561
"FALSE POSITIVE",8494263,"K01255.01",4.54,-3.104,271.5,0.9511,2349.28,0,0.008172
"FALSE POSITIVE",8848271,"K01256.01",4.34,-12.85,292.2,0.8995,3233.69,0,0.009441
"CANDIDATE",8751933,"K01257.01",4.32,-3.021,307.4,1.056,1971.57,0,-0.0007955
"CANDIDATE",8630788,"K01258.01",4.54,-3.14,140.7,0.999,2389.24,0,0.0002042
"CANDIDATE",8630788,"K01258.02",4.54,-2.201,36.04,1.038,2984.24,0,0.0001218
"CANDIDATE",8630788,"K01258.03",4.54,-3.211,28.53,1.012,3629.51,0,0.0008221
"FALSE POSITIVE",8823426,"K01259.01",4.77,-6.044,20.75,1.122,1999.23,0,0
"FALSE POSITIVE",8766222,"K01260.01",2.39,-3.312,20.93,1.216,2469.09,0,-0.00313
"CANDIDATE",8678594,"K01261.01",4.05,-3.432,166.4,0.9885,1999.58,0,-0.0005292
"CANDIDATE",8678594,"K01261.02",4.05,-2.659,22.07,1.141,3310.27,7,-3.607e-05
"FALSE POSITIVE",8703884,"K01262.01",4.57,-5.566,151.7,0.8263,2290.25,0,-0.001117
"FALSE POSITIVE",8560840,"K01263.01",4.59,-6.066,60.2,1.013,3123.17,0,-0.0002386
"CANDIDATE",8612847,"K01264.01",4.56,-2.781,51.04,1.111,2765.38,9,0
"FALSE POSITIVE",8552583,"K01265.01",4.54,-4.637,18.51,1.198,2839.9,45,0.0002464
"CANDIDATE",8547140,"K01266.01",4.76,-3.086,78.86,1.082,1923.86,9,4.939e-06
"FALSE POSITIVE",8519253,"K01267.01",4.54,-4.53,46.97,1.078,4175.35,0,-0.00365
"CANDIDATE",8813698,"K01268.01",4.22,-3.807,203.1,1.052,2192.29,0,-0.0001991
"FALSE POSITIVE",8757910,"K01269.01",3.96,-4.312,8.535,1.814,3595.54,0,-0.0008355
"CANDIDATE",8564587,"K01270.01",4.59,-2.436,60.76,1.245,2428.2,0,0
"CANDIDATE",8564587,"K01270.02",4.59,-2.591,35.4,1.129,2437.04,0,0
"CANDIDATE",8631160,"K01271.01",4.16,-4.173,315,1.094,1095.38,0,8.299e-05
"CANDIDATE",8806072,"K01273.01",4.54,-2.775,70.87,1.033,2853.53,1,-0.0001775
"CANDIDATE",8583696,"K01275.01",4.31,-2.413,143.6,1.009,2695.86,0,-0.0001243
"CANDIDATE",8804283,"K01276.01",4.35,-3.377,58.38,1.067,2939.5,0,0.0003642
"CANDIDATE",8804283,"K01276.02",4.35,-3.488,22.26,1.077,3328.84,0,0.0001162
"FALSE POSITIVE",8552565,"K01277.01",3.98,-10,18.34,1.153,3301.65,63,-0.0001441
"CANDIDATE",8609450,"K01278.01",4.46,-2.808,49.14,1.067,3194.39,0,0.0002651
"CANDIDATE",8609450,"K01278.02",4.46,-2.358,48.09,1.095,3156.5,0,0.0001183
"CANDIDATE",8609450,"K01278.03",4.46,-2.493,15.43,1.064,3779.2,0,-5.629e-06
"CANDIDATE",8609450,"K01278.04",4.46,-3.178,22.1,0.9916,3941.15,0,0.0001916
"FALSE POSITIVE",8609450,"K01278.05",4.46,-3.998,10.87,0.9944,5322.74,0,-0.0007911
"CANDIDATE",8628758,"K01279.01",4.36,-3.144,56.45,1.103,2534.13,0,9.761e-05
"CANDIDATE",8628758,"K01279.02",4.36,-2.329,23.05,1.066,3724.57,0,8.205e-05
"FALSE POSITIVE",8509361,"K01280.01",3.88,-2.895,44.7,1.05,3304.95,0,0.01958
"CANDIDATE",8742590,"K01281.01",4.55,-3.029,26.16,1.124,3564.67,3,-0.0007714
"CANDIDATE",8822366,"K01282.01",4.08,-2.715,62.27,1.093,2773.97,0,-1.714e-05
"CANDIDATE",8700771,"K01283.01",4.11,-2.485,43.05,1.088,2737.5,0,-7.772e-06
"FALSE POSITIVE",10960993,"K01284.01",3.97,-2.534,4843,0.5293,740.13,26,0
"FALSE POSITIVE",10879208,"K01286.01",4.58,-7.079,49.52,0.86,2961.26,30,-0.06175
"FALSE POSITIVE",10843203,"K01287.01",4.54,-2.644,333.1,0.591,1284.8,0,0.001117
"CANDIDATE",10790387,"K01288.01",4.42,-3.22,291.6,1.031,2219.89,0,-0.001546
"FALSE POSITIVE",10748393,"K01289.01",4.52,-2.518,165.1,0.938,1812.95,4,0.002826
"FALSE POSITIVE",10748393,"K01289.02",4.52,-3.859,11.39,0.8564,3732.06,0,-0.0008619
"FALSE POSITIVE",10874226,"K01290.01",4.5,-6.614,160.9,1.007,4705.1,0,0.000115
"FALSE POSITIVE",10661771,"K01291.01",4.43,-5.232,21.65,0.8475,3940.47,0,-0.0003751
"FALSE POSITIVE",10924853,"K01292.01",4.49,-3.483,105.1,1.061,2520.68,0,-0.005767
"FALSE POSITIVE",10874926,"K01293.01",4.49,-8.957,173.5,0.9604,4062.35,0,0.0005457
"FALSE POSITIVE",10549562,"K01294.01",4.33,-4.188,80.09,0.9491,4183.51,0,0
"FALSE POSITIVE",10666230,"K01295.01",4.57,-3.179,58.59,1.123,3126.52,279,-0.001433
"CANDIDATE",10971674,"K01296.01",4.3,-54.06,1560,0.7103,2242.02,0,0.03522
"FALSE POSITIVE",10676923,"K01297.01",4.43,-2.807,26.75,1.037,3813.75,0,-0.001314
"CANDIDATE",10604335,"K01298.01",4.68,-2.331,54.44,1.093,1999.9,0,4.014e-05
"CANDIDATE",10604335,"K01298.02",4.68,-3.495,15.98,1.054,2179.49,0,-0.0001233
"CANDIDATE",10864656,"K01299.01",3.33,-3.035,84.87,1.045,2444.51,0,-1.462e-05
"CANDIDATE",10975146,"K01300.01",4.71,-2.279,18.05,2.911,1895.8,2,0.0001468
"CANDIDATE",10538176,"K01301.01",4.49,-2.363,37.58,1.081,2786.71,0,-0.0004383
"CANDIDATE",10538176,"K01301.02",4.49,-3.946,34.81,1.053,2968.98,0,-0.0006216
"CANDIDATE",10724369,"K01302.01",4.49,-2.809,54.99,1.084,3207.56,0,-7.841e-05
"CANDIDATE",10867062,"K01303.01",4.26,-4.462,50.52,1.225,2690.52,0,-0.0001559
"CANDIDATE",10744335,"K01304.01",4.49,-2.548,25.29,1.082,3222.74,0,-0.0006718
"CANDIDATE",10730034,"K01305.01",4.46,-3.147,25.18,1.089,2877.35,90,0.0001116
"CANDIDATE",10730034,"K01305.02",4.46,-3.251,14.8,1.072,3316.56,23,0.0003168
"CANDIDATE",10858691,"K01306.01",4.5,-2.433,28.48,1.047,3200.45,0,8.354e-05
"CANDIDATE",10858691,"K01306.02",4.5,-2.361,33.46,1.116,3059.08,0,-2.426e-05
"CANDIDATE",10858691,"K01306.03",4.5,-3.791,17.98,1.262,3193.35,0,-0.0001104
"CANDIDATE",10858691,"K01306.04",4.5,-3.194,13.3,1.164,4020.07,0,0.0001572
"CANDIDATE",10973814,"K01307.01",4.34,-3.521,43.06,1.111,2903.56,0,-0.0002293
"CANDIDATE",10973814,"K01307.02",4.34,-2.879,37.95,1.161,3102.06,0,-0.0009264
"CANDIDATE",10586208,"K01308.01",4.15,-2.931,48.59,1.093,2856.02,0,-8.816e-05
"CANDIDATE",10854768,"K01309.01",4.08,-2.772,43.63,1.054,3088.28,0,7.45e-05
"CANDIDATE",10964440,"K01310.01",4.01,-3.262,44.66,1.067,2836.75,0,7.202e-05
"CANDIDATE",10964440,"K01310.02",4.01,-2.769,11.75,1.181,3483.21,0,-0.0002128
"CANDIDATE",10713616,"K01311.01",3.79,-3.281,68.16,1.025,3117.29,0,-0.0002691
"CANDIDATE",10963242,"K01312.01",4.29,-2.449,34.56,1.064,3009.13,0,0.000168
"FALSE POSITIVE",10785538,"K01313.01",4.46,-2.394,6.532,2.455,3244.86,1,0
"CANDIDATE",10585852,"K01314.01",3.46,-2.274,34.93,1.062,2774.29,0,-8.755e-06
"CANDIDATE",10928043,"K01315.01",4.25,-2.231,54.9,1.098,2727.89,0,-0.0001154
"CANDIDATE",10794087,"K01316.01",4.12,-2.476,36.92,1.039,3504.47,0,1.985e-05
"FALSE POSITIVE",4275739,"K01317.01",4.51,-2.506,2485,0.7755,1032.96,11,-0.006073
"FALSE POSITIVE",4070376,"K01318.01",4.47,-17.7,259.8,0.973,2035.06,7,-0.00448
"FALSE POSITIVE",4078157,"K01319.01",4.58,-3.862,418.8,0.7495,1901.8,0,0.01441
"CANDIDATE",4164994,"K01320.01",4.59,-3.613,535.5,0.9906,1698.11,0,-0.001449
"FALSE POSITIVE",4480676,"K01321.01",4.47,-4.142,500.7,0.8754,1444.8,170,-0.0009659
"FALSE POSITIVE",4079535,"K01322.01",4.46,-4.463,880,0.3528,2856.7,0,0.0459
"CANDIDATE",4076098,"K01323.01",4.52,-2.623,337.4,0.9901,1640.99,3,0.000102
"FALSE POSITIVE",4551328,"K01324.01",4.48,-14.61,10.02,1.655,2962.65,0,-0.001983
"CANDIDATE",4282872,"K01325.01",4.56,-3.532,192.4,0.9834,2308.89,5,-0.001498
"FALSE POSITIVE",4639868,"K01326.01",4.4,-4.057,1735,0.9616,865.81,0,-5.012e-07
"FALSE POSITIVE",4372768,"K01327.01",4.49,-3.009,23.09,1.036,4246.74,0,0.02405
"CANDIDATE",4074736,"K01328.01",4.61,-3.892,69.84,1.032,2895.46,0,-0.001057
"CANDIDATE",4072526,"K01329.01",4.46,-3.745,50.47,1.1,2851.5,0,-0.0001952
"FALSE POSITIVE",4150539,"K01330.01",4.59,-4.614,34.72,1.079,3227.62,0,-0.0003266
"FALSE POSITIVE",4150539,"K01330.02",4.59,-2.743,39.93,1.101,1724.1,0,-0.0006838
"CANDIDATE",4274548,"K01331.01",4.63,-3.638,32.38,1.118,2469.22,8,-0.001006
"CANDIDATE",4455231,"K01332.01",4.09,-3.171,37.17,1.053,3164.05,0,-0.0004988
"CANDIDATE",4455231,"K01332.02",4.09,-2.53,24.82,1.017,3991.58,0,-0.0003632
"CANDIDATE",4455231,"K01332.03",4.09,-2.135,22.32,1.034,3390.16,0,-0.000187
"FALSE POSITIVE",4285107,"K01333.01",4.61,-4.855,48.25,1.141,1909.53,24,0.01459
"FALSE POSITIVE",4150624,"K01334.01",4.56,-3.86,38.05,1.123,3826.47,0,0.0004388
"FALSE POSITIVE",4150624,"K01334.02",4.56,-3.552,45.58,1.115,1996.47,0,0.0004961
"CANDIDATE",4155328,"K01335.01",3.97,-3.628,78.46,0.9416,3258.64,0,0.0001376
"CANDIDATE",4077526,"K01336.01",4.38,-2.639,29.49,1.121,3733.25,1,0.000273
"CANDIDATE",4077526,"K01336.02",4.38,-3.235,26.26,1.093,3604.21,1,-1.528e-05
"CANDIDATE",4077526,"K01336.03",4.38,-4.105,20.68,1.076,4016.32,0,0.0008871
"CANDIDATE",4077526,"K01336.04",4.38,-2.751,14.31,1.055,4139.1,12,-5.108e-05
"CANDIDATE",4243911,"K01337.01",4.56,-2.873,38.02,1.163,2609.44,2,-3.028e-05
"CANDIDATE",4466677,"K01338.01",4.43,-2.691,34.87,1.121,3253.32,3,-0.0001002
"CANDIDATE",4466677,"K01338.02",4.43,-3.575,15.43,1.007,4579.18,0,0.0002236
"CANDIDATE",4466677,"K01338.03",4.43,-3.982,11.4,1.186,4441.83,0,-6.725e-05
"CANDIDATE",4135665,"K01339.01",4.2,-2.788,33.23,1.087,3062.75,0,8.32e-05
"FALSE POSITIVE",4386059,"K01340.01",4.24,-1.991,31.08,1.076,3285.91,12,0
"CANDIDATE",4650674,"K01341.01",4.31,-2.417,40.38,1.024,3205.31,0,1.971e-05
"CANDIDATE",4275721,"K01342.01",4.4,-3.101,40.26,1.138,3678.87,1,0.0003057
"CANDIDATE",4275721,"K01342.02",4.4,-2.448,30.84,1.112,3418.8,0,0.0005451
"FALSE POSITIVE",4570931,"K01343.01",4.34,-2.307,28.68,1.032,3648.37,15,-0.004144
"CANDIDATE",4136466,"K01344.01",4.23,-3.263,29.62,1.063,3190.18,12,1.287e-05
"FALSE POSITIVE",7199774,"K01346.01",4.53,-91.9,3671,0.7958,2225.66,0,0.0007196
"FALSE POSITIVE",7037540,"K01347.01",4.2,-8.908,2746,0.9385,2287.95,0,0.0001446
"FALSE POSITIVE",6866228,"K01348.01",4.57,-14.93,1246,0.9885,2257.59,1,0.0006675
"FALSE POSITIVE",6847018,"K01349.01",4.38,-34.91,2497,0.952,2446.22,8,0.0002817
"FALSE POSITIVE",7220322,"K01350.01",4.3,-28.72,68.35,0.2168,3899.85,109,0.00242
"FALSE POSITIVE",6964043,"K01351.01",4.45,-164.5,193.6,0.7509,0,0,0.03981
"FALSE POSITIVE",6956233,"K01352.01",4.66,-3.065,66.88,0.8546,2333.4,0,0.05431
"CANDIDATE",7303287,"K01353.01",4.34,-2.968,270,1.637,2086.55,0,0.000825
"CANDIDATE",7303287,"K01353.02",4.34,-3.175,27.82,1.109,3601.06,0,-1.45e-05
"CANDIDATE",7303287,"K01353.03",4.34,-4.722,13.53,1.051,4627.48,0,-0.0004786
"FALSE POSITIVE",6891543,"K01354.01",4.43,-5.752,16.28,1.051,3404.91,14,0.001345
"CANDIDATE",7211141,"K01355.01",4.13,-2.709,117.5,0.9457,2633.3,0,0.001189
"CANDIDATE",6719086,"K01357.01",4.45,-2.373,81.87,1.145,2127.84,16,0.001034
"CANDIDATE",7376983,"K01358.01",4.62,-3.693,75.96,1.113,2056.36,0,-0.0002244
"CANDIDATE",7376983,"K01358.02",4.62,-3.006,37.92,1.077,2497.02,0,6.231e-05
"CANDIDATE",7376983,"K01358.03",4.62,-2.455,22.1,1.143,2604.36,0,-3.767e-05
"CANDIDATE",7376983,"K01358.04",4.62,-2.222,18.02,1.137,2867.24,1,-1.836e-05
"CANDIDATE",6946199,"K01359.01",4.53,-4.533,107.1,0.9829,2627.72,0,-0.002014
"CANDIDATE",6946199,"K01359.02",4.53,-3.541,71.37,1.073,2572.82,0,-0.0007408
"CANDIDATE",7102227,"K01360.01",4.6,-3.213,44.66,1.09,2631.32,0,0.0001167
"CANDIDATE",7102227,"K01360.02",4.6,-2.932,40.72,1.106,2635.59,0,0.0002279
"CANDIDATE",7102227,"K01360.03",4.6,-1.989,27.82,0.9286,4346.24,6,7.029e-05
"CANDIDATE",6960913,"K01361.01",4.66,-3.362,64.83,1.065,2094.35,0,0.0001691
"CANDIDATE",6837146,"K01362.01",4.61,-2.661,43.74,1.063,2932.64,0,-0.0005707
"CANDIDATE",6936909,"K01363.01",4.49,-2.323,30.43,1.089,3328.7,1,2.69e-05
"CANDIDATE",6936909,"K01363.02",4.49,-3.253,18.33,1.172,4131.73,3,0.0002934
"CANDIDATE",6962977,"K01364.01",4.54,-3.414,36.35,1.063,2687.64,0,-1.269e-05
"CANDIDATE",6962977,"K01364.02",4.54,-2.664,37.63,1.072,2857.59,0,-0.0003802
"CANDIDATE",6962977,"K01364.03",4.54,-3.197,30.26,1.081,3133.76,0,-0.0009462
"CANDIDATE",6962977,"K01364.04",4.54,-3.373,27.71,1.092,2906.47,0,0.0001926
"CANDIDATE",6962977,"K01364.05",4.54,-2.122,25.37,1.038,4171.57,1,0.0004723
"FALSE POSITIVE",7174351,"K01365.01",4.55,-2.749,27.76,1.07,3289.43,90,0.0007985
"CANDIDATE",6932987,"K01366.01",4.51,-2.435,52.83,1.082,3131.58,0,-3.815e-05
"CANDIDATE",6932987,"K01366.02",4.51,-4.3,32.96,1.111,3240.4,0,-7.763e-05
"CANDIDATE",6934291,"K01367.01",4.48,-3.285,40.85,1.276,1105.49,0,7.942e-05
"FALSE POSITIVE",7357531,"K01368.01",4.34,-3.959,139.1,1.148,2012.58,0,0.005424
"CANDIDATE",7287415,"K01369.01",4.14,-2.433,44.01,1.092,0,0,7.401e-05
"CANDIDATE",6924203,"K01370.01",4.58,-2.643,39.41,1.099,3128.1,9,0.0005374
"FALSE POSITIVE",6878167,"K01371.01",4.53,-7.714,13.21,1.135,4592.27,0,-0.01146
"FALSE POSITIVE",6863839,"K01373.01",4.48,-3.504,31.6,1.097,2383.99,0,6.678e-05
"FALSE POSITIVE",7296086,"K01374.01",4.29,-3.668,36.91,1.233,2637.52,2,-0.001872
"CANDIDATE",6766634,"K01375.01",4.26,-4.196,122,0.9706,2680.36,0,0.0001507
"FALSE POSITIVE",6774826,"K01376.01",3.91,-2.639,36.04,1.093,2747.97,0,0.002595
"CANDIDATE",7211469,"K01377.01",4.36,-2.845,29.39,1.1,3536.4,0,-1.972e-05
"FALSE POSITIVE",7375795,"K01378.01",4.41,-2.312,50.65,1.077,2561.82,0,0
"FALSE POSITIVE",7375795,"K01378.02",4.41,-3.842,14.79,0.9884,3455.05,0,0
"CANDIDATE",7211221,"K01379.01",4.44,-3.718,38.86,1.121,3155.08,1,9.347e-05
"FALSE POSITIVE",7025526,"K01380.01",4.64,-2.202,23.07,1.18,3350.67,10,-0.003584
"FALSE POSITIVE",9451127,"K01381.01",4.45,-27.38,2319,0.8598,2510.42,0,-0.004259
"FALSE POSITIVE",9446824,"K01382.01",4.4,-22.06,2331,0.799,2676.25,10,0.0006278
"FALSE POSITIVE",8953257,"K01383.01",4.41,-28.3,3230,0.8746,2168.75,6,0.001576
"FALSE POSITIVE",8971432,"K01384.01",4.64,-355.1,51.9,0.9389,4599.42,26,0.0002974
"FALSE POSITIVE",9278553,"K01385.01",4.53,-3.236,1946,0.9704,1145.89,0,-0.006934
"FALSE POSITIVE",9143254,"K01386.01",4.47,-3.344,1972,0.7324,1075.94,92,0.001887
"FALSE POSITIVE",8949247,"K01387.01",4.47,-3.308,3873,0.8525,927.66,0,-0.002156
"FALSE POSITIVE",9346253,"K01388.01",4.52,-13.93,1185,1.016,2863.57,0,0.001893
"FALSE POSITIVE",9002237,"K01389.01",4.5,-20.27,2084,0.9545,2370.18,0,0.0002377
"FALSE POSITIVE",9288786,"K01390.01",4.59,-10.42,417.3,0.8734,2277.78,5,-0.0005417
"FALSE POSITIVE",8958035,"K01391.01",4.47,-2.996,672.9,1.001,1446.42,0,0.0006212
"FALSE POSITIVE",9040849,"K01392.01",4.58,-2.982,78.01,1.099,2819.19,1,0.004597
"CANDIDATE",9202151,"K01393.01",4.74,-4.457,46.54,1.16,1961.57,0,-0.000729
"FALSE POSITIVE",8937021,"K01394.01",4.6,-3.324,72.69,0.4575,4847.4,0,0.005098
"CANDIDATE",8935810,"K01395.01",4.56,-1.698,50.08,1.187,2600.57,0,-0.0001709
"CANDIDATE",9455556,"K01396.01",4.53,-2.949,44.45,1.093,3074.05,0,-0.0005119
"CANDIDATE",9455556,"K01396.02",4.53,-2.922,25.66,1.119,3055.53,1,-0.0005432
"CANDIDATE",9427402,"K01397.01",4.76,-2.037,62.03,1.183,1869.98,1,-0.001138
"CANDIDATE",9269281,"K01398.01",4.53,-2.668,55.73,1.11,2860.7,0,0.000333
"CANDIDATE",9100484,"K01399.01",4.6,-2.626,40.29,1.124,2497.59,0,0.0001231
"FALSE POSITIVE",9157908,"K01400.01",4.44,-2.077,88.39,0.5574,4909.76,0,-0.004546
"CANDIDATE",9034103,"K01402.01",4.49,-2.293,33.62,1.048,3178.22,1,0.0003526
"CANDIDATE",9214942,"K01403.01",4.72,-3.388,40.19,1.091,2166.81,0,-0.0001974
"CANDIDATE",8874090,"K01404.01",4.81,-3.613,34.91,1.093,1971.52,7,0.0001236
"CANDIDATE",8874090,"K01404.02",4.81,-2.684,13.98,1.06,2522.1,1,3.743e-06
"CANDIDATE",9264949,"K01405.01",4.4,-2.335,33.37,1.036,3587.15,0,0.0004558
"CANDIDATE",9271752,"K01406.01",4.46,-2.715,69.57,1.101,2797.74,0,0.0001025
"CANDIDATE",9150827,"K01408.01",4.69,-3.63,43.76,1.07,2336.7,1,2.645e-06
"CANDIDATE",9391208,"K01409.01",4.44,-2.342,39.81,1.117,3118.94,0,-0.0002542
"CANDIDATE",9391506,"K01410.01",4.45,-2.996,56.1,1.083,3084.13,0,0.0002231
"CANDIDATE",9425139,"K01411.01",4.35,-4.014,214.1,0.9541,2262.34,0,0.0002981
"CANDIDATE",8950853,"K01412.01",4.28,-3.278,59.47,1.077,3030.89,0,-0.00016
"CANDIDATE",9006449,"K01413.01",4.45,-2.555,34.96,1.07,3179.97,0,-0.0001675
"CANDIDATE",9006449,"K01413.02",4.45,-3.119,21.39,1.084,3330.59,0,-0.0001109
"CANDIDATE",9006449,"K01413.03",4.45,-3.018,19.16,1.052,3811.43,0,0.0001592
"FALSE POSITIVE",8916492,"K01414.01",3.65,-3.566,44.12,1.072,4132.72,0,0.0006166
"CANDIDATE",11517719,"K01416.01",4.43,-13.64,874.1,1.003,1965.03,14,0.0008228
"FALSE POSITIVE",11599264,"K01417.01",4.57,-2.607,286.4,0.9765,2741.92,4,0.01191
"FALSE POSITIVE",11100657,"K01418.01",4.56,-3.792,235,1.016,2851.73,4,-0.007874
"FALSE POSITIVE",11125936,"K01419.01",4.46,-2.436,78.71,1.172,2314.1,2,-0.001369
"CANDIDATE",11026304,"K01420.01",4.56,-3.12,137.9,0.9862,2144.69,0,-1.799e-05
"CANDIDATE",11497958,"K01422.01",4.87,-2.619,49.73,1.128,1687.31,0,-0.0001627
"CANDIDATE",11497958,"K01422.02",4.87,-2.911,36.84,1.141,2090.99,0,-0.001162
"CANDIDATE",11497958,"K01422.03",4.87,-2.991,16.63,1.233,2079.75,0,-6.503e-05
"CANDIDATE",11497958,"K01422.04",4.87,-3.615,15.92,1.122,2293.88,0,0.0006752
"CANDIDATE",11497958,"K01422.05",4.87,-3.729,13.61,1.058,2622.51,0,-0.000154
"CANDIDATE",11177707,"K01423.01",3.97,-4.315,63.11,0.9672,3121.11,0,-0.0008647
"CANDIDATE",11611600,"K01424.01",4.62,-2.089,77.24,1.104,1970.41,0,6.24e-05
