"koi_disposition","kepid","kepoi_name","tce_ror","tce_duration","tce_fwm_prao","tce_dicco_mra"
"CANDIDATE",5164255,"K00824.01",0.12213986,3.305,-0.0008236,0.0083892
"CANDIDATE",5252423,"K00825.01",0.030393995,3.284,0.0003788,-0.019812
"CANDIDATE",5252423,"K00825.02",0.022249557,2.65,-0.0002604,0.16221
"CANDIDATE",5272878,"K00826.01",0.030370751,3.241,-1.068e-05,-0.025415
"FALSE POSITIVE",5283542,"K00827.01",0.034906521,3.032,9.124e-05,0.29562
"FALSE POSITIVE",5287983,"K00828.01",0.034950439,1.639,-0.002,1.4889
"CANDIDATE",5358241,"K00829.01",0.031234073,4.744,-0.0006846,0.41667
"CANDIDATE",5358241,"K00829.02",0.033651025,5.641,-0.001012,0.46893
"CANDIDATE",5358241,"K00829.03",0.023278424,4.712,-0.0001336,0.15732
"CANDIDATE",5358624,"K00830.01",0.13577237,2.643,-0.001957,-0.010186
"FALSE POSITIVE",5370302,"K00831.01",0.12561073,3.843,0.002916,-0.049762
"FALSE POSITIVE",5372966,"K00832.01",0.19789771,3.537,-0.002185,-0.0098069
"FALSE POSITIVE",5376067,"K00833.01",0.083214259,2.186,-0.0001682,0.17118
"CANDIDATE",5436502,"K00834.01",0.053275424,8.266,-5.821e-05,0.0073118
"CANDIDATE",5436502,"K00834.02",0.022773098,6.992,-0.0002297,-0.26051
"CANDIDATE",5436502,"K00834.03",0.018717781,5.405,0.000133,-0.19106
"CANDIDATE",5436502,"K00834.04",0.020973305,7.636,-0.0001423,0.78294
"CANDIDATE",5436502,"K00834.05",0.011435337,3.505,0.000137,-0.025623
"CANDIDATE",5456651,"K00835.01",0.03433449,3.11,-0.0006155,0.12397
"CANDIDATE",5456651,"K00835.02",0.02948544,3.451,-0.0004133,-0.49779
"FALSE POSITIVE",5481416,"K00836.01",0.059636959,2.972,-0.024,5.7976
"CANDIDATE",5531576,"K00837.01",0.031594863,2.827,0.0003026,-0.047719
"CANDIDATE",5531576,"K00837.02",0.021521759,2.537,-1.251e-05,0.16838
"FALSE POSITIVE",5534814,"K00838.01",0.11192023,2.24,0.0006757,-0.1379
"FALSE POSITIVE",5649215,"K00839.01",0.039725034,4.32,0.07152,-7.2855
"CANDIDATE",5651104,"K00840.01",0.10822859,1.934,-0.003483,0.24317
"CANDIDATE",5792202,"K00841.01",0.069125937,4.937,0.001676,-0.24546
"CANDIDATE",5792202,"K00841.02",0.055358832,3.817,0.001621,-0.34787
"CANDIDATE",5792202,"K00841.03",0.031658819,3.424,0.0004126,-0.28917
"FALSE POSITIVE",5792202,"K00841.04",0.041413503,11.6,-9.502e-05,-0.49212
"FALSE POSITIVE",5792202,"K00841.05",0.039455703,12.08,0.0008979,-0.17815
"CANDIDATE",5794379,"K00842.01",0.035519832,3.285,-0.0001251,0.017129
"CANDIDATE",5794379,"K00842.02",0.037886572,4.421,-0.0002012,-0.053068
"CANDIDATE",5881688,"K00843.01",0.053117014,2.967,0.0002632,-0.033447
"CANDIDATE",6022556,"K00844.01",0.043402231,3.159,-0.0002504,0.01945
"CANDIDATE",6032497,"K00845.01",0.034735212,6.214,0.0009652,-0.0050815
"CANDIDATE",6061119,"K00846.01",0.16203012,4.224,-0.0003583,0.0010273
"CANDIDATE",6191521,"K00847.01",0.055307022,11.11,-0.0002263,-0.043827
"FALSE POSITIVE",6267425,"K00848.01",0.11695395,2.884,-0.022,1.8137
"CANDIDATE",6276477,"K00849.01",0.029699675,3.439,-0.0001317,-0.035958
"CANDIDATE",6291653,"K00850.01",0.098399757,2.614,-4.507e-05,-0.012096
"CANDIDATE",6392727,"K00851.01",0.060506047,2.83,-0.000388,-0.030008
"CANDIDATE",6422070,"K00852.01",0.02674742,3.778,-0.0002203,0.42592
"CANDIDATE",6428700,"K00853.01",0.035605771,3.146,2.264e-05,-0.085453
"CANDIDATE",6428700,"K00853.02",0.039358481,4.08,-6.637e-05,0.052758
"CANDIDATE",6435936,"K00854.01",0.041389869,4.807,0.0007654,0.10358
"CANDIDATE",6522242,"K00855.01",0.14052622,5.066,0.009187,-0.027002
"CANDIDATE",6526710,"K00856.01",0.13610586,7.32,-0.004916,0.11883
"CANDIDATE",6587280,"K00857.01",0.032227649,2.665,9.157e-05,0.013894
"CANDIDATE",6587280,"K00857.02",0.02257082,1.415,4.405e-05,0.28443
"FALSE POSITIVE",6599919,"K00858.01",0.11052895,2.562,-0.000656,0.056183
"FALSE POSITIVE",6675056,"K00859.01",0.057014536,3.809,-0.03841,3.6649
"CANDIDATE",6685526,"K00861.01",0.019622435,1.939,-0.0001007,0.030609
"FALSE POSITIVE",6756669,"K00862.01",0.1679402,3.17,-0.0002603,0.022948
"CANDIDATE",6784235,"K00863.01",0.029905868,2.433,-9.455e-05,-0.0030621
"CANDIDATE",6849310,"K00864.01",0.032799876,2.796,-0.000135,0.1804
"CANDIDATE",6849310,"K00864.02",0.030564062,4.796,-0.0003261,0.24673
"CANDIDATE",6849310,"K00864.03",0.032926436,1.986,-5.228e-05,0.22442
"CANDIDATE",6862328,"K00865.01",0.078506199,8.208,0.004299,-1.5228
"FALSE POSITIVE",6862603,"K00866.01",0.032025376,1.602,-6.019e-05,-0.084424
"CANDIDATE",6863998,"K00867.01",0.04184452,4.011,0.0002241,-0.0096303
"CANDIDATE",6867155,"K00868.01",0.14880995,8.285,-0.004091,0.051418
"CANDIDATE",6948054,"K00869.01",0.03262504,2.88,-8.104e-05,0.054748
"CANDIDATE",6948054,"K00869.02",0.045669399,6.43,0.0008217,-0.20484
"CANDIDATE",6948054,"K00869.03",0.020387278,2.301,-4.326e-05,-0.13816
"CANDIDATE",6948054,"K00869.04",0.030172949,2.514,-3.927e-05,-0.077626
"CANDIDATE",6949607,"K00870.01",0.033442987,2.658,-1.147e-05,0.065944
"CANDIDATE",6949607,"K00870.02",0.032490542,3.38,-2.607e-05,-0.092344
"FALSE POSITIVE",7031517,"K00871.01",0.2649163,2.497,-0.001609,-0.0021947
"CANDIDATE",7109675,"K00872.01",0.080703099,4.444,0.0002155,0.0071827
"CANDIDATE",7109675,"K00872.02",0.021485402,3.056,-1.812e-05,0.15841
"CANDIDATE",7118364,"K00873.01",0.022805943,2.213,-0.0001369,0.22464
"CANDIDATE",7134976,"K00874.01",0.029707089,2.391,5.937e-06,0.029193
"CANDIDATE",7134976,"K00874.02",0.01948973,3.366,-1.54e-05,-0.16123
"CANDIDATE",7135852,"K00875.01",0.049748376,3.249,0.0002057,-0.027725
"FALSE POSITIVE",7270230,"K00876.01",0.18639824,2.054,-8.878e-05,-0.019268
"CANDIDATE",7287995,"K00877.01",0.041429534,2.647,-0.0001621,0.049218
"CANDIDATE",7287995,"K00877.02",0.041804237,3.314,0.0004435,0.014147
"CANDIDATE",7287995,"K00877.03",0.021744175,2.49,-0.0005663,0.57863
"CANDIDATE",7303253,"K00878.01",0.040015294,5.069,0.0001718,0.043445
"CANDIDATE",7366258,"K00880.01",0.05399284,6.42,0.000625,-0.078101
"CANDIDATE",7366258,"K00880.02",0.048040092,4.643,0.0006572,-0.074757
"CANDIDATE",7366258,"K00880.03",0.027751347,3.055,0.0003176,0.02342
"CANDIDATE",7366258,"K00880.04",0.016612788,2.199,0.0002851,-0.52038
"CANDIDATE",7373451,"K00881.01",0.041211516,4.26,-0.0009027,-0.15323
"CANDIDATE",7373451,"K00881.02",0.053908666,7.408,-0.0006286,-0.18165
"FALSE POSITIVE",7377033,"K00882.01",0.13711296,1.727,-0.0006007,0.0068658
"CANDIDATE",7380537,"K00883.01",0.17680997,2.168,0.02957,-1.1256
"CANDIDATE",7434875,"K00884.01",0.054739706,3.045,0.0001323,-0.00072258
"CANDIDATE",7434875,"K00884.02",0.031831225,2.893,-0.0002187,0.071644
"CANDIDATE",7434875,"K00884.03",0.023117137,2.408,-0.0001169,-0.082852
"CANDIDATE",7455287,"K00886.01",0.049085768,4.139,-7.565e-05,-0.16813
"CANDIDATE",7455287,"K00886.02",0.025183666,5.521,0.0003189,-0.15668
"CANDIDATE",7455287,"K00886.03",0.027223541,3.18,-0.0005273,0.27545
"CANDIDATE",7458762,"K00887.01",0.026325455,2.645,0.0003316,0.039413
"FALSE POSITIVE",7552344,"K00888.01",0.041663127,0.8499,-0.0004159,0.1751
"CANDIDATE",757450,"K00889.01",0.11357708,2.074,-0.001294,0.0045194
"CANDIDATE",7585481,"K00890.01",0.076197828,4.204,0.001066,-0.0090237
"CANDIDATE",7663691,"K00891.01",0.032247698,5.41,0.0002026,-0.035211
"CANDIDATE",7678434,"K00892.01",0.034660766,3.113,-0.0002486,-0.024606
"CANDIDATE",7678434,"K00892.02",0.017240234,1.327,-0.0002758,0.081785
"CANDIDATE",7685981,"K00893.01",0.026040875,5.325,-0.0002258,-0.14671
"FALSE POSITIVE",7708215,"K00894.01",0.036416441,6.339,0.02907,0
"FALSE POSITIVE",7767559,"K00895.01",0.10329715,3.854,-0.002306,0.0068079
"CANDIDATE",7825899,"K00896.01",0.051241547,4.274,0.0005409,0.043063
"CANDIDATE",7825899,"K00896.02",0.035471403,3.075,0.0002512,-0.0068071
"CANDIDATE",7825899,"K00896.03",0.018627365,4.761,7.902e-05,0.88468
"CANDIDATE",7849854,"K00897.01",0.11596929,2.182,6.22e-05,-0.0021601
"CANDIDATE",7870390,"K00898.01",0.042702532,2.572,0.0002039,-0.028725
"CANDIDATE",7870390,"K00898.02",0.033923047,2.407,-0.0004916,-0.04659
"CANDIDATE",7870390,"K00898.03",0.039595473,3.971,0.0003971,0.15444
"CANDIDATE",7907423,"K00899.01",0.029711035,2.292,-0.0001857,-0.057317
"CANDIDATE",7907423,"K00899.02",0.0245487,1.984,-0.0001602,0.087756
"CANDIDATE",7907423,"K00899.03",0.030338681,2.696,0.0004231,-0.18439
"CANDIDATE",7938496,"K00900.01",0.037013543,3.029,-9.354e-05,0.038444
"CANDIDATE",8013419,"K00901.01",0.083642905,2.252,0.0005943,-0.018591
"CANDIDATE",8018547,"K00902.01",0.081232525,6.188,0.003973,-0.094146
"CANDIDATE",8039892,"K00903.01",0.078538419,4.3,0.004969,-0.34438
"CANDIDATE",8150320,"K00904.01",0.027639955,1.866,0.0002601,-0.0428
"CANDIDATE",8150320,"K00904.02",0.027354185,2.664,-0.0001524,-0.16048
"CANDIDATE",8150320,"K00904.03",0.03796127,3.916,-0.0003731,0.34687
"CANDIDATE",8150320,"K00904.04",0.023345523,2.465,8.642e-05,0.27462
"CANDIDATE",8150320,"K00904.05",0.024979327,5.363,0.0004197,-0.15583
"FALSE POSITIVE",8180063,"K00905.01",0.04821466,3.296,-0.001895,1.4482
"CANDIDATE",8226994,"K00906.01",0.029234408,2.658,0.0004108,-0.19109
"CANDIDATE",8226994,"K00906.02",0.028394089,2.178,0.0001303,0.026504
"CANDIDATE",8226994,"K00906.03",0.014727093,2.733,0.0003912,-0.72281
"CANDIDATE",8247638,"K00907.01",0.029798906,4.227,-7.608e-05,0.078188
"CANDIDATE",8247638,"K00907.02",0.033176818,5.19,0.0004075,-0.11754
"CANDIDATE",8247638,"K00907.03",0.030201067,4.553,0.000462,-0.022218
"CANDIDATE",8247638,"K00907.04",0.017892203,2.961,1.105e-05,0.32102
"CANDIDATE",8255887,"K00908.01",0.082284538,3.214,-0.0009517,0.01824
"FALSE POSITIVE",8256049,"K00909.01",0.050660822,2.991,0.07971,-7.1003
"CANDIDATE",8414716,"K00910.01",0.034723466,3.086,-6.96e-05,-0.040573
"CANDIDATE",8490993,"K00911.01",0.025421829,2.573,0.000246,0.054252
"CANDIDATE",8490993,"K00911.02",0.031395035,8.393,-0.0007631,0.23323
"CANDIDATE",8505670,"K00912.01",0.038736321,3.019,0.0001453,0.013127
"CANDIDATE",8505670,"K00912.02",0.020417009,1.936,-0.0001908,0.21409
"CANDIDATE",8544996,"K00913.01",0.12428522,3.303,0.00274,-0.013081
"CANDIDATE",8552202,"K00914.01",0.02570793,3.329,-0.0001193,0.41279
"FALSE POSITIVE",8605074,"K00915.01",0.2280734,8.307,-0.002843,0.020033
"CANDIDATE",8628973,"K00916.01",0.040719014,1.921,0.0002391,-0.027766
"FALSE POSITIVE",8655354,"K00917.01",0.042204567,2.955,-0.0001468,-0.18282
"CANDIDATE",8672910,"K00918.01",0.11318149,6.539,-0.0005577,0.01225
"FALSE POSITIVE",8686150,"K00919.01",0.23699149,16.92,-0.0007077,0.00074546
"CANDIDATE",8689031,"K00920.01",0.034394253,3.431,-0.0002862,0.20023
"CANDIDATE",8689373,"K00921.01",0.038674012,4.423,0.0005116,0.017484
"CANDIDATE",8689373,"K00921.02",0.03699167,3.855,0.0003265,0.0030278
"CANDIDATE",8689373,"K00921.03",0.023930252,2.082,-8.863e-05,-0.11643
"CANDIDATE",8826878,"K00922.01",0.03103115,3.385,5.356e-05,-0.00048689
"CANDIDATE",8883593,"K00923.01",0.034477765,3.554,-0.0006897,0.45683
"CANDIDATE",8951215,"K00924.01",0.036289192,3.126,0.0004108,-0.072559
"FALSE POSITIVE",9016295,"K00925.01",0.2514512,4.241,-0.0003484,-0.0013844
"CANDIDATE",9077124,"K00926.01",0.033133537,3.425,-0.0001639,0.03029
"FALSE POSITIVE",9097120,"K00927.01",0.21822529,3.801,0.02281,-0.88606
"CANDIDATE",9140402,"K00928.01",0.028080505,2.17,0.0002751,-0.036749
"CANDIDATE",9141746,"K00929.01",0.081169784,4.365,0.0004062,-0.0071088
"CANDIDATE",9141746,"K00929.02",0.0095137329,3.971,-4.79e-05,0.41814
"FALSE POSITIVE",9159275,"K00930.01",0.033838522,5.9,-0.02463,7.1841
"CANDIDATE",9166862,"K00931.01",0.11900144,3.244,0.01353,-1.4644
"FALSE POSITIVE",9166870,"K00932.01",0.033736981,3.183,0.01807,-4.6271
"FALSE POSITIVE",9171801,"K00933.01",0.058525915,2.789,0,5.0686
"CANDIDATE",9334289,"K00934.01",0.039226694,3.054,-0.0004233,-0.028912
"CANDIDATE",9334289,"K00934.02",0.028753843,4.111,0.0003608,-0.14605
"CANDIDATE",9334289,"K00934.03",0.027453187,4.028,-8.72e-05,0.12258
"CANDIDATE",9347899,"K00935.01",0.04601152,5.882,-0.0004423,0.00046949
"CANDIDATE",9347899,"K00935.02",0.042205637,6.692,-0.0002865,0.024173
"CANDIDATE",9347899,"K00935.03",0.031478599,9.048,0.0007416,0.064431
"CANDIDATE",9347899,"K00935.04",0.012032147,4.116,-0.0001608,-0.91968
"CANDIDATE",9388479,"K00936.01",0.045221593,2.506,-0.000121,0.065104
"CANDIDATE",9388479,"K00936.02",0.026121566,1.061,-2.553e-05,-0.022608
"CANDIDATE",9406990,"K00937.01",0.031531527,4.195,7.925e-05,-0.00010021
"CANDIDATE",9415172,"K00938.01",0.032741187,3.55,-5.657e-05,0.014002
"CANDIDATE",9415172,"K00938.02",0.012818929,1.896,-0.0001602,-0.19965
"CANDIDATE",9415172,"K00938.03",0.016729811,2.574,-0.0002066,0.25625
"CANDIDATE",9466668,"K00939.01",0.018562912,2.758,-5.798e-06,-0.21646
"CANDIDATE",9466668,"K00939.02",0.01731713,3.279,1.565e-05,-0.12833
"CANDIDATE",9466668,"K00939.03",0.015184337,2.4,5.992e-05,-0.35261
"CANDIDATE",9466668,"K00939.04",0.018633478,3.732,-0.0001018,-0.2864
"CANDIDATE",9479273,"K00940.01",0.043079682,4.772,-0.0003119,-0.055162
"CANDIDATE",9480189,"K00941.01",0.048135227,3.256,-8.124e-05,0.095272
"CANDIDATE",9480189,"K00941.02",0.049548094,2.848,0.0002727,0.070931
"CANDIDATE",9480189,"K00941.03",0.026945508,1.887,5.221e-05,0.15516
"CANDIDATE",9512687,"K00942.01",0.041962906,2.331,0.0003069,0.059057
"CANDIDATE",9513865,"K00943.01",0.033338247,2.671,8.551e-05,0.018197
"CANDIDATE",9595686,"K00944.01",0.047205381,2.474,-0.0005528,0.39403
"CANDIDATE",9605514,"K00945.01",0.025728295,7.065,-5.018e-05,-0.02044
"CANDIDATE",9605514,"K00945.02",0.022922129,6.106,-3.03e-05,-0.093138
"FALSE POSITIVE",9605514,"K00945.03",0.022843286,5.458,0.0001597,0.51493
"FALSE POSITIVE",9661877,"K00946.01",0.053825781,3.617,0.03085,-4.8481
"CANDIDATE",9710326,"K00947.01",0.038976238,3.759,-2.878e-05,0.13339
"CANDIDATE",9761882,"K00948.01",0.031460883,4.105,-0.000324,0.33707
"CANDIDATE",9766437,"K00949.01",0.034187172,4.131,5.41e-05,0.038556
"CANDIDATE",9772531,"K00950.01",0.17343452,2.212,0.00055,0.0048486
"CANDIDATE",9775938,"K00951.01",0.044848055,3.541,0.0001554,0.022369
"CANDIDATE",9775938,"K00951.02",0.037698561,4.416,4.72e-05,0.14026
"CANDIDATE",9787239,"K00952.01",0.041064203,2.392,-0.001494,0.21659
"CANDIDATE",9787239,"K00952.02",0.041599808,3.312,-0.001725,0.29264
"CANDIDATE",9787239,"K00952.03",0.043475442,3.106,-0.0004281,0.3376
"CANDIDATE",9787239,"K00952.04",0.02224676,1.868,6.939e-05,0.88177
"CANDIDATE",9787239,"K00952.05",0.01575112,1.299,-0.0001329,0.38394
"CANDIDATE",9820483,"K00953.01",0.048129078,2.79,-0.0001725,0.020302
"CANDIDATE",9823457,"K00954.01",0.03173757,3.225,1.155e-05,-0.061316
"CANDIDATE",9823457,"K00954.02",0.030922313,4.989,-0.001171,0.079591
"CANDIDATE",9825625,"K00955.01",0.024550719,4.203,-0.0001462,-0.016764
"CANDIDATE",9875711,"K00956.01",0.045443052,2.801,-0.0005045,0.038584
"FALSE POSITIVE",7661409,"K00957.01",0.034199981,6.216,0.0006432,0.10809
"CANDIDATE",1026957,"K00958.01",0.03747002,1.333,-8.421e-05,0.043901
"CANDIDATE",10002261,"K00959.01",0.17993063,2.494,0.00426,-0.20786
"FALSE POSITIVE",8176650,"K00960.01",0.1818356,6.385,-0.001036,0.013688
"CANDIDATE",8561063,"K00961.01",0.042454075,0.6687,0.000313,-0.053089
"CANDIDATE",8561063,"K00961.02",0.029921578,0.5998,0.0002416,-0.11836
"CANDIDATE",8561063,"K00961.03",0.016169978,0.6666,-0.000126,-0.086778
"FALSE POSITIVE",10657664,"K00964.01",0.13012475,3.105,0.0004089,-0.0031121
"FALSE POSITIVE",3337351,"K00965.01",0.34704338,2.978,0.02418,-1.1599
"FALSE POSITIVE",3233043,"K00966.01",0.039277839,0.7635,0.0005219,-0.28403
"FALSE POSITIVE",6579806,"K00967.01",0.19265643,2.77,-5.024e-05,-0.01685
"FALSE POSITIVE",3560301,"K00968.01",0.0074635375,14.38,-3.348e-06,0.54371
"FALSE POSITIVE",4044005,"K00969.01",0.10766626,1.841,7.67e-05,-0.030783
"FALSE POSITIVE",11502218,"K00970.01",0.023877407,2.222,-0.002889,-11.305
"CANDIDATE",11180361,"K00971.01",0.010865159,0.9104,0.0001224,7.6091
"CANDIDATE",11013201,"K00972.01",0.019943189,4.503,0.000238,-3.4142
"FALSE POSITIVE",11013201,"K00972.02",0.0061765898,4.715,-2.639e-05,-2.6017
"CANDIDATE",9414417,"K00974.01",0.013490351,10.61,-0.0001668,2.3059
"CANDIDATE",3632418,"K00975.01",0.0087489774,3.572,0.0001541,-3.4502
"FALSE POSITIVE",3441784,"K00976.01",0.2421303,6.686,-0.002828,1.9924
"CANDIDATE",11192141,"K00977.01",0.013639343,3.704,0.0001046,0.7148
"FALSE POSITIVE",11494130,"K00978.01",0.052400581,24.78,0.0001087,-0.51558
"FALSE POSITIVE",5648449,"K00979.01",0.051447441,3.238,-4.659e-05,-0.16556
"FALSE POSITIVE",12167361,"K00980.01",0.077144629,2.659,-0.0006538,1.5976
"FALSE POSITIVE",1433962,"K00982.01",0.023597342,5.621,-0.05866,0
"FALSE POSITIVE",11607193,"K00983.02",0.018098743,1.693,-0.003035,3.5843
"CANDIDATE",1161345,"K00984.01",0.041693474,1.319,0.0002789,-0.50903
"FALSE POSITIVE",10227501,"K00985.01",0.017055238,2.297,0.002559,-3.7041
"CANDIDATE",2854698,"K00986.01",0.023824781,3.144,-0.0001164,0.041185
"CANDIDATE",2854698,"K00986.02",0.021186968,7.031,-0.0007473,-0.36707
"CANDIDATE",7295235,"K00987.01",0.014903599,1.121,2.831e-06,-0.18861
"CANDIDATE",2302548,"K00988.01",0.029173467,2.847,0.0002777,-0.022189
"CANDIDATE",2302548,"K00988.02",0.025968733,2.859,-3.884e-05,0.079026
"CANDIDATE",10154388,"K00991.01",0.01817764,2.168,-5.784e-05,0.14719
"CANDIDATE",1432789,"K00992.01",0.021036573,6.048,-0.0003182,-0.18084
"CANDIDATE",1432789,"K00992.02",0.012336466,4.045,0.0002399,0.48972
"CANDIDATE",1718189,"K00993.01",0.020387188,3.601,-1.787e-05,-0.10597
"CANDIDATE",1718189,"K00993.02",0.029294207,4.302,-0.0001651,-0.13446
"FALSE POSITIVE",1718189,"K00993.03",0.015317087,5.832,0.0002271,-1.2298
"CANDIDATE",1431122,"K00994.01",0.015642265,2.271,-0.0002014,3.29
"FALSE POSITIVE",3858949,"K00995.01",0.056570926,14.47,0.004695,-6.4224
"FALSE POSITIVE",3858824,"K00996.01",0.078516373,14.72,2.594e-05,-1.689
"FALSE POSITIVE",1432214,"K00998.01",0.27283604,5.303,-0.0008259,-0.014045
"CANDIDATE",2165002,"K00999.01",0.035127588,4.354,-4.405e-05,-0.0077092
"CANDIDATE",2165002,"K00999.02",0.034960594,3.057,0.001191,0.36024
"FALSE POSITIVE",2441728,"K01000.01",0.0088469825,1.476,0.0004827,-3.8522
"CANDIDATE",1871056,"K01001.01",0.017217077,13.33,-2.223e-05,-0.37992
"CANDIDATE",1871056,"K01001.02",0.019012831,19.23,2.976e-05,-0.35783
"CANDIDATE",1865042,"K01002.01",0.012784327,1.896,-4.564e-06,-0.015292
"FALSE POSITIVE",2438502,"K01003.01",0.1509523,7.485,0.003438,-0.31954
"FALSE POSITIVE",2309585,"K01004.01",0.035766417,3.191,-0.003341,0
"CANDIDATE",5780460,"K01005.01",0.061746923,8.487,0.002963,-0.5118
"FALSE POSITIVE",5738346,"K01006.01",0.095708846,3.549,0.0143,-2.4687
"CANDIDATE",1725016,"K01007.01",0.022029077,3.906,5.81e-05,-0.1358
"FALSE POSITIVE",1722276,"K01008.01",0.19249275,4.205,0.003193,-0.25889
"FALSE POSITIVE",892772,"K01009.01",0.01721749,3.642,0.001634,-4.7374
"FALSE POSITIVE",5728283,"K01011.01",0.20256463,7.551,0.00551,-0.014458
"FALSE POSITIVE",8127639,"K01012.01",0.024412361,1.523,-0.0008791,0.5446
"FALSE POSITIVE",6047498,"K01013.01",0.019663705,0.631,-0.0002016,-0.0033172
"CANDIDATE",8125580,"K01014.01",0.037033086,3.176,0.0003361,0.10888
"CANDIDATE",8158127,"K01015.01",0.023440475,4.56,6.305e-05,-0.15563
"CANDIDATE",8158127,"K01015.02",0.012954663,3.621,-1.131e-05,-0.47605
"CANDIDATE",8158127,"K01015.03",0.01948298,2.686,0.0001437,-0.54589
"FALSE POSITIVE",8176653,"K01016.01",0.029102151,1.027,0.00103,-1.7283
"CANDIDATE",8174625,"K01017.01",0.030493153,4.45,-0.0001174,0.061715
"FALSE POSITIVE",8183911,"K01018.01",0.016778283,2.718,0.002142,-4.4916
"FALSE POSITIVE",2309719,"K01020.01",0.16703652,6.377,0.000404,-0.025606
"FALSE POSITIVE",2558363,"K01021.01",0.014273535,1.184,-0.00118,5.704
"CANDIDATE",2716853,"K01022.01",0.029764749,4.723,0.0003277,-0.04308
"FALSE POSITIVE",2716853,"K01022.02",0.024131311,3.66,0.0002161,1.098
"FALSE POSITIVE",2445154,"K01023.01",0.031236378,5.267,0.04957,-9.4236
"CANDIDATE",2715135,"K01024.01",0.029489281,1.968,-0.0001063,0.072504
"FALSE POSITIVE",2574201,"K01025.01",0.061981342,5.639,0.01101,-4.7587
"FALSE POSITIVE",2166206,"K01028.01",0.020140261,3.411,0.006211,-7.3747
"CANDIDATE",2164169,"K01029.01",0.028531391,6.444,-0.0004387,0.052911
"CANDIDATE",2574338,"K01030.01",0.023208568,2.421,-0.0001454,0.14224
"CANDIDATE",2584163,"K01031.01",0.016692681,5.791,0.0003419,0.47552
"FALSE POSITIVE",5899544,"K01034.01",0.053125732,1.981,-0.01621,2.5995
"FALSE POSITIVE",5963222,"K01035.01",0.076689191,3.138,-0.009748,1.3246
"FALSE POSITIVE",5982353,"K01036.01",0.11881706,6.957,0.004368,-0.25049
"FALSE POSITIVE",6205468,"K01037.01",0.038563116,10.49,0,-2.2302
"FALSE POSITIVE",5802486,"K01039.01",0.02996419,1.474,-0.003314,3.1645
"FALSE POSITIVE",5817553,"K01040.01",0.048929999,8.879,0,2.7728
"FALSE POSITIVE",5982368,"K01041.01",0.077079559,6.713,0.01193,0
"FALSE POSITIVE",5816811,"K01042.01",0.049579147,4.366,0.01608,0
"FALSE POSITIVE",5816165,"K01043.01",0.023818008,0.8427,-0.0005565,0.10877
"FALSE POSITIVE",5802246,"K01044.01",0.010342544,1.223,0.001949,-4.1263
"FALSE POSITIVE",6066403,"K01045.01",0.014269514,2.5,0.008465,0
"FALSE POSITIVE",5988031,"K01047.01",0.010576465,6.68,-0.001816,0
"FALSE POSITIVE",5820218,"K01048.01",0.041299569,3.054,0.003053,-3.9004
"FALSE POSITIVE",5876368,"K01049.01",0.01674287,0.9238,0.001525,-6.7246
"CANDIDATE",5809890,"K01050.01",0.019378861,1.524,-4.048e-05,0.14018
"CANDIDATE",5809890,"K01050.02",0.018300397,1.509,3.955e-05,-0.029203
"CANDIDATE",6131236,"K01051.01",0.025533293,3.862,-0.0001095,-0.15754
"CANDIDATE",5956342,"K01052.01",0.02423222,4.744,-0.0006605,-0.013335
"CANDIDATE",5956342,"K01052.02",0.017170056,3.733,-0.0001441,-0.74988
"CANDIDATE",5956342,"K01052.03",0.022546214,7.535,0.0006365,0.094708
"CANDIDATE",5956342,"K01052.04",0.020720075,3.227,-0.0001524,0.48164
"CANDIDATE",5956656,"K01053.01",0.015141855,1.894,0.0001595,-0.095844
"CANDIDATE",5956656,"K01053.02",0.020514407,5.084,0.001153,-0.013653
"FALSE POSITIVE",5866099,"K01055.01",0.063404607,4.861,-0.04676,7.0237
"FALSE POSITIVE",6066416,"K01057.01",0.0054402316,2.778,0.002087,0
"CANDIDATE",6124941,"K01058.01",0.022136288,0.7421,-0.001488,2.5137
"CANDIDATE",6060203,"K01059.01",0.012082326,1.427,-8.453e-05,0.25815
"CANDIDATE",5880320,"K01060.01",0.017063091,6.074,6.221e-05,-0.32231
"CANDIDATE",5880320,"K01060.02",0.011901437,4.762,-1.157e-05,-0.35603
"CANDIDATE",5880320,"K01060.03",0.014087536,6.532,-0.0001008,-0.30907
"CANDIDATE",5880320,"K01060.04",0.011841935,5.382,7.758e-05,-0.00049086
"CANDIDATE",6037187,"K01061.01",0.021736693,6.368,6.396e-05,0.054404
"FALSE POSITIVE",6147122,"K01062.01",0.01709515,3.639,0.004693,-10.567
"FALSE POSITIVE",8257407,"K01063.01",0.41888337,3.5,0.001257,-0.0014765
"CANDIDATE",8218274,"K01064.01",0.11817896,2.895,-6.644e-05,0.007675
"FALSE POSITIVE",8242681,"K01065.01",0.14885806,4.341,-0.0003209,0.0096515
"CANDIDATE",8260218,"K01066.01",0.10239599,3.177,0.009535,-2.4782
"FALSE POSITIVE",8246781,"K01067.01",0.27136644,4.841,0.00194,-0.037003
"FALSE POSITIVE",8264070,"K01068.01",0.032999247,2.507,-0.01064,8.2643
"CANDIDATE",8222813,"K01069.01",0.032117691,2.974,-0.0001936,0.060295
"CANDIDATE",8222813,"K01069.02",0.019107126,1.776,0.0001194,-0.08957
"CANDIDATE",8240904,"K01070.01",0.024940149,3.899,-0.0002655,0.17724
