"koi_disposition","kepid","kepoi_name","tce_ror","tce_duration","tce_fwm_prao","tce_dicco_mra"
"CANDIDATE",10593626,"K00087.01",0.023532487,7.282,-0.0002333,-0.33517
"FALSE POSITIVE",7700871,"K00088.01",0.0096111873,2.847,-0.002118,6.6789
"CANDIDATE",8056665,"K00089.01",0.019064551,10.39,0.0001747,-0.12982
"CANDIDATE",8056665,"K00089.02",0.021839265,6.787,-0.0001914,0.21836
"FALSE POSITIVE",9210823,"K00090.01",0.0085988193,1.612,-0.01176,7.5211
"CANDIDATE",7941200,"K00092.01",0.026796113,3.478,-9.543e-05,-0.28768
"CANDIDATE",6462863,"K00094.01",0.069450928,6.713,0.001372,-0.077578
"CANDIDATE",6462863,"K00094.02",0.04271843,8.711,0.0003053,-0.15125
"CANDIDATE",6462863,"K00094.03",0.027449924,5.343,0.0001439,0.096991
"CANDIDATE",6462863,"K00094.04",0.01207315,3.87,6.143e-05,-0.40909
"CANDIDATE",5780885,"K00097.01",0.08150984,5.232,0.0002854,-0.036569
"CANDIDATE",10264660,"K00098.01",0.045211767,6.092,0.0001601,-0.084068
"CANDIDATE",4055765,"K00100.01",0.05026091,5.044,2.603e-05,0.032293
"CANDIDATE",8456679,"K00102.01",0.033486218,2.544,0.00014,-0.36966
"FALSE POSITIVE",8456679,"K00102.02",0.010159682,2.916,4.147e-06,0
"CANDIDATE",2444412,"K00103.01",0.033472792,3.939,4.489e-05,0.0036249
"CANDIDATE",10318874,"K00104.01",0.043822455,1.232,0.0001626,-0.025835
"CANDIDATE",8711794,"K00105.01",0.032806588,1.932,4.585e-06,0.067395
"FALSE POSITIVE",10489525,"K00106.01",0.010682806,2.571,0.008739,-2.5047
"CANDIDATE",11250587,"K00107.01",0.021953159,5.023,2.221e-05,-0.0070143
"CANDIDATE",4914423,"K00108.01",0.022609642,4.695,-6.412e-05,0.043414
"CANDIDATE",4914423,"K00108.02",0.035147515,13.6,-0.0001103,0.017022
"FALSE POSITIVE",4752451,"K00109.01",0.020571578,3.967,-0.001033,1.1671
"CANDIDATE",9450647,"K00110.01",0.023307215,4.075,8.768e-06,-0.10825
"CANDIDATE",6678383,"K00111.01",0.022511733,4.697,-8.112e-05,0.078663
"CANDIDATE",6678383,"K00111.02",0.02462578,7.548,-8.607e-05,-0.04264
"CANDIDATE",6678383,"K00111.03",0.021288706,5.838,-0.0001372,0.22143
"CANDIDATE",10984090,"K00112.01",0.0277997,6.676,1.936e-05,-0.12404
"CANDIDATE",10984090,"K00112.02",0.012239429,2.751,-4.609e-05,0.2433
"FALSE POSITIVE",6721123,"K00114.01",0.027799294,4.987,0.003032,-4.5056
"CANDIDATE",9579641,"K00115.01",0.026333802,3.082,-5.213e-05,-0.029603
"CANDIDATE",9579641,"K00115.02",0.01478111,2.986,-6.863e-05,0.032771
"CANDIDATE",9579641,"K00115.03",0.0053793436,3.32,1.221e-05,0.010174
"CANDIDATE",8395660,"K00116.01",0.024687453,3.46,-4.392e-05,0.25548
"CANDIDATE",8395660,"K00116.02",0.026214035,6.865,0.0002044,0.11617
"CANDIDATE",8395660,"K00116.03",0.0078114853,3.406,1.223e-05,-0.79301
"CANDIDATE",8395660,"K00116.04",0.01055926,4.717,-6.593e-05,0.14671
"CANDIDATE",10875245,"K00117.01",0.022357336,6.529,2.118e-05,0.34399
"CANDIDATE",10875245,"K00117.02",0.01205818,3.728,1.114e-05,0.12175
"CANDIDATE",10875245,"K00117.03",0.012742908,4.389,-5.649e-05,-0.56844
"CANDIDATE",10875245,"K00117.04",0.0076056212,4.736,-1.163e-05,0.7498
"CANDIDATE",3531558,"K00118.01",0.017037026,6.083,-4.674e-05,-0.13631
"CANDIDATE",9471974,"K00119.01",0.039073987,11.62,0.0002428,-0.0046905
"CANDIDATE",9471974,"K00119.02",0.033993233,15.2,0.000293,0.38712
"CANDIDATE",11869052,"K00120.01",0.014816572,2.161,0.0002035,-0.27306
"FALSE POSITIVE",3247396,"K00121.01",0.031245354,4.88,-9.548e-05,0.41494
"CANDIDATE",8349582,"K00122.01",0.023108816,4.021,-1.2e-05,0.068426
"CANDIDATE",5094751,"K00123.01",0.018569503,3.901,2.933e-05,-0.13296
"CANDIDATE",5094751,"K00123.02",0.01926697,6.681,3.454e-05,-0.045341
"CANDIDATE",11086270,"K00124.01",0.017038988,4,-4.903e-05,0.0077252
"CANDIDATE",11086270,"K00124.02",0.019279424,4.945,5.365e-05,0.021682
"CANDIDATE",11449844,"K00125.01",0.13799207,5.034,5.863e-05,0.0040706
"FALSE POSITIVE",5897826,"K00126.01",0.11431255,10.79,0.003046,-0.041871
"CANDIDATE",5897826,"K00126.02",0.035712583,21.78,0.0006563,0.11138
"CANDIDATE",8359498,"K00127.01",0.09763895,2.946,-0.000137,0.001952
"CANDIDATE",11359879,"K00128.01",0.10207675,3.328,0.001817,-0.10254
"CANDIDATE",11974540,"K00129.01",0.076651615,6.997,0.0018,-0.19497
"CANDIDATE",5297298,"K00130.01",0.11386052,5.459,-2.357e-05,0.0065741
"CANDIDATE",7778437,"K00131.01",0.074979659,4.622,-0.002294,0.041898
"FALSE POSITIVE",8892910,"K00132.01",0.10161448,4.48,-0.0001769,0.010143
"FALSE POSITIVE",11673674,"K00133.01",0.065312783,5.895,-0.01947,1.8226
"FALSE POSITIVE",9032900,"K00134.01",0.068570127,11.84,0.0001761,-0.0072278
"CANDIDATE",9818381,"K00135.01",0.085482394,2.912,-0.0001734,-0.0074515
"FALSE POSITIVE",7601633,"K00136.01",0.1053127,2.471,0,-0.0021668
"CANDIDATE",8644288,"K00137.01",0.056028438,3.663,0,0.037812
"CANDIDATE",8644288,"K00137.02",0.047845337,3.622,0,0.022208
"CANDIDATE",8644288,"K00137.03",0.018624505,2.159,0,0.038319
"FALSE POSITIVE",8506766,"K00138.01",0.12424446,6.578,-0.0001232,0.084493
"CANDIDATE",8559644,"K00139.01",0.056930941,11.04,0.0001498,0.015243
"CANDIDATE",8559644,"K00139.02",0.01367521,3.073,2.957e-05,0.28866
"FALSE POSITIVE",5130369,"K00140.01",0.028700855,10.37,-0.01005,4.1715
"CANDIDATE",12105051,"K00141.01",0.056561449,1.527,0.0001489,-0.029322
"CANDIDATE",4649305,"K00143.01",0.052249402,3.704,8.489e-05,-0.033345
"CANDIDATE",4180280,"K00144.01",0.037090436,3.705,0.0006774,-0.049963
"CANDIDATE",9904059,"K00145.01",0.050566305,16.1,-0.000121,-0.054738
