"koi_disposition","kepid","kepoi_name","tce_dor","tce_sradius_prov","tce_fwm_prao","tce_incl_sn"
"FALSE POSITIVE",7700871,"K00088.01",3.1854186,0,-0.002118,6.22118644067797
"CANDIDATE",8056665,"K00089.01",37.454347,0,0.0001747,331.986531986532
"CANDIDATE",8056665,"K00089.02",170.53658,0,-0.0001914,415.555555555556
"FALSE POSITIVE",9210823,"K00090.01",2.0144715,0,-0.01176,2.43757203227046
"CANDIDATE",7941200,"K00092.01",80.490581,0,-9.543e-05,602.358490566038
"CANDIDATE",6462863,"K00094.01",26.12477,0,0.001372,697.501951600312
"CANDIDATE",6462863,"K00094.02",39.151885,0,0.0003053,727.020408163265
"CANDIDATE",6462863,"K00094.03",11.124592,0,0.0001439,72.0784641068447
"CANDIDATE",6462863,"K00094.04",3.4272719,0,6.143e-05,7.6379080953843
"CANDIDATE",5780885,"K00097.01",6.818156,0,0.0002854,1197.9020979021
"CANDIDATE",10264660,"K00098.01",7.4452067,0,0.0001601,355.634095634096
"CANDIDATE",4055765,"K00100.01",6.2580941,0,2.603e-05,530.130718954248
"CANDIDATE",8456679,"K00102.01",2.8113917,0,0.00014,138.882398753894
"FALSE POSITIVE",8456679,"K00102.02",4.272634,0,4.147e-06,5.76396128071482
"CANDIDATE",2444412,"K00103.01",12.916366,0,4.489e-05,587.277701778386
"CANDIDATE",10318874,"K00104.01",8.2823699,0,0.0001626,213.075553294327
"CANDIDATE",8711794,"K00105.01",24.095217,0,4.585e-06,130.283771800177
"FALSE POSITIVE",10489525,"K00106.01",2.3897446,0,0.008739,3.78471834913553
"CANDIDATE",11250587,"K00107.01",6.9751385,0,2.221e-05,49.4658753709199
"CANDIDATE",4914423,"K00108.01",15.584545,0,-6.412e-05,118.010314875136
"CANDIDATE",4914423,"K00108.02",74.830659,0,-0.0001103,1307.7485380117
"FALSE POSITIVE",4752451,"K00109.01",2.896853,0,-0.001033,16.1796712201899
"CANDIDATE",9450647,"K00110.01",11.60372,0,8.768e-06,82.1988527724665
"CANDIDATE",6678383,"K00111.01",11.867651,0,-8.112e-05,78.0870353581142
"CANDIDATE",6678383,"K00111.02",34.79508,0,-8.607e-05,256.046176046176
"CANDIDATE",6678383,"K00111.03",20.491748,0,-0.0001372,99.5127478753541
"CANDIDATE",10984090,"K00112.01",37.096075,0,1.936e-05,374.156829679595
"CANDIDATE",10984090,"K00112.02",4.8413468,0,-4.609e-05,8.5827197921178
"FALSE POSITIVE",6721123,"K00114.01",2.8641087,0,0.003032,16.9765739385066
"CANDIDATE",9579641,"K00115.01",7.0291747,0,-5.213e-05,99.6868224524211
"CANDIDATE",9579641,"K00115.02",8.6525006,0,-6.863e-05,20.388161086851
"CANDIDATE",9579641,"K00115.03",3.72343,0,1.221e-05,2.55955585464334
"CANDIDATE",8395660,"K00116.01",14.77142,0,-4.392e-05,131.274658573596
"CANDIDATE",8395660,"K00116.02",26.587799,0,0.0002044,304.106280193237
"CANDIDATE",8395660,"K00116.03",7.300286,0,1.223e-05,4.17611640742599
"CANDIDATE",8395660,"K00116.04",17.743783,0,-6.593e-05,12.8793256433008
"CANDIDATE",10875245,"K00117.01",8.6796541,0,2.118e-05,134.02390438247
"CANDIDATE",10875245,"K00117.02",3.0181845,0,1.114e-05,7.32847601700061
"CANDIDATE",10875245,"K00117.03",4.0658324,0,-5.649e-05,9.97932014992891
"CANDIDATE",10875245,"K00117.04",6.1308827,0,-1.163e-05,4.02613412228797
"CANDIDATE",3531558,"K00118.01",17.620942,0,-4.674e-05,63.0802603036876
"CANDIDATE",9471974,"K00119.01",26.448078,0,0.0002428,620.953048353188
"CANDIDATE",9471974,"K00119.02",65.925352,0,0.000293,1240.52214970143
"CANDIDATE",11869052,"K00120.01",31.249251,0,0.0002035,18.3596673596674
"FALSE POSITIVE",3247396,"K00121.01",3.9731298,0,-9.548e-05,43.9895165987187
"CANDIDATE",8349582,"K00122.01",13.562257,0,-1.2e-05,84.8529411764706
"CANDIDATE",5094751,"K00123.01",5.9559217,0,2.933e-05,60.5816554809843
"CANDIDATE",5094751,"K00123.02",16.00956,0,3.454e-05,79.0752493200363
"CANDIDATE",11086270,"K00124.01",11.852267,0,-4.903e-05,46.6412629286881
"CANDIDATE",11086270,"K00124.02",29.431807,0,5.365e-05,83.8709677419355
