"koi_disposition","kepid","kepoi_name","tce_time0","tce_full_conv","tce_fwm_prao","tce_steff_sn","tce_fwm_prao_sn"
"CANDIDATE",12602314,"K02853.01",2454960,1,0.0001266,61.2439024390244,0.827450980392157
"FALSE POSITIVE",5513866,"K02854.01",2454960,1,0.0002206,0,7.16233766233766
"CANDIDATE",4547603,"K02855.01",2454970,1,-5.185e-05,66.9146341463415,-0.692256341789052
"CANDIDATE",5688910,"K02856.01",2454980,1,-0.0001984,28.60663507109,-0.340308747855918
"CANDIDATE",6345732,"K02857.01",2454970,1,0.0001259,75.1518987341772,0.64234693877551
"CANDIDATE",6345732,"K02857.02",2454970,1,3.622e-05,75.1518987341772,0.30436974789916
"FALSE POSITIVE",6185496,"K02858.01",2454970,1,0.0008152,33.8206896551724,4.33617021276596
"CANDIDATE",10397751,"K02859.01",2454970,1,4.119e-05,33.5875,0.633692307692308
"CANDIDATE",10397751,"K02859.02",2454970,1,1.783e-05,33.5875,0.341570881226054
"CANDIDATE",10397751,"K02859.03",2454970,1,-2.853e-06,33.5875,-0.0391358024691358
"CANDIDATE",10397751,"K02859.04",2454970,1,7.022e-05,33.5875,1.23409490333919
"CANDIDATE",10397751,"K02859.05",2454970,1,-8.63e-05,33.5875,-1.35691823899371
"CANDIDATE",6606438,"K02860.01",2455050,1,-0.001552,23.969111969112,-2.03141361256544
"FALSE POSITIVE",7815931,"K02861.01",2454970,1,-7.555e-05,30.6313131313131,-0.42683615819209
"CANDIDATE",6679295,"K02862.01",2454980,1,-0.0003351,45.975,-0.422040302267003
"FALSE POSITIVE",3241557,"K02863.01",2454970,1,-4.062e-05,33.4777777777778,-0.807554671968191
"FALSE POSITIVE",3957082,"K02864.01",2454970,1,-0.002497,30.4228855721393,-49.5436507936508
"CANDIDATE",8681833,"K02865.01",2454960,1,1.026e-05,28.9073170731707,0.0869491525423729
"CANDIDATE",4138951,"K02866.01",2454960,1,2.855e-05,33.25,0.493091537132988
"FALSE POSITIVE",9899181,"K02867.01",2454970,1,-1.003e-06,50.4795918367347,-0.0630817610062893
"FALSE POSITIVE",9899181,"K02867.02",2454970,1,2.212e-06,50.4795918367347,0.084106463878327
"CANDIDATE",8884274,"K02868.01",2454970,1,9.76e-05,28.4365482233503,0.177777777777778
"CANDIDATE",7767162,"K02869.01",2454970,1,5.882e-05,77.2317073170732,1.44520884520885
"FALSE POSITIVE",4861791,"K02870.01",2454970,1,-0.00215,30.3229166666667,-9.07172995780591
"CANDIDATE",10793172,"K02871.01",2454980,1,-0.0001462,75.0405405405405,-0.825988700564972
"CANDIDATE",10793172,"K02871.02",2454970,1,0.0001971,75.0405405405405,1.56428571428571
"FALSE POSITIVE",7136729,"K02872.01",2454970,1,-0.0007574,33.55625,-9.77290322580645
"FALSE POSITIVE",6364276,"K02873.01",2454970,1,0.0003524,30.1726618705036,3.35619047619048
"CANDIDATE",9149789,"K02874.01",2454960,1,2.011e-05,33.7345679012346,0.226975169300226
"FALSE POSITIVE",12170648,"K02875.01",2454970,1,0,33.6363636363636,0
