"koi_disposition","kepid","kepoi_name","boot_mesthresh","tce_fwm_prao","tce_ror_sn","tce_dicco_mdec_sn"
"CANDIDATE",10187017,"K00082.04",7.4779,3.283e-05,3.7570620198626,-0.59238845144357
"CANDIDATE",10187017,"K00082.05",7.4582,-3.96e-05,2.78673569397967,-2.22866379310345
"CANDIDATE",10187017,"K00082.06",7.5081,-4.164e-05,2.13597111748541,0.369430379746835
"CANDIDATE",2571238,"K00084.01",7.3188,1.629e-05,78.3044955848767,0.369460992907801
"CANDIDATE",5866724,"K00085.01",7.3092,8.754e-06,67.0733165150223,3.58828125
"CANDIDATE",5866724,"K00085.02",7.1914,5.765e-06,15.1620506738851,1.37328646748682
"CANDIDATE",5866724,"K00085.03",7.346,7.786e-06,13.1563792559953,-1.26463157894737
"CANDIDATE",10593626,"K00087.01",8.3591,-0.0002333,15.7879105966005,0.618264462809917
"FALSE POSITIVE",7700871,"K00088.01",7.4055,-0.002118,8.20289815862138,12.8213352685051
"CANDIDATE",8056665,"K00089.01",7.6953,0.0001747,37.6676209091931,1.50790476190476
"CANDIDATE",8056665,"K00089.02",8.0799,-0.0001914,12.146964866892,0.52302752293578
"FALSE POSITIVE",9210823,"K00090.01",7.345,-0.01176,5.43041630045794,188.686131386861
"CANDIDATE",7941200,"K00092.01",7.3189,-9.543e-05,25.8178563503845,-1.90876543209877
"CANDIDATE",6462863,"K00094.01",7.9941,0.001372,262.586955481992,0.153755102040816
"CANDIDATE",6462863,"K00094.02",8.9978,0.0003053,84.3708511696418,-0.339615384615385
"CANDIDATE",6462863,"K00094.03",7.9693,0.0001439,29.8812313017269,-0.198559183673469
"CANDIDATE",6462863,"K00094.04",7.6837,6.143e-05,9.68142159641475,0.222125850340136
"CANDIDATE",5780885,"K00097.01",7.7866,0.0002854,989.455979015869,0.221392215568862
"CANDIDATE",10264660,"K00098.01",7.2966,0.0001601,266.555491253006,1.07694895591647
"CANDIDATE",4055765,"K00100.01",-1,2.603e-05,36.5042159209246,-1.14729166666667
"CANDIDATE",8456679,"K00102.01",7.2739,0.00014,173.72987509751,3.21293103448276
"FALSE POSITIVE",8456679,"K00102.02",7.2842,4.147e-06,5.1388252065445,0
"CANDIDATE",2444412,"K00103.01",7.4054,4.489e-05,105.531189037728,1.0621897810219
"CANDIDATE",10318874,"K00104.01",7.4196,0.0001626,64.6742376445847,0.477934386391252
"CANDIDATE",8711794,"K00105.01",7.2537,4.585e-06,20.5740886897533,-0.661724524076148
"FALSE POSITIVE",10489525,"K00106.01",7.6751,0.008739,8.15637403613241,-166.47564469914
"CANDIDATE",11250587,"K00107.01",7.2414,2.221e-05,26.9528508390952,-0.681057851239669
"CANDIDATE",4914423,"K00108.01",7.2625,-6.412e-05,27.692875973856,0.107095588235294
"CANDIDATE",4914423,"K00108.02",8.2617,-0.0001103,65.6662673476762,0.683820224719101
"FALSE POSITIVE",4752451,"K00109.01",7.3288,-0.001033,1.50811906232834,92.5083655083655
"CANDIDATE",9450647,"K00110.01",7.3509,8.768e-06,29.2060064448354,0.220377049180328
"CANDIDATE",6678383,"K00111.01",7.3401,-8.112e-05,27.3274533453948,-1.37255717255717
"CANDIDATE",6678383,"K00111.02",7.5006,-8.607e-05,29.7701057812899,-0.957966101694915
"CANDIDATE",6678383,"K00111.03",7.4017,-0.0001372,20.2701318733635,0.932611464968153
"CANDIDATE",10984090,"K00112.01",7.4002,1.936e-05,36.0630863306546,-1.45815789473684
"CANDIDATE",10984090,"K00112.02",7.1571,-4.609e-05,6.89110088783366,-0.539049295774648
"FALSE POSITIVE",6721123,"K00114.01",7.335,0.003032,1.42844669690289,107.23504867872
"CANDIDATE",9579641,"K00115.01",7.2872,-5.213e-05,50.4704148651764,0.693097345132743
"CANDIDATE",9579641,"K00115.02",7.1976,-6.863e-05,8.59257205257817,0.218821782178218
"CANDIDATE",9579641,"K00115.03",7.1523,1.221e-05,2.72733742071504,-0.048401888772298
"CANDIDATE",8395660,"K00116.01",7.1726,-4.392e-05,30.2995126798133,0.111642857142857
"CANDIDATE",8395660,"K00116.02",7.1453,0.0002044,37.7787826229419,-1.10083798882682
"CANDIDATE",8395660,"K00116.03",7.1915,1.223e-05,2.2149023583913,-0.360829268292683
"CANDIDATE",8395660,"K00116.04",7.1352,-6.593e-05,2.6597432593579,-0.985534290271132
"CANDIDATE",10875245,"K00117.01",7.288,2.118e-05,48.8511915910701,1.44184049079755
"CANDIDATE",10875245,"K00117.02",7.11,1.114e-05,9.66412497615662,-1.30953307392996
"CANDIDATE",10875245,"K00117.03",7.1302,-5.649e-05,9.38965061891604,-0.21178002894356
"CANDIDATE",10875245,"K00117.04",7.1962,-1.163e-05,2.44201622721296,-0.932230769230769
"CANDIDATE",3531558,"K00118.01",7.2901,-4.674e-05,12.5454130815978,1.92449339207048
"CANDIDATE",9471974,"K00119.01",7.3916,0.0002428,92.2682056324004,-0.0259586614173228
"CANDIDATE",9471974,"K00119.02",7.9424,0.000293,59.4462615110436,-0.398951747088186
"CANDIDATE",11869052,"K00120.01",7.461,0.0002035,2.00845671865598,0.465881742738589
