"koi_disposition","kepid","kepoi_name","tce_dof2","tce_chisq2","tce_chisqgof","tce_eqt","tce_hap_stat","tce_fwm_prao"
"CANDIDATE",11446443,"K00001.01",3282000,1096000,2503000,1340,278.8,-0.0001223
"CANDIDATE",10666592,"K00002.01",1118000,269800,547400,2050,0,-0.001754
"CANDIDATE",10748390,"K00003.01",265800,71970,171700,800,0,0.001684
"CANDIDATE",3861595,"K00004.01",3958,942.8,3623,2040,34.07,0.0001896
"CANDIDATE",8554498,"K00005.01",10570,3789,6485,1440,11.08,8.928e-05
"FALSE POSITIVE",3248033,"K00006.01",833.9,1152,5096,2170,71.49,0
"CANDIDATE",11853905,"K00007.01",7671,2042,6262,1520,24.98,-0.0001967
"FALSE POSITIVE",5903312,"K00008.01",1256,1548,4060,1750,207.2,0.003678
"FALSE POSITIVE",11553706,"K00009.01",27480,31030,38760,1870,456.5,-0.01863
"CANDIDATE",6922244,"K00010.01",230700,52470,116600,1520,214.4,1.319e-05
"FALSE POSITIVE",11913073,"K00011.01",1244,3255,5727,1030,181.4,-0.0007874
"CANDIDATE",5812701,"K00012.01",10240,9022,93300,912,116.4,0.0004751
"CANDIDATE",9941662,"K00013.01",3458000,937000,3727000,3560,0,0
"FALSE POSITIVE",7684873,"K00014.01",7149,2351,6067,2400,17.21,0.0005353
"FALSE POSITIVE",3964562,"K00015.01",11680,46170,50770,2370,824.7,0.092
"FALSE POSITIVE",9110357,"K00016.01",5213,176800,186500,4250,725.3,0.04832
"CANDIDATE",10874614,"K00017.01",729100,166300,309600,1360,267.2,0.00086
"CANDIDATE",8191672,"K00018.01",414400,77630,170800,1640,216.9,0.0004054
"FALSE POSITIVE",7255336,"K00019.01",164700,54300,156100,2120,33.46,0.0004573
"CANDIDATE",11804465,"K00020.01",893400,218400,374800,1340,389.7,-4.892e-05
"FALSE POSITIVE",10125352,"K00021.01",24380,8826,14770,1720,69.17,-0.006036
"CANDIDATE",9631995,"K00022.01",311200,43730,123600,1030,111.4,0.001755
"FALSE POSITIVE",9071386,"K00023.01",434700,113800,397100,1390,366.7,-0.000133
"FALSE POSITIVE",4743513,"K00024.01",35160,256500,877900,1850,360.9,0.02495
"FALSE POSITIVE",10593759,"K00025.01",149100,26590,107600,1440,158.8,-4.409e-05
"FALSE POSITIVE",5021737,"K00026.01",108800,180000,212500,963,610.1,0.04122
"FALSE POSITIVE",3832716,"K00027.01",4618000,1714000,5309000,2180,0,0
"FALSE POSITIVE",4247791,"K00028.01",9337000,4267000,25630000,1780,1105,0.02208
"FALSE POSITIVE",6956014,"K00031.01",2098,10950,16930,0,14.39,-1.231e-05
"FALSE POSITIVE",5725087,"K00033.01",1796,1085,4075,0,11.46,3.992e-05
"CANDIDATE",6521045,"K00041.01",512.9,180.9,1546,939,4.578,0.0001068
"CANDIDATE",6521045,"K00041.02",249.9,253.4,1883,1160,1.121,-3.921e-06
"CANDIDATE",6521045,"K00041.03",58.75,59.57,460.3,670,2.131,-6.725e-06
"CANDIDATE",8866102,"K00042.01",1207,455.8,1864,866,0,0.0002523
"FALSE POSITIVE",9025922,"K00043.01",2505,15910,17860,812,212.9,0.09774
"FALSE POSITIVE",8845026,"K00044.01",7958,9103,22810,466,63.53,0.004064
"FALSE POSITIVE",3742855,"K00045.01",28230,32240,38190,982,283.3,0.04568
"CANDIDATE",10905239,"K00046.01",9016,3136,7414,1450,16.09,-0.0001073
"CANDIDATE",10905239,"K00046.02",189.2,188,1456,1200,1.377,5.168e-05
"FALSE POSITIVE",7837302,"K00048.01",530900,125600,675300,919,126.6,4.268e-05
"CANDIDATE",9527334,"K00049.01",708.6,294.4,1236,886,9.545,0.0001002
"FALSE POSITIVE",6056992,"K00051.01",19760,5464,10880,834,55.94,0.01613
"FALSE POSITIVE",3558981,"K00052.01",350900,95200,291300,1060,162.4,0
"FALSE POSITIVE",2445975,"K00053.01",16670,47170,55690,1210,38.41,0.004894
"FALSE POSITIVE",8248939,"K00061.01",1133,2503,4845,1750,161,0.003007
"CANDIDATE",11554435,"K00063.01",25000,5209,15790,791,40.4,2.272e-05
"CANDIDATE",7051180,"K00064.01",5450,2290,6572,2010,29.06,2.265e-05
"FALSE POSITIVE",10620329,"K00066.01",1451,1783,26040,4120,9.643,0
"FALSE POSITIVE",8669092,"K00068.01",1643,60490,99200,3370,1.739,-3.973e-06
"CANDIDATE",3544595,"K00069.01",4918,1570,4546,1030,10.97,-2.044e-05
"CANDIDATE",6850504,"K00070.01",3236,595.7,2128,765,17.74,-2.59e-05
"CANDIDATE",6850504,"K00070.02",1360,688.2,2685,1100,9.934,2.398e-05
"CANDIDATE",6850504,"K00070.03",399.4,370.3,771.2,397,10.28,4.252e-05
"CANDIDATE",6850504,"K00070.04",202.6,189.4,1192,927,1.556,-9.707e-06
"CANDIDATE",6850504,"K00070.05",64.15,43.06,367.6,628,3.006,3.076e-05
"CANDIDATE",11904151,"K00072.01",679,212.7,1216,524,4.936,-1.762e-05
"CANDIDATE",11904151,"K00072.02",1299,1766,5950,1980,9.913,5.24e-06
"FALSE POSITIVE",6889235,"K00074.01",70730,24250,59300,2120,38.53,9.049e-05
"CANDIDATE",7199397,"K00075.01",2939,1664,3500,595,11.86,0.0007389
"FALSE POSITIVE",9955262,"K00076.01",138.9,140.9,1907,778,0,-0.001127
"FALSE POSITIVE",9552608,"K00080.01",9286,1474,4861,1970,25.56,-1.973e-05
"FALSE POSITIVE",8823868,"K00081.01",223500,43150,221400,1480,46.71,0.000319
"CANDIDATE",10187017,"K00082.01",3098,382.6,1307,546,13.23,2.264e-05
"CANDIDATE",10187017,"K00082.02",456.5,299.2,1228,634,6.567,7.556e-05
"CANDIDATE",10187017,"K00082.03",84.46,88.01,383.7,457,3.851,9.302e-06
"CANDIDATE",10187017,"K00082.04",205.6,237.2,1053,719,-1.085,3.283e-05
"CANDIDATE",10187017,"K00082.05",231.9,309.9,1272,792,1.718,-3.96e-05
"CANDIDATE",10187017,"K00082.06",50.95,42.18,193.2,490,1.407,-4.164e-05
"CANDIDATE",2571238,"K00084.01",4031,595.8,2623,762,12.91,1.629e-05
"CANDIDATE",5866724,"K00085.01",1838,576.7,4589,1250,11.61,8.754e-06
"CANDIDATE",5866724,"K00085.02",889.8,777.9,4092,1740,4.532,5.765e-06
"CANDIDATE",5866724,"K00085.03",254.9,127.1,1121,1120,7.912,7.786e-06
"CANDIDATE",10593626,"K00087.01",96.28,1.112,88.67,257,3.089,-0.0002333
"FALSE POSITIVE",7700871,"K00088.01",810.8,3344,6948,1230,151.8,-0.002118
"CANDIDATE",8056665,"K00089.01",437.3,398.7,1136,611,3.081,0.0001747
"CANDIDATE",8056665,"K00089.02",167.9,62.85,376.9,453,3.113,-0.0001914
"FALSE POSITIVE",9210823,"K00090.01",1619,2135,11560,3270,365.5,-0.01176
"CANDIDATE",7941200,"K00092.01",503.4,30.94,215.7,472,6.18,-9.543e-05
"CANDIDATE",6462863,"K00094.01",36060,26030,38760,785,41.46,0.001372
"CANDIDATE",6462863,"K00094.02",1862,31.74,2829,584,14.54,0.0003053
"CANDIDATE",6462863,"K00094.03",1431,430.3,1333,1010,11.99,0.0001439
"CANDIDATE",6462863,"K00094.04",240.1,200.9,1333,1420,-0.1741,6.143e-05
"CANDIDATE",5780885,"K00097.01",388600,90610,166700,1500,170.3,0.0002854
"CANDIDATE",10264660,"K00098.01",21470,5971,19940,1430,46.42,0.0001601
"CANDIDATE",4055765,"K00100.01",2116,705.2,2432,1580,33.78,2.603e-05
"CANDIDATE",8456679,"K00102.01",15460,5654,12570,1550,11.94,0.00014
"FALSE POSITIVE",8456679,"K00102.02",310,283.3,1857,1170,-1.401,4.147e-06
"CANDIDATE",2444412,"K00103.01",976.4,702.3,2445,694,16.21,4.489e-05
"CANDIDATE",10318874,"K00104.01",6762,3411,21310,997,25.4,0.0001626
"CANDIDATE",8711794,"K00105.01",2955,830.7,2220,880,12.15,4.585e-06
"FALSE POSITIVE",10489525,"K00106.01",751.6,961.7,3904,2710,475.8,0.008739
"CANDIDATE",11250587,"K00107.01",1493,378.2,2403,1160,13.36,2.221e-05
"CANDIDATE",4914423,"K00108.01",1281,319.2,1147,872,10.58,-6.412e-05
"CANDIDATE",4914423,"K00108.02",1090,920.4,1364,389,8.574,-0.0001103
"FALSE POSITIVE",4752451,"K00109.01",334.1,1531,2598,1150,156.2,-0.001033
"CANDIDATE",9450647,"K00110.01",1779,489,1986,997,11,8.768e-06
"CANDIDATE",6678383,"K00111.01",1919,948.6,2398,852,10.77,-8.112e-05
"CANDIDATE",6678383,"K00111.02",859.3,309.5,890.1,515,3.69,-8.607e-05
"CANDIDATE",6678383,"K00111.03",863.8,210.1,1226,668,4.518,-0.0001372
"CANDIDATE",10984090,"K00112.01",921.2,72.86,618.4,503,10.89,1.936e-05
"CANDIDATE",10984090,"K00112.02",510,377.7,2125,1210,4.047,-4.609e-05
"FALSE POSITIVE",6721123,"K00114.01",369.3,1448,2746,1340,67.37,0.003032
"CANDIDATE",9579641,"K00115.01",2314,1521,4044,1090,7.78,-5.213e-05
"CANDIDATE",9579641,"K00115.02",318.9,244.4,1227,997,1.844,-6.863e-05
"CANDIDATE",9579641,"K00115.03",338.2,357.4,2037,1270,5.081,1.221e-05
"CANDIDATE",8395660,"K00116.01",593.9,396.2,1091,785,8.142,-4.392e-05
"CANDIDATE",8395660,"K00116.02",352.3,148.8,567.2,531,7.869,0.0002044
"CANDIDATE",8395660,"K00116.03",212.4,176.9,1728,1020,2.66,1.223e-05
"CANDIDATE",8395660,"K00116.04",61.65,75.85,634.7,649,0.01894,-6.593e-05
"CANDIDATE",10875245,"K00117.01",423,186.2,933.5,874,12.34,2.118e-05
"CANDIDATE",10875245,"K00117.02",433.5,366.6,2413,1460,7.844,1.114e-05
"CANDIDATE",10875245,"K00117.03",271.5,210.5,1889,1260,6.683,-5.649e-05
"CANDIDATE",10875245,"K00117.04",95.7,87.11,880.8,1070,2.83,-1.163e-05
"CANDIDATE",3531558,"K00118.01",262.1,84.43,855.1,713,4.831,-4.674e-05
"CANDIDATE",9471974,"K00119.01",4907,1027,2330,669,7.473,0.0002428
"CANDIDATE",9471974,"K00119.02",733,45.71,681,426,4.035,0.000293
"CANDIDATE",11869052,"K00120.01",706.9,9410,11050,742,2.909,0.0002035
"FALSE POSITIVE",3247396,"K00121.01",473.8,277.3,1213,1400,13.62,-9.548e-05
"CANDIDATE",8349582,"K00122.01",1246,322.6,1459,928,6.214,-1.2e-05
"CANDIDATE",5094751,"K00123.01",1023,604.5,2126,1150,12.32,2.933e-05
"CANDIDATE",5094751,"K00123.02",591.8,175.4,1011,771,4.425,3.454e-05
"CANDIDATE",11086270,"K00124.01",333.4,191.9,903.6,1010,0.7476,-4.903e-05
"CANDIDATE",11086270,"K00124.02",274.1,124.2,599.5,743,2.671,5.365e-05
"CANDIDATE",11449844,"K00125.01",65230,5462,34750,485,106.5,5.863e-05
"FALSE POSITIVE",5897826,"K00126.01",103500,231800,1472000,745,67.27,0.003046
"CANDIDATE",5897826,"K00126.02",19.73,71.73,202.2,369,0.1682,0.0006563
"CANDIDATE",8359498,"K00127.01",231600,78740,121300,1150,187.4,-0.000137
"CANDIDATE",11359879,"K00128.01",294100,74280,153800,1010,121.9,0.001817
"CANDIDATE",11974540,"K00129.01",10720,376,9995,1490,71.04,0.0018
"CANDIDATE",5297298,"K00130.01",137600,51800,60280,779,125,-2.357e-05
"CANDIDATE",7778437,"K00131.01",40320,8315,28830,1310,99.08,-0.002294
"FALSE POSITIVE",8892910,"K00132.01",43800,13410,21580,985,65.07,-0.0001769
"FALSE POSITIVE",11673674,"K00133.01",37540,65760,75480,1170,404.8,-0.01947
"FALSE POSITIVE",9032900,"K00134.01",642.4,124.9,2161,323,15.01,0.0001761
"CANDIDATE",9818381,"K00135.01",138900,35840,59880,1490,122.9,-0.0001734
"FALSE POSITIVE",7601633,"K00136.01",6419,2827,4039,1060,23.15,0
"CANDIDATE",8644288,"K00137.01",12930,8547,12940,720,31.37,0
"CANDIDATE",8644288,"K00137.02",10860,3620,7075,899,28.45,0
"CANDIDATE",8644288,"K00137.03",607.6,498.5,1854,1170,4.298,0
"FALSE POSITIVE",8506766,"K00138.01",10720,3646,7320,764,29.36,-0.0001232
"CANDIDATE",8559644,"K00139.01",1522,65.17,2194,334,11.4,0.0001498
"CANDIDATE",8559644,"K00139.02",512.4,386.2,2790,1360,1.804,2.957e-05
"FALSE POSITIVE",5130369,"K00140.01",1450,8264,9888,1350,117.4,-0.01005
"CANDIDATE",12105051,"K00141.01",5566,2194,76480,1160,38.77,0.0001489
"CANDIDATE",4649305,"K00143.01",2804,1129,1918,856,21.02,8.489e-05
"CANDIDATE",4180280,"K00144.01",3978,1394,3672,876,17.52,0.0006774
"CANDIDATE",9904059,"K00145.01",156,11.58,274.2,797,6.406,-0.000121
"FALSE POSITIVE",9048161,"K00146.01",11530,59530,63850,1300,1102,0.03337
"FALSE POSITIVE",1996679,"K00147.01",207.8,825.2,1045,388,31.46,-0.01371
"CANDIDATE",5735762,"K00148.01",1546,607.1,1777,737,14,-0.0002655
"CANDIDATE",5735762,"K00148.02",930.8,496.3,2511,932,9.744,-4.422e-05
"CANDIDATE",5735762,"K00148.03",182.2,56.01,412.8,448,2.017,-6.385e-05
"CANDIDATE",3835670,"K00149.01",2452,443.5,1986,879,15.9,-1.314e-05
"CANDIDATE",7626506,"K00150.01",1565,557.5,1784,809,8.952,-0.0001594
"CANDIDATE",7626506,"K00150.02",661.2,110.8,563.9,538,1.959,-0.0002247
"CANDIDATE",2307199,"K00151.01",952.8,429.1,987.9,848,8.958,8.82e-05
"CANDIDATE",8394721,"K00152.01",1578,461.3,1950,592,23.93,0.0003244
"CANDIDATE",8394721,"K00152.02",390.2,216.3,1173,929,12.22,0.0001088
"CANDIDATE",8394721,"K00152.03",249.8,167,1063,734,11.19,-2.709e-05
"CANDIDATE",8394721,"K00152.04",30.83,32.74,137.2,511,0.3093,-4.183e-05
"CANDIDATE",12252424,"K00153.01",1724,1007,2728,775,12.11,-0.0001466
"CANDIDATE",12252424,"K00153.02",1338,543.2,1450,629,12.16,-0.0001333
"CANDIDATE",8030148,"K00155.01",2971,917.2,3474,1120,16.22,-4.061e-05
"CANDIDATE",10925104,"K00156.01",1581,415.5,1900,446,16.36,0.0006336
"CANDIDATE",10925104,"K00156.02",493.7,332.7,1121,507,6.197,0.0001799
"CANDIDATE",10925104,"K00156.03",404.2,316,1431,587,6.274,0.0003111
"CANDIDATE",6541920,"K00157.01",919,525.4,1508,582,14.21,-0.0002271
"CANDIDATE",6541920,"K00157.02",873.4,377,1386,786,12.26,-0.0001343
"CANDIDATE",6541920,"K00157.03",782.9,697.8,1464,653,10.49,0.0001353
"CANDIDATE",6541920,"K00157.04",283.5,283.3,487.9,377,12.46,-6.545e-05
"CANDIDATE",6541920,"K00157.05",177.7,74.13,440.8,513,10.45,-0.000213
"CANDIDATE",6541920,"K00157.06",271.6,164.2,1440,850,3.378,3.354e-06
"FALSE POSITIVE",10555375,"K00158.01",251.4,1103,2452,1490,74.75,0.003224
"CANDIDATE",8972058,"K00159.01",634.8,348.7,1502,960,7.662,6.127e-06
"CANDIDATE",8972058,"K00159.02",532.4,570.3,2212,1490,4.381,5.904e-05
"CANDIDATE",6631721,"K00160.01",468,378.5,951.8,912,26.2,-0.001227
"CANDIDATE",5084942,"K00161.01",2875,1324,3274,980,20.35,-1.297e-05
"CANDIDATE",8107380,"K00162.01",874.2,190.2,1190,807,6.323,-0.0001673
"CANDIDATE",6851425,"K00163.01",779.9,366.9,1385,650,5.172,-1.631e-06
"FALSE POSITIVE",5652237,"K00164.01",411.6,1312,3059,1600,71.17,-0.007128
"CANDIDATE",9527915,"K00165.01",692.8,265.9,885.5,640,7.052,0.0001255
"CANDIDATE",2441495,"K00166.01",499.3,220,1095,650,3.466,0.000255
"CANDIDATE",11666881,"K00167.01",1064,670.1,3008,1310,12.5,4.078e-05
"CANDIDATE",11512246,"K00168.01",550.9,201.6,1737,1010,5.955,-4.612e-06
"CANDIDATE",11512246,"K00168.02",169,96.03,1114,897,3.113,1.32e-05
"CANDIDATE",11512246,"K00168.03",204,207.5,1856,1160,4.065,-1.461e-06
"FALSE POSITIVE",6185711,"K00169.01",307.2,1563,2224,719,151.4,-0.02987
"FALSE POSITIVE",11044770,"K00170.01",184.3,183.9,956,1420,34.45,-0.003724
"CANDIDATE",7831264,"K00171.01",908.9,364.7,2107,1250,4.872,8.767e-05
"CANDIDATE",7831264,"K00171.02",152.2,105.5,669.7,964,1.722,-0.0001113
"CANDIDATE",8692861,"K00172.01",746.5,172.3,1293,746,6.638,8.908e-05
"CANDIDATE",8692861,"K00172.02",32,24.21,138.8,287,-0.6512,0.0001001
"CANDIDATE",11402995,"K00173.01",619.3,298.2,1505,899,5.067,-0.0001198
"CANDIDATE",10810838,"K00174.01",234.2,49.6,169.3,352,2.289,-0.0001845
"FALSE POSITIVE",8323753,"K00175.01",359.6,1475,2780,1570,51.06,-0.003715
"CANDIDATE",6442377,"K00176.01",300.6,153.8,660,755,5.185,-0.0001025
"CANDIDATE",6803202,"K00177.01",233.7,89.09,692.6,669,5.865,-8.963e-05
"FALSE POSITIVE",11455491,"K00178.01",294.3,917.1,2930,1360,210.3,0.01245
"CANDIDATE",9663113,"K00179.01",1156,175.5,1479,798,7.914,0.0001853
"CANDIDATE",9663113,"K00179.02",88.63,594.1,753.4,333,4.37,-3.568e-05
"CANDIDATE",9573539,"K00180.01",696.7,251,1003,767,11.34,-0.0001111
"FALSE POSITIVE",12504988,"K00181.01",226800,44470,100700,1140,113,0
"CANDIDATE",5376836,"K00182.01",157600,28990,112800,1170,206.4,-0.0007776
"CANDIDATE",9651668,"K00183.01",596600,169000,283800,1270,201.1,0.001694
"FALSE POSITIVE",7972785,"K00184.01",137300,32620,57090,1090,124.2,-0.0004379
"FALSE POSITIVE",4178389,"K00185.01",92490,21320,40380,595,62.07,0.01859
"CANDIDATE",12019440,"K00186.01",210600,32810,82450,1240,176.5,-0.001763
"FALSE POSITIVE",7023960,"K00187.01",126800,419.2,14260,593,122.2,-0.0002169
"CANDIDATE",5357901,"K00188.01",194700,44690,93290,982,127.7,0.000323
"CANDIDATE",11391018,"K00189.01",93650,14410,21510,459,120.5,0.0004704
"FALSE POSITIVE",5771719,"K00190.01",27350,7384,15470,1080,85.45,0.0007134
"CANDIDATE",5972334,"K00191.01",39090,2608,6395,662,92.31,0.001427
"CANDIDATE",5972334,"K00191.02",714.5,657.3,2606,1230,5.764,0.0002529
"CANDIDATE",5972334,"K00191.03",1295,1546,5794,1850,1.614,9.406e-05
"CANDIDATE",5972334,"K00191.04",30.99,16.68,164.2,487,2.421,-3.766e-05
"CANDIDATE",7950644,"K00192.01",115600,22240,58280,997,95.71,1.316e-05
"FALSE POSITIVE",10799735,"K00193.01",59310,5146,17210,573,80.17,0.001137
"CANDIDATE",10904857,"K00194.01",81210,28860,50060,1300,138.5,9.224e-05
"CANDIDATE",11502867,"K00195.01",132800,55090,312900,1190,130.1,0.0009451
"CANDIDATE",9410930,"K00196.01",275700,75780,124300,1440,178.7,-0.0004327
"CANDIDATE",2987027,"K00197.01",48030,10470,16730,539,95.27,0.0001316
"FALSE POSITIVE",10666242,"K00198.01",28570,12730,21760,391,49.29,-0.0002927
"CANDIDATE",10019708,"K00199.01",147300,40120,66350,1600,100.2,0.0004907
"FALSE POSITIVE",10019708,"K00199.02",156.8,333.6,2321,1150,171.3,-0.0009013
"CANDIDATE",6046540,"K00200.01",65350,18610,32380,1160,82.77,-0.0002521
"CANDIDATE",6849046,"K00201.01",155800,30300,55810,1110,106.8,0.0001861
"CANDIDATE",7877496,"K00202.01",228700,52760,100600,1650,120.1,-0.001587
"CANDIDATE",10619192,"K00203.01",234300,72260,2889000,1560,201.3,0.000807
"CANDIDATE",9305831,"K00204.01",44640,15640,26830,1460,61.9,0.001239
"CANDIDATE",7046804,"K00205.01",43850,8395,13860,660,60.69,0.002979
"CANDIDATE",5728139,"K00206.01",22330,5305,11260,1500,57.46,7.626e-06
"CANDIDATE",3762468,"K00208.01",14830,3676,12530,1440,55.23,-0.0008451
"CANDIDATE",10723750,"K00209.01",9586,4143,7039,612,37.65,-0.000125
"CANDIDATE",10723750,"K00209.02",3578,758.5,3608,852,21.32,-0.0001188
"FALSE POSITIVE",10602291,"K00210.01",4989,1488,3043,735,34.19,0.0005884
"CANDIDATE",10656508,"K00211.01",2643,6.221,175.3,413,11.14,0.0007906
"CANDIDATE",6300348,"K00212.01",9079,4896,8441,1040,31.04,-0.0008977
"FALSE POSITIVE",9164836,"K00213.01",637300,206200,392200,490,181.6,-0.008019
"CANDIDATE",11046458,"K00214.01",15490,4953,32550,1120,52.25,0.0002351
"FALSE POSITIVE",12508335,"K00215.01",6676,494.8,2102,520,37.73,0.0009722
"CANDIDATE",6152974,"K00216.01",3166,760.5,1997,565,25.89,0.001078
"CANDIDATE",6152974,"K00216.02",190,157.4,1058,785,2.941,0.0004392
"CANDIDATE",9595827,"K00217.01",186900,58990,99660,1050,155.7,0.001912
"FALSE POSITIVE",9838975,"K00218.01",123100,43040,58760,528,121.5,0.001143
"CANDIDATE",6305192,"K00219.01",10460,3249,6836,1090,48.34,-0.0002373
"CANDIDATE",7132798,"K00220.01",13420,4130,9107,1210,28.16,-5.631e-06
"CANDIDATE",7132798,"K00220.02",298.4,296.2,1885,1020,-0.1385,2.054e-05
"CANDIDATE",3937519,"K00221.01",17380,6732,11280,1200,45.83,-0.0002326
"CANDIDATE",3937519,"K00221.02",209.6,224.1,1727,1000,-1.915,-7.155e-05
"CANDIDATE",4249725,"K00222.01",1004,486.1,2051,576,11.36,0.0002262
"CANDIDATE",4249725,"K00222.02",263.3,135,768.1,455,7.893,-7.528e-05
"CANDIDATE",4545187,"K00223.01",1365,917.8,2625,998,13.39,0.0001163
"CANDIDATE",4545187,"K00223.02",131.8,105.9,307.1,425,6.34,0.0004907
"FALSE POSITIVE",5547480,"K00224.01",567.5,1138,2484,1170,48.01,0.004861
"FALSE POSITIVE",5801571,"K00225.01",8386,3952,16240,2280,31.91,-0.000935
"CANDIDATE",5959753,"K00226.01",460.5,266.3,1734,747,7.038,0.0003117
"CANDIDATE",3847907,"K00229.01",11190,3927,7817,1210,26.82,-0.0008899
"FALSE POSITIVE",3862246,"K00230.01",4083,2157,3826,982,26.84,0.003877
"FALSE POSITIVE",4043443,"K00231.01",462.3,41.92,382.4,255,9.389,-0.0008265
"CANDIDATE",4833421,"K00232.01",4837,1812,3539,897,28.89,0
"CANDIDATE",4833421,"K00232.02",451.2,322.2,1827,1160,4.582,0
"CANDIDATE",4833421,"K00232.03",85.38,40.09,529.7,619,7.525,0
"CANDIDATE",4833421,"K00232.04",97.05,66.11,626.6,747,4.375,0
"CANDIDATE",4833421,"K00232.05",59.5,43.8,319.4,543,7.178,0
"FALSE POSITIVE",5023956,"K00233.01",45690,382200,433500,1510,1317,0.06048
"CANDIDATE",8491277,"K00234.01",807.3,283.6,1587,931,12.74,-0.0001339
"CANDIDATE",8107225,"K00235.01",627.1,380.1,1437,844,11.25,-0.0005645
"FALSE POSITIVE",8453211,"K00236.01",11020,293800,312300,954,311.9,0.02224
"CANDIDATE",8041216,"K00237.01",701.2,203.3,1389,910,10.23,-0.00017
"CANDIDATE",7219825,"K00238.01",370.2,104.4,895.6,817,3.068,-1.12e-05
"CANDIDATE",7219825,"K00238.02",14.19,9.153,128.6,296,3.917,-0.0002463
"CANDIDATE",7219825,"K00238.03",54.4,26.39,454.2,706,4.487,8.615e-05
"CANDIDATE",6383785,"K00239.01",1643,766.8,2454,1130,13.91,-0.001668
"CANDIDATE",6383785,"K00239.02",355.7,366.5,2154,1300,5.961,-0.00037
"CANDIDATE",8026752,"K00240.01",1442,1271,4086,1220,17.85,-0.0001599
"CANDIDATE",11288051,"K00241.01",466.9,197.1,731.3,560,5.155,0.0001222
"CANDIDATE",11288051,"K00241.02",72.3,53.17,462.4,428,2.658,-0.000423
"CANDIDATE",11288051,"K00241.03",328.9,317.3,1802,892,3.786,0.0001142
"FALSE POSITIVE",3642741,"K00242.01",5406,1178,5060,880,29.05,0.001466
"FALSE POSITIVE",9592579,"K00243.01",22910,139300,155100,1390,942.5,0.03197
"CANDIDATE",4349452,"K00244.01",14220,3674,8217,935,11.83,-0.0008787
"CANDIDATE",4349452,"K00244.02",3953,1592,4310,1190,8.825,-0.0002248
"CANDIDATE",8478994,"K00245.01",2143,553.9,1542,458,0,-0.0008098
"CANDIDATE",8478994,"K00245.02",140.2,136.2,695.2,564,0,-5.604e-05
"CANDIDATE",11295426,"K00246.01",5128,1182,3893,1140,0,-4.282e-05
"CANDIDATE",11295426,"K00246.02",193.4,566.2,2973,941,0,5.118e-05
"CANDIDATE",11852982,"K00247.01",237.9,163.3,465.8,391,2.785,0.0005753
"CANDIDATE",5364071,"K00248.01",765.7,460.5,1541,509,14.59,0.000292
"CANDIDATE",5364071,"K00248.02",729.3,750.6,2293,717,8.711,0.0003273
"CANDIDATE",5364071,"K00248.03",279.5,243.8,1041,443,7.857,-3.725e-06
"CANDIDATE",5364071,"K00248.04",99.65,71.98,344.6,371,4.3,0.0001609
"CANDIDATE",9390653,"K00249.01",1072,321.7,860,374,18.15,0.0005224
"CANDIDATE",9757613,"K00250.01",947.4,541.3,1627,431,12.58,0.001444
"CANDIDATE",9757613,"K00250.02",306.2,142.4,645.3,385,5.649,0.001046
"CANDIDATE",9757613,"K00250.03",84.45,44.29,131.2,276,3.699,0.0003642
"CANDIDATE",9757613,"K00250.04",397.2,427.3,1842,652,6.624,0.000243
"CANDIDATE",10489206,"K00251.01",1823,804.7,2055,591,10.34,-0.002341
"CANDIDATE",10489206,"K00251.02",184.4,171.8,859.1,530,-1.963,-0.0003091
"CANDIDATE",11187837,"K00252.01",513,178.4,789.7,362,0.8095,0.0001334
"CANDIDATE",11752906,"K00253.01",479.1,399.1,1072,531,11.28,0.0001267
"CANDIDATE",11752906,"K00253.02",62.63,47.07,317.4,359,1.647,-0.000606
"CANDIDATE",5794240,"K00254.01",175900,42120,101900,730,215.8,0.0003089
"CANDIDATE",7021681,"K00255.01",617.3,225.2,690.1,314,10.08,0.0003092
"CANDIDATE",7021681,"K00255.02",99.88,81.68,536.3,397,2.523,0.0005235
"FALSE POSITIVE",7021681,"K00255.03",167,157.4,1105,479,-0.1635,-0.0001288
"FALSE POSITIVE",11548140,"K00256.01",1681,30610,53350,734,14.42,-0.0008784
"CANDIDATE",5514383,"K00257.01",1930,620.1,1906,1080,6.431,0.0001405
"FALSE POSITIVE",11231334,"K00258.01",1410,908.7,5973,2090,0,-0.0007727
"FALSE POSITIVE",5790807,"K00259.01",48270,803.8,16910,717,0,-0.00258
"CANDIDATE",8292840,"K00260.01",169.2,26.92,423.7,476,2.749,6.138e-05
"CANDIDATE",8292840,"K00260.02",322.8,276.8,1508,1010,0.4364,1.493e-05
"CANDIDATE",8292840,"K00260.03",166.4,117,889,790,3.02,-4.144e-05
"CANDIDATE",5383248,"K00261.01",1989,185.5,1681,711,0,-0.0001819
"CANDIDATE",11807274,"K00262.01",260.2,177.4,820.2,1130,6.633,-8.77e-06
"CANDIDATE",11807274,"K00262.02",256.2,263.4,2543,1200,3.747,-3.192e-06
"FALSE POSITIVE",10514430,"K00263.01",86.75,87.55,262.9,675,0,5.173e-05
"FALSE POSITIVE",3097346,"K00264.01",668.1,3257,5245,1480,163.6,-0.004655
"CANDIDATE",12024120,"K00265.01",527.7,369.5,2484,1410,3.406,4.349e-05
"CANDIDATE",7375348,"K00266.01",189.3,72.57,716.4,711,1.821,-1.537e-05
"CANDIDATE",7375348,"K00266.02",39.66,16.6,183.7,575,2.787,-0.0001124
