"koi_disposition","kepid","kepoi_name","tce_dof2","tce_chisq2","tce_chisqgof","tce_eqt","tce_hap_stat","tce_fwm_prao"
"CANDIDATE",11602794,"K07460.01",190.5,191.6,823,947,4.513,9.571e-06
"FALSE POSITIVE",11615481,"K07461.01",122000,315.6,29900,490,113.4,0
"FALSE POSITIVE",11616200,"K07462.01",1489000,2007000,27400000,1500,760.8,0.0004552
"FALSE POSITIVE",11616631,"K07463.01",183.4,230.5,5604,763,16.9,7.153e-05
"FALSE POSITIVE",11616663,"K07464.01",194.5,244.1,5692,926,12.82,-0.0001476
"FALSE POSITIVE",11619964,"K07466.01",4615000,983700,2697000,845,339.3,0.05573
"FALSE POSITIVE",11651105,"K07468.01",91.42,64.41,2141,690,4.991,-8.039e-06
"FALSE POSITIVE",11662440,"K07469.01",254500,64280,127800,680,165.8,-0.006933
"CANDIDATE",11672354,"K07471.01",245.3,271.6,2079,1160,3.344,-7.769e-05
"FALSE POSITIVE",11704044,"K07472.01",6582000,2584000,5984000,921,522.2,-0.1668
"FALSE POSITIVE",11706658,"K07473.01",6921,116300,232000,1180,14.22,0.001407
"FALSE POSITIVE",11709022,"K07474.01",1766,3145,12330,888,0,0
"FALSE POSITIVE",11724091,"K07475.01",1678000,706600,4173000,2910,980.9,9.315e-06
"FALSE POSITIVE",11757422,"K07476.01",726.5,828.3,5044,907,17.54,-0.0008864
"FALSE POSITIVE",11763910,"K07477.01",2156,1853,8876,2800,4.506,3.077e-05
"FALSE POSITIVE",11768970,"K07478.01",43240,5851,18790,1170,81.83,-0.001817
"CANDIDATE",11773625,"K07479.01",187.7,196.7,1419,1130,0.5726,3.9e-05
"FALSE POSITIVE",11811454,"K07481.01",12620000,5355000,43630000,2090,1359,0.0007055
"FALSE POSITIVE",11817750,"K07482.01",1763000,1046000,7640000,1730,351.4,-0.001496
"FALSE POSITIVE",11854636,"K07484.01",32.94,40.44,118.8,507,1.58,0.0001273
"FALSE POSITIVE",11855538,"K07485.01",416.8,479.3,2638,2050,-0.9559,-3.931e-05
"FALSE POSITIVE",11858541,"K07486.01",641000,100500,262200,1050,436.8,0.001193
"FALSE POSITIVE",11873166,"K07487.01",255200,371500,16770000,1670,519.9,-0.000388
"FALSE POSITIVE",11873171,"K07488.01",1796,2034,9350,2220,13.82,0.0004905
"CANDIDATE",11904704,"K07489.01",1866,1912,7891,1920,2.596,0.0002515
"FALSE POSITIVE",11906217,"K07490.01",320100,185300,304700,358,224.7,0.001449
"FALSE POSITIVE",11913052,"K07491.01",335,415.2,2524,2440,29.14,-1.938e-05
"FALSE POSITIVE",11913071,"K07492.01",73390000,9310000,39200000,2700,0,-0.08578
"FALSE POSITIVE",11922648,"K07494.01",748.4,657.4,4719,1370,10.12,-4.296e-05
"FALSE POSITIVE",11922782,"K07495.01",22960000,37680000,88880000,1830,0,0.04768
"FALSE POSITIVE",11923819,"K07496.01",9929000,2665000,25350000,1070,592.7,0.004175
"FALSE POSITIVE",11959569,"K07497.01",165700000,22370000,58360000,647,1393,-0.004091
"FALSE POSITIVE",11966557,"K07498.01",134800,32.43,105200,481,123.6,-0.08809
"FALSE POSITIVE",11967004,"K07499.01",2078000,677600,1497000,1730,541.4,-0.007649
"FALSE POSITIVE",11968490,"K07500.01",2159000,2667000,4061000,2960,240.4,-0.0001897
"FALSE POSITIVE",11970288,"K07501.01",151.7,71.14,2004,1250,18.51,2.349e-05
"FALSE POSITIVE",12004679,"K07502.01",80440000,18660000,71120000,1240,932.9,0.001715
"FALSE POSITIVE",12004680,"K07503.01",419,443.1,2547,1180,13.23,9.886e-06
"FALSE POSITIVE",12013615,"K07505.01",42460000,14240000,69510000,1500,1016,0
"CANDIDATE",12016243,"K07506.01",62.48,81.22,752.9,830,-0.1455,0.0003684
"FALSE POSITIVE",12022517,"K07507.01",408300,137400,243500,1160,115.1,-0.001316
"FALSE POSITIVE",12022718,"K07508.01",27140,58200,72320,1040,48.03,-0.000375
"CANDIDATE",12067960,"K07510.01",238.7,252.8,1586,943,-0.4236,-0.0005735
"FALSE POSITIVE",12071006,"K07511.01",4914000,2088000,28050000,1930,410.1,0
"FALSE POSITIVE",12105785,"K07512.01",236100,55360,101900,864,126,-0.005942
"FALSE POSITIVE",12157983,"K07514.01",2311,1984,6979,1980,17.1,-9.506e-05
"FALSE POSITIVE",12164751,"K07515.01",7979000,7252000,82430000,1550,564.5,0
"FALSE POSITIVE",12217907,"K07516.01",6315000,520200,3070000,519,833.3,0.003507
"FALSE POSITIVE",12251779,"K07517.01",2156000,443200,725300,811,669,-0.0002693
"FALSE POSITIVE",12268220,"K07518.01",154000,96950,1013000,2570,313.8,0.0003279
"FALSE POSITIVE",12302391,"K07519.01",659500,461900,763500,655,186.4,-0.004483
"CANDIDATE",12304728,"K07520.01",416.2,411.8,3053,2210,3.14,1.636e-05
"FALSE POSITIVE",12306808,"K07521.01",15280000,12420000,23470000,504,918.4,0.003674
"FALSE POSITIVE",12306808,"K07521.02",8128000,5375000,8207000,504,839.6,0.00233
"FALSE POSITIVE",12351927,"K07522.01",129100,33710,63140,550,172.3,-0.008125
"FALSE POSITIVE",12353633,"K07523.01",1933,2346,12210,2910,1.095,5.175e-05
"FALSE POSITIVE",12353720,"K07524.01",2954,1843,88360,2930,29.6,2.46e-05
"FALSE POSITIVE",12356746,"K07525.01",2041000,1341000,2442000,2340,590.2,-0.0006329
"FALSE POSITIVE",12356914,"K07526.01",3063000,1722000,3788000,524,262.2,0.1943
"FALSE POSITIVE",12365000,"K07527.01",1093,2341,15230,2550,10.88,0.0005819
"FALSE POSITIVE",12365015,"K07528.01",1978,2710,9841,1410,-0.2988,-3.25e-06
"FALSE POSITIVE",12367017,"K07529.01",2603,31810,37930,1470,122.2,-0.006022
"FALSE POSITIVE",12367310,"K07530.01",389600,113300,350100,1450,181.2,-0.00104
"FALSE POSITIVE",12403968,"K07531.01",1109,1200,6842,1400,0.965,0.0002013
"FALSE POSITIVE",12418662,"K07532.01",290500,95260,519100,1170,250.7,0.004109
"FALSE POSITIVE",12418816,"K07533.01",17750000,5572000,15700000,1290,1128,0
"FALSE POSITIVE",12470530,"K07536.01",7276000,1129000,3653000,650,508.8,-0.1492
"FALSE POSITIVE",12506342,"K07538.01",1070,2406,7794,1090,98.45,-0.01448
"CANDIDATE",12555616,"K07540.01",66.39,84.7,626.1,625,5.009,4.149e-06
"FALSE POSITIVE",12557713,"K07541.01",196800,45950,90250,630,117.8,0.001791
"FALSE POSITIVE",3458687,"K07543.01",1083,1425,8602,0,10.05,-4.393e-05
"FALSE POSITIVE",3749508,"K07544.01",1312,9964,19470,0,19.81,-0.0002087
"FALSE POSITIVE",3749508,"K07544.02",457.4,571.8,8123,3900,3.754,3.561e-05
"FALSE POSITIVE",3955867,"K07545.01",2884,774.3,27270,1210,28.84,0.0005088
"FALSE POSITIVE",4074294,"K07547.01",1180,1333,5087,3290,7.286,-4.116e-05
"FALSE POSITIVE",4380560,"K07548.01",1214,1308,7144,2110,7.707,0.000157
"FALSE POSITIVE",4483235,"K07550.01",611.6,692.6,6728,2860,1.936,-1.876e-05
"FALSE POSITIVE",5024414,"K07555.01",693.2,804.3,2940,0,20.25,-0.0003393
"FALSE POSITIVE",5268955,"K07557.01",153.6,139.4,3165,915,2.283,1.805e-06
"FALSE POSITIVE",5598645,"K07560.01",1570,1838,7312,0,5.725,-4.827e-05
"FALSE POSITIVE",5908086,"K07563.01",1421,1997,9801,0,7.189,2.613e-06
"FALSE POSITIVE",6590362,"K07570.01",2235,2578,9594,2100,25.04,-0.0009826
"FALSE POSITIVE",6628740,"K07571.01",2466,3046,12890,3040,4.757,5.742e-06
"FALSE POSITIVE",7031126,"K07573.01",2335,2880,9721,2790,8.319,-6.34e-06
"FALSE POSITIVE",7031208,"K07574.01",1976,2275,10820,2410,4.992,0.0001204
"FALSE POSITIVE",7031742,"K07575.01",2327,2701,12760,2280,5.335,3.831e-05
"FALSE POSITIVE",7032568,"K07576.01",2333,2817,12710,3110,2.295,-2.384e-06
"FALSE POSITIVE",7032687,"K07577.01",1978,2243,10830,2220,5.658,-8.169e-05
"FALSE POSITIVE",7116282,"K07579.01",2267,2571,11980,2050,8.583,-0.000182
"FALSE POSITIVE",7116859,"K07580.01",1973,2135,10410,2180,10.15,3.923e-05
"FALSE POSITIVE",7133286,"K07581.01",14670,11010,41420,158,12.53,0.00296
"FALSE POSITIVE",7214090,"K07583.01",1948,2230,8624,2080,13.02,-0.002468
"FALSE POSITIVE",7281694,"K07584.01",2333,2157,10420,2520,9.883,-2.865e-05
"FALSE POSITIVE",7362450,"K07585.01",2340,2602,12450,2680,6.646,2.393e-05
"CANDIDATE",8096395,"K07587.01",25.41,1.404,73.75,257,-0.07952,-0.0001034
"FALSE POSITIVE",8649876,"K07595.01",133.7,138.4,3862,1240,3.356,3.53e-05
"FALSE POSITIVE",8868686,"K07598.01",304.4,301,7841,1230,18.37,7.53e-05
"FALSE POSITIVE",9246715,"K07601.01",110000,110900,216600,930,0,0.01005
"FALSE POSITIVE",10253638,"K07608.01",194.5,241,5577,1620,6.018,-4.592e-05
"FALSE POSITIVE",10341777,"K07610.01",1420,1697,12060,1890,10.39,7.675e-05
"FALSE POSITIVE",10407271,"K07611.01",1425,1707,10430,1680,10.02,1.396e-05
"FALSE POSITIVE",10471167,"K07612.01",1416,1732,12430,1370,10.51,0.0003179
"FALSE POSITIVE",10471174,"K07613.01",1198,1459,9992,1680,9.323,-3.712e-05
"FALSE POSITIVE",10471345,"K07614.01",1412,1647,12290,1630,6.905,-0.0003152
"FALSE POSITIVE",11463950,"K07616.01",333.4,474.4,7599,2010,4.426,4.254e-05
"FALSE POSITIVE",11621897,"K07618.01",64.01,59.07,1918,713,4.419,-2.735e-05
"FALSE POSITIVE",1025986,"K07621.01",8.456,6.486,29.23,303,0,2.306e-05
"FALSE POSITIVE",1293046,"K07622.01",41.35,32.51,194.4,348,16.12,-0.01561
"FALSE POSITIVE",1434395,"K07623.01",213.7,254.3,1025,0,83.3,-0.006847
"CANDIDATE",1723078,"K07624.01",7.259,1.781,40.91,478,2.882,-0.0003089
"FALSE POSITIVE",1868404,"K07625.01",220.7,237.3,849.7,1140,3.626,-7.801e-05
"FALSE POSITIVE",1995712,"K07626.01",6.67,5.912,42.13,249,-0.8215,0.0001095
"FALSE POSITIVE",2140389,"K07627.01",16060,53050,76360,1420,236.9,0.03182
"CANDIDATE",2299738,"K07628.01",721.7,588.7,7598,1160,2.072,1.074e-05
"FALSE POSITIVE",2302758,"K07629.01",2423,3073,10770,2240,11.71,-0.0002614
"CANDIDATE",2302997,"K07630.01",81.85,81.19,601.6,389,-3.385,0.0002854
"FALSE POSITIVE",2308411,"K07631.01",1350,1633,11520,2120,11.56,0.0006536
"FALSE POSITIVE",2446134,"K07632.01",36.58,33.59,143.2,601,1.612,5.78e-05
"FALSE POSITIVE",2449053,"K07633.01",1795,2258,11380,1820,171.3,0
"FALSE POSITIVE",2569995,"K07634.01",31.27,92.5,138.8,501,3.957,-0.01231
"CANDIDATE",2577353,"K07635.01",28.51,15.74,383.6,511,0.9535,0.001167
"CANDIDATE",2696205,"K07636.01",1869,1695,6214,1770,3.657,0.0001675
"FALSE POSITIVE",2711131,"K07637.01",468.8,516.7,1669,989,23.8,0.001163
"CANDIDATE",2834805,"K07638.01",57.18,35.23,309.1,838,0.2083,-3.878e-06
"FALSE POSITIVE",2854839,"K07639.01",1202,1317,5104,1400,3.077,0
"FALSE POSITIVE",2859299,"K07640.01",2050,2318,9231,2360,13.88,-0.0004477
"CANDIDATE",2984990,"K07641.01",352,306.2,1641,1380,-2.813,8.165e-05
"FALSE POSITIVE",3003019,"K07642.01",2100,2383,9008,2480,6.447,-0.0002306
"FALSE POSITIVE",3102309,"K07643.01",324.8,328,3409,1140,1.084,-5.665e-05
"CANDIDATE",3110177,"K07644.01",393.6,417.3,2712,1190,0.6534,0.0002286
"CANDIDATE",3129238,"K07645.01",528.5,391.8,3224,1230,0.9181,-1.261e-05
"FALSE POSITIVE",3218844,"K07646.01",20.36,16.03,80.65,422,-0.6817,-0.0001769
"FALSE POSITIVE",3230095,"K07647.01",187.6,217.7,1284,817,6.949,3.02e-05
"CANDIDATE",3232249,"K07648.01",1111,1211,4803,1290,-0.8983,-0.0002893
"FALSE POSITIVE",3235282,"K07649.01",7.043,1.741,25.54,265,3.224,-0.004984
"FALSE POSITIVE",3241647,"K07650.01",1551,1616,7855,1840,10.47,-3.747e-05
"FALSE POSITIVE",3248696,"K07651.01",6.604,0.04566,52.31,215,-3.247,-0.002179
"FALSE POSITIVE",3345973,"K07652.01",94.69,147.5,997.2,1190,27.21,0.00104
"FALSE POSITIVE",3347807,"K07653.01",7.16,1.482,89.84,382,-1.584,3.666e-05
"FALSE POSITIVE",3353454,"K07654.01",24.9,10.85,217.2,1530,4.264,0.0004934
"FALSE POSITIVE",3439126,"K07655.01",6.669,5.591,139.2,150,1.154,-0.0002852
"FALSE POSITIVE",3448456,"K07656.01",1444,1534,5792,1880,8.332,-0.0008042
"FALSE POSITIVE",3531231,"K07657.01",26.84,49.18,665.6,401,28.82,-0.002046
"FALSE POSITIVE",3542542,"K07658.01",377.4,383.1,4897,971,14.11,-0.0006291
"FALSE POSITIVE",3644631,"K07659.01",7.301,8.139,77.41,242,7.097,-9.457e-05
"FALSE POSITIVE",3644738,"K07660.01",13.2,12.05,122.8,263,5.069,-0.0009072
"FALSE POSITIVE",3645282,"K07661.01",1964,2113,7919,2000,25.31,0.0008241
"CANDIDATE",3660581,"K07662.01",9.422,14.87,116.4,512,3.272,-0.0001645
"FALSE POSITIVE",3663141,"K07663.01",311.6,408.7,2878,1380,18.23,0
"FALSE POSITIVE",3732972,"K07664.01",787.3,828,2387,0,20.67,0.0002299
"FALSE POSITIVE",3750350,"K07665.01",8.592,3.165,68.38,280,1.447,-9.699e-05
"FALSE POSITIVE",3751231,"K07666.01",2314,2626,10090,2460,13.55,0.0005524
"CANDIDATE",3762750,"K07668.01",406.9,373.2,1607,1480,4.28,0.0004572
"FALSE POSITIVE",3839294,"K07669.01",12.44,11.5,54.83,720,0.879,-0.0003501
"CANDIDATE",3848083,"K07670.01",133.8,144.8,2031,865,1.266,3.518e-05
"FALSE POSITIVE",3851194,"K07671.01",1444,2087,9324,2800,1.842,-4.067e-05
"FALSE POSITIVE",3852476,"K07672.01",14.6,7.488,116.8,676,0.6549,-0.0001402
"CANDIDATE",3852872,"K07673.01",20.17,20.41,150,476,1.158,0.0001885
"FALSE POSITIVE",3858943,"K07674.01",43.27,39.51,848.1,697,17.41,-0.000327
"FALSE POSITIVE",3859042,"K07675.01",37.28,41.69,1148,508,3.136,-0.001179
"CANDIDATE",3934657,"K07676.01",251.5,274.9,1945,974,0.05182,-6.015e-05
"FALSE POSITIVE",3967501,"K07677.01",49.97,43.45,618.9,1030,0,3.997e-06
"CANDIDATE",4048898,"K07678.01",108.4,109,537.4,892,0.8619,1.864e-06
"CANDIDATE",4054784,"K07679.01",708.2,738.2,2907,1290,0.7164,0.0001482
"CANDIDATE",4072271,"K07680.01",7.516,2.394,67.91,456,4.041,3.562e-05
"CANDIDATE",4073017,"K07681.01",180.5,202,1105,844,-1.74,-6.495e-05
"FALSE POSITIVE",4073089,"K07682.01",229200,1866000,2671000,680,20.09,0
